SSC_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC10002,31,0,0,0,0,31,11,0,0,0,0,11,8,0,0,0,0,8,15,0,0,0,0,15,18,0,0,0,0,21,52,0,0,0,0,52,56,0,0,0,0,56,100,0,0,0,0,105,71,0,0,0,0,71,100,0,0,0,0,100,42,0,0,0,0,42,29,0,0,0,0,29,539,0,0,0,0,545
SSC10003,7,3,19,0,0,28,3,3,3,0,0,8,3,0,4,0,0,4,4,0,5,0,0,12,6,5,8,0,0,18,17,3,22,0,0,41,17,3,21,0,0,41,20,10,41,0,0,74,13,11,36,0,0,55,26,23,45,0,0,94,74,20,39,0,0,129,12,3,10,0,0,26,199,91,245,3,0,536
SSC10004,13,0,0,0,0,13,5,0,0,0,0,5,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,0,0,9,33,0,0,0,0,33,41,0,0,0,0,40,36,0,0,0,0,40,26,0,0,0,0,26,12,0,0,0,0,12,5,0,0,0,0,5,5,0,0,0,0,5,186,4,0,0,0,187
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10006,11,0,0,0,0,11,13,0,0,0,0,13,10,0,0,0,0,10,17,0,0,0,0,17,33,0,0,0,0,33,74,8,0,0,0,81,65,3,0,0,0,65,35,0,0,0,0,35,4,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,13,288,7,4,0,0,298
SSC10007,6,0,0,0,0,8,7,0,0,0,0,7,3,0,0,0,0,3,10,0,0,0,0,10,5,0,0,0,0,5,52,0,0,3,0,55,67,0,0,0,0,67,62,0,0,0,0,64,18,0,0,0,0,14,9,0,0,0,0,9,4,0,0,0,0,4,11,0,0,0,0,11,254,0,4,5,0,266
SSC10008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10009,14,0,0,0,0,14,3,0,0,0,0,6,4,0,0,0,0,4,14,3,0,0,0,16,16,0,0,0,0,23,74,3,0,0,0,81,101,7,0,0,0,109,286,3,0,0,0,287,133,0,0,0,0,133,55,0,0,0,0,57,29,0,0,0,0,29,21,3,0,0,0,22,747,22,3,0,0,772
SSC10010,17,0,0,0,0,17,8,0,0,0,0,8,9,0,0,0,0,9,23,0,0,0,0,23,40,3,0,0,0,38,81,0,0,0,0,81,88,0,0,0,0,89,46,0,0,0,0,46,19,0,0,0,0,16,10,0,0,0,0,10,6,0,0,0,0,4,9,0,0,0,0,9,340,3,0,0,0,346
