SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,3,0,18
SSC10002,0,0,3,12,11,41,48,45,16,181,0,3,0,4,6,12,15,13,8,74,8,15,14,13,17,20,11,13,0,118,162,373,493,506,695,648,264,134,36,3307
SSC10003,0,0,4,9,15,27,63,74,30,211,0,0,0,0,0,0,9,12,9,36,8,10,50,58,64,60,72,26,24,369,96,202,641,773,830,718,654,358,139,4411
SSC10004,0,0,0,0,0,3,4,3,0,17,0,0,0,0,0,0,0,0,0,0,3,4,3,4,11,9,0,3,0,34,23,65,105,143,183,149,62,27,7,773
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,8,4,0,0,22
SSC10006,5,3,3,7,12,29,35,18,6,119,0,0,0,0,0,0,8,0,0,7,6,7,28,26,30,29,27,20,5,169,98,179,319,304,312,316,206,93,19,1859
SSC10007,0,0,4,0,5,25,37,17,10,102,0,0,0,0,0,0,0,3,0,6,9,11,18,29,34,31,29,20,5,183,52,108,268,268,273,241,203,99,32,1551
SSC10008,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,0,7,3,0,14,14,11,11,12,3,0,78
SSC10009,0,3,0,3,3,22,28,18,5,91,0,0,0,0,0,3,0,0,0,3,12,6,39,26,27,32,22,6,3,179,188,372,926,802,645,426,285,86,15,3748
SSC10010,0,0,8,4,14,34,38,17,11,122,0,0,0,0,0,0,0,0,0,3,4,11,14,15,15,27,27,14,6,134,66,152,313,281,305,319,211,102,29,1781
