SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC10001,0,0,0,0,0,0,3,10,3,18
SSC10002,36,0,36,607,266,10,884,2469,149,3504
SSC10003,116,20,139,851,357,29,1233,2949,363,4545
SSC10004,7,0,7,217,74,16,306,487,37,833
SSC10005,0,0,0,0,0,0,0,22,0,22
SSC10006,14,9,19,417,194,19,633,1158,157,1941
SSC10007,24,6,32,364,134,9,513,956,166,1631
SSC10008,0,0,0,23,4,0,31,45,7,76
SSC10009,10,0,15,1221,313,56,1595,2199,176,3964
SSC10010,21,6,29,391,210,23,625,1096,148,1866
SSC10011,0,0,0,65,15,4,89,112,60,259
SSC10012,0,0,0,3,0,0,3,4,0,11
SSC10013,0,0,0,7,0,0,7,26,0,32
SSC10014,17,0,18,811,223,15,1050,1768,79,2904
SSC10015,3,3,9,32,6,0,42,202,20,262
SSC10016,89,10,104,1080,394,46,1527,3176,221,4919
SSC10017,120,17,139,1042,411,46,1497,2559,139,4191
SSC10018,16,0,21,156,57,4,217,494,57,764
SSC10019,0,0,0,23,11,0,32,23,3,58
SSC10020,0,0,0,4,4,0,8,27,6,45
SSC10021,8,3,11,156,69,7,238,412,45,693
SSC10022,3,4,10,357,158,14,529,1298,320,2147
SSC10023,0,0,0,17,9,0,27,70,41,136
SSC10024,0,0,0,21,4,0,24,24,15,58
SSC10025,234,34,271,2651,1037,126,3814,6030,527,10371
SSC10026,99,124,219,1047,571,49,1676,3391,564,5634
SSC10027,122,37,166,689,294,23,1007,2579,460,4047
SSC10028,7,3,14,79,58,3,133,417,577,1125
SSC10029,0,0,0,28,20,0,41,84,12,143
SSC10030,26,11,35,988,253,41,1275,5482,636,7390
SSC10031,27,3,30,474,236,17,718,1781,87,2590
SSC10032,0,0,0,24,7,0,28,38,15,84
SSC10033,0,0,0,0,0,0,0,8,0,6
SSC10034,0,0,0,14,12,0,28,40,6,75
