SSC_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
SSC10001,9,7,13,0,0,0,8,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,7,0,0,0,0,0,0,8,4,7,0,3,3,12,13,18
SSC10002,1466,1532,3000,102,102,203,303,332,634,0,10,6,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,345,652,29,37,70,6,5,14,450,488,939,52,51,101,1969,2069,4038
SSC10003,1314,1479,2795,172,220,392,570,645,1213,11,14,22,15,16,27,3,3,4,4,3,10,0,3,3,0,0,0,0,0,3,0,0,0,606,679,1287,95,115,210,9,7,16,888,1020,1909,182,187,368,2384,2692,5076
SSC10004,277,298,574,84,101,188,93,111,201,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,107,114,214,11,4,19,0,3,8,204,226,426,26,26,55,508,551,1058
SSC10005,9,5,17,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,0,0,0,13,7,22
SSC10006,618,600,1222,172,194,363,214,237,452,7,3,7,7,14,22,0,3,3,0,0,0,3,3,11,0,0,0,0,3,3,0,0,0,228,265,498,5,3,6,8,4,8,414,466,871,76,98,175,1102,1160,2268
SSC10007,589,575,1166,97,79,172,162,201,365,3,4,4,13,12,25,0,3,0,4,0,3,0,0,0,0,0,0,0,0,3,0,0,0,190,211,399,3,6,12,3,7,3,291,302,598,101,87,193,981,970,1952
SSC10008,31,24,60,6,7,10,8,9,13,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,0,0,0,0,0,0,12,15,30,8,5,10,52,43,91
SSC10009,901,943,1845,418,478,897,794,812,1610,14,10,24,53,65,122,9,10,14,9,6,14,0,4,5,7,9,13,4,7,14,0,0,0,884,927,1811,42,50,98,18,25,42,1365,1479,2841,81,105,185,2344,2525,4869
SSC10010,692,687,1383,122,123,238,180,189,367,3,3,3,7,9,21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,199,198,399,3,3,6,4,3,4,326,327,653,71,77,154,1088,1100,2187
SSC10011,95,77,171,8,0,4,28,34,63,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,38,72,0,0,0,3,0,6,40,41,79,33,36,66,169,151,320
SSC10012,7,6,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,5,8,8
SSC10013,16,12,28,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,3,0,0,0,5,3,9,0,0,0,17,16,37
SSC10014,1083,1101,2180,16,8,28,449,485,927,9,4,11,8,3,15,4,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,501,962,103,109,213,9,4,10,589,620,1216,57,48,106,1736,1766,3505
SSC10015,98,100,205,5,9,12,20,14,39,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,31,21,54,3,0,3,0,0,0,44,31,71,9,3,17,154,134,294
SSC10016,1460,1602,3059,130,144,268,811,880,1691,16,11,33,29,51,81,16,17,27,6,15,21,3,0,4,13,16,26,17,11,29,0,0,0,914,1001,1916,89,89,180,27,22,48,1163,1251,2412,110,102,208,2734,2954,5685
SSC10017,1619,1672,3294,125,110,228,542,528,1076,15,12,22,13,22,40,4,7,10,7,13,19,8,3,6,0,4,3,0,4,3,0,0,0,595,592,1183,51,54,109,7,4,9,772,755,1528,72,64,133,2467,2487,4950
SSC10018,308,309,620,47,42,93,44,47,99,0,0,0,7,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,57,116,4,0,7,5,3,9,118,102,216,34,32,70,456,447,903
SSC10019,30,31,64,0,0,3,3,3,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,0,0,0,0,0,0,5,7,13,0,3,7,43,40,78
SSC10020,15,14,32,0,0,0,5,0,5,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,0,0,0,0,0,0,6,3,12,4,3,7,29,22,50
SSC10021,279,251,526,22,26,53,97,107,206,3,3,7,3,3,9,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,120,226,3,0,3,0,0,0,134,145,280,27,25,48,441,417,853
SSC10022,780,969,1744,66,70,137,165,224,386,3,0,3,10,6,19,3,3,8,0,0,0,3,0,7,0,3,5,0,0,0,0,0,0,181,241,423,9,8,22,14,7,22,271,330,600,173,195,368,1222,1493,2711
SSC10023,42,43,82,4,4,13,4,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,16,0,0,0,7,11,13,19,22,47,15,19,33,81,83,163
SSC10024,24,25,53,0,0,0,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,12,0,0,0,0,0,0,5,7,14,4,8,10,41,35,75
SSC10025,3845,4023,7867,543,577,1115,1131,1336,2473,12,13,24,42,49,89,6,3,10,9,6,13,3,3,6,3,9,10,7,10,22,0,0,0,1223,1425,2652,60,55,110,46,59,106,1870,2113,3988,252,277,530,5969,6413,12382
SSC10026,1931,2014,3945,116,134,248,780,814,1593,7,4,12,24,39,59,0,3,3,0,3,3,0,3,3,0,0,0,0,3,3,0,0,0,815,869,1678,19,26,41,15,12,30,965,1040,2003,239,282,519,3128,3336,6467
SSC10027,1034,1150,2179,166,199,362,361,399,761,217,240,458,31,31,58,11,5,19,13,16,31,13,4,12,3,3,6,17,18,27,0,0,0,656,715,1376,73,70,143,14,10,21,919,996,1915,237,217,457,2190,2360,4544
SSC10028,228,230,459,40,33,71,39,49,88,0,3,0,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,56,96,0,0,0,0,0,0,82,88,172,506,65,575,822,384,1200
SSC10029,47,43,94,8,4,8,5,6,14,0,0,3,0,6,5,4,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,22,32,0,4,4,0,0,0,22,27,47,13,9,20,76,81,159
SSC10030,1391,1303,2694,170,153,321,1255,1272,2526,69,75,147,91,89,184,19,24,43,39,30,72,4,3,6,0,0,0,25,36,64,0,0,0,1510,1522,3039,524,509,1034,41,34,73,2252,2220,4471,356,302,654,4001,3822,7822
SSC10031,1099,1141,2239,50,46,96,224,259,481,0,0,3,0,3,10,0,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,233,270,501,24,25,53,0,0,0,307,339,645,45,36,77,1452,1517,2963
SSC10032,37,23,58,0,0,0,6,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,25,0,0,0,0,0,0,6,12,25,12,12,22,58,46,103
SSC10033,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
SSC10034,19,19,38,0,3,3,13,14,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,33,0,0,0,0,0,0,20,19,32,6,9,17,48,48,93
SSC10035,24,24,48,3,8,10,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,6,10,17,8,0,5,40,34,70
SSC10036,2108,2242,4357,151,149,294,631,633,1259,5,14,21,9,12,25,3,5,6,0,3,7,0,0,3,0,3,3,0,4,3,0,0,0,650,673,1327,132,151,288,8,6,15,946,980,1928,109,149,257,3169,3379,6544
SSC10037,21,22,46,0,0,0,13,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,19,0,0,0,0,0,0,13,9,18,0,3,3,34,35,70
SSC10038,1246,1337,2583,108,110,210,641,558,1199,11,5,19,12,14,24,0,0,3,0,0,0,0,0,3,0,3,3,7,3,12,0,0,0,670,592,1262,504,502,1007,16,14,28,1294,1218,2509,116,114,231,2647,2670,5315
