SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC10001,0,0,0,9,5,15,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,12,12,22
SSC10002,77,88,165,85,112,198,93,85,184,26,27,49,0,0,0,1158,1222,2379,0,0,0,134,153,284,4,8,7,3,8,6,3,3,3,28,31,56,0,4,9,7,12,21,14,19,36,0,0,3,6,3,17,16,16,28,79,84,157,0,0,0,1662,1785,3445,12,19,34,51,62,110,0,0,0,0,0,0,0,0,0,19,13,31,16,13,29,169,124,297,0,0,3,0,0,0,175,129,302,88,72,166,2076,2177,4253
SSC10003,35,71,104,243,307,549,3,9,7,16,21,32,0,0,0,950,1118,2070,3,3,3,121,138,261,7,3,10,4,4,5,7,7,15,9,8,25,7,8,13,16,20,31,60,71,127,0,3,4,4,8,12,38,57,96,47,42,94,0,0,3,1538,1825,3363,10,13,23,16,18,36,14,21,28,0,0,0,3,3,3,5,8,19,7,10,22,658,609,1270,7,4,10,4,3,10,673,618,1286,248,259,506,2542,2838,5373
SSC10004,0,0,4,105,120,221,0,0,0,12,18,27,15,10,18,169,212,379,0,0,0,0,0,0,10,3,12,0,0,0,0,0,5,0,0,0,3,0,3,6,3,8,27,31,55,0,0,0,0,4,4,19,23,42,11,16,30,0,0,0,370,433,808,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,92,204,3,4,7,0,0,0,116,100,213,44,42,89,535,579,1109
SSC10005,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,15,0,0,0,0,0,0,8,4,15,0,0,3,13,7,22
SSC10006,3,12,13,329,358,684,0,0,0,23,21,38,0,0,0,207,245,452,0,0,0,3,3,8,3,10,10,4,3,10,0,3,3,0,0,0,6,11,16,11,13,26,48,69,114,8,13,20,5,8,11,58,59,122,9,21,29,0,0,0,723,834,1556,3,6,11,0,3,0,0,0,0,3,0,3,0,0,0,3,3,7,6,4,6,358,304,664,3,0,7,0,3,6,372,309,676,99,104,202,1205,1262,2473
SSC10007,8,9,16,356,361,719,0,0,0,3,0,6,0,0,0,293,291,580,0,0,0,0,0,0,9,12,14,0,0,0,0,0,0,0,0,0,3,0,5,3,4,6,30,23,54,3,0,6,6,10,13,29,30,63,10,18,24,0,0,0,740,754,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,201,179,381,0,0,5,0,3,3,200,184,383,95,86,183,1048,1036,2084
SSC10008,0,0,0,11,8,24,0,0,0,0,0,0,0,0,0,27,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,12,0,0,0,0,0,0,7,10,12,9,3,9,56,46,102
SSC10009,9,20,29,657,725,1384,0,0,0,46,41,92,0,0,0,783,846,1627,0,0,0,6,10,13,0,8,7,12,3,10,4,3,7,0,0,0,18,8,27,21,23,44,72,90,164,4,9,12,3,3,5,89,138,226,52,61,109,0,0,0,1765,1959,3727,20,17,41,3,0,3,0,0,0,0,0,0,3,5,7,0,3,7,3,7,13,662,603,1267,10,9,13,0,0,0,672,616,1285,148,158,305,2624,2781,5401
SSC10010,9,3,13,311,357,665,0,0,0,21,18,39,0,0,0,225,212,444,0,3,0,3,0,8,6,8,17,4,10,14,0,4,0,0,0,0,4,4,4,6,5,10,42,38,78,10,6,11,0,0,4,63,86,140,30,31,61,0,0,0,724,773,1497,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,4,335,295,627,0,4,8,0,3,4,337,303,642,87,94,177,1162,1177,2337
