SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC10044,17,31,0,0,3,14,0,5,10,36,14,57,0,0,0,10,3,6,3,20,18,73,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,3,4,0,3,40,109
SSC10045,60,110,0,0,7,42,3,8,23,90,28,134,5,25,10,32,10,33,27,87,56,222,0,0,0,0,0,0,9,16,9,16,0,0,0,4,4,12,8,12,12,33,3,4,132,368
SSC10046,719,1418,12,58,49,231,10,57,303,1209,373,1556,27,97,48,153,106,325,179,578,559,2137,0,7,31,94,12,37,101,236,139,376,13,41,30,66,90,180,138,292,270,661,23,50,1568,4266
SSC10047,12,26,0,0,0,4,0,0,0,13,3,19,0,0,0,0,8,16,8,16,10,35,0,0,0,8,0,6,0,3,3,13,0,0,0,0,0,0,0,0,3,13,0,0,29,78
SSC10048,4,9,0,0,0,0,0,0,6,20,6,20,0,4,0,4,0,0,3,11,7,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,10,38
SSC10049,532,1073,22,127,73,380,47,235,362,1458,502,2199,39,178,47,181,235,779,329,1140,830,3343,15,71,50,198,31,133,249,733,349,1137,23,72,35,79,186,431,243,577,589,1712,36,83,1989,6208
SSC10050,3,6,0,8,0,0,0,0,0,3,3,11,0,0,0,3,0,0,0,3,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20
SSC10051,0,0,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC10052,3,10,0,0,0,0,0,0,4,16,4,16,0,0,0,5,0,0,0,5,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,29
SSC10053,4,3,0,0,0,3,0,0,0,3,3,5,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,6,15
SSC10054,6,15,0,0,0,11,0,0,3,5,3,19,0,4,0,0,3,8,3,10,6,26,0,0,0,0,0,0,3,7,3,7,0,0,0,0,3,5,3,5,3,11,0,0,18,58
SSC10055,6,14,0,0,0,0,0,0,4,21,8,24,0,0,0,0,0,0,0,0,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,14,45
SSC10056,21,46,0,0,0,6,3,12,10,38,10,48,4,14,0,0,4,5,8,22,20,72,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,6,0,0,45,126
SSC10057,4,13,0,0,0,4,0,0,0,0,0,4,0,3,0,0,0,3,3,4,3,7,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,9,25
SSC10058,21,34,0,0,0,4,0,0,4,12,3,14,0,0,0,0,0,3,0,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50
SSC10059,34,62,0,0,3,8,0,0,9,32,7,36,0,0,0,5,10,27,8,30,20,67,0,0,0,0,0,0,4,8,4,8,0,4,0,0,0,4,0,8,9,18,0,3,60,150
SSC10060,414,826,4,34,40,196,19,86,177,703,243,1014,18,79,33,111,94,295,145,487,390,1498,5,18,14,39,9,35,60,147,82,237,14,51,14,29,68,143,96,220,176,454,8,23,995,2800
SSC10061,943,1837,3,13,62,269,14,60,709,2645,791,2986,30,111,73,255,96,300,204,671,994,3656,0,0,16,44,3,6,87,199,105,254,16,40,50,111,95,197,156,345,256,597,40,87,2244,6188
SSC10062,123,256,7,23,30,133,7,31,72,302,111,490,29,131,19,63,62,212,108,410,219,897,0,0,0,3,3,7,12,28,9,39,0,4,3,12,17,36,21,52,35,88,0,3,381,1245
SSC10063,230,452,11,51,41,187,19,98,215,875,288,1213,15,46,27,86,68,215,101,345,387,1562,0,7,3,14,3,11,34,114,46,150,5,7,9,19,37,80,51,112,95,256,6,8,714,2280
SSC10064,4,11,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
SSC10065,0,0,0,3,0,0,0,0,5,11,5,16,0,3,0,0,3,7,4,6,10,31,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,6,0,0,13,30
SSC10066,0,3,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC10067,20,36,0,9,3,10,0,0,3,21,6,37,0,0,0,0,5,8,5,8,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,3,5,0,0,33,94
SSC10068,0,3,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC10069,82,167,3,14,0,5,0,5,16,52,23,81,0,0,7,23,13,39,21,60,40,143,0,0,0,0,0,0,3,6,3,6,0,0,0,0,7,13,5,14,13,23,0,3,135,333
SSC10070,25,48,0,0,0,8,0,5,3,7,3,22,0,6,0,4,3,4,3,9,10,32,0,0,0,5,0,0,0,3,3,6,0,0,0,3,4,3,3,3,8,11,0,0,38,94
SSC10071,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
SSC10072,141,274,4,21,25,136,3,8,88,390,121,550,21,83,19,60,48,155,84,299,206,851,0,0,0,8,0,0,10,31,14,40,4,20,0,5,17,43,24,69,40,112,0,0,388,1231
SSC10073,167,347,0,0,19,96,3,7,92,346,113,447,9,51,5,19,40,119,55,188,171,633,0,0,4,12,4,11,23,71,33,96,5,12,7,15,24,44,31,73,68,170,4,8,410,1160
SSC10074,9,17,0,0,0,0,0,0,4,18,4,18,0,0,0,0,0,0,0,0,3,23,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,4,8,0,0,14,43
SSC10075,36,69,0,6,3,16,0,3,8,38,11,56,0,0,3,11,6,21,13,34,23,91,0,0,0,4,0,3,3,11,5,17,0,0,0,0,3,0,3,0,11,20,0,0,70,184
SSC10076,63,124,0,0,9,26,0,3,13,58,26,87,0,0,3,6,18,46,17,56,45,137,0,0,0,11,0,3,11,20,13,37,3,8,0,3,4,7,8,19,17,58,3,7,130,327
SSC10077,3,4,0,0,0,4,0,0,3,11,3,18,0,0,0,0,0,0,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,24
SSC10078,121,242,3,15,7,59,3,29,60,241,79,340,0,4,5,27,32,110,41,140,122,482,0,0,5,24,3,7,35,95,42,126,3,8,10,13,56,115,62,137,111,258,11,22,363,1008
SSC10079,25,59,0,0,0,3,0,3,8,30,11,40,0,0,0,0,5,20,6,17,18,61,0,0,0,0,0,3,11,20,10,31,0,0,0,0,3,0,3,4,13,34,0,4,58,148
SSC10080,0,0,0,0,0,0,0,0,4,12,4,12,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12
SSC10081,67,127,0,3,9,36,0,0,36,150,46,194,3,8,3,6,0,3,6,19,46,213,0,0,0,0,0,0,3,7,3,7,0,0,0,0,3,4,7,6,4,14,0,3,121,353
SSC10082,9,12,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,6,0,0,15,32
SSC10083,0,4,0,0,0,0,0,0,3,11,3,11,0,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
SSC10084,15,34,0,5,3,7,0,0,13,64,17,71,0,0,0,3,0,0,0,3,17,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,110
SSC10085,2153,4236,46,265,214,980,56,282,1177,4606,1491,6126,76,281,174,548,302,926,549,1758,2039,7884,17,71,82,281,34,132,450,1209,582,1690,25,73,104,210,286,610,410,898,993,2586,99,208,5283,14912
SSC10086,932,1883,24,154,108,545,42,216,630,2419,807,3341,77,337,75,256,246,815,399,1407,1202,4745,7,32,10,42,16,58,103,266,134,402,26,82,34,80,192,431,252,591,387,995,83,189,2604,7815
SSC10087,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC10088,113,229,0,0,3,10,0,0,3,15,7,27,0,5,0,0,7,15,8,23,14,45,0,0,3,11,0,3,10,16,9,29,0,4,0,0,7,17,12,23,18,52,0,3,151,328
SSC10089,71,146,0,0,8,49,0,7,22,93,37,150,0,3,6,16,19,46,24,65,61,218,0,0,0,7,3,10,10,32,14,44,0,0,3,4,8,16,12,23,25,66,0,3,162,436
SSC10090,884,1747,3,13,82,371,6,36,895,3207,993,3625,34,137,143,479,112,348,287,965,1280,4590,7,18,17,59,7,18,117,289,141,376,13,39,56,127,103,219,171,387,317,767,56,116,2539,7214
SSC10091,9,16,0,0,3,6,0,0,0,4,3,15,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,17,33
SSC10092,4,6,0,0,0,0,0,3,3,12,4,13,0,4,0,0,0,0,0,4,5,17,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,0,8,26
SSC10093,242,488,8,50,67,293,6,21,248,983,328,1351,33,134,55,177,130,440,216,756,542,2112,3,9,3,10,0,12,19,64,28,86,9,21,18,44,54,125,84,190,113,277,20,43,915,2916
SSC10094,75,146,0,6,0,5,3,8,12,42,11,54,0,3,0,4,6,15,9,26,18,79,0,0,0,3,0,0,0,5,4,13,0,0,0,0,4,7,4,7,6,19,0,0,105,249
SSC10095,33,73,0,0,0,11,0,3,7,28,7,45,0,0,0,8,9,34,13,45,26,85,0,0,0,4,0,0,7,14,8,22,0,0,0,0,0,4,4,5,8,25,0,0,70,187
SSC10096,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
SSC10097,142,298,16,110,58,327,19,80,168,755,258,1271,23,107,10,47,77,267,111,423,377,1692,5,20,20,84,15,52,91,298,124,455,10,32,10,24,107,254,123,311,253,769,23,55,789,2814
SSC10098,2361,4825,14,85,144,640,32,134,1422,5081,1616,5940,101,395,242,814,382,1228,722,2433,2341,8381,3,10,39,131,12,44,245,592,304,774,28,96,150,343,331,721,512,1160,817,1932,201,424,5715,15565
SSC10099,81,163,4,10,4,19,0,5,17,70,26,115,3,8,9,22,10,41,23,66,49,180,0,0,3,15,0,0,19,57,22,69,0,3,3,6,7,21,14,26,33,93,0,3,165,442
SSC10100,34,68,0,0,3,8,0,3,27,122,30,133,0,0,3,4,4,13,5,20,37,159,0,3,0,11,0,0,9,23,14,40,0,0,0,0,3,6,4,12,21,50,3,9,95,285
SSC10101,300,597,9,43,21,97,17,76,149,612,194,824,11,42,9,39,60,186,77,270,271,1099,8,17,13,59,20,84,189,557,232,720,8,16,21,34,95,210,123,261,350,983,27,51,949,2732
SSC10102,411,799,5,38,72,340,18,73,366,1478,466,1926,39,153,81,262,115,361,234,787,700,2711,0,0,20,57,7,17,78,221,101,295,9,22,19,43,51,103,76,172,176,461,9,18,1289,3990
SSC10103,279,558,0,15,46,226,6,15,289,1146,351,1397,33,133,52,172,86,273,170,581,518,1983,3,8,11,30,0,6,32,82,47,124,7,33,16,30,47,103,70,162,119,285,15,39,933,2867
SSC10104,12,31,0,6,0,3,0,0,4,14,5,30,0,0,0,0,0,5,0,5,8,31,0,0,0,4,0,0,0,3,3,8,0,0,0,0,0,0,0,0,3,8,0,0,26,63
SSC10105,81,152,3,10,0,5,3,14,32,126,35,155,4,8,3,7,13,38,22,56,56,213,0,4,0,0,0,3,16,36,15,49,0,3,0,0,9,23,11,28,29,73,8,7,164,449
SSC10106,2337,4884,146,943,502,2700,127,616,2363,9599,3137,13862,254,1131,309,1078,788,2682,1348,4892,4481,18749,31,155,94,402,36,147,379,1087,537,1793,73,250,129,317,506,1164,713,1733,1251,3521,245,553,8314,27716
SSC10107,16,35,0,0,0,13,0,0,12,34,13,49,0,0,0,0,0,4,0,4,10,50,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,3,7,0,0,36,95
SSC10108,254,489,3,23,36,169,14,53,184,728,241,972,21,83,34,105,59,172,104,362,344,1335,0,7,5,18,0,3,21,59,28,80,8,27,16,27,28,66,50,114,74,198,4,14,678,2036
SSC10109,220,440,15,97,31,152,17,96,120,489,180,831,32,147,27,89,104,362,160,603,345,1435,3,12,7,17,6,27,35,99,46,151,3,18,5,10,50,109,55,133,107,287,10,26,682,2187
SSC10110,15,37,0,0,0,5,0,9,11,34,8,45,0,0,0,4,7,25,8,24,20,66,0,0,0,0,0,0,5,7,5,7,0,0,0,0,3,3,3,5,5,12,0,0,41,116
SSC10111,964,1878,26,113,160,715,36,156,673,2736,890,3720,106,433,149,499,250,772,507,1704,1394,5421,0,4,32,94,8,18,85,230,124,342,17,62,45,95,125,275,188,429,314,777,21,44,2695,8114
SSC10112,3,3,0,0,0,0,0,4,0,3,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,15
SSC10113,27,52,0,0,3,26,3,11,13,36,13,72,0,0,3,18,3,9,4,20,23,90,0,5,0,3,0,0,0,0,3,10,0,0,0,3,6,6,4,14,8,17,0,0,59,165
SSC10114,422,839,11,63,87,398,17,63,334,1308,451,1828,45,187,57,173,89,291,188,649,643,2480,3,19,19,58,7,21,65,178,96,276,8,26,16,40,57,124,87,195,181,470,9,13,1251,3799
SSC10115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10116,187,378,4,14,15,52,4,8,90,356,107,428,10,50,18,52,54,182,86,284,190,711,0,11,8,25,3,8,38,112,49,160,0,8,3,8,26,58,31,78,87,232,0,4,463,1321
SSC10117,13,30,0,3,7,25,0,0,8,38,14,63,0,3,4,3,0,0,3,11,18,69,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,5,0,0,37,101
SSC10118,32,70,3,10,9,42,0,11,23,84,31,146,3,15,8,17,15,47,26,78,58,221,0,0,0,0,0,4,8,23,5,30,0,0,0,0,8,14,7,19,18,44,7,9,109,343
SSC10119,23,45,0,0,3,21,0,0,8,29,11,51,0,0,3,7,12,35,12,42,22,90,0,0,0,0,0,0,0,3,0,3,0,4,0,4,3,7,5,17,6,15,0,0,53,154
SSC10120,26,51,0,0,0,4,0,0,9,25,4,33,0,4,0,0,3,6,4,12,9,42,0,0,3,9,0,0,5,14,5,18,0,0,0,0,3,6,3,6,8,26,0,0,46,120
SSC10121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
