SSC_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SSC10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10002,0,3,0,135,11,0,0,17,5,6,0,7,3,9,29,87,4,0,0,0,0,4,0,0,0,0,5,12,214,11,7,202,14,124,8,34,9,75,37,739
SSC10003,3,0,0,205,18,3,0,9,3,3,0,0,0,11,32,80,0,0,0,0,0,0,0,0,0,0,5,7,155,20,4,179,24,107,7,21,6,56,36,614
SSC10004,0,0,0,17,0,0,0,10,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,40,6,4,60,9,21,0,4,0,9,13,170
SSC10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10006,0,0,0,6,4,3,0,4,0,0,0,0,0,3,16,27,0,0,0,4,0,0,0,0,0,0,3,10,35,6,4,71,13,36,3,15,6,27,19,238
SSC10007,0,0,0,16,4,0,0,4,0,3,0,0,0,4,13,29,0,0,0,0,0,0,0,0,0,0,0,0,49,8,0,69,10,44,0,16,3,19,19,241
SSC10008,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,18
SSC10009,0,0,0,73,10,0,0,20,0,0,3,0,0,9,49,89,0,0,0,0,0,0,0,0,0,0,0,3,189,21,5,264,29,153,6,29,13,34,52,789
SSC10010,0,0,0,9,4,0,0,0,0,3,0,3,0,3,15,32,0,0,0,0,0,0,0,0,0,0,0,3,41,10,5,74,9,63,0,19,3,34,15,271
SSC10011,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,18,3,13,0,0,0,9,0,47
SSC10012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
SSC10013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10014,0,0,0,100,15,0,3,9,0,4,0,0,0,4,31,67,0,0,0,6,0,0,0,0,0,0,0,7,247,19,9,172,30,137,3,19,3,26,33,690
SSC10015,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,7,0,3,0,0,0,6,3,22
SSC10016,0,0,0,82,13,3,0,10,0,3,0,5,4,3,52,89,0,0,0,0,0,0,0,0,0,0,0,7,151,36,3,240,35,103,12,31,5,34,48,697
SSC10017,0,4,0,130,7,3,0,15,0,0,0,3,0,5,40,77,0,0,0,0,0,0,0,0,0,0,4,6,147,31,3,304,35,100,3,33,3,55,42,750
SSC10018,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,40,3,13,3,4,3,4,3,99
SSC10019,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,0,0,0,0,0,15
SSC10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SSC10021,0,0,0,18,8,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,38,0,21,5,4,3,7,3,125
SSC10022,0,0,0,0,0,0,0,3,0,4,0,0,0,10,7,35,0,0,0,0,0,0,0,0,0,0,4,9,10,6,0,11,5,38,0,12,9,93,13,206
SSC10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,12
SSC10024,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,11
SSC10025,0,0,0,142,33,3,0,39,4,17,7,5,4,10,75,195,3,0,3,0,0,0,0,3,0,0,3,19,403,57,12,714,73,342,32,79,24,99,80,1919
SSC10026,0,0,0,29,7,0,0,11,0,13,0,9,0,12,35,93,0,0,0,0,0,0,0,0,0,0,0,4,132,22,3,226,14,154,12,49,8,70,37,737
SSC10027,0,0,0,64,10,0,0,9,3,8,0,7,0,3,30,54,0,0,0,0,0,0,0,0,0,0,0,0,98,14,5,162,19,44,3,24,4,16,30,416
SSC10028,0,0,0,5,0,0,0,4,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,23,3,4,0,5,3,8,3,73
SSC10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,3,0,0,0,0,3,20
SSC10030,0,0,0,207,6,0,0,0,0,0,0,0,0,0,35,46,0,0,0,0,0,0,0,0,0,0,0,0,170,8,8,171,41,99,7,21,3,9,33,572
SSC10031,0,3,0,168,15,4,0,18,0,7,0,8,0,6,18,74,0,0,0,4,0,0,0,0,0,0,0,9,167,19,3,177,15,89,0,30,8,40,18,562
SSC10032,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,15
SSC10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10034,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,0,0,0,0,0,15
SSC10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10
SSC10036,0,0,0,351,13,3,0,17,3,9,0,7,0,13,61,130,0,0,0,7,0,0,0,0,0,0,0,6,237,35,10,434,46,152,11,43,7,53,66,1090
SSC10037,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,6
SSC10038,0,3,0,40,13,0,0,6,0,14,0,0,3,10,28,75,0,0,0,0,0,0,0,0,0,0,3,3,146,26,3,162,15,162,3,55,16,77,28,690
SSC10039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
SSC10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,3,3,14
SSC10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,0,0,0,0,18
SSC10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
SSC10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11
SSC10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,0,5,0,0,0,0,0,18
SSC10045,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,19,0,6,3,4,0,3,0,56
SSC10046,0,0,0,40,6,0,0,12,0,3,0,3,0,4,35,75,0,0,0,0,0,0,0,0,0,0,0,5,116,32,4,165,17,86,8,36,7,44,44,559
SSC10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10
SSC10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,7
SSC10049,0,0,0,46,13,0,0,11,3,15,0,4,0,13,30,103,0,0,0,0,0,3,0,0,0,3,6,13,153,24,3,172,24,209,4,68,24,118,36,830
SSC10050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC10051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
SSC10052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
SSC10053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC10054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SSC10055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
SSC10056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,0,0,20
SSC10057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SSC10058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
SSC10059,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,0,0,4,20
SSC10060,0,0,0,17,5,4,0,13,3,7,0,8,0,5,26,59,0,0,0,0,0,0,0,0,0,0,0,0,71,23,6,132,14,47,8,24,3,34,25,390
SSC10061,0,4,0,477,11,0,0,14,0,3,0,4,0,3,44,84,0,0,0,0,0,0,0,0,0,0,4,3,305,33,11,300,66,146,10,33,3,39,48,994
SSC10062,0,3,0,59,8,0,0,5,0,0,0,0,0,0,9,29,0,0,0,0,0,0,0,0,0,0,0,3,62,8,3,74,4,28,0,7,3,18,8,219
SSC10063,0,0,0,34,9,0,0,4,0,3,0,5,0,0,19,39,0,0,0,0,0,0,0,0,0,0,0,4,106,7,5,128,16,64,3,15,3,20,16,387
SSC10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
SSC10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10
SSC10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SSC10067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,0,0,0,0,0,10
