SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC10001,0,0,3,0,14
SSC10002,377,119,46,7,1912
SSC10003,495,412,158,53,3062
SSC10004,103,40,6,3,545
SSC10005,0,3,0,0,11
SSC10006,147,80,32,4,936
SSC10007,135,63,37,12,811
SSC10008,11,9,3,0,52
SSC10009,254,129,42,3,2360
SSC10010,161,81,42,7,921
SSC10011,17,11,11,0,180
SSC10012,0,0,0,0,6
SSC10013,0,0,3,0,14
SSC10014,237,106,13,12,1880
SSC10015,30,29,24,0,142
SSC10016,413,200,85,41,3025
SSC10017,412,342,214,64,2779
SSC10018,77,62,31,10,394
SSC10019,8,0,0,0,34
SSC10020,10,3,0,0,15
SSC10021,54,42,8,0,385
SSC10022,105,77,20,4,780
SSC10023,17,14,7,0,82
SSC10024,8,3,0,0,40
SSC10025,919,447,218,149,5934
SSC10026,502,337,191,153,3136
SSC10027,484,382,155,73,2755
SSC10028,105,61,23,7,875
SSC10029,20,8,6,0,70
SSC10030,439,180,63,13,5874
SSC10031,432,126,28,15,1600
SSC10032,12,3,0,0,61
SSC10033,0,0,0,0,3
SSC10034,4,5,4,0,44
SSC10035,7,5,3,0,45
SSC10036,534,384,257,162,3615
SSC10037,7,9,0,3,32
SSC10038,381,182,80,31,3056
SSC10039,3,3,4,0,27
SSC10040,23,8,0,0,58
SSC10041,13,9,0,0,75
SSC10042,11,10,3,0,31
SSC10043,4,8,0,0,22
SSC10044,11,11,6,0,71
SSC10045,65,42,9,0,246
SSC10046,579,458,303,143,2915
SSC10047,10,5,3,0,47
SSC10048,0,3,0,0,21
SSC10049,490,254,58,16,2860
SSC10050,0,8,3,0,15
SSC10051,0,0,0,0,3
SSC10052,3,0,0,0,13
SSC10053,3,0,0,0,19
SSC10054,5,3,0,0,29
SSC10055,9,6,3,0,43
SSC10056,23,6,0,0,80
SSC10057,5,11,4,0,33
SSC10058,8,18,12,3,68
SSC10059,54,20,3,4,134
SSC10060,359,328,165,38,1921
SSC10061,810,469,142,37,6063
SSC10062,133,94,31,5,707
SSC10063,155,65,23,8,1188
SSC10064,3,7,0,0,24
SSC10065,0,0,0,0,17
SSC10066,0,0,0,0,9
SSC10067,18,4,3,0,47
SSC10068,0,0,0,0,5
SSC10069,88,54,20,4,271
SSC10070,29,22,3,7,107
SSC10071,0,0,0,0,5
SSC10072,141,101,43,11,713
SSC10073,136,83,34,3,676
SSC10074,10,7,0,0,22
SSC10075,28,23,6,0,120
SSC10076,42,39,16,3,219
SSC10077,0,0,0,0,10
SSC10078,84,48,25,11,512
SSC10079,33,21,4,0,108
SSC10080,0,0,0,0,10
SSC10081,40,32,10,3,201
SSC10082,12,0,3,0,23
SSC10083,3,0,0,0,8
SSC10084,4,12,0,0,59
SSC10085,1903,1289,685,256,11820
SSC10086,495,245,144,86,5207
SSC10087,3,4,0,0,19
SSC10088,47,97,61,13,283
SSC10089,83,33,9,3,277
SSC10090,658,383,176,77,5852
SSC10091,6,3,0,0,18
SSC10092,3,3,0,0,13
SSC10093,284,151,61,11,1652
SSC10094,59,49,17,8,199
SSC10095,29,22,3,0,119
SSC10096,3,3,0,0,11
SSC10097,145,77,54,4,1078
SSC10098,1490,836,484,278,14160
SSC10099,75,46,25,13,276
SSC10100,13,14,0,0,136
SSC10101,197,148,73,33,1349
SSC10102,389,179,59,13,2184
SSC10103,324,185,85,30,1854
SSC10104,3,9,3,0,38
