SA2_CODE_2021,C16_2500_2999_R650more,C16_2500_2999_R_NS,C16_2500_2999_R_Tot,C16_3000_3999_R1_74,C16_3000_3999_R75_99,C16_3000_3999_R100_149,C16_3000_3999_R150_199,C16_3000_3999_R200_224,C16_3000_3999_R225_274,C16_3000_3999_R275_349,C16_3000_3999_R350_449,C16_3000_3999_R450_549,C16_3000_3999_R550_649,C16_3000_3999_R650more,C16_3000_3999_R_NS,C16_3000_3999_R_Tot,C16_4000more_R1_74,C16_4000more_R75_99,C16_4000more_R100_149,C16_4000more_R150_199,C16_4000more_R200_224,C16_4000more_R225_274,C16_4000more_R275_349,C16_4000more_R350_449,C16_4000more_R450_549,C16_4000more_R550_649,C16_4000more_R650more,C16_4000more_R_NS,C16_4000more_R_Tot,C16_PI_S_R1_74,C16_PI_S_R75_99,C16_PI_S_R100_149,C16_PI_S_R150_199,C16_PI_S_R200_224,C16_PI_S_R225_274,C16_PI_S_R275_349,C16_PI_S_R350_449,C16_PI_S_R450_549,C16_PI_S_R550_649,C16_PI_S_R650more,C16_PI_S_R_NS,C16_PI_S_R_Tot,C16_AI_NS_R1_74,C16_AI_NS_R75_99,C16_AI_NS_R100_149,C16_AI_NS_R150_199,C16_AI_NS_R200_224,C16_AI_NS_R225_274,C16_AI_NS_R275_349,C16_AI_NS_R350_449,C16_AI_NS_R450_549,C16_AI_NS_R550_649,C16_AI_NS_R650more,C16_AI_NS_R_NS,C16_AI_NS_R_Tot,C16_Tot_R1_74,C16_Tot_R75_99,C16_Tot_R100_149,C16_Tot_R150_199,C16_Tot_R200_224,C16_Tot_R225_274,C16_Tot_R275_349,C16_Tot_R350_449,C16_Tot_R450_549,C16_Tot_R550_649,C16_Tot_R650more,C16_Tot_R_NS,C16_Tot_R_Tot,C21_Neg_Ni_inc_R1_74,C21_Neg_Ni_inc_R75_99,C21_Neg_Ni_inc_R100_149,C21_Neg_Ni_inc_R150_199,C21_Neg_Ni_inc_R200_224,C21_Neg_Ni_inc_R225_274,C21_Neg_Ni_inc_R275_349,C21_Neg_Ni_inc_R350_449,C21_Neg_Ni_inc_R450_549,C21_Neg_Ni_inc_R550_649,C21_Neg_Ni_inc_R650more,C21_Neg_Ni_inc_R_NS,C21_Neg_Ni_inc_R_Tot,C21_1_149_R1_74,C21_1_149_R75_99,C21_1_149_R100_149,C21_1_149_R150_149,C21_1_149_R200_224,C21_1_149_R225_274,C21_1_149_R275_349,C21_1_149_R350_449,C21_1_149_R450_549,C21_1_149_R550_649,C21_1_149_R650more,C21_1_149_R_NS,C21_1_149_R_Tot,C21_150_299_R1_74,C21_150_299_R75_99,C21_150_299_R100_149,C21_150_299_R150_199,C21_150_299_R150_224,C21_150_299_R225_274,C21_150_299_R275_349,C21_150_299_R350_449,C21_150_299_R450_549,C21_150_299_R550_649,C21_150_299_R650more,C21_150_299_R_NS,C21_150_299_R_Tot,C21_300_399_R1_74,C21_300_399_R75_99,C21_300_399_R100_149,C21_300_399_R150_199,C21_300_399_R200_224,C21_300_399_R225_274,C21_300_399_R275_349,C21_300_399_R350_449,C21_300_399_R450_549,C21_300_399_R550_649,C21_300_399_R650more,C21_300_399_R_NS,C21_300_399_R_Tot,C21_400_499_R1_74,C21_400_499_R75_99,C21_400_499_R100_149,C21_400_499_R150_199,C21_400_499_R200_224,C21_400_499_R225_274,C21_400_499_R275_349,C21_400_499_R350_449,C21_400_499_R450_549,C21_400_499_R550_649,C21_400_499_R650more,C21_400_499_R_NS,C21_400_499_R_Tot,C21_500_649_R1_74,C21_500_649_R75_99,C21_500_649_R100_149,C21_500_649_R150_199,C21_500_649_R200_224,C21_500_649_R225_274,C21_500_649_R275_349,C21_500_649_R350_449,C21_500_649_R450_549,C21_500_649_R550_649,C21_500_649_R650more,C21_500_649_R_NS,C21_500_649_R_Tot,C21_650_799_R1_74,C21_650_799_R75_99,C21_650_799_R100_149,C21_650_799_R150_199,C21_650_799_R200_224,C21_650_799_R225_274,C21_650_799_R275_349,C21_650_799_R350_449,C21_650_799_R450_549,C21_650_799_R550_649,C21_650_799_R650more,C21_650_799_R_NS,C21_650_799_R_Tot,C21_800_999_R1_74,C21_800_999_R75_99,C21_800_999_R100_149,C21_800_999_R150_199,C21_800_999_R200_224,C21_800_999_R225_274,C21_800_999_R275_349,C21_800_999_R350_449,C21_800_999_R450_549,C21_800_999_R550_649,C21_800_999_R650more,C21_800_999_R_NS,C21_800_999_R_Tot,C21_1000_1249_R1_74,C21_1000_1249_R75_99,C21_1000_1249_R100_149,C21_1000_1249_R150_199,C21_1000_1249_R200_224,C21_1000_1249_R225_274,C21_1000_1249_R275_349,C21_1000_1249_R350_449,C21_1000_1249_R450_549,C21_1000_1249_R550_649,C21_1000_1249_R650more,C21_1000_1249_R_NS,C21_1000_1249_R_Tot,C21_1250_1499_R1_74,C21_1250_1499_R75_99,C21_1250_1499_R100_149,C21_1250_1499_R150_199,C21_1250_1499_R200_224,C21_1250_1499_R225_274,C21_1250_1499_R275_349,C21_1250_1499_R350_449,C21_1250_1499_R450_549,C21_1250_1499_R550_649,C21_1250_1499_R650more,C21_1250_1499_R_NS,C21_1250_1499_R_Tot,C21_1500_1999_R1_74,C21_1500_1999_R75_99
101021007,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,7,3,0,0,0,4,14,0,0,4,0,0,0,0,0,0,0,0,0,6,8,3,17,22,15,42,74,36,4,0,0,9,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,3,0,0,0,0,0,10,0,0,5,7,0,4,0,4,4,0,0,0,21,0,0,0,5,0,3,0,8,0,0,0,5,20,0,0,4,0,0,0,3,7,7,0,0,0,18,0,0,7,3,0,3,4,5,0,0,0,0,23,0,0,0,3,0,0,0,5,0,0,0,0,16,0,0
101021008,0,0,48,0,0,3,0,0,0,7,15,12,4,0,0,38,0,0,0,0,0,0,6,4,5,0,0,0,13,0,0,5,0,0,4,5,15,6,0,0,0,35,0,0,4,0,0,0,0,0,0,0,0,8,23,4,10,91,123,62,78,114,257,82,14,10,35,873,0,0,0,5,0,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,16,0,0,20,5,5,5,3,5,0,0,0,0,38,3,0,27,10,9,6,0,0,5,0,0,0,64,0,0,7,11,9,13,0,5,5,0,0,0,52,0,0,4,12,7,8,3,12,3,0,0,5,50,0,0,4,5,8,11,11,8,6,0,5,0,58,0,0,4,5,6,7,13,15,14,4,0,0,73,0,0,0,8,3,13,9,25,14,3,0,6,69,0,0
101021009,0,0,81,0,0,0,0,5,0,13,28,17,4,4,3,81,0,0,0,0,0,3,4,16,0,5,0,0,30,0,0,3,5,5,17,15,21,10,5,0,3,96,0,0,0,3,0,4,4,7,0,0,0,5,30,12,15,89,214,238,377,411,510,130,21,10,46,2076,0,4,0,0,0,3,3,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,7,4,6,4,3,5,0,4,4,4,0,0,4,30,0,7,21,9,4,14,6,3,0,0,0,0,63,0,4,32,8,19,16,15,9,3,0,0,3,108,0,4,7,25,15,30,20,18,11,3,0,5,131,0,0,3,12,12,20,19,15,7,0,0,0,95,0,0,3,11,15,47,33,35,4,0,0,8,147,0,0,3,10,16,41,69,62,18,6,3,0,219,0,0,3,3,8,40,64,58,29,3,0,7,206,3,0
101021010,0,0,33,0,0,0,9,0,3,12,4,8,5,0,0,47,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,7,0,6,12,15,5,0,0,6,44,0,0,0,4,0,0,0,6,0,0,0,5,12,5,6,22,128,119,171,197,156,62,14,6,29,923,0,0,0,0,0,5,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,8,3,7,5,7,5,0,0,0,6,35,5,0,9,17,8,10,3,4,0,0,0,0,54,0,0,0,10,9,3,7,5,0,0,0,0,42,0,0,4,6,6,15,10,5,0,0,0,0,53,0,0,0,0,4,20,23,8,12,0,0,0,75,0,0,0,4,15,23,24,22,3,0,0,0,102,0,0,0,3,8,28,29,23,5,0,0,7,105,0,0
101021012,5,0,94,0,0,0,0,0,12,44,14,22,21,11,4,126,0,0,0,0,0,4,30,22,22,14,13,6,109,0,0,0,0,0,5,19,15,10,16,7,0,83,0,0,0,0,0,3,0,3,3,0,0,3,14,4,6,27,37,31,107,213,252,169,99,57,22,1017,0,0,0,0,0,0,3,4,0,3,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,20,0,0,0,5,0,0,0,3,0,0,0,0,18,0,0,0,4,7,0,8,0,0,0,0,0,30,0,5,5,4,0,5,6,0,4,0,0,0,31,0,0,0,4,5,7,8,8,9,4,0,0,40,0,0,0,0,3,8,9,11,4,4,0,0,42,0,0,0,0,4,9,9,16,10,0,3,6,48,0,0
101021610,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0,0,4,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,8,14,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,10,0,0
101021611,4,0,43,0,0,0,0,5,4,0,8,19,7,11,0,61,0,0,0,0,0,0,0,3,5,5,11,4,30,0,0,0,0,3,0,0,3,8,5,8,3,39,0,0,0,0,0,0,0,5,0,0,0,3,7,5,6,20,20,22,48,62,119,91,67,40,20,528,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,5,3,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,3,11,6,0,0,4,23,0,0,4,0,4,6,3,12,8,3,3,0,38,0,0,0,0,0,0,4,6,9,0,0,5,32,0,0
101031013,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,9,10,14,22,48,34,15,3,0,0,0,0,12,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,0,0,0,9,0,4,0,0,3,6,0,0,0,0,0,5,13,0,0,0,3,0,4,0,0,0,0,0,0,9,0,0,6,10,0,7,0,0,0,0,0,3,27,0,0,3,3,0,7,0,0,0,0,0,0,20,0,0,6,5,0,6,0,0,0,0,0,0,11,5,0
101031014,0,0,14,0,0,0,0,3,3,3,3,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,3,5,3,14,15,13,0,0,0,0,47,0,0,4,3,0,13,0,0,0,0,0,5,24,6,17,98,136,107,217,134,42,0,4,10,25,800,0,0,0,0,0,4,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,3,0,0,0,0,0,0,17,0,3,8,9,9,0,7,0,0,0,0,0,40,0,0,6,20,7,11,7,7,0,0,0,4,56,0,0,6,15,12,16,11,4,0,0,0,0,69,0,0,0,13,8,16,23,3,0,0,0,0,71,0,0,3,8,10,6,25,12,0,0,3,4,68,0,0,0,6,4,19,23,4,3,0,0,3,66,0,0,3,3,4,7,27,22,0,0,0,3,68,0,0
101031015,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,19,22,14,20,9,11,0,0,15,15,135,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,4,12,0,0,4,0,0,0,0,6,0,0,0,5,14,0,0
