SA2_CODE_2021,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950over_REA,C16_950over_ST_HA,C16_950over_Co_ho_pr,C16_950over_Pe_no_sa_ho,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Co_ho_pr,C16_R_NS_Pe_no_sa_ho,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_Tot_Co_ho_pr,C16_Tot_Pe_no_sa_ho,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_Tot_Tot,C21_1_74_REA,C21_1_74_ST_HA,C21_1_74_Co_ho_pr,C21_1_74_Per_no_sa_ho,C21_1_74_Oth_land_typ,C21_1_74_LLT_NS,C21_1_74_Tot,C21_75_99_REA,C21_75_99_ST_HA,C21_75_99_Co_ho_pr,C21_75_99_Pe_no_sa_ho,C21_75_99_Oth_lan_typ,C21_75_99_Lan_type_ns,C21_75_99_Tot,C21_100_149_REA,C21_100_149_ST_HA,C21_100_149_Co_ho_pr,C21_100_149_Pe_no_sa_ho,C21_100_149_Ot_lan_ty,C21_100_149_Lan_typ_ns,C21_100_149_Tot,C21_150_199_REA,C21_150_199_ST_HA,C21_150_199_Co_ho_pr,C21_150_199_Pe_no_sa_ho,C21_150_199_Ot_lan_ty,C21_150_199_Lan_ty_ns,C21_150_199_Tot,C21_200_224_REA,C21_200_224_ST_HA,C21_200_224_Co_ho_pr,C21_200_224_Pe_no_sa_ho,C21_200_224_Ot_lan_ty,C21_200_224_Lan_ty_ns,C21_200_224_Tot,C21_225_274_REA,C21_225_274_ST_HA,C21_225_274_Co_ho_pr,C21_225_274_Pe_no_sa_ho,C21_225_274_Ot_la_typ,C21_225_274_Lan_ty_ns,C21_225_274_Tot,C21_275_349_REA,C21_275_349_ST_HA,C21_275_349_Co_ho_pr,C21_275_349_Pe_no_sa_ho,C21_275_349_Ot_lan_ty,C21_275_349_Lan_ty_ns,C21_275_349_Tot,C21_350_449_REA,C21_350_449_ST_HA,C21_350_449_Co_ho_pr,C21_350_449_Pe_no_sa_ho,C21_350_449_Ot_lan_ty,C21_350_449_Lan_ty_ns,C21_350_449_Tot,C21_450_549_REA,C21_450_549_ST_HA,C21_450_549_Co_ho_pr,C21_450_549_Pe_no_sa_ho,C21_450_549_Oth_lan_typ,C21_450_549_Lan_ty_ns,C21_450_549_Tot,C21_550_649_REA,C21_550_649_ST_HA,C21_550_649_Co_ho_pr,C21_550_649_Pe_no_sa_ho,C21_550_649_Ot_lan_ty,C21_550_649_Lan_ty_ns,C21_550_649_Tot,C21_650_749_REA,C21_650_749_ST_HA,C21_650_749_Co_ho_pr,C21_650_749_Pe_no_sa_ho,C21_650_749_Oth_lan_typ,C21_650_749_LLT_NS,C21_650_749_Tot,C21_750_849_REA,C21_750_849_ST_HA,C21_750_849_Co_ho_pr,C21_750_849_Pe_no_sa_ho,C21_750_849_Oth_lan_typ,C21_750_849_LLT_NS,C21_750_849_Tot,C21_850_950_REA,C21_850_949_ST_HA,C21_850_949_Co_ho_pr,C21_850_949_Pe_no_sa_ho,C21_850_949_Oth_lan_typ,C21_850_949_LLT_NS,C21_850_949_Tot,C21_950over_REA,C21_950over_ST_HA,C21_950over_Co_ho_pr,C21_950over_Pe_no_sa_ho,C21_950over_Oth_lan_typ,C21_950over_LLT_NS,C21_950over_Tot,C21_R_NS_REA,C21_R_NS_ST_HA,C21_R_NS_Co_ho_pr,C21_R_NS_Pe_no_sa_ho,C21_R_NS_Oth_lan_typ,C21_R_NS_Land_typ_ns,C21_Rent_not_statd_Tot,C21_Tot_REA,C21_Tot_ST_HA,C21_Tot_Co_ho_pr,C21_Tot_Pe_no_sa_ho,C21_Tot_Oth_lan_typ,C21_Tot_LLT_NS,C21_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,9,128,12,0,80,8,3,232,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,7,0,0,15,3,0,0,15,0,0,16,7,0,0,10,0,0,13,11,0,0,13,3,0,28,29,0,0,19,0,0,46,47,0,0,17,0,0,68,30,0,0,7,0,0,42,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,11,3,0,15,141,3,0,97,12,0,262
101021008,0,0,0,0,0,0,0,0,0,0,10,12,0,11,0,0,35,363,297,42,133,33,3,873,0,6,0,0,0,0,10,0,10,0,0,0,0,12,4,70,0,4,5,0,79,0,58,11,6,0,0,77,14,29,5,3,5,0,56,46,33,10,8,3,0,96,31,30,10,19,10,0,96,98,26,4,44,5,0,182,103,16,0,25,4,0,152,48,5,0,16,0,0,62,15,0,0,4,0,0,19,5,0,0,0,0,0,5,3,0,0,0,0,0,4,0,0,0,0,0,0,0,10,11,4,8,10,0,43,369,285,44,142,46,4,895
101021009,0,0,3,3,0,0,0,0,0,8,13,11,3,9,4,0,46,1456,151,37,377,47,7,2076,0,6,3,0,0,0,6,0,16,0,4,0,0,22,9,57,3,13,0,0,83,31,16,33,28,0,0,108,69,3,19,35,7,0,130,225,5,15,57,17,0,320,355,5,8,69,23,3,466,378,7,5,99,11,0,502,264,0,0,54,6,0,333,80,0,0,16,0,0,103,16,0,0,5,0,0,20,4,0,0,8,0,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0,5,16,6,4,15,3,4,51,1444,127,80,404,79,13,2140
101021010,0,0,0,0,0,0,0,0,0,0,9,6,0,4,4,0,29,664,60,7,135,49,3,923,0,4,0,0,0,0,7,0,0,3,0,0,0,9,3,13,5,5,3,0,25,17,6,15,14,0,0,52,50,0,0,16,0,0,77,130,10,0,24,28,0,197,160,3,4,23,15,0,207,145,3,0,39,7,0,197,110,0,0,26,0,0,141,19,0,0,6,0,0,36,9,0,0,0,0,0,10,6,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,7,0,8,5,4,28,659,59,32,175,75,11,1004
101021012,0,0,7,0,0,0,0,0,0,0,10,4,0,0,3,0,22,525,106,5,150,234,0,1017,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,21,0,4,4,0,32,0,17,5,3,4,0,25,13,5,0,6,3,0,27,15,12,3,5,21,0,58,35,9,3,23,62,0,122,90,14,0,36,86,0,224,124,8,0,43,8,0,186,99,0,0,25,0,0,130,80,0,0,9,6,0,101,25,0,0,6,5,0,38,11,0,0,0,0,0,11,7,0,0,0,0,0,7,16,7,0,9,11,0,43,515,97,10,164,205,6,998
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,16,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,0,32,3,3,0,4,47,0,60,12,3,0,5,61,0,81,16,0,0,11,0,0,30,35,0,0,4,4,0,47,77,0,0,11,0,0,92,45,0,0,4,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,198,9,0,47,143,0,398
101021611,0,0,3,0,0,0,0,0,0,7,5,0,0,7,4,0,20,265,0,3,207,41,4,528,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,0,0,9,3,0,11,0,0,0,5,0,0,12,0,0,0,14,0,0,16,10,0,0,18,5,0,26,18,0,0,35,3,0,56,54,0,0,38,7,0,96,76,0,0,36,5,0,125,43,0,0,22,4,0,68,47,0,0,9,0,0,55,16,0,0,4,0,0,25,8,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,0,17,8,0,27,278,0,0,219,34,3,539
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,12,27,9,10,101,27,0,172,0,0,0,3,4,0,13,0,0,0,8,4,0,10,0,0,0,10,0,0,24,5,7,5,24,4,0,43,4,0,0,9,0,0,17,20,0,0,13,3,0,42,7,0,0,9,0,0,19,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,7,8,0,15,47,9,5,102,25,0,189
101031014,0,0,0,0,0,0,5,0,0,9,5,0,0,12,3,0,25,489,76,22,175,29,5,800,0,0,0,3,3,0,5,0,3,4,4,0,0,10,11,9,10,8,3,0,36,48,13,11,12,0,6,98,33,4,0,17,4,0,56,75,9,11,32,6,0,133,136,10,9,44,8,0,201,107,0,0,24,9,0,140,33,0,0,17,4,0,50,14,0,0,0,4,0,14,9,0,0,0,5,0,8,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,37,0,6,10,33,0,93,498,50,48,176,73,6,858
101031015,0,0,0,0,0,0,10,0,0,8,0,0,0,8,8,0,17,40,0,0,78,20,0,134,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,4,0,0,5,0,0,0,3,0,0,7,8,0,0,8,3,0,23,14,0,0,9,0,0,24,12,0,0,11,0,0,17,5,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,0,0,3,0,10,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,6,4,0,0,13,18,0,43,54,0,0,63,39,0,148
