SA2_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
101021007,0,0,6,0,0,0,3,5,0,7,3,0,4,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,11,0,0,3,3,8,4,9,7,4,4,0,5,35,8,14,12,17,23,60,77,89,44,40,23,33,445
101021008,0,0,7,0,0,0,6,0,7,10,29,13,4,0,3,64,0,0,0,0,0,0,0,4,0,0,0,0,12,6,0,0,4,0,3,8,10,0,0,4,7,45,3,0,0,4,4,14,23,41,9,3,4,10,123,35,12,10,21,34,113,154,318,145,107,45,52,1043
101021009,0,0,6,0,0,5,4,3,10,20,19,0,6,0,0,67,0,0,0,0,0,9,8,9,6,4,0,5,33,8,5,0,0,5,7,13,6,0,10,4,0,52,7,5,0,4,6,24,42,37,8,16,0,7,161,23,15,20,27,44,128,199,278,134,97,31,46,1042
101021010,0,0,7,0,0,0,0,0,4,3,5,4,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,6,6,5,0,5,0,4,23,0,0,0,0,0,9,9,14,4,5,3,12,58,20,4,3,10,20,57,88,108,55,59,32,27,470
101021012,0,0,21,4,0,0,0,0,7,16,14,12,5,3,3,71,0,0,0,0,0,6,5,10,0,4,3,0,30,5,0,3,0,4,12,11,4,4,4,0,0,48,9,0,6,5,4,24,37,33,22,13,10,10,170,68,20,14,27,32,120,200,395,311,341,197,75,1815
101021610,0,0,8,0,0,0,0,0,4,8,12,4,9,0,0,48,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,6,3,4,3,4,0,0,18,3,0,0,5,4,8,7,15,16,14,7,5,81,11,0,9,9,13,35,91,295,391,292,102,37,1286
101021611,0,0,24,5,0,0,4,5,13,7,19,13,6,4,3,83,4,3,0,6,0,5,0,5,3,4,7,6,37,0,5,0,0,4,5,7,10,6,7,4,10,60,3,9,0,15,7,22,17,46,31,24,14,16,201,97,36,29,53,66,190,228,505,443,549,360,147,2706
101031013,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,0,0,0,0,21,10,3,4,19,32,56,27,16,3,11,8,9,191
101031014,0,0,3,3,3,0,0,6,10,5,0,0,0,0,0,28,3,0,0,3,3,4,4,4,0,5,0,0,22,3,0,4,0,3,14,5,0,0,0,0,0,31,7,4,4,11,11,28,22,6,0,5,0,6,92,21,19,13,41,52,174,126,93,22,16,11,32,632
101031015,0,0,6,0,0,0,0,0,3,4,0,3,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,3,0,3,5,0,0,0,0,0,12,0,0,0,8,0,8,10,3,3,0,0,0,38,26,10,4,18,25,52,70,82,41,27,24,17,379
101031016,0,0,4,0,0,0,0,3,3,6,0,0,0,7,0,22,0,0,0,0,4,4,3,0,0,0,0,0,21,0,0,4,0,0,5,0,0,0,0,0,0,24,6,0,4,6,10,19,13,3,4,0,4,3,69,29,5,8,28,48,119,126,133,74,68,48,34,721
101041017,0,0,11,0,0,0,3,3,10,10,6,3,0,0,0,37,4,0,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,7,3,8,8,0,0,0,0,39,6,0,3,6,8,16,28,18,3,4,0,3,99,30,24,19,25,37,108,144,135,49,45,16,30,658
101041018,0,5,19,3,0,0,0,3,5,12,11,3,0,0,0,34,4,0,0,0,7,3,4,0,0,4,0,0,14,3,3,0,0,5,8,3,0,0,0,0,0,32,7,5,3,5,12,19,25,15,3,5,0,5,101,40,16,19,25,30,97,131,156,76,40,23,34,684
101041019,0,0,8,0,0,0,4,3,18,13,4,0,0,0,3,48,0,0,0,0,0,0,3,0,0,0,0,0,6,4,0,4,0,3,16,7,5,0,0,0,3,41,4,3,3,11,13,35,24,5,4,0,0,9,109,35,23,20,36,52,168,178,155,62,45,24,44,835
