SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,9,0,0,0,0,9,14,0,6,0,0,25,12,0,19,0,3,34,15,5,3,0,0,21,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,55,5,46,0,5,112
101021008,0,0,0,0,4,0,0,0,0,4,9,0,4,0,4,21,4,0,3,0,3,14,14,0,9,0,0,24,12,3,22,3,3,44,34,3,39,3,8,90,30,6,41,6,7,90,13,3,19,0,0,45,3,0,9,0,0,15,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,10,0,9,0,4,19,143,25,157,12,31,360
101021009,0,0,0,0,4,0,0,0,0,6,14,0,0,0,0,13,9,0,8,0,0,19,37,0,26,5,0,72,89,5,82,0,4,183,127,9,96,4,12,249,93,10,57,8,5,177,26,3,27,0,3,67,4,4,8,0,0,16,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,11,408,33,322,19,37,820
101021010,0,0,0,0,0,0,3,0,0,4,4,0,0,0,0,7,9,0,0,0,0,13,28,4,24,0,0,54,45,0,40,0,0,86,33,0,39,0,0,72,31,3,23,0,5,65,8,0,15,0,0,25,4,0,0,0,0,9,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,11,171,8,149,6,9,348
101021012,0,0,0,0,4,0,0,0,0,0,3,0,6,0,0,7,0,0,3,0,0,5,11,4,12,0,0,29,23,4,36,3,5,69,36,7,88,11,5,140,34,5,41,6,8,99,25,5,34,3,4,76,16,9,44,0,4,73,3,0,17,0,0,35,3,0,4,0,0,9,6,0,0,0,0,3,11,0,6,0,0,17,170,38,302,30,26,567
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,25,20,0,26,3,0,48,15,4,40,0,3,60,10,0,4,0,0,17,10,3,10,0,0,32,19,9,41,0,4,78,15,3,22,4,3,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,100,17,163,18,11,314
101021611,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,9,11,0,0,0,4,11,12,0,6,0,0,26,21,0,12,3,3,41,32,9,40,4,4,81,18,8,15,8,3,51,3,0,26,4,3,42,13,0,7,0,0,24,0,0,8,0,0,8,0,0,0,0,0,0,5,0,5,0,0,5,128,22,121,16,26,314
101031013,0,0,0,0,5,0,0,0,0,3,11,0,7,3,0,18,6,0,0,0,0,8,7,0,4,0,0,18,5,0,0,0,0,7,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,3,17,3,4,63
101031014,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,12,0,0,3,0,0,12,23,0,12,0,0,30,40,0,24,0,6,75,26,8,43,0,3,77,9,3,15,0,0,27,4,0,3,0,0,7,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,24,124,11,121,6,10,281
101031015,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,8,10,0,6,0,0,15,3,0,4,0,0,10,3,4,3,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,5,28,7,29,0,0,60
101031016,0,0,0,3,0,0,0,0,0,3,4,0,0,0,0,7,5,0,0,0,0,6,21,0,9,0,0,30,19,0,14,0,0,33,52,0,23,0,0,80,32,8,16,0,3,56,12,3,8,0,0,33,6,0,6,0,0,15,9,0,0,0,0,10,0,0,3,0,0,5,11,0,5,0,0,15,13,0,0,0,0,16,183,15,90,9,7,313
101041017,0,0,0,0,5,0,0,0,0,4,14,0,5,0,0,14,3,0,3,0,0,3,15,0,7,0,4,26,31,0,15,0,9,54,62,12,59,3,9,146,20,13,42,6,5,88,4,0,3,9,3,15,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,12,172,24,144,13,27,378
101041018,0,0,0,0,3,0,0,0,0,3,12,0,3,0,0,11,4,0,0,0,0,3,23,0,6,0,0,24,42,0,17,0,4,62,82,11,68,3,10,172,33,10,38,6,3,85,6,0,7,0,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,15,216,24,134,11,23,399
101041019,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,5,16,0,0,0,0,16,12,0,5,0,0,20,29,6,30,0,5,65,60,10,70,3,10,149,15,4,15,5,0,36,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,157,15,127,8,18,324
101041020,0,0,0,0,0,0,0,0,0,4,7,0,6,0,0,9,8,0,4,0,0,15,14,0,10,0,0,33,14,0,16,0,3,36,15,5,12,0,3,40,0,4,3,0,0,11,0,0,3,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,6,0,0,15,75,9,69,7,15,176
101041021,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,23,21,7,20,0,0,43,12,3,17,0,0,34,5,0,9,0,0,20,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,13,51,0,7,135
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,10,5,0,0,0,0,8,17,0,4,0,0,24,15,0,14,0,4,34,22,0,18,4,5,45,10,3,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,74,6,47,7,7,140
101041024,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,6,11,0,0,0,3,12,0,0,0,0,0,10,5,0,3,0,0,9,16,0,4,0,0,22,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,44,9,18,0,5,75
101041025,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,4,0,0,0,13,15,0,10,0,3,24,34,0,21,0,3,61,77,6,53,10,7,143,42,16,42,6,8,107,13,6,10,0,0,32,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,8,199,32,145,18,15,411
101041026,0,0,0,0,4,0,0,0,0,9,10,0,3,0,0,17,8,0,3,0,0,8,8,0,8,0,4,13,26,0,16,0,11,54,44,7,40,0,6,97,13,3,8,0,0,27,8,0,5,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,11,130,8,87,6,18,254
101041027,0,0,0,0,10,0,5,0,0,9,8,0,0,0,0,10,14,0,5,0,0,17,23,0,18,0,5,42,42,3,20,3,4,72,39,6,48,6,7,109,12,0,15,0,0,36,6,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,10,156,13,126,9,13,311
101051539,0,0,0,3,5,0,5,0,0,16,29,0,3,0,4,39,12,5,7,0,0,24,50,0,20,0,8,84,138,7,97,5,14,266,206,28,228,20,26,513,46,6,66,6,17,141,3,0,5,0,0,13,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,14,0,0,31,516,50,455,34,73,1131
