SA2_CODE_2021,C11_CFNC_MR_0_299,C11_CFNC_MR_300_449,C11_CFNC_MR_450_599,C11_CFNC_MR_600_799,C11_CFNC_MR_800_999,C11_CFNC_MR_1000_1399,C11_CFNC_MR_1400_1799,C11_CFNC_MR_1800_2399,C11_CFNC_MR_2400_2999,C11_CFNC_MR_3000_3999,C11_CFNC_MR_4000over,C11_CFNC_MR_NS,C11_CFNC_Tot,C11_CF_Cu15DS_MR_0_299,C11_CF_Cu15DS_MR_300_449,C11_CF_Cu15DS_MR_450_599,C11_CF_Cu15DS_MR_600_799,C11_CF_Cu15DS_MR_800_999,C11_CF_Cu15DS_MR_1000_1399,C11_CF_Cu15DS_MR_1400_1799,C11_CF_Cu15DS_MR_1800_2399,C11_CF_Cu15DS_MR_2400_2999,C11_CF_Cu15DS_MR_3000_3999,C11_CF_Cu15DS_MR_4000over,C11_CF_Cu15DS_MR_NS,C11_CF_Cu15DS_Tot,C11_CF_Cu15NDS_MR_0_299,C11_CF_Cu15NDS_MR_300_449,C11_CF_Cu15NDS_MR_450_599,C11_CF_Cu15NDS_MR_600_799,C11_CF_Cu15NDS_MR_800_999,C11_CF_Cu15NDS_MR_1000_1399,C11_CF_Cu15NDS_MR_1400_1799,C11_CF_Cu15NDS_MR_1800_2399,C11_CF_Cu15NDS_MR_2400_2999,C11_CF_Cu15NDS_MR_3000_3999,C11_CF_Cu15NDS_MR_4000over,C11_CF_Cu15NDS_MR_NS,C11_CF_Cu15NDS_Tot,C11_CF_NCu15DS_MR_0_299,C11_CF_NCu15DS_MR_300_449,C11_CF_NCu15DS_MR_450_599,C11_CF_NCu15DS_MR_600_799,C11_CF_NCu15DS_MR_800_999,C11_CF_NCu15DS_MR_1000_1399,C11_CF_NCu15DS_MR_1400_1799,C11_CF_NCu15DS_MR_1800_2399,C11_CF_NCu15DS_MR_2400_2999,C11_CF_NCu15DS_MR_3000_3999,C11_CF_NCu15DS_MR_4000over,C11_CF_NCu15DS_MR_NS,C11_CF_NCu15DS_Tot,C11_CF_NDCO_MR_0_299,C11_CF_NDCO_MR_300_449,C11_CF_NDCO_MR_450_599,C11_CF_NDCO_MR_600_799,C11_CF_NDCO_MR_800_999,C11_CF_NDCO_MR_1000_1399,C11_CF_NDCO_MR_1400_1799,C11_CF_NDCO_MR_1800_2399,C11_CF_NDCO_MR_2400_2999,C11_CF_NDCO_MR_3000_3999,C11_CF_NDCO_MR_4000over,C11_CF_NDCO_MR_NS,C11_CF_NDCO_Tot,C11_CF_Tot_MR_0_299,C11_CF_Tot_MR_300_449,C11_CF_Tot_MR_450_599,C11_CF_Tot_MR_600_799,C11_CF_Tot_MR_800_999,C11_CF_Tot_MR_1000_1399,C11_CF_Tot_MR_1400_1799,C11_CF_Tot_MR_1800_2399,C11_CF_Tot_MR_2400_2999,C11_CF_Tot_MR_3000_3999,C11_CF_Tot_MR_4000over,C11_CF_Tot_MR_NS,C11_CF_Tot_Tot,C11_1PF_Cu15DS_MR_0_299,C11_1PF_Cu15DS_MR_300_449,C11_1PF_Cu15DS_MR_450_599,C11_1PF_Cu15DS_MR_600_799,C11_1PF_Cu15DS_MR_800_999,C11_1PF_Cu15DS_MR_1000_1399,C11_1PF_Cu15DS_MR_1400_1799,C11_1PF_Cu15DS_MR_1800_2399,C11_1PF_Cu15DS_MR_2400_2999,C11_1PF_Cu15DS_MR_3000_3999,C11_1PF_Cu15DS_MR_4000over,C11_1PF_Cu15DS_MR_NS,C11_1PF_Cu15DS_Tot,C11_1PF_CU15_NDS_MR_0_299,C11_1PF_CU15_NDS_MR_300_449,C11_1PF_CU15_NDS_MR_450_599,C11_1PF_CU15_NDS_MR_600_799,C11_1PF_CU15_NDS_MR_800_999,C11_1PF_CU15_NDS_MR_1000_1399,C11_1PF_CU15_NDS_MR_1400_1799,C11_1PF_CU15_NDS_MR_1800_2399,C11_1PF_CU15_NDS_MR_2400_2999,C11_1PF_CU15_NDS_MR_3000_3999,C11_1PF_CU15_NDS_MR_4000over,C11_1PF_CU15_NDS_MR_NS,C11_1PF_CU15_NDS_Tot,C11_1PF_NCu15DS_MR_0_299,C11_1PF_NCu15DS_MR_300_449,C11_1PF_NCu15DS_MR_450_599,C11_1PF_NCu15DS_MR_600_799,C11_1PF_NCu15DS_MR_800_999,C11_1PF_NCu15DS_MR_1000_1399,C11_1PF_NCu15DS_MR_1400_1799,C11_1PF_NCu15DS_MR_1800_2399,C11_1PF_NCu15DS_MR_2400_2999,C11_1PF_NCu15DS_MR_3000_3999,C11_1PF_NCu15DS_MR_4000over,C11_1PF_NCu15DS_MR_NS,C11_1PF_NCu15DS_Tot,C11_1PF_NDCO_MR_0_299,C11_1PF_NDCO_MR_300_449,C11_1PF_NDCO_MR_450_599,C11_1PF_NDCO_MR_600_799,C11_1PF_NDCO_MR_800_999,C11_1PF_NDCO_MR_1000_1399,C11_1PF_NDCO_MR_1400_1799,C11_1PF_NDCO_MR_1800_2399,C11_1PF_NDCO_MR_2400_2999,C11_1PF_NDCO_MR_3000_3999,C11_1PF_NDCO_MR_4000over,C11_1PF_NDCO_MR_NS,C11_1PF_NDCO_Tot,C11_1PF_Tot_MR_0_299,C11_1PF_Tot_MR_300_449,C11_1PF_Tot_MR_450_599,C11_1PF_Tot_MR_600_799,C11_1PF_Tot_MR_800_999,C11_1PF_Tot_MR_1000_1399,C11_1PF_Tot_MR_1400_1799,C11_1PF_Tot_MR_1800_2399,C11_1PF_Tot_MR_2400_2999,C11_1PF_Tot_MR_3000_3999,C11_1PF_Tot_MR_4000over,C11_1PF_Tot_MR_NS,C11_1PF_Tot_Tot,C11_Tot_MR_0_299,C11_Tot_MR_300_449,C11_Tot_MR_450_599,C11_Tot_MR_600_799,C11_Tot_MR_800_999,C11_Tot_MR_1000_1399,C11_Tot_MR_1400_1799,C11_Tot_MR_1800_2399,C11_Tot_MR_2400_2999,C11_Tot_MR_3000_3999,C11_Tot_MR_4000over,C11_Tot_MR_NS,C11_Tot_Tot,C16_CFNC_MR_0_299,C16_CFNC_MR_300_449,C16_CFNC_MR_450_599,C16_CFNC_MR_600_799,C16_CFNC_MR_800_999,C16_CFNC_MR_1000_1399,C16_CFNC_MR_1400_1799,C16_CFNC_MR_1800_2399,C16_CFNC_MR_2400_2999,C16_CFNC_MR_3000_3999,C16_CFNC_MR_4000over,C16_CFNC_MR_NS,C16_CFNC_Tot,C16_CF_Cu15DS_MR_0_299,C16_CF_Cu15DS_MR_300_449,C16_CF_Cu15DS_MR_450_599,C16_CF_Cu15DS_MR_600_799,C16_CF_Cu15DS_MR_800_999,C16_CF_Cu15DS_MR_1000_1399,C16_CF_Cu15DS_MR_1400_1799,C16_CF_Cu15DS_MR_1800_2399,C16_CF_Cu15DS_MR_2400_2999,C16_CF_Cu15DS_MR_3000_3999,C16_CF_Cu15DS_MR_4000over,C16_CF_Cu15DS_MR_NS,C16_CF_Cu15DS_Tot,C16_CF_Cu15NDS_MR_0_299,C16_CF_Cu15NDS_MR_300_449,C16_CF_Cu15NDS_MR_450_599,C16_CF_Cu15NDS_MR_600_799,C16_CF_Cu15NDS_MR_800_999,C16_CF_Cu15NDS_MR_1000_1399,C16_CF_Cu15NDS_MR_1400_1799,C16_CF_Cu15NDS_MR_1800_2399,C16_CF_Cu15NDS_MR_2400_2999,C16_CF_Cu15NDS_MR_3000_3999,C16_CF_Cu15NDS_MR_4000over,C16_CF_Cu15NDS_MR_NS,C16_CF_Cu15NDS_Tot,C16_CF_NCu15DS_MR_0_299,C16_CF_NCu15DS_MR_300_449,C16_CF_NCu15DS_MR_450_599,C16_CF_NCu15DS_MR_600_799,C16_CF_NCu15DS_MR_800_999
101021007,9,3,6,7,10,18,13,22,9,10,8,3,122,0,0,0,0,0,0,7,8,4,0,0,0,18,0,0,0,6,9,8,34,19,16,6,5,8,110,0,0,0,0,0,3,4,0,3,0,0,0,20,0,0,0,0,0,4,0,0,5,4,0,0,23,0,0,0,9,9,17,39,32,17,8,9,14,171,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,7,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,4,3,3,0,6,11,8,5,0,0,0,0,0,31,18,5,5,18,28,43,64,51,31,16,17,20,325,13,3,6,6,7,24,23,24,8,5,13,3,148,0,0,0,0,0,3,5,3,3,0,0,0,16,0,4,4,4,6,15,26,32,13,6,8,10,125,6,0,0,0,0
101021008,6,8,5,9,15,33,34,74,42,26,3,15,271,0,0,0,0,3,7,14,23,7,9,0,0,69,9,6,0,3,6,35,39,107,73,47,17,20,362,4,0,5,0,3,16,18,16,9,9,4,6,75,8,4,3,0,6,7,16,27,7,4,8,4,98,14,7,11,14,19,67,85,176,92,65,29,29,614,0,0,0,0,0,3,5,0,0,0,0,0,9,0,0,0,0,6,7,15,25,11,0,0,5,62,0,0,0,3,0,0,6,0,0,0,0,0,15,3,5,0,4,0,15,3,7,4,0,0,0,43,9,8,3,8,6,25,27,31,17,0,0,5,134,32,21,20,28,45,126,150,277,154,90,38,47,1018,12,11,3,0,9,24,34,72,35,15,7,5,233,5,0,0,0,0,13,16,19,11,4,5,8,72,3,0,0,7,5,22,45,101,69,43,15,8,324,0,0,0,0,8
101021009,10,4,7,11,14,45,48,81,55,34,14,12,337,0,0,0,0,0,7,5,9,10,7,0,0,51,6,0,4,0,3,33,44,84,61,38,5,14,306,0,0,0,0,3,0,9,8,3,3,0,0,34,7,0,0,4,9,17,11,11,10,3,0,6,68,12,0,4,10,18,57,72,106,84,52,12,23,467,0,0,0,0,0,0,4,0,3,0,0,0,14,0,0,4,5,9,10,13,24,9,0,0,3,68,0,0,0,0,4,3,6,3,0,0,0,0,18,0,0,0,5,0,7,0,8,0,0,5,4,37,3,3,6,10,11,20,19,41,12,0,5,7,140,26,9,20,31,47,121,141,228,160,92,28,43,935,11,7,9,8,13,42,61,72,37,36,16,10,303,0,0,0,0,0,5,3,19,5,11,0,7,52,0,6,0,3,12,32,60,108,51,27,13,7,319,0,0,0,0,8
101021010,5,0,0,3,7,16,21,43,37,19,25,4,179,0,0,0,0,0,3,4,0,5,7,5,4,28,0,0,0,0,9,13,23,33,29,13,16,7,138,0,0,0,0,0,3,5,4,3,5,3,0,32,0,0,0,3,0,3,6,3,8,0,0,0,23,4,4,5,4,10,14,34,48,38,23,21,13,223,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,3,0,3,4,0,0,0,14,0,0,0,0,0,3,3,0,0,0,0,0,11,0,0,0,0,4,0,3,5,0,3,0,0,20,0,0,0,0,0,8,11,9,0,8,0,0,45,10,6,5,13,14,46,67,94,84,51,42,15,442,7,5,3,5,4,21,22,26,20,12,7,3,138,0,0,0,0,3,5,4,3,10,0,0,0,30,0,0,3,3,3,9,19,52,24,20,11,8,150,0,0,0,0,0
101021012,18,6,3,9,9,30,41,83,88,99,64,11,466,7,5,3,4,9,16,24,33,23,37,13,5,172,12,3,3,15,11,43,75,138,127,178,100,40,752,3,0,0,4,3,12,24,29,19,28,21,8,154,6,3,4,4,9,19,13,18,10,14,11,11,130,26,18,13,25,32,89,137,214,180,259,149,62,1213,0,0,3,0,0,6,0,6,0,5,3,0,33,0,0,0,0,0,13,12,15,17,6,3,3,67,0,0,0,0,0,3,4,7,3,6,6,3,43,0,0,0,0,0,7,9,7,3,6,4,0,44,0,0,4,7,6,30,29,39,23,21,15,6,186,47,19,20,45,50,149,202,331,296,386,226,85,1862,20,8,9,9,11,37,49,95,60,64,39,12,415,4,0,0,0,9,17,16,37,30,35,19,12,182,15,8,5,3,8,41,59,135,110,145,87,16,642,9,7,9,3,7
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,26,27,7,0,97,0,0,0,0,0,7,0,3,4,6,0,0,24,4,0,0,0,0,0,14,54,61,42,13,9,193,0,0,0,0,0
101021611,27,13,6,21,14,63,79,111,86,110,87,15,636,3,6,4,8,5,13,23,49,34,34,22,3,198,6,10,9,15,16,60,91,164,142,173,97,24,807,5,4,0,6,8,26,16,37,31,40,22,9,200,14,0,4,6,10,25,22,24,14,38,20,6,180,28,17,19,29,43,118,153,268,223,284,165,44,1386,0,0,4,0,0,0,5,0,0,0,0,0,12,0,0,4,0,0,9,9,15,15,6,11,4,80,0,0,0,3,5,7,4,4,0,0,0,0,23,0,0,0,0,3,0,11,5,7,0,4,4,35,4,4,3,3,9,18,28,28,23,6,18,4,149,55,33,25,60,70,203,256,404,330,404,275,63,2176,21,12,16,16,22,68,72,118,88,142,89,31,706,4,3,0,0,8,19,14,50,43,40,25,7,213,6,5,3,8,10,54,73,157,156,211,108,28,819,3,0,0,7,3
101031013,4,0,6,7,11,10,9,7,0,0,0,6,65,0,0,0,0,0,5,0,3,0,0,0,6,18,9,5,3,16,12,23,7,12,0,0,0,5,80,0,0,0,0,0,8,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,11,9,3,4,15,14,33,14,12,4,0,0,6,121,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,3,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,0,3,0,4,5,0,0,0,0,0,22,18,11,14,23,27,41,29,20,7,4,0,17,213,7,3,0,0,11,16,5,12,4,0,0,3,60,3,0,0,5,6,0,0,0,0,0,0,0,18,4,0,5,14,18,14,11,7,0,4,0,0,71,0,0,0,0,0
101031014,15,5,6,21,22,55,31,25,12,8,0,13,212,0,0,5,6,4,9,9,13,0,0,0,0,51,3,0,3,13,26,52,55,56,9,9,3,10,240,0,0,0,0,3,8,11,7,0,0,0,0,45,4,0,0,3,5,12,3,0,0,0,0,0,40,12,12,7,21,44,83,89,76,19,8,7,22,379,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,9,4,9,11,4,0,0,0,0,50,0,0,0,0,0,3,0,6,0,0,0,0,3,0,0,0,0,5,6,3,0,0,0,0,0,26,0,4,3,8,5,26,11,15,0,0,0,7,84,26,17,22,49,67,167,131,114,31,14,11,38,674,10,14,15,19,22,53,28,29,0,9,0,10,202,0,0,0,3,6,4,7,5,0,0,0,0,35,0,5,0,9,20,60,33,35,10,5,5,4,181,0,0,3,0,4
101031015,12,0,5,16,6,11,15,23,5,12,7,10,133,0,0,4,0,0,4,6,7,0,0,0,0,28,6,4,4,9,6,14,19,28,8,4,5,7,119,0,0,0,0,0,4,5,5,0,4,0,0,15,0,0,0,0,0,0,5,5,4,0,0,0,19,8,6,7,11,17,22,31,40,14,11,6,12,185,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,0,3,0,3,0,3,0,0,0,4,12,3,5,0,4,4,9,4,4,0,0,0,4,35,23,14,15,27,26,45,53,63,20,25,13,26,350,6,0,6,11,12,26,21,27,11,11,11,6,135,0,0,0,3,0,8,8,4,6,3,0,0,31,3,0,0,5,0,18,22,24,14,7,13,4,108,0,0,0,4,4
