SA2_CODE_2021,C11_CFNC_BF_Neg_ni_inc,C11_CFNC_BF_1_149,C11_CFNC_BF_150_399,C11_CFNC_BF_400_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_1249,C11_CFNC_BF_1250_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000more,C11_CFNC_BF_Ns,C11_CFNC_BF_Tot,C11_CFNC_BPT_Neg_ni_inc,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_399,C11_CFNC_BPT_400_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_1249,C11_CFNC_BPT_1250_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000more,C11_CFNC_BPT_Ns,C11_CFNC_BPT_Tot,C11_CFNC_1F1P_Neg_ni_inc,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_399,C11_CFNC_1F1P_400_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_1249,C11_CFNC_1F1P_1250_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000more,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_Tot,C11_CFNC_1E1A_Neg_ni_inc,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_399,C11_CFNC_1E1A_400_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_1249,C11_CFNC_1E1A_1250_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000more,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_Tot,C11_CFNC_1F1NW_Neg_ni_inc,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_399,C11_CFNC_1F1NW_400_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_1249,C11_CFNC_1F1NW_1250_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000more,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_Tot,C11_CFNC_1P1NW_Neg_ni_inc,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_399,C11_CFNC_1P1NW_400_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_1249,C11_CFNC_1P1NW_1250_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000more,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_Tot,C11_CFNC_1A1NW_Neg_ni_inc,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_399,C11_CFNC_1A1NW_400_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_1249,C11_CFNC_1A1NW_1250_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000more,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_Tot,C11_CFNC_BA_Neg_ni_inc,C11_CFNC_BA_1_149,C11_CFNC_BA_150_399,C11_CFNC_BA_400_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_1249,C11_CFNC_BA_1250_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000more,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Neg_ni_inc,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_399,C11_CFNC_BNW_400_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_1249,C11_CFNC_BNW_1250_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000more,C11_CFNC_BNW_Ns,C11_CFNC_BNW_Tot,C11_CFNC_LFns_Neg_ni_inc,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_399,C11_CFNC_LFns_400_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_1249,C11_CFNC_LFns_1250_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000more,C11_CFNC_LFns_Ns,C11_CFNC_LFns_Tot,C11_CFNC_Tot_Neg_ni_inc,C11_CFNC_Tot_1_149,C11_CFNC_Tot_150_399,C11_CFNC_Tot_400_649,C11_CFNC_Tot_650_799,C11_CFNC_Tot_800_1249,C11_CFNC_Tot_1250_1999,C11_CFNC_Tot_2000_2499,C11_CFNC_Tot_2500_2999,C11_CFNC_Tot_3000_3999,C11_CFNC_Tot_4000more,C11_CFNC_Tot_Ns,C11_CFNC_Tot_Tot,C11_CF_BFT_Neg_ni_inc,C11_CF_BFT_1_149,C11_CF_BFT_150_399,C11_CF_BFT_400_649,C11_CF_BFT_650_799,C11_CF_BFT_800_1249,C11_CF_BFT_1250_1999,C11_CF_BFT_2000_2499,C11_CF_BFT_2500_2999,C11_CF_BFT_3000_3999,C11_CF_BFT_4000more,C11_CF_BFT_Ns,C11_CF_BFT_Tot,C11_CF_BPT_Neg_ni_inc,C11_CF_BPT_1_149,C11_CF_BPT_150_399,C11_CF_BPT_400_649,C11_CF_BPT_650_799,C11_CF_BPT_800_1249,C11_CF_BPT_1250_1999,C11_CF_BPT_2000_2499,C11_CF_BPT_2500_2999,C11_CF_BPT_3000_3999,C11_CF_BPT_4000more,C11_CF_BPT_Ns,C11_CF_BPT_Tot,C11_CF_1F1P_Neg_ni_inc,C11_CF_1F1P_1_149,C11_CF_1F1P_150_399,C11_CF_1F1P_400_649,C11_CF_1F1P_650_799,C11_CF_1F1P_800_1249,C11_CF_1F1P_1250_1999,C11_CF_1F1P_2000_2499,C11_CF_1F1P_2500_2999,C11_CF_1F1P_3000_3999,C11_CF_1F1P_4000more,C11_CF_1F1P_Ns,C11_CF_1F1P_Tot,C11_CF_1E1A_Neg_ni_inc,C11_CF_1E1A_1_149,C11_CF_1E1A_150_399,C11_CF_1E1A_400_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_1249,C11_CF_1E1A_1250_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000more,C11_CF_1E1A_Ns,C11_CF_1E1A_Tot,C11_CF_1F1NW_Neg_ni_inc,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_399,C11_CF_1F1NW_400_649,C11_CF_1F1NW_650_799
101021007,0,0,3,10,8,13,25,17,5,16,7,6,103,0,0,3,3,0,9,7,0,0,0,0,0,26,0,0,0,0,5,17,24,9,5,3,0,0,60,0,0,5,0,0,0,4,0,0,0,0,0,13,0,0,3,0,4,8,9,0,7,0,0,0,37,0,0,3,4,8,13,5,0,0,0,0,0,30,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,53,18,35,12,3,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,24,24,10,0,25,71,39,89,89,30,26,26,9,38,442,0,0,0,0,0,3,14,11,10,12,8,11,70,0,0,4,0,0,5,8,0,0,3,0,3,19,0,0,4,0,0,21,34,23,3,11,0,12,106,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,5,8
101021008,0,0,0,0,0,11,66,87,35,49,21,3,268,0,0,0,0,3,3,5,0,0,3,0,0,16,0,0,0,0,0,17,24,13,4,9,0,0,74,0,0,0,0,0,4,10,5,0,0,0,0,24,0,0,0,4,11,25,24,0,9,5,0,5,80,0,0,4,7,10,14,12,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,4,0,0,0,0,4,7,0,7,71,34,36,13,0,0,0,0,4,176,0,0,0,3,0,0,0,0,0,0,0,37,36,9,0,11,80,62,103,151,114,49,66,26,53,736,0,0,0,0,0,8,47,84,52,92,48,33,358,0,0,0,0,0,5,8,5,0,3,0,0,25,0,0,0,0,0,23,68,74,40,55,14,13,292,0,0,0,0,0,0,16,16,6,26,4,4,71,0,0,0,0,3
101021009,0,0,0,0,0,15,96,89,52,66,27,0,349,0,0,0,0,0,9,6,6,3,0,0,0,26,0,0,0,4,0,31,51,15,16,13,0,0,136,0,0,0,0,0,0,6,7,3,3,4,0,29,0,0,0,0,10,36,33,10,6,0,0,7,99,0,0,4,11,7,13,10,0,0,0,0,0,41,0,0,0,0,0,6,4,0,0,0,0,4,17,0,0,0,0,0,0,0,4,0,3,0,0,8,3,3,15,96,41,47,23,3,5,7,3,6,250,0,0,0,4,0,0,0,0,0,0,0,50,58,6,3,17,120,58,165,228,134,76,96,31,69,1008,0,0,0,0,0,5,48,57,39,63,29,24,261,0,0,0,0,0,9,3,7,0,0,3,0,38,0,0,0,3,5,21,55,67,30,37,8,7,233,0,0,0,0,0,0,8,10,13,17,8,3,69,0,0,0,3,6
101021010,0,0,0,0,0,7,47,49,28,50,20,0,196,0,0,0,0,0,4,3,0,0,0,0,0,17,0,0,0,0,4,8,27,12,4,10,9,0,63,0,0,0,0,0,5,6,3,4,0,0,0,21,0,0,0,3,3,14,9,4,14,4,0,0,46,0,0,0,10,0,3,4,0,3,0,0,0,28,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,31,7,14,13,0,3,0,0,5,84,0,0,0,0,0,0,0,0,0,0,0,35,42,6,0,3,48,16,61,118,76,46,67,25,40,513,0,0,0,0,0,0,22,24,17,26,21,7,116,0,0,0,0,0,6,4,0,0,0,4,0,20,0,0,0,0,0,13,38,16,12,27,13,3,126,0,0,0,0,0,0,4,7,8,7,5,0,32,0,0,0,3,3
101021012,0,0,0,0,0,7,44,87,77,135,92,4,453,0,0,0,0,3,4,10,7,0,3,6,0,25,0,0,0,0,0,14,27,29,18,22,9,0,123,0,0,0,0,0,0,7,11,8,5,7,0,41,0,0,0,5,3,15,28,13,25,6,0,5,95,0,0,0,6,3,8,12,3,0,3,0,0,32,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,6,3,4,0,0,13,4,0,4,52,24,40,27,0,3,0,0,10,168,0,0,0,0,0,0,3,0,0,0,0,61,60,0,0,4,64,39,87,166,145,134,187,122,80,1025,0,0,0,0,6,3,40,74,87,190,229,41,672,0,0,0,0,0,0,15,8,5,6,0,0,49,0,0,4,0,3,16,109,109,83,187,79,26,621,0,0,0,0,0,5,23,24,12,40,29,12,144,0,0,0,4,4
101021610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021611,3,0,0,6,8,13,57,84,51,137,104,12,471,0,0,6,10,4,22,19,6,5,0,4,0,67,0,0,0,0,0,22,65,48,25,39,27,6,238,0,0,0,0,0,4,11,16,7,16,12,0,59,0,0,0,6,13,17,43,13,46,17,8,0,158,0,0,8,11,4,17,24,0,9,10,4,3,83,0,0,0,0,0,5,4,0,0,0,0,0,16,0,0,0,0,0,0,0,3,4,3,0,0,10,7,0,12,51,38,93,53,18,10,3,3,12,295,0,0,0,7,0,0,0,0,0,0,0,95,98,8,0,20,81,67,192,281,190,145,231,164,120,1502,0,0,0,0,3,11,43,85,67,172,178,73,638,0,0,0,0,0,4,12,11,10,17,4,11,68,0,0,0,5,6,22,124,111,79,156,69,52,635,0,0,0,0,0,0,16,23,11,41,26,11,126,0,0,0,4,4
101031013,0,0,0,5,4,9,18,15,4,9,0,4,62,0,0,0,0,4,0,0,0,3,0,0,0,12,0,0,0,0,4,14,14,5,0,0,0,3,50,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,3,8,6,4,0,0,0,0,0,25,0,0,0,4,3,7,3,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,47,12,17,9,0,0,0,0,7,105,0,0,0,6,0,0,0,0,0,0,0,17,24,3,4,19,62,36,60,57,23,10,6,0,42,318,0,0,0,0,0,6,17,9,6,0,4,8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,14,31,16,0,0,0,4,78,0,0,0,0,0,9,0,0,0,0,0,0,11,0,0,0,0,8
101031014,0,0,0,9,0,26,58,37,11,21,8,6,170,0,0,0,0,3,18,9,0,0,0,3,0,33,0,0,0,3,3,24,43,12,7,5,0,5,99,0,0,0,0,0,3,4,4,0,0,0,0,17,0,0,0,5,14,26,20,4,11,0,0,3,80,0,0,3,23,6,15,11,0,0,0,0,0,54,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,12,102,42,59,12,7,0,0,7,6,252,0,0,0,8,0,0,0,0,0,0,0,38,43,0,3,19,141,70,173,159,63,34,32,15,53,766,0,0,0,0,0,9,39,42,14,17,3,22,154,0,0,0,0,0,3,3,0,0,0,0,6,20,0,0,0,0,0,33,61,38,21,21,0,27,200,0,0,0,0,0,3,10,5,5,8,0,3,36,0,0,0,7,4
101031015,0,0,3,3,9,15,36,21,7,16,5,0,112,0,0,0,6,0,10,5,4,0,0,0,0,25,0,0,0,0,0,25,17,13,0,0,0,0,64,0,0,0,0,0,3,4,5,0,0,0,0,12,0,0,0,4,0,10,7,3,4,0,0,5,43,0,0,0,8,0,4,5,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,53,28,27,9,0,0,0,0,8,141,0,0,0,0,0,0,0,0,0,0,0,24,31,3,0,15,76,45,96,88,43,21,23,6,41,457,0,0,0,0,4,7,15,10,11,8,4,11,76,0,0,0,0,0,3,3,0,3,0,0,0,17,0,0,0,0,8,11,40,14,11,13,0,7,97,0,0,0,0,0,0,5,6,0,3,0,0,16,0,0,0,0,3
