SA2_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
101021007,19,5,0,18,131,4,0,14,13,11,3,3,9,59,6,3,3,8,15,9,3,3,49,438,187,502,298,160,43,13,172,1807
101021008,19,10,6,9,133,4,7,25,19,13,7,4,11,92,3,9,17,13,11,4,4,4,60,992,412,962,538,216,73,48,265,3509
101021009,19,3,3,13,155,23,10,42,37,27,11,6,17,170,10,22,45,60,35,15,17,29,227,1855,652,978,585,251,75,58,318,4771
101021010,5,4,0,5,63,0,8,12,3,7,0,3,0,38,3,0,17,6,5,6,0,5,36,789,330,454,241,85,19,20,130,2064
101021012,11,5,5,8,108,5,8,22,12,10,6,0,0,63,0,4,15,8,10,3,4,3,39,1551,643,1557,831,234,69,27,182,5097
101021610,0,0,0,0,18,0,0,4,0,5,0,0,0,8,0,0,0,0,0,0,0,0,3,646,411,737,251,60,17,13,89,2222
101021611,25,9,4,16,201,11,5,32,28,14,8,3,10,103,0,7,6,15,4,3,7,4,49,1880,714,1903,1106,423,102,48,400,6579
101031013,11,0,4,7,58,0,0,7,10,6,4,5,5,37,5,4,9,12,8,4,4,6,50,227,84,257,203,92,31,20,112,1029
101031014,20,7,3,7,162,12,4,33,36,21,10,9,13,141,12,6,30,29,21,11,14,16,140,690,294,766,504,213,77,60,197,2803
101031015,4,4,0,15,80,4,0,16,9,5,0,7,7,46,0,0,5,10,3,4,4,9,30,324,128,388,255,90,32,21,167,1403
101031016,6,3,0,3,77,4,3,27,6,4,0,0,3,48,0,6,8,16,13,3,0,0,52,1229,322,833,367,139,30,16,290,3232
101041017,23,7,6,17,257,6,10,48,41,29,10,7,21,174,13,13,55,52,26,15,12,15,199,780,358,1112,688,307,89,71,301,3712
101041018,40,8,6,33,319,12,11,41,54,26,5,8,29,191,14,17,39,45,34,12,11,40,203,862,416,1196,727,341,92,66,351,4051
101041019,32,4,4,18,208,11,5,29,40,21,8,8,22,148,13,9,13,23,38,19,11,53,169,895,431,1014,685,319,112,64,314,3834
101041020,20,9,7,14,157,13,0,16,16,14,8,6,11,85,3,3,15,13,11,5,4,3,61,966,423,1097,675,283,109,76,343,3965
101041021,12,3,0,8,108,3,5,24,26,12,5,0,9,92,7,3,18,25,21,7,4,9,97,359,161,498,360,141,34,14,102,1677
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,16
101041023,14,8,4,11,100,3,0,28,18,8,6,3,11,78,3,9,17,18,14,0,3,13,76,288,157,426,271,127,46,28,156,1494
101041024,16,4,0,11,77,0,4,10,12,4,0,0,9,40,0,0,5,3,0,0,4,0,14,315,164,406,256,127,37,14,178,1497
101041025,27,8,10,16,376,22,16,75,86,32,9,9,23,271,14,18,62,61,33,19,20,34,264,1229,580,1655,937,342,80,65,338,5219
101041026,36,11,9,22,256,10,10,50,42,28,9,6,21,167,14,10,35,31,27,18,14,25,164,810,386,1146,664,291,91,62,363,3811
101041027,30,6,4,29,317,18,8,52,39,29,13,0,19,188,19,20,77,63,38,15,14,34,284,955,475,1351,797,315,99,58,407,4459
101051539,84,30,14,42,551,35,22,109,93,47,28,14,36,376,42,35,117,108,58,28,33,41,470,2655,1163,2704,1750,777,263,161,699,10178
101051540,38,16,10,21,271,16,9,31,41,30,10,6,20,165,10,9,26,30,27,13,13,21,158,1303,532,1470,1073,497,142,92,523,5643
101061541,19,0,0,13,140,3,6,29,30,15,0,8,17,115,7,4,46,36,24,9,13,24,166,697,307,773,548,232,77,50,168,2860
101061542,21,10,5,21,196,9,4,26,24,11,8,3,8,93,5,5,14,19,16,3,10,4,72,1411,540,1436,941,334,94,54,317,5127
101061543,38,23,15,19,236,12,11,46,40,31,25,24,24,209,26,14,32,35,36,24,26,22,224,1034,462,1063,880,461,200,148,361,4611
101061544,33,10,13,31,189,9,0,27,18,19,9,15,11,110,6,0,11,19,16,3,15,19,89,683,272,708,659,328,106,98,323,3174
102011028,14,6,0,11,116,4,6,18,24,9,4,0,0,70,5,8,5,12,8,0,0,0,46,766,319,1015,584,181,43,17,123,3048
102011029,24,7,3,29,301,11,12,39,45,24,8,0,13,160,9,11,52,40,15,10,10,20,158,1058,547,1589,891,299,64,24,232,4700
102011030,15,0,0,8,97,3,9,9,14,3,0,0,11,48,4,0,3,8,4,4,3,3,27,588,196,487,295,130,38,27,187,1946
102011031,52,16,5,66,556,37,38,111,102,52,14,12,77,436,36,45,114,127,72,20,22,216,652,1472,748,2076,1239,432,112,63,603,6742
102011032,43,12,4,32,356,17,17,93,71,46,12,3,23,294,40,21,87,85,40,26,17,46,369,3212,1317,2294,1179,480,159,70,625,9339
102011033,5,0,0,7,51,0,7,17,6,4,0,0,5,55,3,6,9,7,5,0,4,5,38,754,291,761,396,163,52,28,101,2539
102011034,11,4,0,25,268,26,12,75,46,36,8,4,39,249,24,21,74,61,41,12,9,101,345,777,329,1138,645,232,62,38,287,3494
102011035,14,3,0,3,93,3,8,17,11,5,0,0,3,56,0,4,15,12,9,3,4,5,49,813,362,910,485,172,50,38,101,2923
102011036,8,3,4,3,104,12,8,27,25,14,3,0,0,90,10,6,36,26,25,7,6,17,132,952,380,983,627,220,55,29,129,3376
102011037,14,3,3,14,162,10,9,44,29,13,10,0,10,126,19,18,44,39,14,0,6,19,163,785,370,853,452,140,35,21,132,2783
102011038,11,7,0,9,174,10,9,41,30,17,0,3,11,116,8,5,26,35,18,0,4,16,123,731,320,1011,589,185,38,25,152,3051
102011039,34,10,7,32,321,8,15,50,43,19,12,6,15,164,8,0,47,34,10,18,6,25,151,1613,634,1981,1189,345,84,43,352,6246
102011040,65,19,3,73,733,40,35,147,121,63,20,14,65,504,44,42,140,109,74,27,24,104,558,2854,1372,3153,1814,684,208,106,826,11013
