region_id,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005
10101,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,8,6,9,0,0,0,0,0,0,0,23,0,0,0,9,18,11,8,5,5,0,0,4,5,0,5,70,0,5,4,3,9,8,12,22,3,6,4,10,6,4,3,99,0,0,12,30,4,4,4,3,0,0,0,0,0,0,0,57,0,3,4,4,0,0,7,0,0,0,4,0,0,0,3,25,0,0,3,0,6,6,10,7,0,0,0,3,0,0,4,39,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,12,0,26,77,44,18,17,14,7,3,0,3,3,0,0,12,224,3,3,15,24,3,0,3,3,0,0,0,0,0,0,11,65,0,0,3,3,5,0,0,4,0,0,0,0,0,0,3,18,3,6,0,4,6,5,10,4,4,6,11,8,3,12,6,88,0,0,4,5,0,0,5,6
10102,0,3,3,16,3,6,17,3,0,0,0,0,0,0,3,54,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,11,0,0,3,17,16,25,23,13,0,4,0,4,6,3,0,114,0,3,0,12,5,15,32,38,9,23,19,12,18,6,9,201,3,6,28,108,38,15,8,0,0,0,0,0,0,0,8,214,0,3,0,3,3,4,3,5,0,0,0,0,10,9,0,40,0,0,3,3,15,16,34,14,13,14,6,10,8,6,3,145,0,3,14,96,136,144,87,22,6,4,9,7,3,3,27,561,0,75,95,56,26,32,17,4,3,4,3,0,0,0,8,323,0,9,53,82,15,4,0,0,0,0,0,0,0,0,8,171,0,0,3,8,3,9,8,3,0,3,0,0,0,0,3,40,0,0,5,13,10,15,30,72,41,38,94,97,39,18,20,492,0,3,8,3,0,12,10,10
10103,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,3,5,0,0,0,0,3,0,0,29,0,0,4,3,0,4,4,8,0,3,0,0,0,0,9,35,0,3,4,4,6,3,0,0,0,0,0,0,0,0,0,20,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,9,0,0,3,3,3,3,3,0,0,0,0,3,0,0,0,18,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,20,102,52,11,18,7,4,0,0,3,0,0,0,5,222,0,0,3,3,3,0,0,0,0,0,0,0,0,0,3,12,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,9,0,0,3,8,3,0,5,3,0,0,0,11,0,3,3,39,0,0,4,0,0,0,0,7
10104,0,0,0,4,5,0,4,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5,15,20,16,17,11,3,3,3,5,3,3,3,107,0,6,8,3,3,13,3,7,5,8,4,0,0,3,3,66,0,0,40,99,8,0,4,0,0,0,0,0,0,0,0,151,0,3,7,5,0,3,0,0,0,0,5,0,0,0,0,23,0,4,4,3,10,10,0,0,0,0,0,0,3,0,0,34,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,13,0,84,250,93,54,43,28,11,0,3,5,3,8,0,14,596,0,0,22,39,8,0,0,0,0,0,0,0,0,0,0,69,0,0,6,3,3,3,3,0,0,0,0,0,0,0,0,18,0,3,8,11,6,0,4,7,0,3,4,0,5,0,10,61,0,0,10,4,3,0,3,3
10201,0,0,3,5,3,0,20,4,0,0,0,0,0,0,0,35,0,0,0,3,5,5,3,0,4,3,0,3,0,0,4,30,4,3,4,39,50,38,83,58,10,7,10,9,5,0,13,333,4,21,41,25,18,83,104,117,25,44,38,30,21,8,18,597,0,3,28,64,21,9,11,5,0,0,0,0,0,0,4,145,0,16,46,64,20,11,17,5,0,0,0,0,3,0,10,192,0,3,4,23,27,70,54,14,0,3,4,0,3,5,7,217,0,0,0,3,5,0,0,0,0,0,0,0,0,0,3,11,3,88,228,80,53,77,45,35,10,10,25,7,7,4,21,693,0,6,60,71,13,4,6,9,0,0,0,0,0,0,15,184,4,0,4,10,28,43,22,25,3,8,0,3,3,0,9,162,6,17,16,53,51,43,73,47,22,49,23,18,11,4,18,451,4,9,23,11,19,29,29,17
10202,0,0,3,5,3,7,3,3,0,0,3,0,0,0,3,30,0,0,0,0,4,0,10,4,0,0,0,0,0,0,4,22,0,0,8,27,34,16,41,15,8,9,3,3,4,4,9,181,4,11,11,20,20,57,69,35,4,17,14,8,18,6,18,312,3,3,24,60,18,0,3,0,0,0,0,0,0,0,8,119,0,15,44,38,15,9,15,3,0,10,4,0,0,0,8,161,0,0,8,3,26,31,26,10,0,0,0,3,4,3,3,117,0,0,0,11,3,0,3,0,0,0,0,0,0,0,3,20,0,86,147,89,49,32,31,13,12,0,3,0,0,0,23,485,4,5,36,59,22,0,3,0,0,0,0,0,0,0,7,136,0,4,4,7,19,18,15,4,0,3,0,3,0,0,6,83,0,8,13,30,38,21,41,46,14,25,34,18,18,11,3,320,0,9,17,10,12,27,23,14
10301,0,0,0,3,0,3,13,3,0,0,0,0,0,0,0,22,0,0,0,0,0,7,0,3,0,0,3,0,0,0,3,16,0,0,3,0,8,7,11,11,0,3,3,5,3,3,3,60,4,3,3,8,3,8,18,11,10,5,3,6,4,10,23,119,0,3,4,9,5,0,5,0,0,0,0,0,0,0,0,26,0,0,4,0,0,3,3,0,0,0,0,0,0,0,3,13,3,0,3,3,5,8,9,5,0,3,0,0,0,3,11,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,27,42,20,5,14,10,5,0,3,0,0,0,0,9,135,0,3,8,3,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,3,6,0,3,0,0,0,0,3,3,0,7,25,0,3,0,4,4,4,17,8,4,5,5,6,0,0,8,68,0,0,3,3,3,0,0,5
10302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,9,0,0,0,3,0,4,3,3,12,5,0,4,5,0,0,39,0,0,5,5,7,8,11,9,4,0,0,3,5,0,0,57,0,0,0,18,0,3,0,0,0,0,0,0,0,0,3,24,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,3,0,3,3,5,0,3,10,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,10,3,10,6,0,0,0,0,3,0,0,3,103,0,5,3,3,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,11,0,0,0,0,4,4,6,8,3,9,5,3,0,7,3,52,0,3,3,0,0,3,3,3
10303,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,11,0,3,0,3,5,7,7,9,3,0,0,0,0,0,3,40,0,4,5,0,4,13,18,8,0,0,0,3,3,3,18,79,0,0,3,22,3,3,0,0,0,0,0,0,0,0,6,37,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,9,0,3,0,0,5,8,0,0,0,0,3,0,3,3,7,32,0,0,0,4,3,0,0,0,0,3,0,0,0,0,3,13,0,32,63,46,10,11,14,3,0,0,0,0,0,0,0,179,0,0,10,19,4,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0,3,0,4,0,0,0,5,0,0,0,12,24,0,0,3,6,10,4,5,4,7,0,6,10,0,3,5,63,0,0,5,0,0,5,0,0
10304,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,3,5,9,5,5,0,0,0,5,0,0,0,32,0,3,14,4,23,11,15,16,7,7,7,3,0,3,7,120,0,3,5,25,6,0,0,0,0,0,0,0,0,0,0,39,0,3,3,0,0,3,9,11,0,0,0,3,0,0,0,32,0,0,0,0,3,9,11,4,0,0,4,0,0,3,4,38,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,43,61,13,6,16,7,0,0,4,5,3,0,0,10,168,4,0,4,14,10,0,0,0,0,0,0,0,0,0,0,32,0,3,3,4,3,8,3,0,0,0,3,0,0,0,3,30,0,3,5,5,3,7,22,23,17,8,11,13,12,14,4,147,0,3,4,0,0,3,3,9
10401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,6,4,3,3,0,0,3,3,0,3,44,0,0,3,0,3,7,3,10,0,4,7,3,4,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,4,0,0,0,0,16,3,3,3,4,5,0,0,3,0,0,3,0,0,0,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,65,18,9,12,10,9,0,0,0,3,0,3,7,158,0,0,3,3,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,6,5,7,3,0,0,0,4,0,0,0,0,25,0,0,3,8,12,4,0,8,0,5,0,5,0,8,3,56,0,0,3,0,3,0,5,4
10402,0,0,3,0,0,0,7,0,0,0,3,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,8,22,24,27,24,17,5,3,7,5,4,4,6,156,0,3,3,10,7,19,20,15,3,9,13,23,31,12,5,173,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,30,0,6,10,10,5,0,0,0,5,0,0,0,0,0,6,42,0,3,7,3,12,14,14,24,0,3,3,3,3,0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,128,63,39,85,58,35,5,6,5,6,4,0,18,511,0,0,4,5,3,0,0,0,0,0,0,0,0,0,3,15,0,3,0,15,7,6,7,3,0,0,0,0,3,0,3,47,4,14,26,59,55,115,67,48,23,45,80,101,12,5,38,692,0,3,4,3,6,4,8,5
10501,0,0,3,3,3,0,3,3,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,3,0,0,0,0,3,0,0,13,0,0,0,0,0,3,8,6,3,3,0,3,0,0,0,26,0,0,6,21,3,0,3,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,8,0,0,0,0,0,0,0,3,0,6,3,0,0,0,7,19,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,25,22,11,3,4,3,0,0,0,0,3,0,3,77,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,4,3,3,0,3,9,5,0,0,31,0,0,0,5,0,0,0,0
10502,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,3,12,0,0,0,0,3,4,0,0,0,0,6,3,0,4,0,20,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,9,0,7,0,0,0,5,0,0,0,0,3,53,0,3,3,6,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,4,5,4,4,4,6,3,5,3,44,0,0,0,0,0,0,3,0
10503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0,7,0,8,4,0,0,0,0,3,0,0,28,0,3,3,4,8,24,16,19,8,13,3,3,0,3,11,118,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,9,0,0,3,4,0,0,11,3,0,0,0,4,0,0,0,25,0,0,0,0,3,9,8,0,7,7,3,0,0,0,10,47,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,0,17,46,29,9,12,3,5,0,3,0,0,3,0,3,130,0,3,11,10,3,0,3,0,0,0,0,0,0,0,4,34,3,0,0,3,3,9,3,5,0,0,0,0,0,0,3,29,0,0,3,6,7,5,17,35,10,22,10,17,7,7,3,149,0,0,3,3,0,6,3,5
10601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,13,3,5,5,6,5,5,0,0,0,4,50,0,4,0,4,8,20,7,9,4,4,3,7,7,0,7,84,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,13,0,0,3,4,0,3,0,3,0,0,0,0,0,0,3,16,0,0,4,5,4,14,9,4,0,0,0,0,4,0,0,44,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,12,0,70,103,43,14,15,9,5,0,0,0,3,0,4,12,278,0,0,10,3,0,0,3,0,0,0,0,0,0,0,0,16,0,0,0,3,7,9,5,3,0,0,0,0,0,3,4,34,0,4,0,9,12,6,4,18,9,4,4,9,12,9,4,104,0,3,3,0,3,3,3,9
10602,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,12,12,12,3,0,3,0,0,0,0,58,0,3,0,9,6,23,24,26,13,10,11,3,3,9,3,143,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,23,0,0,8,0,6,0,0,0,0,0,0,5,6,0,0,25,0,0,0,3,4,5,8,0,0,0,4,0,0,0,0,24,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,97,102,20,13,8,8,4,0,0,0,3,6,0,10,271,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,9,17,11,0,0,0,0,0,0,0,0,42,0,3,4,5,19,15,28,47,15,16,34,14,11,3,4,218,0,0,0,0,0,4,10,4
10603,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,3,8,12,11,10,30,13,5,3,6,0,4,3,0,111,0,3,3,5,3,15,8,9,3,0,4,3,7,3,8,74,0,4,16,35,10,4,6,0,0,0,0,0,0,0,0,75,0,0,14,4,0,0,0,3,0,0,0,0,0,0,0,21,3,0,5,5,7,3,12,3,0,0,0,3,0,0,5,46,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,22,3,83,105,46,20,41,16,3,3,3,4,0,4,0,9,340,0,0,11,25,10,0,3,0,0,0,0,0,0,0,0,49,0,3,0,3,4,3,10,0,0,0,0,0,3,0,5,31,0,8,4,16,7,3,12,16,4,0,7,5,4,3,8,97,0,3,3,3,0,4,4,3
10604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,6,0,3,0,3,0,3,3,5,3,0,0,0,0,0,0,20,0,0,0,0,3,14,7,9,7,3,0,4,0,0,0,47,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,9,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,6,0,9,14,4,9,3,0,0,3,0,0,0,3,0,0,45,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,4,3,9,0,4,3,0,0,30,0,0,0,0,0,0,4,0
