region_id,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10401,35,41,79,138,307,652,765,724,383,3124,0,3,7,10,17,21,25,31,16,130,160,156,296,398,461,492,589,590,297,3439,1415,2100,3897,5587,7145,7671,5774,3482,1251,38322
10402,45,64,142,206,417,726,869,892,487,3848,3,11,28,39,47,45,41,46,17,277,245,223,411,535,675,706,773,894,644,5106,2469,3891,7457,9939,12117,11814,7997,4862,2024,62570
10501,43,45,57,137,288,507,439,277,115,1908,4,0,0,13,16,31,42,29,6,141,147,133,242,311,351,390,370,277,72,2293,884,1425,2836,3238,3638,3141,2263,1214,329,18968
10502,33,37,72,90,303,517,378,328,123,1881,0,5,5,11,12,15,15,9,0,72,66,118,214,191,285,282,334,427,249,2166,658,1183,2218,2478,3125,2999,2030,1465,508,16664
10503,53,47,131,235,528,927,974,793,402,4090,3,5,8,15,38,60,43,29,13,214,324,304,584,641,693,640,733,628,317,4864,2364,3669,7248,8275,9187,8258,6043,3656,1331,50031
10601,68,57,127,230,504,1094,949,877,480,4386,0,8,12,19,41,53,53,63,51,300,303,307,694,785,818,883,697,645,247,5379,2999,4941,9878,11130,11369,10344,6201,3508,1300,61670
10602,31,34,83,164,352,561,575,575,325,2700,6,4,18,6,15,23,18,14,11,115,216,185,358,474,484,448,465,460,209,3299,2269,4002,8278,9132,8660,7296,4444,2697,1033,47811
10603,36,35,68,141,303,649,716,642,315,2905,3,6,6,15,33,31,35,33,9,171,220,202,368,480,575,668,814,750,432,4509,2142,3416,6266,8299,9185,9333,7940,4240,1476,52297
10604,12,26,62,64,218,368,379,311,163,1603,3,0,5,6,7,12,13,7,7,60,144,140,329,357,329,296,287,266,113,2261,939,1837,3861,3989,4049,3428,2194,1284,455,22036
10701,50,32,125,197,511,1160,1370,1234,468,5147,0,4,15,32,59,116,186,236,62,710,209,201,376,495,604,694,810,871,383,4643,2324,4235,8155,9387,10036,8443,6524,4472,1478,55054
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,7
10703,41,31,96,170,448,920,984,895,426,4011,7,5,16,33,36,70,86,102,28,383,221,188,376,475,630,652,735,718,263,4258,2869,4733,8809,11121,12143,10251,7227,4408,1533,63094
10704,31,89,141,202,451,963,1336,1427,830,5470,6,20,42,53,73,92,134,166,47,633,334,622,896,816,927,866,908,1165,536,7070,4030,10165,16024,16234,16182,13486,9473,6712,2785,95091
10801,17,19,44,87,158,376,503,496,251,1951,3,0,6,3,12,8,12,16,7,67,73,71,125,208,270,334,500,586,346,2513,711,1022,1955,3018,3973,4725,4581,3043,1201,24229
10802,37,33,71,149,375,799,780,722,468,3434,3,3,9,19,17,29,41,33,11,165,168,208,382,447,531,527,631,566,316,3776,1271,1869,3682,4964,6951,7474,5572,3217,1346,36346
10803,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,16,0,13,54,43,66,49,42,25,5,297
10804,37,32,78,147,356,723,949,941,566,3829,6,7,9,9,23,24,23,22,6,129,159,159,275,379,558,668,875,1080,671,4824,1786,2865,5684,8492,10094,10282,9279,6198,2450,57130
10805,33,43,91,153,354,659,921,787,397,3438,10,4,3,9,13,27,18,17,13,114,160,121,221,341,450,588,648,710,411,3650,1466,2038,3930,5638,7268,8003,6532,3792,1387,40054
10901,47,46,120,126,262,542,630,618,364,2755,0,6,19,40,39,37,37,16,11,205,194,218,373,444,445,501,526,570,388,3659,2054,3791,6777,7282,7877,7135,4710,2978,1267,43871
10902,16,23,40,37,129,250,292,211,71,1069,0,3,9,3,6,18,13,13,3,68,66,50,93,100,146,147,160,149,62,973,407,562,1176,1554,1954,1732,1240,679,211,9515
10903,27,25,62,97,207,600,931,726,353,3028,0,0,6,20,18,15,37,28,7,131,144,105,175,268,391,500,585,604,316,3088,1117,1580,3316,4591,5550,6141,5102,3164,1085,31646
11001,23,39,39,66,173,321,362,366,185,1574,6,0,12,16,12,23,29,12,6,116,149,201,264,319,264,311,322,271,147,2248,1639,3000,3635,4152,4950,4556,3101,1758,698,27489
11002,34,32,95,148,300,690,772,669,299,3039,0,6,4,15,21,34,35,22,10,147,114,101,240,269,368,409,502,445,217,2665,1074,1566,3390,4411,5274,5437,4427,2473,901,28953
11003,27,29,57,98,190,430,399,236,108,1574,0,0,3,11,11,24,22,10,5,86,149,128,273,319,312,294,305,249,107,2136,876,1470,3125,3432,3613,3031,2059,1083,376,19065
11004,64,64,132,201,489,930,1056,941,482,4359,0,8,15,26,39,44,34,36,20,222,286,257,500,621,725,740,868,842,438,5277,2425,4164,8174,9451,10507,9850,7334,4389,1645,57939
11101,64,52,117,223,485,958,1098,1302,764,5063,6,0,19,42,43,39,32,33,32,246,316,268,495,719,882,922,1092,1247,664,6605,3787,6613,12326,15319,16479,15245,10990,7315,2774,90848
11102,53,36,99,136,400,730,681,754,568,3457,6,0,15,25,43,54,46,20,13,222,191,150,264,384,497,552,640,648,407,3733,2486,4052,7062,8678,9587,9430,6867,4408,2001,54571
11103,77,75,203,293,643,1219,1328,1586,995,6419,3,18,39,116,277,152,127,135,53,920,449,729,1278,1161,1360,1250,1313,1559,1147,10246,5065,13284,22811,20819,20639,17548,11903,8469,3947,124485
11201,43,33,82,117,277,518,625,830,601,3126,7,6,13,21,22,25,20,15,13,142,198,204,408,538,678,683,588,624,415,4336,1715,2987,6499,9793,11652,11201,6824,4510,2088,57269
11202,42,46,110,199,396,786,928,1049,580,4136,5,6,17,29,28,44,29,27,15,200,242,209,342,481,636,588,627,586,362,4073,2127,3789,6703,8459,10495,9956,5855,3732,1517,52633
11203,35,53,106,173,374,761,1197,1192,727,4618,0,3,9,21,19,31,32,55,17,187,259,235,448,602,746,832,982,1325,724,6153,2320,3654,7556,10288,12157,11579,9397,7155,2901,67007
11301,38,30,95,154,356,728,731,826,396,3354,0,6,23,19,34,48,73,93,35,331,205,235,464,452,517,514,519,443,209,3558,1496,2608,5280,5944,6509,5273,3678,2499,896,34183
11302,6,8,20,50,81,204,243,222,120,954,0,0,6,3,9,12,17,8,3,58,54,54,138,135,140,152,180,137,62,1052,413,630,1426,1804,2073,1954,1484,870,353,11007
11303,58,63,193,216,442,886,1011,1050,580,4499,6,10,32,25,28,36,34,33,9,213,284,420,661,718,779,743,810,763,387,5565,3480,6453,10292,11065,11809,10616,7312,4604,1875,67506
11401,56,55,122,189,503,1127,1267,1237,611,5167,8,5,16,28,25,27,52,47,13,221,348,385,674,795,1006,969,1244,1337,655,7413,2652,4200,7806,10286,12884,13662,11690,7305,2567,73052
11402,25,21,42,84,160,318,370,322,163,1505,3,3,6,11,16,14,19,14,0,86,104,89,175,295,379,418,458,452,376,2746,1107,1896,3297,5390,6319,6388,5453,3002,1167,34019
11501,16,21,35,81,160,438,558,487,371,2167,4,6,42,43,61,73,83,100,44,456,233,265,435,555,665,622,581,550,569,4475,4121,9030,13543,19418,20675,17044,9468,4587,2306,100192
11502,7,10,14,36,51,130,203,189,87,727,0,0,3,9,9,14,37,41,11,124,43,44,63,131,169,159,163,135,100,1007,830,1534,1976,3338,4036,3512,2287,1122,492,19127
11503,4,6,14,49,106,160,169,114,51,673,0,0,6,3,6,12,8,6,3,44,104,92,126,260,269,252,215,89,49,1456,942,1422,2154,3647,3966,3109,1809,674,232,17955
11504,7,7,12,21,77,180,194,108,44,650,6,5,4,4,10,10,19,16,4,78,59,83,138,232,177,214,142,80,29,1154,830,1576,2950,4989,3725,2808,1509,534,153,19074
11601,57,80,255,386,744,1401,1297,1162,532,5914,6,25,108,128,153,216,227,203,84,1150,384,457,1079,939,1070,1042,926,893,393,7183,3961,8449,19874,17715,16393,13797,7700,4721,1606,94216
11602,14,22,51,121,261,561,505,299,106,1940,3,8,24,37,84,74,84,93,35,442,214,321,699,654,531,420,282,151,52,3324,2247,4660,12620,13230,9411,6344,2944,1195,321,52972
11603,89,95,287,475,925,1423,1091,627,296,5308,9,25,83,123,187,194,184,118,46,969,549,541,989,1125,1046,1017,838,472,164,6741,4501,7500,14430,14512,13281,9732,5518,2402,857,72733
11701,8,14,38,103,203,469,611,511,198,2155,3,14,32,33,56,86,140,126,35,525,144,202,481,472,398,459,484,361,174,3175,1159,2549,6313,6222,5059,4133,3070,1905,673,31083
11702,9,14,56,126,282,574,843,681,188,2773,4,7,29,41,106,186,252,243,68,936,136,310,857,733,557,525,417,360,164,4059,1019,3736,10701,9651,6691,4811,2998,1956,640,42203
11703,16,74,172,203,407,698,773,632,234,3209,8,74,208,94,129,163,190,257,93,1216,925,3493,7672,3727,2683,2114,1497,1002,520,23633,4403,21732,56675,30419,19238,14283,7827,4223,1470,160270
11801,12,18,39,50,74,171,342,428,342,1476,3,12,25,19,19,33,47,66,27,251,453,974,3444,2306,1600,1324,1196,909,703,12909,2048,7290,26159,20310,14544,12232,8395,5177,2955,99110
11802,25,42,72,125,245,621,935,1110,602,3777,3,18,32,31,72,112,159,238,84,749,552,1345,2461,1845,1465,1273,1164,1005,534,11644,4022,13186,24336,19957,15809,12307,8271,5851,2771,106510
11901,40,77,358,692,1261,1960,2040,1849,948,9225,16,45,157,269,624,676,641,576,179,3183,686,766,1525,1626,1634,1522,1286,1320,909,11274,5401,10758,21577,21333,20896,16677,10722,7770,3439,118573
11902,28,62,258,539,1090,1961,2293,1708,526,8465,13,50,198,254,505,727,766,713,212,3438,523,773,1838,1527,1520,1228,1068,962,482,9921,3646,8571,20244,18282,16325,12045,8443,5787,2018,95361
11903,30,37,102,185,497,1133,1315,1156,723,5178,10,28,82,103,213,277,311,329,82,1435,310,457,956,808,943,850,815,857,473,6469,3218,8466,17009,15957,16442,12914,8635,6286,3040,91967
11904,26,28,121,216,551,1434,2025,1696,783,6880,3,27,85,126,194,352,446,439,143,1815,400,685,1726,1341,1128,1119,996,971,611,8977,3027,8209,21241,18399,15757,12812,8903,6322,2948,97618
12001,0,13,31,54,140,492,924,988,388,3030,0,9,34,28,44,109,189,195,60,668,184,385,1001,826,645,529,533,535,275,4913,1551,4816,12652,12067,9975,7986,5269,3652,1502,59470
12002,9,3,19,41,101,212,332,399,158,1274,0,3,4,8,12,37,48,87,19,218,94,175,574,677,457,457,396,346,226,3402,767,2586,9799,10986,7106,5890,3111,1645,629,42519
12003,16,37,116,192,467,1124,1793,1725,685,6155,7,29,149,116,202,321,437,539,161,1961,449,1020,2334,1440,1431,1160,1044,1163,942,10983,3405,11530,26255,20010,18581,13621,8577,6483,3063,111525
12101,10,12,41,57,102,260,357,437,300,1576,3,11,31,60,53,66,75,91,55,445,223,395,938,791,617,578,475,452,408,4877,1987,6141,16151,16599,13528,10716,6380,4147,2280,77929
12102,18,20,38,71,147,191,272,308,237,1302,0,7,31,43,46,54,55,70,29,335,153,188,452,406,455,345,336,329,274,2938,1892,4313,9834,12344,11123,8502,5417,3010,1457,57892
12103,23,6,15,31,59,137,216,248,200,935,0,7,19,15,38,16,36,55,30,216,281,217,331,544,633,536,427,605,632,4206,2954,6307,7887,14350,17515,13073,9116,6444,3483,81129
12104,3,9,30,36,45,98,110,157,108,596,0,4,23,16,20,14,19,28,12,136,217,468,1766,1313,921,865,666,510,363,7089,1191,4900,19415,15377,11303,10104,6879,3557,1902,74628
12201,6,3,13,17,27,53,106,102,88,415,3,3,10,9,6,3,7,11,3,55,103,170,594,436,302,309,253,219,212,2598,718,2011,6653,7036,5402,3938,2799,1694,858,31109
12202,8,8,13,28,53,137,212,216,162,837,0,0,10,11,11,12,11,20,14,89,113,140,224,397,410,427,388,375,330,2804,1374,2770,4852,8170,8790,7867,5279,2935,1516,43553
12203,17,16,87,138,267,540,652,746,478,2941,0,31,46,69,68,87,119,133,53,606,237,356,950,1050,988,828,830,975,1107,7321,3012,7270,18052,23365,19655,14559,10732,7124,3871,107640
12301,23,10,38,77,183,301,274,266,225,1397,0,7,9,13,23,26,30,30,13,151,130,106,198,313,285,252,234,223,95,1836,1775,3144,7082,8704,6779,4875,2587,1433,704,37083
12302,81,111,231,472,954,1705,1145,751,302,5752,9,28,66,112,198,236,203,135,42,1029,714,698,1288,1319,1546,1496,1057,810,475,9403,6023,11051,20811,19289,20600,17714,8472,3894,1376,109230
12303,15,16,26,66,155,339,315,260,124,1316,3,0,6,6,13,19,14,22,6,89,139,130,181,290,307,245,250,223,97,1862,1389,2199,3840,5433,5307,4479,2513,1210,423,26793
12401,20,25,43,83,154,349,329,345,250,1598,6,8,16,25,24,24,24,23,13,163,232,193,327,539,728,725,573,513,334,4164,2195,3733,6974,10375,11618,11407,6737,3529,1550,58118
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,6
12403,52,64,154,287,620,1325,986,790,388,4666,8,7,22,39,60,98,95,80,29,438,374,494,991,922,1055,988,824,662,327,6637,4378,8876,18444,18031,16424,14243,7313,3621,1417,92747
12404,26,29,47,86,236,377,318,265,151,1535,0,4,12,5,15,16,30,22,9,113,165,361,375,386,351,324,301,240,154,2657,1441,3018,4933,4896,4833,3720,2218,1273,584,26916
12405,19,38,98,176,357,663,491,333,127,2302,0,7,39,25,40,59,70,46,19,305,216,217,459,476,543,496,428,295,149,3279,2132,4064,7565,6984,7685,5835,2801,1308,450,38824
12501,28,69,326,591,786,885,736,546,286,4253,23,80,305,362,478,471,340,233,85,2377,388,911,1903,1235,1069,655,444,294,140,7039,2285,6798,15171,10553,9380,6601,3458,2043,872,57161
12502,21,14,55,123,214,359,394,407,215,1802,0,6,38,71,163,145,118,110,29,680,153,175,352,384,439,412,420,459,287,3081,1642,3890,7125,8583,9140,6825,4622,3017,1056,45900
12503,62,103,526,885,1341,1833,1753,1527,738,8768,15,82,278,410,595,695,640,525,140,3380,559,891,1837,1502,1387,1253,1127,1045,538,10139,4714,10100,21626,18290,16685,13674,8544,5713,2254,101600
12504,41,63,158,237,379,763,911,840,549,3941,9,26,165,194,218,187,214,242,89,1344,441,894,2274,1419,1123,856,798,797,595,9197,2891,8851,27815,18931,14206,11116,7526,4686,2290,98312
12601,0,9,8,18,40,97,112,119,120,523,3,5,3,16,21,31,30,49,27,185,48,83,173,136,181,191,155,201,184,1352,1261,3148,4583,5603,6850,5359,3285,2203,975,33267
12602,12,58,46,112,305,654,874,1005,554,3620,4,24,77,90,115,144,199,238,77,968,291,693,1030,782,796,796,727,854,812,6781,3081,9925,18520,17494,16106,12899,8194,6259,3207,95685
12701,41,39,209,413,856,1167,971,621,211,4528,6,30,114,231,431,453,302,223,73,1863,420,380,776,815,942,784,684,413,108,5322,3415,5593,10660,11681,11623,7763,4227,2043,528,57533
12702,76,178,827,1773,2845,3477,2959,2242,646,15023,19,125,513,1124,2167,1843,1372,1336,457,8956,671,743,1420,1778,1902,1712,1405,1171,494,11296,6342,12714,23348,23859,25368,20076,11510,7171,2181,132569
12703,38,62,236,374,705,1149,1219,902,343,5028,12,33,118,169,258,291,267,235,68,1451,413,548,1366,1162,1175,1076,855,605,259,7459,3424,7061,16092,15790,13725,9889,5904,3296,1078,76259
12801,13,18,50,77,196,446,596,693,525,2614,0,8,21,32,37,57,73,55,29,312,185,287,729,681,719,651,690,852,508,5302,2703,6408,13551,14927,14378,12287,8614,6628,2836,82332
12802,14,22,39,84,166,459,545,544,354,2227,7,4,25,18,38,39,44,49,16,240,204,225,529,554,645,635,507,618,455,4372,3247,6914,12367,15437,15634,13228,7496,4038,1753,80114
19797,0,0,0,0,0,0,6,7,3,16,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,7,7,0,20,0,6,4,11,13,27,26,22,3,112
19999,36,32,56,74,95,109,97,46,16,561,4,6,9,20,22,18,6,8,0,93,120,221,568,598,597,392,240,86,66,2888,585,1311,2652,2103,1890,1674,969,242,122,11548
