region_id,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
10101,23120,58124,943,1538,79,173,1022,1711,676,966,37,51,42,46,14,25,769,1088,167,248,32,80,104,233,303,561,39,108,25253,61592,4622,0,29875,61592
10102,14471,41054,1489,2781,741,1508,2230,4289,1207,1938,789,1268,366,623,37,72,2399,3901,163,294,26,59,51,100,240,453,18,29,19358,49726,2213,0,21571,49726
10103,5993,14577,334,631,105,269,439,900,299,601,42,99,11,20,6,5,358,725,52,105,11,29,27,61,90,195,72,156,6952,16553,2544,0,9496,16553
10104,22647,54189,1165,1898,731,1301,1896,3199,1813,2923,60,98,3,7,68,102,1944,3130,435,685,36,63,91,191,562,939,28,54,27077,61511,10419,0,37496,61511
10201,46725,125253,5285,9104,3435,7137,8720,16241,3315,5300,942,1566,904,1631,139,211,5300,8708,548,792,0,3,87,184,635,979,111,196,61491,151377,9829,0,71320,151377
10202,46578,123621,3490,6389,1636,3549,5126,9938,2212,3231,415,755,561,1040,90,142,3278,5168,599,890,8,11,98,235,705,1136,24,57,55711,139920,7711,0,63422,139920
10301,13448,35443,837,1485,199,416,1036,1901,858,1258,45,58,6,8,34,92,943,1416,48,70,3,10,24,34,75,114,31,59,15533,38933,2095,0,17628,38933
10302,19535,48012,532,778,27,68,559,846,740,973,19,27,3,4,21,23,783,1027,112,187,14,33,74,164,200,384,28,51,21105,50320,3620,0,24725,50320
10303,15182,37430,710,1206,29,54,739,1260,478,670,46,61,0,0,6,15,530,746,124,181,18,26,79,143,221,350,13,22,16685,39808,3365,0,20050,39808
10304,17628,46646,996,1682,75,123,1071,1805,831,1146,29,35,20,31,20,44,900,1256,77,108,18,36,71,129,166,273,14,28,19779,50008,2181,0,21960,50008
