region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
10401,150,184,334,7161,7928,15089,0,0,0,382,377,759,0,0,0,5240,5685,10925,15,8,23,39,29,68,159,184,343,36,35,71,71,100,171,7,4,11,12,25,37,144,188,332,1584,1712,3296,119,159,278,51,93,144,1061,1265,2326,444,493,937,4,18,22,16529,18303,34832,19,16,35,23,21,44,10,15,25,7,7,14,69,120,189,76,127,203,4997,4316,9313,250,152,402,2222,1828,4050,24276,24962,49238
10402,414,578,992,9277,10503,19780,0,0,0,582,630,1212,0,7,7,8175,9064,17239,51,56,107,87,107,194,190,256,446,60,69,129,195,218,413,8,6,14,53,89,142,637,784,1421,1597,1766,3363,117,149,266,122,145,267,1697,2165,3862,985,1226,2211,57,74,131,23890,27314,51204,89,82,171,112,90,202,39,30,69,23,19,42,656,728,1384,679,747,1426,10429,9442,19871,586,430,1016,3277,3135,6412,39515,41848,81363
10501,42,41,83,3825,3798,7623,0,0,0,120,117,237,21,30,51,4252,4161,8413,3,3,6,66,48,114,44,52,96,10,8,18,80,58,138,4,4,8,26,17,43,50,60,110,578,526,1104,22,22,44,19,37,56,524,537,1061,126,160,286,9,7,16,9779,9645,19424,13,13,26,37,27,64,0,3,3,11,13,24,19,15,34,30,28,58,1687,1356,3043,56,40,96,1419,1076,2495,13063,12229,25292
10502,47,48,95,1486,1534,3020,0,3,3,123,126,249,0,0,0,2657,2924,5581,21,25,46,42,51,93,16,23,39,33,33,66,116,128,244,0,0,0,15,14,29,50,61,111,153,150,303,113,144,257,15,25,40,1090,1441,2531,128,157,285,0,5,5,6058,6844,12902,18,12,30,14,14,28,0,3,3,6,3,9,21,34,55,27,37,64,2923,2516,5439,100,46,146,1266,1229,2495,10453,10749,21202
10503,105,146,251,9634,10525,20159,0,0,0,508,562,1070,7,19,26,9542,10396,19938,34,38,72,97,111,208,79,104,183,30,27,57,166,205,371,9,7,16,60,49,109,329,392,721,1670,1757,3427,128,153,281,132,172,304,2097,2483,4580,591,651,1242,19,23,42,25132,27674,52806,75,88,163,90,55,145,12,12,24,23,19,42,73,79,152,96,98,194,4263,3663,7926,217,114,331,3000,2258,5258,32990,34108,67098
10601,152,229,381,12878,13740,26618,0,0,0,565,575,1140,74,61,135,9272,9519,18791,31,28,59,84,64,148,112,158,270,91,108,199,128,132,260,9,6,15,124,145,269,231,256,487,1638,1711,3349,184,205,389,144,151,295,2670,3057,5727,632,739,1371,54,48,102,28921,30703,59624,51,47,98,68,57,125,20,18,38,7,0,7,89,138,227,96,138,234,7770,6561,14331,323,194,517,3755,2883,6638,41156,40830,81986
10602,115,169,284,8777,9715,18492,0,0,0,677,683,1360,72,69,141,9027,9697,18724,53,48,101,88,93,181,97,108,205,63,58,121,91,99,190,10,6,16,73,96,169,271,314,585,1079,1243,2322,189,244,433,105,111,216,1924,2222,4146,611,708,1319,24,21,45,23231,25535,48766,87,94,181,93,70,163,13,6,19,6,0,6,122,139,261,128,139,267,5385,4693,10078,240,118,358,2161,1929,4090,31453,32753,64206
10603,163,213,376,9614,10516,20130,3,0,3,742,838,1580,21,19,40,7578,8180,15758,40,48,88,168,167,335,120,143,263,54,50,104,149,160,309,4,0,4,46,61,107,324,390,714,1253,1329,2582,98,135,233,58,63,121,1993,2290,4283,748,895,1643,38,29,67,23051,25313,48364,42,49,91,40,36,76,20,16,36,17,9,26,87,137,224,104,146,250,6747,5743,12490,278,163,441,2810,2568,5378,33255,34247,67502
10604,71,81,152,5408,5631,11039,0,0,0,174,171,345,0,0,0,3913,3906,7819,3,4,7,24,25,49,37,59,96,13,9,22,36,34,70,3,4,7,12,6,18,26,35,61,485,458,943,24,44,68,25,35,60,664,729,1393,204,178,382,16,13,29,11067,11341,22408,19,14,33,38,24,62,4,5,9,3,0,3,22,33,55,25,33,58,2190,1855,4045,86,36,122,1532,1127,2659,15032,14516,29548
10701,269,341,610,7609,8790,16399,0,0,0,227,288,515,42,41,83,10650,11034,21684,104,112,216,2847,2764,5611,107,168,275,71,76,147,267,278,545,33,26,59,60,88,148,352,390,742,926,1091,2017,161,196,357,40,51,91,1402,1682,3084,527,581,1108,36,38,74,25461,27694,53155,80,90,170,790,776,1566,5,9,14,12,8,20,64,121,185,76,129,205,6154,5116,11270,276,143,419,2346,2162,4508,35457,36460,71917
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,7,5,12
10703,276,361,637,10095,11477,21572,0,0,0,386,453,839,4,6,10,11780,12812,24592,33,50,83,1635,1615,3250,232,295,527,45,63,108,333,377,710,13,12,25,51,66,117,376,406,782,1238,1410,2648,119,164,283,35,47,82,1913,2273,4186,646,679,1325,31,34,65,28965,32239,61204,60,56,116,300,298,598,14,7,21,4,7,11,116,152,268,120,159,279,8255,6902,15157,326,184,510,2603,2406,5009,40919,42612,83531
10704,931,1100,2031,11228,12673,23901,3,0,3,674,666,1340,94,90,184,15588,17013,32601,84,101,185,2832,2779,5611,200,269,469,73,96,169,308,395,703,55,42,97,104,135,239,492,641,1133,1734,2039,3773,226,263,489,78,95,173,2558,3150,5708,957,1128,2085,49,63,112,37337,41638,78975,364,310,674,1310,1131,2441,51,59,110,14,8,22,244,286,530,258,294,552,14424,11973,26397,722,409,1131,4401,3812,8213,59798,60726,120524
10801,90,130,220,4778,5236,10014,0,0,0,219,234,453,3,3,6,3175,3452,6627,28,32,60,54,47,101,98,123,221,34,44,78,59,60,119,7,0,7,24,39,63,59,91,150,550,629,1179,62,71,133,16,29,45,741,1017,1758,232,285,517,13,19,32,10152,11411,21563,7,14,21,22,21,43,9,8,17,16,11,27,31,52,83,47,63,110,2774,2318,5092,128,63,191,1337,1254,2591,14566,15282,29848
10802,165,232,397,5867,6440,12307,0,0,0,223,224,447,0,0,0,5385,5744,11129,7,11,18,46,51,97,181,267,448,16,25,41,83,85,168,3,0,3,34,42,76,175,204,379,936,993,1929,190,204,394,330,410,740,1426,1716,3142,437,438,875,21,22,43,15360,16876,32236,17,26,43,26,22,48,8,13,21,30,23,53,94,98,192,124,121,245,4827,4145,8972,228,185,413,2474,1980,4454,23229,23600,46829
10803,3,0,3,55,58,113,0,0,0,0,0,0,0,0,0,23,24,47,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8,0,0,0,19,32,51,3,6,9,0,3,3,0,0,0,108,126,234,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,44,96,0,3,3,8,12,20,175,185,360
10804,210,289,499,9937,11414,21351,3,0,3,401,503,904,0,3,3,8361,9610,17971,41,65,106,96,103,199,160,206,366,43,55,98,152,177,329,9,10,19,80,85,165,356,413,769,1585,1680,3265,159,235,394,222,296,518,1949,2413,4362,792,965,1757,24,25,49,24370,28258,52628,45,54,99,47,47,94,24,35,59,11,6,17,95,117,212,106,123,229,7057,6142,13199,341,232,573,2744,2587,5331,34944,37767,72711
10805,137,211,348,8056,8733,16789,0,0,0,557,612,1169,4,3,7,4552,5116,9668,64,75,139,55,51,106,157,220,377,67,92,159,60,70,130,3,9,12,31,46,77,174,195,369,1179,1243,2422,209,237,446,112,148,260,1577,1954,3531,633,713,1346,18,24,42,17508,19541,37049,33,28,61,32,32,64,16,11,27,12,17,29,60,75,135,72,92,164,5004,4347,9351,183,143,326,2069,1900,3969,25054,26305,51359
10901,220,237,457,5480,6406,11886,0,0,0,317,351,668,52,59,111,7492,8240,15732,36,36,72,184,190,374,61,109,170,29,29,58,1302,1369,2671,13,5,18,41,53,94,344,406,750,1255,1417,2672,76,103,179,121,139,260,1482,1892,3374,507,652,1159,23,24,47,18815,21480,40295,244,206,450,138,108,246,14,22,36,0,4,4,103,114,217,103,118,221,5758,5109,10867,302,152,454,2331,2079,4410,27925,29511,57436
10902,22,32,54,1330,1345,2675,0,0,0,44,38,82,0,0,0,1958,1917,3875,12,15,27,28,17,45,6,16,22,4,3,7,72,83,155,4,0,4,0,5,5,29,45,74,320,339,659,15,16,31,38,27,65,404,475,879,109,112,221,0,0,0,4373,4453,8826,23,12,35,8,3,11,3,3,6,4,0,4,16,21,37,20,21,41,1341,1010,2351,17,11,28,595,477,1072,6402,6022,12424
10903,59,80,139,4367,4802,9169,0,0,0,271,284,555,0,6,6,5534,5691,11225,26,35,61,44,48,92,47,70,117,35,47,82,168,152,320,0,0,0,7,14,21,86,95,181,1444,1379,2823,69,71,140,10,17,27,1821,2110,3931,209,264,473,3,7,10,14141,15092,29233,21,16,37,26,18,44,6,7,13,12,4,16,31,43,74,43,47,90,3961,3256,7217,133,79,212,1831,1641,3472,20221,20236,40457
11001,151,202,353,4992,5687,10679,0,0,0,140,176,316,95,99,194,3816,4224,8040,25,26,51,34,39,73,95,125,220,23,25,48,74,62,136,5,4,9,28,13,41,110,142,252,1009,1121,2130,92,108,200,88,114,202,621,790,1411,291,334,625,23,23,46,11561,13112,24673,52,59,111,211,154,365,9,13,22,4,0,4,66,95,161,70,95,165,3678,3293,6971,203,131,334,1467,1483,2950,17402,18542,35944
11002,55,85,140,6229,6617,12846,0,0,0,158,155,313,0,0,0,4063,4418,8481,14,23,37,19,19,38,81,109,190,14,18,32,93,91,184,3,0,3,24,29,53,164,229,393,1193,1203,2396,234,272,506,83,95,178,1016,1200,2216,348,402,750,16,24,40,13752,14904,28656,15,13,28,18,15,33,11,12,23,9,7,16,41,66,107,50,73,123,2955,2451,5406,116,75,191,1723,1437,3160,18695,19065,37760
11003,23,19,42,4505,4447,8952,0,0,0,100,102,202,0,5,5,3534,3681,7215,6,3,9,30,26,56,34,47,81,17,19,36,82,93,175,0,0,0,27,31,58,117,132,249,706,671,1377,83,100,183,30,40,70,453,523,976,150,178,328,6,12,18,9880,10110,19990,30,23,53,13,8,21,4,3,7,6,4,10,20,19,39,26,23,49,1734,1365,3099,78,49,127,1222,1076,2298,13010,12676,25686
11004,115,138,253,13549,14610,28159,0,0,0,397,424,821,68,82,150,9541,10313,19854,11,23,34,63,58,121,149,176,325,44,63,107,115,147,262,4,0,4,39,44,83,245,259,504,1849,1897,3746,144,205,349,97,105,202,1936,2260,4196,654,768,1422,23,32,55,28928,31466,60394,53,41,94,58,39,97,10,6,16,14,14,28,77,99,176,91,113,204,5267,4351,9618,251,156,407,3025,2696,5721,37798,39006,76804
11101,412,505,917,14173,16089,30262,0,0,0,1431,1540,2971,59,68,127,13442,14791,28233,45,71,116,579,596,1175,147,220,367,114,151,265,208,270,478,7,7,14,83,96,179,877,983,1860,2126,2324,4450,286,357,643,188,235,423,4112,5108,9220,1159,1360,2519,106,125,231,39142,44391,83533,155,139,294,163,134,297,28,27,55,0,3,3,141,202,343,141,205,346,12533,10637,23170,492,269,761,3885,3609,7494,56951,59916,116867
11102,173,225,398,8904,9831,18735,0,0,0,824,898,1722,48,48,96,6784,7497,14281,8,28,36,166,156,322,190,243,433,58,71,129,118,135,253,3,3,6,61,91,152,292,387,679,1130,1189,2319,250,315,565,1453,1650,3103,2362,2913,5275,814,939,1753,125,129,254,23590,26523,50113,50,50,100,73,62,135,12,13,25,6,4,10,78,115,193,84,119,203,7471,6226,13697,293,180,473,2543,2319,4862,34289,35717,70006
11103,772,983,1755,16505,18621,35126,4,0,4,1489,1654,3143,49,38,87,18669,20708,39377,60,95,155,1723,1688,3411,134,179,313,160,183,343,231,238,469,28,15,43,229,244,473,724,828,1552,2393,2635,5028,359,421,780,212,270,482,4025,5266,9291,1388,1621,3009,91,112,203,48473,54816,103289,401,365,766,769,629,1398,48,59,107,12,6,18,290,336,626,302,342,644,18824,16046,34870,1027,500,1527,6070,5311,11381,76686,79051,155737
11201,699,911,1610,6969,7849,14818,0,0,0,338,384,722,17,17,34,7417,8273,15690,27,28,55,115,117,232,173,206,379,33,50,83,115,156,271,4,0,4,31,52,83,323,388,711,1563,1723,3286,86,111,197,155,222,377,1574,1957,3531,727,865,1592,46,55,101,19713,22453,42166,96,76,172,57,42,99,189,153,342,19,17,36,292,363,655,311,380,691,10447,9912,20359,798,677,1475,3216,3098,6314,35526,37702,73228
11202,412,580,992,6927,7610,14537,0,0,0,320,385,705,5,9,14,8190,8953,17143,38,50,88,76,72,148,165,221,386,44,52,96,104,125,229,0,0,0,62,62,124,429,540,969,1942,2063,4005,109,127,236,210,254,464,2093,2355,4448,724,820,1544,174,166,340,21612,23864,45476,58,55,113,60,38,98,24,18,42,21,25,46,242,323,565,263,348,611,8187,7288,15475,637,485,1122,2799,2558,5357,34052,35234,69286
11203,466,646,1112,9547,11005,20552,0,0,0,417,479,896,12,17,29,9950,11084,21034,79,115,194,147,137,284,340,415,755,67,73,140,198,242,440,5,7,12,41,55,96,299,409,708,1995,2195,4190,85,139,224,330,347,677,1680,2171,3851,964,1154,2118,27,46,73,26183,30090,56273,240,240,480,62,39,101,42,47,89,9,5,14,244,324,568,253,329,582,9609,8751,18360,509,453,962,3648,3498,7146,41012,44093,85105
11301,65,86,151,4650,5023,9673,0,3,3,141,136,277,97,113,210,9014,9172,18186,3,3,6,48,40,88,82,89,171,63,60,123,147,145,292,6,4,10,55,58,113,237,271,508,1075,1067,2142,56,74,130,147,137,284,1581,1771,3352,290,299,589,24,29,53,17716,18494,36210,170,153,323,235,159,394,6,4,10,3,3,6,478,405,883,481,408,889,2681,2146,4827,140,87,227,1902,1662,3564,23396,23199,46595
11302,18,25,43,2427,2448,4875,0,0,0,80,75,155,0,0,0,2024,2091,4115,3,3,6,10,9,19,27,31,58,3,4,7,40,57,97,4,5,9,4,9,13,41,57,98,351,308,659,13,9,22,30,29,59,304,357,661,114,120,234,0,4,4,5475,5616,11091,19,17,36,12,4,16,3,0,3,0,0,0,12,12,24,12,12,24,1080,847,1927,58,30,88,655,445,1100,7332,6996,14328
11303,194,218,412,10995,12004,22999,0,0,0,559,568,1127,105,99,204,14102,15144,29246,47,55,102,117,118,235,76,105,181,43,58,101,761,857,1618,81,80,161,84,98,182,341,385,726,2406,2684,5090,115,147,262,107,131,238,2471,2875,5346,699,778,1477,16,19,35,33125,36205,69330,118,109,227,224,164,388,6,9,15,5,10,15,102,126,228,107,136,243,6503,5554,12057,368,171,539,3498,2485,5983,44143,45051,89194
11401,341,429,770,12880,14196,27076,0,4,4,778,907,1685,6,4,10,9813,10710,20523,75,94,169,323,280,603,247,291,538,75,105,180,223,243,466,10,8,18,51,83,134,501,578,1079,1885,2078,3963,145,169,314,55,61,116,2039,2484,4523,926,1061,1987,43,32,75,30075,33388,63463,38,32,70,67,64,131,32,44,76,18,8,26,144,227,371,162,235,397,9839,8597,18436,446,257,703,4609,3966,8575,45609,47012,92621
11402,155,219,374,6225,7172,13397,0,3,3,296,310,606,74,74,148,5088,5690,10778,44,48,92,186,193,379,100,115,215,30,40,70,92,126,218,4,5,9,23,20,43,135,180,315,693,934,1627,38,35,73,50,56,106,910,1153,2063,517,546,1063,50,53,103,14555,16753,31308,45,50,95,32,28,60,57,59,116,0,5,5,74,133,207,74,138,212,4444,4093,8537,230,147,377,1679,1627,3306,21271,23114,44385
11501,2038,2366,4404,11610,13090,24700,14,7,21,1664,1846,3510,176,200,376,19454,21015,40469,93,122,215,1445,1481,2926,114,143,257,239,247,486,265,313,578,359,360,719,253,255,508,1548,1766,3314,1993,2165,4158,112,115,227,263,358,621,2567,3080,5647,1238,1411,2649,77,79,156,43484,48053,91537,2600,2566,5166,1651,1632,3283,104,101,205,0,0,0,901,927,1828,901,927,1828,11169,9469,20638,396,248,644,3110,3008,6118,65453,68370,133823
11502,151,180,331,2794,3130,5924,0,0,0,272,298,570,16,23,39,4030,4015,8045,11,16,27,180,174,354,37,45,82,42,40,82,93,84,177,25,22,47,28,29,57,204,249,453,358,338,696,17,22,39,97,113,210,649,723,1372,246,253,499,31,22,53,9130,9596,18726,62,62,124,112,105,217,23,15,38,0,0,0,70,72,142,70,72,142,2194,1960,4154,115,67,182,705,718,1423,12562,12775,25337
11503,73,80,153,3428,3631,7059,0,0,0,226,220,446,3,4,7,3249,3036,6285,14,11,25,84,71,155,64,82,146,21,25,46,59,52,111,3,3,6,12,9,21,124,127,251,324,343,667,16,24,40,20,19,39,534,608,1142,244,234,478,18,23,41,8443,8522,16965,13,16,29,25,24,49,7,5,12,8,6,14,37,63,100,45,69,114,2368,2035,4403,106,73,179,1154,1017,2171,12234,11841,24075
11504,164,155,319,3164,3263,6427,0,4,4,153,210,363,25,16,41,4862,4765,9627,17,15,32,207,211,418,36,39,75,49,57,106,53,58,111,88,83,171,32,31,63,295,332,627,351,384,735,32,31,63,84,97,181,511,551,1062,274,290,564,15,21,36,10248,10458,20706,242,254,496,298,258,556,13,16,29,0,0,0,135,136,271,135,136,271,1727,1360,3087,62,48,110,882,725,1607,13771,13410,27181
11601,1130,1284,2414,8764,9390,18154,15,17,32,1099,1159,2258,38,31,69,19686,21518,41204,156,169,325,1845,1844,3689,225,265,490,240,283,523,186,203,389,667,689,1356,297,362,659,1108,1237,2345,1382,1498,2880,123,147,270,308,368,676,1681,1942,3623,1293,1360,2653,124,120,244,39237,42602,81839,4464,4356,8820,3194,3197,6391,27,36,63,0,5,5,2148,1725,3873,2148,1730,3878,7627,6270,13897,423,255,678,3741,3303,7044,61991,63033,125024
11602,862,897,1759,5453,6013,11466,13,9,22,595,592,1187,46,62,108,11970,12589,24559,93,104,197,669,671,1340,99,108,207,216,214,430,105,108,213,335,280,615,124,120,244,1107,1247,2354,681,726,1407,83,77,160,197,208,405,902,1055,1957,848,869,1717,90,79,169,23626,25131,48757,2676,2498,5174,1541,1576,3117,28,29,57,0,0,0,1620,1505,3125,1620,1505,3125,4637,3782,8419,224,157,381,2442,1546,3988,37656,37121,74777
