region_id,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10602,110,216,353,353,272,161,40,0,0,1505,40,56,119,130,118,78,17,10,3,571,2202,3063,6270,7113,6727,3926,582,74,10,29967
10603,120,131,191,271,280,177,40,7,0,1217,36,59,75,152,121,103,44,12,3,605,2045,2395,4433,6236,6827,4456,835,89,6,27322
10604,58,104,134,102,88,58,11,0,0,555,40,35,57,70,55,54,27,10,4,352,933,1362,2800,3014,3146,2074,496,91,14,13930
10701,99,170,280,297,289,157,26,0,0,1318,55,68,139,144,139,95,15,12,0,667,1929,2902,5777,6829,7122,3864,492,55,4,28974
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
10703,115,235,317,359,306,176,37,0,0,1545,66,78,118,125,153,78,25,8,8,659,2552,3459,6646,8531,9320,5193,763,92,8,36564
10704,109,262,436,449,384,231,81,12,0,1964,80,142,201,207,231,137,32,14,3,1047,3078,5854,11489,12427,12388,7311,1179,143,16,53885
10801,24,36,71,98,86,70,16,0,0,401,17,23,31,48,59,41,29,10,0,258,666,616,1237,2058,2704,1945,427,55,9,9717
10802,36,58,83,122,120,92,21,0,0,532,28,17,48,71,95,60,22,10,3,354,1009,936,2038,3122,4350,3208,622,100,9,15394
10803,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,11,43,39,55,40,23,0,0,214
10804,67,109,209,271,280,181,47,6,3,1173,48,38,52,107,110,80,35,19,0,489,1880,1875,4031,6384,7467,4858,972,141,21,27629
10805,51,56,100,190,170,119,22,0,0,708,28,17,50,68,87,81,25,14,0,370,1308,1200,2478,3787,4982,3661,789,124,14,18343
10901,75,125,228,223,205,140,35,8,0,1039,56,49,106,112,117,75,40,12,6,573,1887,2687,5081,5623,6271,4304,890,130,17,26890
10902,17,23,17,37,37,16,11,0,0,158,18,10,26,29,36,30,14,6,0,169,310,360,787,1187,1480,1023,300,46,4,5497
10903,53,74,79,125,112,92,23,3,0,561,39,31,54,63,90,94,55,22,8,456,1131,1119,2473,3638,4387,3542,992,194,21,17497
11001,51,76,99,107,106,87,15,8,0,549,37,21,35,45,64,54,22,7,0,285,1108,1576,2441,3078,3864,2908,762,150,11,15898
11002,56,59,105,104,117,86,31,8,0,566,23,21,48,53,81,51,45,12,0,334,884,957,2223,3092,3621,2758,913,184,24,14656
11003,50,66,93,104,95,68,23,6,0,505,21,20,45,69,65,45,38,9,3,315,633,938,2123,2516,2704,1839,617,111,13,11494
11004,115,156,270,284,300,222,69,14,0,1430,60,60,113,164,136,149,46,26,9,763,2310,2792,5830,7124,7969,5775,1423,279,33,33535
11101,202,278,422,442,438,303,71,5,0,2161,88,96,164,237,202,162,42,14,3,1008,4005,4969,9633,12021,12830,8077,1284,128,17,52964
11102,120,176,257,335,283,194,39,4,0,1408,73,63,124,142,170,87,28,6,0,693,2111,2887,5160,6691,7153,4762,787,76,11,29638
11103,181,374,643,557,509,304,79,13,3,2663,100,155,275,310,260,143,49,18,6,1316,4476,8915,17369,15883,15401,9277,1536,195,15,73067
11201,61,83,197,284,290,181,22,6,0,1124,45,51,103,139,158,126,31,31,10,694,1800,1950,4392,7062,8453,6001,1061,158,20,30897
11202,58,122,173,239,259,157,27,6,3,1044,48,27,83,96,118,90,38,24,5,529,1849,2217,4308,5924,7366,5388,1007,232,32,28323
11203,65,114,207,266,266,206,30,4,0,1158,50,75,133,160,184,126,45,16,7,796,2177,2414,5156,7449,8734,5567,1008,144,16,32665
11301,78,107,154,144,150,102,31,4,0,770,46,68,91,78,126,92,48,9,6,564,1456,1759,3782,4522,5083,3257,862,181,32,20934
11302,13,16,38,30,40,31,0,0,0,168,11,12,19,43,29,42,11,7,0,174,391,425,993,1367,1620,1156,295,62,6,6315
11303,134,225,303,307,293,230,60,11,0,1563,75,96,139,157,140,125,67,19,7,825,3037,4380,7581,8586,9294,6398,1522,252,36,41086
11401,78,154,211,263,291,207,33,3,0,1240,55,68,90,116,145,94,45,18,14,645,2273,2716,5132,7257,9001,6125,1137,125,18,33784
11402,46,83,109,158,175,92,39,8,0,710,35,36,58,87,102,85,46,7,9,465,1162,1407,2446,4159,4997,3718,1185,164,27,19265
11501,141,286,378,486,594,410,116,5,0,2416,95,132,263,359,378,254,68,9,3,1561,3873,6895,10975,15793,17430,11585,2354,185,15,69105
11502,48,72,79,141,163,86,31,0,0,620,27,34,45,64,54,50,26,11,0,311,882,1226,1595,2638,3368,2419,756,112,6,13002
11503,56,73,93,144,131,82,22,4,0,605,25,18,41,77,55,47,20,3,0,286,917,1094,1664,2929,3293,1995,464,56,0,12412
11504,42,71,113,219,142,77,13,3,0,680,19,32,59,107,64,47,18,0,0,346,783,1218,2387,4224,3116,1882,416,30,0,14056
11601,95,268,517,485,449,307,53,3,0,2177,113,198,438,384,321,199,49,13,4,1719,2661,5674,14414,13083,12060,7859,1128,69,4,56952
11602,89,153,394,393,272,124,30,0,0,1455,57,99,220,207,168,94,29,0,0,874,1848,3304,9939,10778,7626,3978,544,39,3,38059
11603,102,186,321,311,305,187,30,0,0,1442,123,197,329,316,274,133,40,6,0,1418,2391,4424,9225,9557,8965,4708,625,27,0,39922
11701,25,66,146,155,158,104,26,0,0,680,25,58,132,136,84,53,19,6,0,513,690,1581,4662,4816,3833,2304,471,42,3,18402
11702,28,91,282,268,191,101,12,0,0,973,22,76,185,131,101,58,23,6,3,605,557,2571,8360,7582,4939,2602,426,46,3,27086
11703,48,308,1066,649,402,232,61,4,0,2770,56,331,906,416,268,147,75,15,6,2220,1614,11252,41895,22741,13129,7584,1747,220,31,100213
11801,48,166,540,386,307,227,87,18,3,1782,44,141,496,377,248,208,114,37,18,1683,1094,4860,20384,15281,10710,7804,2800,525,101,63559
11802,67,218,547,422,367,259,74,7,0,1961,57,167,404,285,279,171,77,21,13,1474,1872,6382,18318,15259,11976,7200,1753,230,29,63019
11901,133,332,654,686,561,345,81,7,0,2799,115,294,482,432,444,204,56,19,0,2046,2983,6544,14104,14262,14023,8212,1482,113,11,61734
11902,81,224,549,575,452,246,53,6,0,2186,71,239,505,420,380,206,35,11,0,1867,1682,4923,12913,12012,10480,5535,1029,89,11,48674
11903,98,191,363,392,468,259,55,4,0,1830,68,174,344,297,255,163,53,21,5,1380,2021,5206,12677,12120,12564,7274,1411,161,31,53465
11904,86,209,520,507,473,282,73,9,0,2159,75,205,495,377,299,195,61,18,3,1728,1799,5217,15742,13847,11801,7149,1449,132,24,57160
12001,44,91,303,272,313,190,58,6,0,1277,40,81,225,194,141,94,28,12,4,819,1186,2978,9917,9589,7980,4968,1145,122,9,37894
12002,28,77,219,221,146,111,21,5,0,828,25,42,171,147,104,63,22,8,0,582,545,1845,8220,8904,5681,3903,833,70,3,30004
12003,63,213,616,504,476,300,85,10,4,2271,70,264,525,361,353,183,56,22,6,1840,1918,6960,19377,15138,13971,8007,1566,204,28,67169
12101,46,147,302,323,312,205,55,8,0,1398,41,122,264,274,249,153,53,29,10,1195,1434,4074,12968,13095,10746,7066,1780,240,29,51432
12102,70,173,238,326,303,190,50,4,0,1354,37,61,158,184,164,87,35,7,11,744,1771,3196,7776,9963,9256,5604,1302,107,15,38990
12103,74,157,158,266,348,234,72,14,5,1328,61,100,137,223,274,195,94,29,5,1118,2526,4488,6245,11056,14053,8729,2792,484,60,50433
12104,47,98,354,289,214,160,60,4,3,1229,25,78,289,247,184,156,79,25,7,1090,839,3620,16094,12023,8501,6512,2327,328,45,50289
12201,31,53,158,130,125,68,22,0,0,587,18,29,129,112,79,50,29,14,0,460,635,1457,5388,5527,4245,2508,785,102,15,20662
12202,70,124,198,244,280,185,56,6,0,1163,55,64,89,168,192,128,57,13,3,769,1536,2155,4026,6613,7403,5282,1483,166,23,28687
12203,153,338,654,671,628,379,104,11,0,2938,85,121,342,401,338,218,85,24,8,1622,3225,5701,15036,19249,16424,9774,2529,313,33,72284
12301,83,128,234,262,185,108,21,0,0,1021,38,63,121,133,106,67,16,0,0,544,1725,2545,5896,7309,5738,3228,474,36,6,26957
12302,187,342,558,468,498,377,51,3,0,2484,155,224,420,364,384,200,57,14,3,1821,3832,7268,14440,13516,15093,9929,1326,87,6,65497
12303,70,93,136,197,140,106,17,3,0,762,33,46,72,94,82,65,14,3,0,409,1163,1673,3009,4393,4276,2699,440,39,12,17704
12401,77,135,190,268,302,209,44,6,0,1231,40,49,93,132,150,122,35,20,7,648,1982,2611,5222,8032,9250,6980,1307,130,19,35533
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,214,367,617,557,449,290,58,8,0,2560,113,199,333,362,311,180,53,7,3,1561,3935,6617,14284,14315,12953,8560,1309,75,18,62066
12404,77,105,193,169,160,85,20,0,0,809,39,61,62,83,79,63,19,3,0,409,1165,2134,3625,3655,3713,2162,398,39,0,16891
12405,72,159,216,225,207,125,17,0,0,1021,62,99,173,156,148,86,9,6,4,743,1637,2893,5475,5174,5826,3350,366,19,10,24750
12501,27,122,261,217,224,116,21,0,0,988,62,199,369,267,235,112,16,3,4,1267,817,3432,9286,6323,5706,3119,424,44,8,29159
12502,32,103,194,248,272,175,41,0,0,1065,38,83,144,151,172,100,34,15,0,737,1137,2507,5323,6336,6894,4051,906,104,9,27267
12503,117,245,493,507,416,262,47,0,0,2087,132,278,505,429,332,177,53,17,3,1926,2418,5945,13721,11610,10452,6484,1021,71,14,51736
12504,63,224,585,488,373,209,89,5,0,2036,52,157,571,304,237,144,44,9,3,1521,1791,5528,19966,13766,10273,6165,1298,84,11,58882
12601,30,64,112,143,188,106,36,3,0,682,23,42,82,78,90,52,20,6,6,399,1016,1996,3595,4488,5663,3588,798,129,15,21288
12602,79,197,440,485,495,318,87,6,0,2107,48,140,337,302,287,196,65,8,3,1386,2006,5251,14094,13669,12746,8077,1850,208,21,57922
12701,111,176,302,372,324,121,26,3,0,1435,101,195,284,234,238,150,19,5,0,1226,1998,3584,7192,8172,7950,3818,556,45,0,33315
12702,131,416,695,732,607,337,69,4,0,2991,132,354,686,653,592,335,49,17,7,2825,2951,7761,14923,14387,15215,8659,1168,113,7,65184
12703,79,188,355,409,304,192,37,3,0,1567,64,157,349,334,274,157,34,10,0,1379,1938,4346,10684,11195,9372,4965,759,54,4,43317
12801,114,258,413,434,404,246,74,11,0,1954,84,100,249,257,250,170,59,31,6,1206,2834,5172,11339,12238,11927,7980,1928,256,40,53714
12802,158,292,424,447,537,326,71,6,0,2261,82,130,186,223,226,171,42,18,7,1085,3474,5659,10345,12959,13360,8940,1553,106,10,56406
19797,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,3,9,6,12,0,0,0,33
19999,3,22,39,22,23,7,3,0,0,119,6,22,56,28,32,14,7,0,0,165,181,561,1184,709,587,371,55,0,3,3651
