region_id,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
10101,20,11,31,84,77,161,3,0,3,3,3,6,31,31,62,10473,8829,19302,973,1093,2066,707,38,745,144,15,159,69,16,85,130,61,191,742,650,1392,13379,10824,24203,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,3,0,3,7,4,11,0,0,0,0,0,0,24,12,36,12,14,26,3,0,3,39,26,65,145,65,210,191,95,286,3,3,6,0,0,0,13,3,16,16,6,22,1276,1139,2415,1321,1932,3253,270,225,495,16453,14221,30674
10102,8,3,11,135,176,311,6,0,6,0,0,0,33,23,56,11188,9370,20558,806,1152,1958,398,15,413,231,24,255,153,24,177,100,47,147,376,388,764,13434,11222,24656,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,10,27,37,20,28,48,3,4,7,33,59,92,125,102,227,166,161,327,3,0,3,3,4,7,15,7,22,21,11,32,442,617,1059,1114,1730,2844,206,190,396,15383,13931,29314
10103,5,7,12,23,11,34,0,0,0,0,0,0,7,7,14,2835,2401,5236,307,273,580,127,10,137,35,5,40,32,4,36,86,55,141,404,382,786,3861,3155,7016,0,3,3,0,0,0,0,0,0,29,8,37,6,6,12,4,0,4,39,17,56,0,0,0,0,0,0,3,0,3,0,3,3,0,3,3,3,6,9,45,8,53,87,31,118,11,0,11,0,0,0,6,3,9,17,3,20,384,375,759,460,539,999,67,67,134,4876,4170,9046
10104,8,4,12,91,66,157,5,3,8,3,3,6,11,9,20,8435,7626,16061,707,747,1454,481,16,497,140,17,157,130,26,156,133,60,193,645,614,1259,10789,9191,19980,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,7,4,11,8,11,19,0,3,3,15,18,33,98,50,148,117,71,188,0,4,4,3,0,3,6,0,6,9,4,13,853,1009,1862,1215,1918,3133,238,223,461,13221,12416,25637
10201,2225,1573,3798,339,463,802,21,4,25,4,6,10,35,42,77,22683,19520,42203,1654,1891,3545,783,10,793,276,23,299,179,55,234,225,101,326,743,757,1500,29167,24445,53612,559,382,941,9,7,16,12,3,15,1019,588,1607,170,210,380,123,22,145,1892,1212,3104,5,0,5,0,0,0,12,6,18,30,56,86,11,7,18,58,69,127,322,134,456,2272,1415,3687,304,195,499,15,8,23,20,8,28,339,211,550,1638,2199,3837,3269,5292,8561,602,536,1138,37287,34098,71385
10202,684,429,1113,270,377,647,5,0,5,4,0,4,19,17,36,21430,18329,39759,1906,1559,3465,959,24,983,258,20,278,127,15,142,164,72,236,469,502,971,26295,21344,47639,156,98,254,0,0,0,4,0,4,357,247,604,65,75,140,29,4,33,611,424,1035,0,0,0,0,0,0,10,7,17,24,54,78,3,3,6,37,64,101,278,94,372,926,582,1508,120,86,206,14,8,22,9,3,12,143,97,240,790,1293,2083,2703,4420,7123,560,474,1034,31417,28210,59627
10301,11,6,17,42,44,86,3,3,6,0,0,0,34,21,55,7157,6094,13251,609,634,1243,294,11,305,88,13,101,100,13,113,72,34,106,530,403,933,8940,7276,16216,0,0,0,0,0,0,0,0,0,0,6,6,3,0,3,0,0,0,3,6,9,0,0,0,0,0,0,9,0,9,0,4,4,0,0,0,9,4,13,76,35,111,88,45,133,0,0,0,4,0,4,6,0,6,10,0,10,457,526,983,876,1324,2200,161,141,302,10532,9312,19844
10302,6,3,9,159,54,213,4,3,7,0,0,0,21,28,49,7099,6080,13179,778,605,1383,474,15,489,105,15,120,93,11,104,219,62,281,792,639,1431,9750,7515,17265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,20,5,25,5,0,5,0,3,3,25,8,33,106,35,141,135,43,178,0,0,0,0,0,0,13,3,16,13,3,16,1426,1171,2597,904,1386,2290,266,217,483,12494,10335,22829
10303,31,21,52,34,33,67,3,3,6,0,0,0,29,36,65,6418,5018,11436,621,486,1107,329,18,347,73,10,83,54,16,70,78,39,117,426,440,866,8096,6120,14216,0,6,6,0,0,0,3,0,3,16,3,19,0,3,3,0,3,3,19,15,34,0,0,0,0,0,0,0,3,3,3,0,3,0,3,3,3,6,9,75,28,103,97,49,146,3,3,6,0,4,4,10,3,13,13,10,23,573,579,1152,930,1198,2128,170,134,304,9879,8090,17969
10304,0,6,6,126,64,190,0,4,4,0,0,0,31,36,67,8942,7696,16638,893,821,1714,385,16,401,109,8,117,93,15,108,98,44,142,595,413,1008,11272,9123,20395,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,21,4,25,10,8,18,3,3,6,34,15,49,94,65,159,134,80,214,0,3,3,0,0,0,8,3,11,8,6,14,661,744,1405,1083,1543,2626,205,170,375,13363,11666,25029
