SA3_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
10102,319,106,693,10765,13925,5733,3732,7805,4139,46101
10103,168,127,449,3420,4364,1950,1567,2705,2083,16097
10104,991,565,2389,9932,15966,9223,7133,11036,6743,60033
10105,297,269,892,5488,7491,3687,3001,5856,3646,29165
10106,317,239,839,5545,7727,3922,3392,5050,3046,28685
10201,2425,1220,5691,30489,38033,18076,13661,27613,10932,138818
10202,1934,1233,4585,25923,32382,15827,13387,29392,11576,128494
10301,421,228,1008,7622,9951,4636,3718,6847,4780,37548
10302,763,416,1749,7868,10360,5600,5242,9675,5778,44522
10303,500,199,1051,6364,9080,4856,4462,7589,5499,37851
10304,621,215,1262,9305,12215,5707,4604,9217,4271,45320
10401,801,283,1614,6846,10388,5847,5502,8654,4798,42036
10402,941,676,2437,13440,19135,9645,7519,13600,7057,70390
10501,217,106,444,3130,4179,1949,1848,4652,3274,19041
10502,305,131,625,2633,3960,1900,1773,4475,2048,16795
10503,803,318,1677,10350,13870,6797,5729,11667,6904,55318
10601,753,319,1581,12795,17544,8850,8373,14658,7534,69748
10602,562,253,1248,12294,15809,7754,6320,11722,4027,57916
10603,845,369,1840,10761,15263,8263,6634,12066,5825,58816
10604,230,138,553,4519,6044,2891,2721,4650,2840,23662
10701,966,363,1940,12349,15176,7611,6278,14984,4538,60943
10702,0,0,0,0,3,0,0,4,0,8
10703,823,513,2076,15093,19049,9762,7633,15298,5797,72628
10704,1603,469,3312,25183,28852,12716,9008,22909,7489,106148
10801,644,342,1449,4314,6587,3778,3133,6050,2982,26840
10802,658,452,1573,6272,9255,5472,4876,8647,5468,39985
10803,3,5,10,68,102,39,27,55,41,327
10804,1406,558,2981,12041,17481,9162,7133,13398,6246,65458
10805,704,457,1734,7196,11034,6537,5847,9527,4745,44882
10901,751,348,1587,10440,13192,6220,4633,10179,4790,49454
10902,114,50,245,1742,2450,1186,1067,2233,1514,10189
10903,620,336,1373,6259,8321,4413,3745,7550,4418,34709
11001,343,164,825,6356,8369,3717,2796,5969,3128,30334
11002,421,281,1050,5198,7327,4052,3925,6511,4296,31309
11003,153,116,406,3504,4693,2280,2068,4485,3024,20053
11004,934,396,1969,12179,16296,8338,6930,13208,7282,64232
11101,1338,683,3279,20839,27241,13600,10002,19936,6432,98050
11102,1062,551,2330,12259,16309,8387,6753,13373,4444,61527
11103,1426,1345,4317,33047,37945,15999,11108,27574,10439,136118
11201,1016,654,2584,13184,18015,8826,6314,11119,7820,65274
11202,868,371,1878,10556,15082,7779,6467,10979,6334,57199
11203,1592,923,3581,14673,19386,9911,7485,16487,8101,76052
11301,468,347,1216,7353,8978,4410,3740,8685,5038,38201
11302,156,145,430,1963,2799,1573,1408,2383,1698,11823
11303,1100,415,2309,15244,19448,9224,7592,15505,7806,74820
11401,1283,800,3158,14587,21350,11627,9508,16815,9298,83202
11402,600,301,1430,7942,10860,5729,4424,6907,3618,39475
11501,1165,684,2906,28907,31521,15183,11201,23109,4825,114744
11502,312,65,608,4887,5654,2940,2427,3936,1425,21273
11503,102,42,259,4274,5567,2691,2224,3197,1757,19711
11504,98,30,230,6211,6813,3339,2405,5073,1216,25058
11601,1058,318,1998,22831,25461,11076,9903,30665,7344,107280
11602,260,57,488,16694,19119,8130,6422,15166,4469,70004
11603,719,120,1084,16544,17445,7550,7956,28135,7396,85030
11701,298,186,765,9423,8996,3386,2484,11046,3437,38768
11702,492,79,856,14063,12894,4034,2386,9308,4266,46956
11703,744,510,1811,60736,44152,9995,5313,52231,27141,199572
11801,1280,673,3166,33343,26556,8722,5443,20279,12250,106594
11802,1492,568,3181,32604,29010,10142,6566,29293,12074,119690
11901,2150,541,4028,27309,27572,12780,12301,44123,10666,134748
