SA3_CODE_2016,R_0_74_LT_Real_estate_agent,R_0_74_LT_Ste_terr_hsg_auth,R_0_74_LT_Psn_not_Sme_hhd,R_0_74_LT_hs_coop_com_ch_g,R_0_74_LT_Other_Lld_type,R_0_74_LT_Lld_type_ns,R_0_74_Tot,R_75_99_LT_Real_estate_agent,R_75_99_LT_Ste_terr_hsg_auth,R_75_99_LT_Psn_not_Sme_hhd,R_75_99_LT_hs_coop_com_ch_g,R_75_99_LT_Other_Lld_type,R_75_99_LT_Lld_type_ns,R_75_99_Tot,R_100_149_LT_Real_eSte_agent,R_100_149_LT_St_ter_hsg_aut,R_100_149_LT_Psn_not_Sme_hhd,R_100_149_LT_hs_coop_com_ch_g,R_100_149_LT_Other_Lld_type,R_100_149_LT_Lld_type_ns,R_100_149_Tot,R_150_199_LT_Real_eSte_agent,R_150_199_LT_Ste_ter_hsg_aut,R_150_199_LT_Psn_not_Sme_hhd,R_150_199_LT_hs_coop_com_ch_g,R_150_199_LT_Other_Lld_type,R_150_199_LT_Lld_type_ns,R_150_199_Tot,R_200_224_LT_Real_eSte_agent,R_200_224_LT_Ste_ter_hsg_aut,R_200_224_LT_Psn_not_Sme_hhd,R_200_224_LT_hs_coop_com_ch_g,R_200_224_LT_Other_Lld_type,R_200_224_LT_Lld_type_ns,R_200_224_Tot,R_225_274_LT_Real_eSte_agent,R_225_274_LT_Ste_ter_hsg_aut,R_225_274_LT_Psn_not_Sme_hhd,R_225_274_LT_hs_coop_com_ch_g,R_225_274_LT_Other_Lld_type,R_225_274_LT_Lld_type_ns,R_225_274_Tot,R_275_349_LT_Real_eSte_agent,R_275_349_LT_Ste_ter_hsg_aut,R_275_349_LT_Psn_not_Sme_hhd,R_275_349_LT_hs_coop_com_ch_g,R_275_349_LT_Other_Lld_type,R_275_349_LT_Lld_type_ns,R_275_349_Tot,R_350_449_LT_Real_eSte_agent,R_350_449_LT_Ste_ter_hsg_aut,R_350_449_LT_Psn_not_Sme_hhd,R_350_449_LT_hs_coop_com_ch_g,R_350_449_LT_Other_Lld_type,R_350_449_LT_Lld_type_ns,R_350_449_Tot,R_450_549_LT_Real_eSte_agent,R_450_549_LT_Ste_ter_hsg_aut,R_450_549_LT_Psn_not_Sme_hhd,R_450_549_LT_hs_coop_com_ch_g,R_450_549_LT_Other_Lld_type,R_450_549_LT_Lld_type_ns,R_450_549_Tot,R_550_649_LT_Real_eSte_agent,R_550_649_LT_Ste_ter_hsg_aut,R_550_649_LT_Psn_not_Sme_hhd,R_550_649_LT_hs_coop_com_ch_g,R_550_649_LT_Other_Lld_type,R_550_649_LT_Lld_type_ns,R_550_649_Tot,R_650_749_LT_Real_eSte_agent,R_650_749_LT_Ste_ter_hsg_aut,R_650_749_LT_Psn_not_Sme_hhd,R_650_749_LT_hs_coop_com_ch_g,R_650_749_LT_Other_Lld_type,R_650_749_LT_Lld_type_ns,R_650_749_Tot,R_750_849_LT_Real_eSte_agent,R_750_849_LT_Ste_ter_hsg_aut,R_750_849_LT_Psn_not_Sme_hhd,R_750_849_LT_hs_coop_com_ch_g,R_750_849_LT_Other_Lld_type,R_750_849_LT_Lld_type_ns,R_750_849_Tot,R_850_949_LT_Real_estat_agent,R_850_949_LT_Ste_ter_hsg_aut,R_850_949_LT_Psn_not_Sme_hhd,R_850_949_LT_hs_coop_com_ch_g,R_850_949_LT_Other_Lld_type,R_850_949_LT_Lld_type_ns,R_850_949_Tot,R_950_over_LT_Real_eSte_agent,R_950_over_LT_Ste_ter_hsg_aut,R_950_over_LT_Psn_not_Sme_hhd,R_950_ovr_LT_hs_coop_com_ch_g,R_950_over_LT_Other_Lld_type,R_950_over_LT_Lld_type_ns,R_950_over_Tot,Rent_ns_LT_Real_eSte_agent,Rent_ns_LT_Ste_ter_hsg_auth,Rent_ns_LT_Psn_not_Sme_hhd,Rent_ns_LT_hs_coop_com_ch_g,Rent_ns_LT_Other_Lld_type,Rent_ns_LT_Lld_type_ns,Rent_ns_Tot,Tot_LT_Real_eSte_agent,Tot_LT_Ste_ter_hsg_auth,Tot_LT_Psn_not_Sme_hhd,Tot_LT_hs_coop_com_ch_g,Tot_LT_Other_Lld_type,Tot_LT_Lld_type_ns,Tot_Tot
10102,7,21,70,4,22,76,201,5,23,6,0,7,0,40,24,181,35,13,19,0,261,252,130,91,37,20,4,527,332,55,68,13,11,3,485,490,60,141,10,118,3,817,635,47,203,10,157,0,1056,935,71,269,6,54,4,1331,375,8,141,0,11,0,545,177,0,45,0,5,0,230,61,0,15,0,6,0,79,20,0,6,0,0,0,29,11,0,3,0,0,0,10,9,0,5,0,3,0,14,51,36,39,10,21,7,155,3372,625,1134,101,444,100,5782
10103,4,6,66,0,49,68,195,4,4,14,3,7,0,45,61,24,56,8,17,3,171,136,17,92,8,18,3,281,99,10,83,9,16,0,219,211,23,100,3,13,0,349,163,3,62,0,20,0,253,121,0,40,0,14,0,176,16,0,3,0,0,0,27,5,0,7,0,3,0,15,5,0,5,0,0,3,19,6,0,0,0,7,0,10,3,0,0,0,5,0,3,14,0,6,0,3,0,25,11,6,33,0,17,0,73,879,94,577,39,188,78,1857
10104,5,20,177,3,51,147,405,4,31,15,15,15,0,78,45,244,154,51,26,12,536,276,167,246,60,53,9,813,316,62,265,16,25,7,701,746,67,338,18,30,12,1209,1057,81,406,10,30,11,1600,761,9,205,7,15,4,1002,68,0,32,0,4,0,97,8,0,7,0,0,0,13,3,0,3,0,0,0,10,0,0,3,0,0,0,5,0,0,0,0,0,0,3,7,0,7,0,0,0,17,52,46,81,11,25,7,222,3349,736,1935,207,278,208,6707
10105,6,42,97,9,38,72,259,3,33,14,12,0,0,63,50,194,59,31,24,3,362,177,113,110,39,16,12,467,147,38,112,5,7,3,313,366,51,119,3,16,3,561,639,30,161,3,20,4,857,364,8,75,0,9,3,454,56,0,14,0,0,0,70,3,0,3,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,33,24,37,12,22,0,127,1842,530,800,112,153,102,3537
10106,3,6,145,3,90,128,383,3,4,6,15,11,0,42,52,32,95,26,18,7,220,185,68,121,21,24,4,418,146,34,124,3,19,4,336,337,31,129,4,21,0,513,319,18,128,0,7,3,483,170,0,76,0,5,3,261,39,0,34,0,3,0,78,21,0,12,0,0,0,36,6,0,5,0,0,0,13,0,0,3,0,0,0,9,0,0,0,0,0,0,3,3,0,4,0,0,0,12,18,13,44,4,38,0,127,1303,209,938,84,238,161,2932
10201,10,90,210,16,30,184,547,4,73,17,10,9,7,120,25,797,85,62,38,14,1019,154,313,160,102,70,12,818,215,146,228,25,29,8,639,597,119,292,28,57,12,1103,1958,172,560,15,52,19,2779,4355,83,796,10,40,14,5299,1871,9,292,9,16,8,2201,682,5,99,0,6,3,794,243,4,22,0,0,0,271,94,0,22,0,0,0,114,37,0,8,0,0,0,39,45,0,13,0,3,3,60,128,117,127,30,28,17,444,10420,1925,2920,314,372,294,16245
10202,12,57,183,13,32,139,446,6,64,7,30,7,0,113,27,572,69,30,56,6,759,198,340,187,107,186,17,1035,268,166,227,39,65,6,769,687,126,382,60,58,10,1321,2818,171,823,24,56,22,3922,4230,61,726,11,54,15,5098,1596,5,213,0,20,6,1837,243,3,50,0,7,0,300,59,0,12,0,4,0,72,16,0,6,0,0,0,23,7,0,3,0,0,0,15,15,0,10,0,3,0,22,122,99,126,39,38,24,444,10304,1661,3021,350,585,254,16177
10301,12,24,82,12,37,64,233,3,31,12,8,4,0,64,69,191,69,19,20,8,371,228,111,109,6,8,5,475,207,65,133,3,8,3,421,604,38,160,6,12,6,831,960,54,225,21,18,4,1279,759,12,104,17,5,3,901,81,0,7,0,0,0,95,10,0,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,42,31,36,22,22,10,165,2990,564,947,119,134,107,4853
10302,3,50,267,53,174,199,746,15,36,46,30,21,0,146,226,279,265,58,58,10,899,557,180,401,54,62,18,1287,352,70,262,5,38,10,730,514,38,234,9,36,10,833,279,12,125,3,22,3,445,49,0,40,0,7,0,101,3,5,4,0,0,0,13,0,0,4,0,0,0,9,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,8,0,3,0,15,25,32,86,27,66,10,246,2033,699,1748,237,494,258,5473
10303,12,40,150,0,64,116,384,3,24,11,0,0,0,43,63,191,86,3,16,3,364,256,151,164,24,21,8,630,225,72,148,9,20,0,473,490,69,168,6,24,3,757,738,59,147,0,18,4,969,474,15,67,3,3,3,566,74,0,11,0,3,0,93,9,0,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,3,33,43,45,3,22,14,169,2390,664,1005,58,187,151,4468
