SA3_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
10102,578,97,693,9637,3340,354,13330,28803,3971,46101
10103,334,116,449,2853,960,91,3908,10253,1939,16097
10104,1843,526,2389,8499,4033,400,12930,40926,6175,60033
10105,629,254,892,5206,2282,233,7723,18040,3409,29165
10106,610,218,839,5586,2258,239,8085,17819,2786,28685
10201,4515,1132,5691,26909,11738,1331,39975,88534,10309,138818
10202,3383,1161,4585,25232,10824,1207,37257,80335,10903,128494
10301,772,215,1008,7282,3117,314,10715,22307,4528,37548
10302,1360,368,1749,7710,3234,347,11288,27898,5332,44522
10303,865,179,1051,6724,2747,290,9756,22976,5117,37851
10304,1039,199,1262,9706,3787,475,13963,27429,3931,45320
10401,1349,255,1614,6345,3074,357,9773,27824,4440,42036
10402,1753,658,2437,12810,5132,624,18560,45116,6711,70390
10501,337,90,444,3095,1116,99,4307,11692,3037,19041
10502,505,115,625,2634,1229,106,3977,10909,1904,16795
10503,1358,297,1677,10326,4277,480,15081,33700,6530,55318
10601,1275,282,1581,14423,6408,635,21469,41192,7085,69748
10602,1009,232,1248,13838,5241,681,19762,34342,3821,57916
10603,1505,316,1840,10242,4959,503,15700,37593,5516,58816
10604,429,118,553,5141,1698,182,7022,14066,2580,23662
10701,1586,341,1940,11989,5645,560,18189,38580,4177,60943
10702,0,0,0,0,0,0,0,8,0,8
10703,1573,480,2076,14868,7147,724,22740,44458,5431,72628
10704,2821,435,3312,20371,8922,920,30213,68853,7078,106148
10801,1117,329,1449,3598,1752,130,5477,18635,2726,26840
10802,1157,409,1573,5840,2705,252,8790,26098,5101,39985
10803,12,0,10,54,17,5,78,211,38,327
10804,2452,511,2981,10975,4559,485,16016,43676,5771,65458
10805,1300,411,1734,6765,3330,309,10406,30172,4302,44882
10901,1248,323,1587,9631,3842,442,13908,30986,4559,49454
10902,193,45,245,1719,763,61,2541,6222,1426,10189
10903,1049,309,1373,5609,2523,231,8361,22233,4115,34709
11001,670,151,825,5285,1946,196,7432,19942,2965,30334
11002,765,265,1050,5055,2114,209,7380,19970,3955,31309
11003,289,109,406,3746,1454,167,5369,11859,2829,20053
11004,1576,363,1969,12331,4896,569,17794,39666,6769,64232
11101,2611,628,3279,19797,10032,921,30752,61333,5963,98050
11102,1808,514,2330,12057,5935,530,18520,38830,4175,61527
11103,2976,1279,4317,25371,11300,1124,37794,88445,9879,136118
11201,1936,628,2584,11620,4562,538,16719,41022,7528,65274
11202,1524,334,1878,9809,4302,557,14664,36672,5861,57199
11203,2716,835,3581,13249,5588,557,19390,49123,7532,76052
11301,884,317,1216,7181,2839,246,10266,23213,4725,38201
11302,288,138,430,2075,850,70,2998,7238,1591,11823
11303,1908,368,2309,14298,5777,597,20670,46850,7300,74820
11401,2396,743,3158,13170,6462,654,20279,54147,8770,83202
11402,1133,274,1430,7144,3125,326,10591,25493,3394,39475
11501,2206,655,2906,27259,9213,701,37177,72815,4756,114744
11502,552,49,608,4383,1822,148,6356,13592,1319,21273
11503,219,36,259,4217,1650,193,6061,11949,1704,19711
11504,198,24,230,7056,1895,223,9175,14710,1173,25058
11601,1686,293,1998,23658,7153,640,31449,68824,7007,107280
11602,421,58,488,20381,4507,567,25456,40210,4342,70004
11603,969,106,1084,18487,5587,632,24707,53436,6889,85030
11701,573,172,765,7609,2017,174,9804,25666,3299,38768
11702,762,79,856,7708,2315,295,10313,32466,4171,46956
11703,1298,475,1811,16485,5946,481,22915,149928,26727,199572
11801,2454,631,3166,19167,6245,523,25940,68558,12101,106594
11802,2586,525,3181,20467,6222,603,27287,80648,11760,119690
11901,3495,470,4028,27076,7898,668,35646,89061,10037,134748
11902,2264,293,2601,22223,5440,429,28091,71809,8139,108033
11903,2913,433,3409,20748,6660,478,27883,72069,6079,106028
11904,2602,722,3379,21441,6138,432,28016,78694,8816,115524
12001,1784,192,2011,14198,4193,294,18688,47787,4787,71258
12002,635,80,726,10116,2431,354,12906,28858,4037,45798
12003,2957,394,3410,22305,6082,587,28969,91429,9612,130010
12101,2188,275,2514,21218,4946,530,26696,58974,5388,91054
12102,1353,157,1532,16364,4489,463,21312,39904,2944,64158
12103,3315,661,4039,23239,7102,601,30941,58926,4554,94421
12104,1676,348,2052,14067,5031,328,19425,54471,6853,80751
12201,682,192,892,7707,2257,251,10212,21194,2606,34011
12202,1264,369,1651,11072,4283,393,15747,29767,3173,48692
12203,3570,754,4399,28804,8684,964,38451,74145,7720,120319
12301,659,195,868,13016,4030,506,17555,27597,2368,47522
12302,1211,460,1695,26407,9617,861,36884,78004,9502,124387
12303,446,151,605,7407,2787,293,10487,19189,2497,32176
12401,1409,195,1622,12607,5667,666,18945,40029,3678,62651
12402,0,0,0,0,0,0,0,3,0,3
12403,1487,205,1715,25433,9128,1089,35658,66696,7300,109652
12404,557,125,693,5726,2313,243,8285,18173,3154,29613
12405,450,81,535,8784,3225,289,12296,27223,3348,42867
12501,856,129,998,13281,2998,270,16551,49840,7625,74020
12502,1069,201,1287,12277,3471,298,16044,34837,2975,53851
12503,2325,357,2710,23452,6457,512,30428,78333,9763,118524
12504,2197,363,2597,26412,5538,502,32446,72261,8816,113525
12601,1013,126,1149,8706,2857,245,11808,25641,1481,38919
12602,3280,440,3780,22621,6382,512,29518,76544,6234,112299
12701,711,91,815,17513,4818,437,22765,49801,6232,78799
12702,2835,298,3187,25596,8563,561,34715,106547,9428,150687
12703,1304,217,1547,20264,5054,464,25780,57065,8242,91086
12801,3116,406,3563,18777,7758,588,27126,57446,5456,90027
12802,2151,201,2381,20186,8059,719,28962,53699,3639,86302
19797,6,0,10,39,37,0,79,226,76,374
19999,49,28,78,847,475,45,1373,6811,3361,11545
