SA3_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
10102,0,0,6,22,9,5,0,0,0,50,0,0,0,5,11,8,7,0,0,27,0,0,4,4,9,3,4,0,0,29,3,15,32,187,85,103,67,50,38,576,100,238,220,607,331,297,231,104,50,2173,1731,3664,3397,8022,4585,3517,2155,986,441,28501,0,0,0,7,0,0,0,0,0,12,3385,6617,5870,11557,6671,4930,2640,973,366,43014,8,13,12,130,3,3,0,0,0,166,0,0,0,4,5,7,0,8,0,33,0,4,0,9,4,0,0,0,0,19,0,6,3,33,25,17,15,4,3,117,0,0,0,13,12,12,5,0,0,44,4,11,15,94,42,24,14,3,0,210,0,0,4,9,19,40,50,44,7,170,10,5,0,24,0,8,7,0,0,48,11,75,63,259,459,370,300,166,44,1745,0,8,13,64,25,11,6,0,0,123,0,6,6,19,10,11,8,3,0,62,0,0,12,25,30,55,109,40,23,295
10103,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,0,0,6,17,28,21,45,14,9,140,16,78,81,204,167,120,113,77,59,918,418,1132,989,2145,1456,1319,1054,555,281,9354,0,0,0,0,0,0,0,0,0,0,848,2165,1845,3532,2182,2059,1417,659,259,14974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,15,26,5,5,3,0,0,58,0,0,0,0,0,3,0,0,0,3,0,0,6,14,8,5,3,4,0,48,0,0,0,0,5,4,4,3,0,17,0,0,0,0,0,0,0,3,0,4,0,7,23,80,117,142,147,85,26,634,0,0,0,3,3,3,0,3,0,14,0,0,0,9,4,8,3,0,0,28,0,0,4,10,21,24,70,48,17,187
10104,0,0,0,18,6,0,3,0,0,31,0,0,0,3,3,11,17,3,4,45,0,0,0,0,0,8,3,0,0,13,3,3,10,67,70,76,116,66,19,434,79,232,225,513,447,612,556,367,192,3228,1445,3692,2965,6065,4865,6742,5775,3008,1462,36029,0,0,0,0,0,0,0,0,0,0,2754,7009,5455,9664,7272,9858,7999,3831,1609,55451,0,0,0,6,0,0,0,0,0,11,0,0,0,0,3,0,0,3,3,11,0,0,0,0,0,3,0,0,0,4,0,9,3,34,18,33,27,7,3,125,0,0,3,4,5,7,10,6,0,43,0,5,3,22,21,4,8,11,3,76,0,0,0,0,5,14,51,51,6,123,0,0,0,3,0,6,8,3,6,29,11,35,34,154,406,775,1077,578,209,3276,0,0,0,12,5,6,9,0,0,32,0,0,3,9,14,17,10,11,8,63,0,6,0,20,52,98,222,120,41,557
10105,0,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,3,3,0,8,0,0,3,3,0,3,0,0,0,17,3,13,15,49,16,20,21,11,5,147,58,113,132,298,213,205,193,155,62,1433,983,2055,1827,3998,2449,2471,2016,1180,571,17572,0,0,3,0,3,0,0,0,0,6,1926,3955,3523,6669,4015,3933,3073,1646,702,29448,0,0,0,18,0,0,0,0,0,18,0,0,0,4,0,0,0,0,0,3,0,0,3,6,3,0,3,0,0,18,0,3,0,9,3,7,8,0,0,33,0,0,0,3,4,3,5,3,0,19,0,3,3,43,15,9,0,3,0,82,0,0,0,5,3,5,4,3,0,23,0,0,0,3,4,5,4,4,0,20,3,16,6,87,138,179,245,104,34,819,0,0,3,12,7,4,0,0,0,34,0,3,3,8,4,4,5,0,0,27,0,0,0,16,13,20,36,19,13,121
10106,0,0,0,6,0,0,0,0,0,9,0,0,0,3,10,0,4,0,0,17,0,0,0,4,0,0,0,0,0,10,3,4,8,44,32,24,21,6,3,149,52,126,143,292,214,216,199,111,48,1402,1065,2465,2005,3978,2652,2432,2046,1087,536,18257,0,0,0,0,0,0,0,0,0,3,2077,4679,3518,6433,4232,3884,3132,1597,677,30228,0,0,0,12,0,0,0,0,0,11,0,0,3,3,0,4,3,3,0,11,0,0,0,0,4,0,3,0,0,9,0,3,0,16,11,6,3,3,0,43,0,0,0,4,0,3,5,0,0,11,0,0,5,22,5,9,6,7,0,61,0,0,0,6,7,8,16,3,0,35,0,0,0,0,0,0,4,5,0,7,5,21,31,98,162,203,250,101,32,908,0,0,3,12,3,3,0,0,0,17,0,0,0,5,0,3,6,3,0,21,0,0,3,7,17,20,38,18,12,109
10201,0,3,6,51,24,14,3,0,0,107,0,4,3,34,21,23,26,21,12,144,0,3,7,29,17,12,7,3,0,72,15,69,49,446,269,217,227,136,56,1488,202,413,436,1112,712,681,733,628,533,5457,4604,10089,9240,19561,11986,11773,10084,6251,3575,87173,0,0,3,3,0,0,0,0,0,7,8969,18530,16670,29158,16526,16086,12863,7286,3694,129785,0,3,7,38,8,0,0,0,0,56,0,0,3,10,5,7,8,12,0,39,0,0,0,15,4,5,5,0,0,33,3,30,38,133,86,57,31,13,10,400,0,0,0,32,40,23,50,18,9,172,8,47,61,381,184,158,126,56,18,1043,0,0,4,12,19,40,36,32,3,151,0,5,3,26,19,48,65,38,19,213,54,422,407,1455,1670,1644,1876,1175,513,9222,0,3,5,77,55,44,30,19,3,226,0,6,8,59,35,37,29,15,4,193,3,19,15,98,86,97,212,91,75,699
10202,0,5,8,50,4,9,3,0,0,74,0,5,0,12,8,11,25,17,3,88,0,3,13,18,11,3,3,7,4,62,4,17,32,212,143,168,183,103,33,898,203,443,516,1080,753,778,782,653,479,5686,4692,9874,9480,18819,10592,10533,9256,5727,2834,81803,0,0,3,6,3,7,0,3,0,16,9114,19053,17342,30251,15875,14937,12021,6947,3067,128598,0,0,3,10,0,0,0,0,0,20,0,0,0,3,9,9,3,7,0,33,0,0,0,24,6,0,3,0,0,34,0,8,9,63,22,29,19,7,4,164,0,5,3,20,37,28,27,7,3,134,0,25,25,137,97,92,62,20,4,455,0,0,0,5,21,26,28,31,6,112,0,0,4,10,4,32,47,24,8,134,11,147,176,644,1031,1161,1357,1026,355,5906,0,3,8,57,29,37,12,12,0,157,0,3,0,25,17,9,20,7,3,91,0,0,5,40,44,71,184,77,47,477
10301,0,3,0,12,6,0,0,0,0,29,0,0,0,0,5,4,0,3,0,15,0,0,3,4,7,6,0,0,0,17,0,6,15,38,30,25,30,15,8,159,71,158,305,359,255,263,237,189,133,1977,1367,2984,3281,5319,3032,2897,2329,1281,664,23152,0,3,4,9,0,0,0,0,0,12,2662,5701,5863,9257,4823,4596,3441,1662,704,38707,0,3,3,22,0,3,0,0,0,37,0,0,0,3,3,0,3,0,0,11,0,0,0,4,0,3,0,0,0,11,0,4,3,23,13,6,11,3,0,56,0,0,0,3,3,0,3,0,0,12,0,4,17,51,21,14,16,3,0,134,0,0,0,6,3,6,11,3,0,28,0,0,7,11,0,0,3,0,0,19,0,17,48,108,145,192,253,137,44,943,0,3,4,12,8,12,10,0,0,49,0,0,0,5,7,3,3,0,0,23,0,0,0,10,14,18,54,15,9,125
10302,0,0,0,5,0,3,0,0,0,15,0,0,0,0,0,0,4,0,0,8,0,0,3,4,4,0,0,0,0,14,0,10,7,27,12,24,20,12,8,116,122,264,281,576,429,395,381,303,168,2922,1696,3625,3002,5757,3600,3743,3180,2162,1108,27879,0,0,0,0,0,0,0,0,0,3,3135,6730,5429,9472,5831,6342,5186,3237,1372,46724,0,0,0,4,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,8,8,13,0,4,7,0,0,35,0,0,0,0,0,3,0,0,0,7,0,4,4,42,18,20,14,3,0,103,0,0,0,0,3,3,10,3,4,22,0,0,0,11,0,0,3,0,0,13,0,7,7,67,115,132,197,114,40,687,0,0,7,12,7,9,0,0,0,35,0,0,0,0,3,3,3,0,0,11,0,0,0,6,12,11,42,16,9,100
10303,0,0,9,17,5,4,0,0,0,31,0,0,0,0,7,4,3,0,0,14,0,0,0,3,0,3,0,0,0,8,0,7,4,25,29,29,24,28,4,150,129,273,241,574,379,412,389,225,87,2702,1442,2803,2280,5130,3209,3190,2806,1568,667,23085,0,0,0,3,0,0,0,0,0,4,2667,5208,4280,8359,5041,4870,4102,2082,771,37385,0,0,0,11,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,10,0,0,0,4,0,0,0,0,0,8,0,3,3,12,5,8,0,3,0,41,0,0,0,3,3,5,12,0,0,15,0,5,0,29,14,16,14,0,3,85,0,0,0,0,5,9,4,10,0,32,0,0,0,4,3,0,4,0,0,16,0,9,15,96,197,239,315,195,58,1129,0,0,5,19,8,5,7,3,0,37,0,0,0,7,3,4,9,3,3,23,0,0,0,5,14,31,71,21,17,156
