SA3_CODE_2016,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
10102,84,94,170,39,61,102,74,217,292,69,388,461,241,724,973,245,388,638,574,443,1012,567,503,1072,803,610,1418,811,505,1318,772,440,1212,859,309,1166,1884,484,2374,1534,36,1567,1264,37,1297,1009,174,1180,2255,25,2277,1480,80,1560,161,213,375,14716,5740,20459
10103,27,51,77,30,37,65,43,138,179,35,244,279,144,438,581,132,268,402,417,234,645,288,263,554,422,185,616,435,128,559,329,92,415,325,67,395,596,89,681,366,19,387,206,5,215,143,36,173,212,11,222,527,46,579,83,142,220,4762,2494,7259
10104,139,197,340,128,153,281,184,561,736,165,1013,1177,818,2265,3087,722,1093,1812,2342,836,3177,1699,859,2563,2232,648,2881,2011,381,2395,1107,222,1327,1123,158,1285,1770,175,1945,945,16,962,512,13,517,264,110,370,482,11,489,1930,120,2047,358,560,918,18925,9385,28317
10105,61,91,152,56,77,130,71,242,314,82,434,520,293,894,1190,270,422,684,790,327,1116,659,358,1017,787,317,1104,785,188,976,572,172,746,595,125,724,1088,141,1223,705,25,734,451,8,457,240,68,303,433,9,439,881,41,929,183,235,423,9002,4170,13180
10106,68,65,132,46,62,105,60,197,257,76,322,398,289,796,1084,277,358,637,765,317,1078,586,343,933,805,285,1087,759,169,926,584,151,736,588,104,689,1013,155,1166,708,18,729,472,11,481,355,51,400,847,7,855,969,41,1008,156,244,400,9422,3676,13102
10201,292,468,760,183,230,414,243,911,1154,267,1671,1945,1085,3908,4991,1150,2134,3289,3331,1547,4880,2847,1530,4374,3622,1388,5014,3563,967,4532,2709,693,3408,2893,595,3484,5556,780,6330,3835,123,3954,2494,68,2566,1738,330,2069,3355,55,3408,4485,357,4843,652,1143,1798,44306,18893,63202
10202,310,384,694,184,207,387,291,848,1134,318,1594,1913,1224,3805,5031,1307,1828,3133,4080,1304,5385,2919,1483,4402,3632,1288,4919,3653,782,4432,2910,589,3502,2787,375,3160,4978,437,5417,3217,88,3300,1791,31,1824,1120,179,1297,1729,27,1750,3856,275,4131,765,1261,2029,41071,16771,57847
10301,71,110,175,47,66,114,92,300,389,91,397,483,311,973,1285,349,482,829,837,416,1253,692,444,1136,943,428,1375,993,310,1304,761,243,1002,739,189,934,1416,191,1608,987,26,1015,670,18,685,367,68,436,584,8,598,1101,117,1217,192,249,439,11249,5032,16280
10302,130,141,269,91,95,184,148,443,591,158,815,968,538,1505,2042,516,638,1154,1474,580,2050,1093,561,1650,1456,442,1896,1248,274,1522,858,179,1038,883,133,1018,1468,176,1639,807,19,817,487,6,501,261,89,350,507,4,514,1431,56,1490,359,519,878,13900,6681,20578
10303,85,153,237,85,99,180,122,387,513,129,630,756,476,1353,1834,423,495,921,1227,436,1666,840,392,1233,1011,396,1402,880,235,1115,640,148,785,667,170,831,1190,227,1420,793,16,807,473,12,483,321,80,404,666,17,684,1156,59,1216,259,380,641,11444,5677,17128
10304,100,151,250,87,96,179,103,383,492,92,636,733,407,1161,1565,464,536,1002,1118,485,1607,865,519,1381,1190,531,1727,1224,317,1542,892,278,1167,990,199,1193,1858,236,2099,1235,37,1272,805,24,827,493,109,605,987,23,1012,1419,90,1514,247,355,604,14581,6174,20755
10401,99,125,228,91,93,179,125,413,537,126,656,783,622,1652,2276,595,696,1288,1851,548,2397,1268,524,1795,1444,389,1839,1217,182,1405,807,164,975,778,107,888,1135,119,1250,634,9,645,348,6,354,193,69,258,290,3,298,1286,110,1397,246,404,649,13158,6290,19441
10402,161,213,370,98,101,202,154,615,769,168,1053,1218,796,2159,2953,825,1087,1916,2323,888,3214,1870,892,2763,2265,764,3029,2181,448,2627,1513,288,1801,1448,231,1680,2383,237,2623,1416,61,1480,777,22,798,496,114,608,819,31,849,2174,183,2362,346,573,919,22200,9970,32171
10501,67,70,139,37,38,79,61,247,310,70,357,430,242,560,807,210,205,417,528,212,736,399,256,655,420,240,660,423,145,569,302,120,422,287,103,386,572,126,702,378,3,381,223,4,231,132,57,189,234,4,240,709,46,753,227,248,468,5537,3051,8581
10502,41,46,83,26,31,55,49,211,256,62,343,404,237,704,936,222,269,487,543,223,764,398,200,603,457,199,656,370,124,499,247,119,361,292,105,398,461,113,582,323,9,332,195,8,198,115,44,154,211,0,211,549,38,586,173,235,410,4973,3020,7995
10503,124,158,288,83,119,202,135,430,571,159,757,909,580,1477,2062,588,650,1241,1589,592,2182,1184,674,1858,1572,590,2160,1478,372,1843,1083,297,1379,1128,213,1343,1943,290,2230,1265,39,1298,787,16,805,422,112,531,749,14,765,1945,118,2066,399,535,938,17223,7448,24663
10601,148,200,350,94,93,188,176,490,670,197,800,993,728,1713,2441,764,652,1417,1995,645,2637,1431,702,2136,1887,647,2529,1773,432,2202,1446,289,1734,1499,238,1735,2719,407,3126,1758,42,1805,1091,30,1113,687,143,825,1407,21,1427,2143,121,2266,390,430,819,22338,8085,30417
10602,110,128,241,78,66,150,101,324,429,153,573,722,503,1268,1769,566,554,1122,1552,479,2029,1207,603,1810,1570,531,2098,1611,341,1953,1413,277,1687,1332,238,1568,2642,295,2940,1867,31,1901,1120,14,1137,671,86,760,1320,17,1340,1852,112,1962,268,379,646,19926,6327,26258
10603,151,178,326,96,93,195,142,371,510,138,674,814,661,1636,2294,604,799,1410,1939,608,2550,1446,666,2113,1863,597,2457,1708,332,2040,1247,260,1501,1190,178,1362,2097,214,2318,1390,24,1414,778,3,780,442,107,543,898,14,911,1898,108,2005,320,433,753,19001,7285,26292
10604,75,62,145,44,59,107,76,187,264,69,293,364,231,614,842,247,263,511,610,273,884,481,289,765,595,263,861,574,182,759,445,140,588,477,124,596,943,213,1158,648,19,664,421,15,429,249,63,314,479,16,501,753,42,794,171,215,384,7596,3328,10929
10701,167,163,328,117,87,209,144,508,659,152,934,1088,680,1644,2319,626,645,1272,2004,465,2468,1315,507,1822,1663,488,2155,1617,276,1895,1330,236,1566,1283,157,1445,2454,188,2638,1630,18,1655,944,8,954,574,59,631,1040,9,1049,1752,101,1850,326,465,796,19818,6971,26788
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
10703,159,164,323,110,79,186,157,364,525,168,771,940,638,1586,2228,703,672,1376,2097,533,2628,1519,615,2136,1994,555,2549,1898,326,2224,1586,283,1872,1653,207,1856,2983,314,3302,2079,48,2127,1304,20,1319,866,104,967,1562,15,1578,2364,122,2483,325,381,707,24163,7161,31327
10704,278,463,742,158,228,384,235,907,1141,188,1502,1691,860,2589,3449,825,1237,2063,2211,1071,3283,1743,1144,2885,2315,1238,3552,2210,888,3103,1711,749,2457,1941,592,2529,3897,797,4692,3100,134,3237,2162,77,2232,1479,308,1791,3155,59,3209,3117,474,3591,394,734,1129,31964,15202,47170
10801,79,99,176,77,73,148,70,273,339,75,457,534,451,1192,1646,334,506,840,1364,384,1746,804,394,1200,1002,275,1274,784,121,905,444,89,529,441,77,518,651,84,733,359,9,368,161,0,162,126,55,181,214,3,219,785,60,845,214,340,557,8428,4498,12919
10802,104,108,212,93,86,182,115,455,575,140,747,891,539,1625,2164,617,644,1257,1780,528,2312,1186,515,1700,1329,379,1713,1160,183,1340,769,100,871,694,77,767,1015,90,1109,528,13,540,274,5,274,146,50,190,249,9,254,1168,88,1253,304,440,737,12191,6153,18344
10803,0,0,0,0,0,0,0,0,0,3,3,4,0,7,7,0,3,3,6,5,14,5,0,8,9,11,14,6,3,12,9,5,8,3,3,5,15,3,20,9,0,9,0,0,0,4,0,4,4,0,4,14,3,14,0,3,3,90,46,132
10804,152,208,355,91,113,201,128,507,633,151,1019,1164,695,2339,3033,764,1127,1890,2593,844,3436,1851,822,2672,2217,649,2873,2050,382,2436,1303,272,1574,1269,191,1462,2175,267,2443,1346,39,1384,755,20,775,448,122,575,835,22,851,1860,134,1990,414,696,1113,21096,9769,30864
10805,140,141,278,97,107,204,161,458,616,149,769,918,682,1747,2427,636,742,1383,2050,559,2606,1369,551,1927,1615,411,2020,1415,218,1638,933,145,1077,852,95,948,1149,113,1258,689,16,703,317,3,326,184,63,246,302,8,306,1378,84,1456,334,397,728,14445,6628,21079
10901,89,166,259,73,105,183,109,473,579,132,743,871,481,1447,1927,500,790,1288,1279,716,1995,1078,779,1856,1389,646,2039,1416,468,1887,1079,284,1357,1045,211,1250,1895,271,2163,1212,46,1261,729,20,749,409,111,517,694,13,699,1415,146,1565,295,389,688,15316,7823,23140
10902,40,37,73,21,29,51,41,85,123,36,141,179,110,278,386,104,124,226,291,125,418,234,118,354,292,103,388,299,66,368,185,38,220,207,30,232,331,31,368,182,3,188,103,0,103,52,22,80,120,0,120,391,17,406,99,122,220,3133,1367,4502
10903,110,128,235,84,60,139,101,334,437,90,513,601,454,1185,1643,358,551,906,1208,438,1641,804,509,1309,1114,414,1534,1019,242,1260,677,159,845,697,100,800,1163,146,1311,656,27,684,350,10,360,170,64,236,349,4,357,1096,60,1158,296,456,751,10794,5404,16202
11001,76,103,175,40,69,108,90,272,359,68,398,462,268,807,1075,321,444,768,772,431,1198,672,370,1039,793,343,1141,812,206,1015,601,176,781,636,143,773,1018,174,1191,603,17,622,380,9,390,238,61,297,424,8,430,897,93,990,160,231,393,8845,4364,13211
11002,129,130,255,98,67,167,124,360,492,122,589,706,560,1258,1818,432,442,872,1306,412,1718,869,408,1275,1017,292,1307,983,160,1142,567,98,668,559,84,647,798,94,888,430,11,438,196,6,205,126,42,169,224,6,227,967,69,1032,239,369,606,9745,4897,14635
11003,63,65,130,38,37,72,72,185,254,79,240,312,208,442,649,184,210,396,443,231,674,365,256,617,511,258,765,515,176,692,407,102,515,419,98,520,737,119,855,443,14,457,295,0,297,155,73,220,305,4,310,706,37,739,198,228,431,6141,2771,8915
11004,142,176,324,71,111,183,159,517,672,170,902,1067,662,1851,2512,713,907,1617,1902,753,2651,1436,831,2262,1912,731,2643,1829,425,2249,1342,335,1676,1380,270,1642,2424,341,2765,1457,59,1521,846,25,869,523,149,677,919,33,951,2075,139,2218,461,573,1035,20418,9125,29544
11101,176,263,442,132,142,272,184,643,825,214,1244,1457,859,2936,3794,849,1198,2047,2862,957,3820,2067,1010,3070,2762,914,3675,2597,594,3192,1955,508,2470,2095,336,2425,4080,467,4543,2972,64,3034,1951,22,1972,1247,178,1425,2420,27,2449,2966,198,3163,424,645,1067,32800,12346,45146
11102,110,177,285,88,78,164,139,366,496,139,662,799,580,1553,2133,574,728,1302,1876,537,2415,1435,559,1996,1839,570,2406,1774,334,2106,1417,257,1675,1304,183,1484,2496,236,2730,1740,32,1773,987,14,999,558,82,644,999,17,1011,1903,102,2002,323,396,712,20273,6872,27146
11103,275,500,778,130,249,378,294,1209,1500,265,2034,2306,1006,3792,4802,1107,1832,2940,3046,1641,4690,2441,1791,4234,3156,1882,5039,3168,1421,4587,2535,1120,3648,2619,850,3467,5114,1312,6428,3824,287,4109,2543,154,2699,1580,462,2046,3390,142,3533,3767,790,4559,500,973,1475,40769,22444,63212
11201,112,168,280,85,116,200,150,486,633,153,873,1025,582,2053,2634,684,1102,1788,1839,927,2767,1463,838,2303,2026,768,2798,1876,484,2356,1237,323,1559,1340,263,1605,2144,340,2484,1310,77,1386,767,40,805,469,149,615,1046,34,1081,2067,365,2436,320,519,837,19663,9926,29589
11202,129,181,304,82,119,202,155,636,793,160,993,1146,719,2031,2755,737,940,1679,1909,777,2682,1481,812,2295,1970,667,2635,1751,356,2107,1242,208,1448,1167,178,1347,1813,176,1987,996,24,1017,488,14,504,320,80,400,488,8,502,1582,171,1757,281,429,716,17477,8795,26275
11203,174,264,442,129,145,273,165,589,749,166,1142,1309,785,2613,3390,853,1430,2281,2624,916,3538,1868,981,2849,2387,848,3239,2246,485,2735,1612,325,1939,1487,260,1750,2558,251,2812,1562,55,1619,862,18,882,482,135,614,911,14,926,2327,212,2540,444,758,1208,23650,11441,35089
11301,106,110,216,64,53,116,82,272,355,96,490,589,388,866,1253,372,406,779,908,410,1318,777,478,1253,1023,407,1431,1099,284,1381,852,174,1024,800,121,923,1474,176,1652,871,31,900,470,18,489,281,68,346,494,20,517,1201,61,1263,289,364,662,11654,4817,16474
11302,36,29,68,24,19,47,41,113,151,46,180,227,133,369,504,124,170,291,351,124,475,244,144,394,325,134,461,348,76,420,244,70,314,243,48,290,475,55,525,245,4,247,132,3,136,68,18,88,108,4,114,458,11,468,87,101,182,3723,1672,5403
11303,143,212,348,97,139,236,168,596,758,179,945,1124,698,1932,2633,704,957,1662,1963,902,2866,1541,995,2534,2041,878,2920,2110,584,2686,1559,372,1930,1657,334,1990,2902,396,3299,1849,58,1908,1114,41,1156,641,162,809,1153,32,1185,2335,191,2524,467,604,1076,23320,10319,33640
11401,224,247,472,152,164,318,235,723,954,251,1288,1546,1087,2846,3931,946,1330,2276,3400,983,4383,2308,942,3248,2758,795,3554,2501,481,2988,1654,374,2030,1493,264,1760,2471,275,2744,1511,17,1531,812,6,822,451,133,583,883,16,903,2590,148,2738,518,831,1347,26243,11879,38127
11402,111,123,233,74,70,148,87,218,304,64,446,513,329,946,1271,316,537,854,924,417,1335,814,472,1285,1096,408,1507,1069,252,1318,835,204,1038,798,171,969,1545,228,1767,976,18,999,625,13,637,468,129,600,1008,11,1015,1416,69,1486,198,293,492,12744,5023,17770
11501,314,182,497,152,95,247,181,214,396,127,382,507,464,913,1378,477,631,1103,1255,496,1753,1332,507,1838,1967,534,2497,1974,390,2357,1696,356,2051,1913,276,2187,4511,508,5024,3735,55,3793,3150,37,3187,2848,236,3083,8272,49,8325,3787,138,3925,317,253,575,38468,6248,44721
