SA3_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
10102,38,2080,930,300,2296,0.8,1878,2.6
10103,44,1300,669,220,1539,0.8,1176,2.3
10104,52,1387,524,250,1211,0.7,961,2.2
10105,43,1517,618,250,1491,0.8,1178,2.4
10106,43,1560,662,225,1637,0.8,1288,2.5
10201,43,1900,632,360,1691,0.8,1330,2.5
10202,41,1733,568,340,1448,0.8,1190,2.5
10301,38,1638,642,270,1616,0.8,1301,2.5
10302,44,1108,543,175,1305,0.7,1025,2.4
10303,44,1517,529,245,1375,0.8,1054,2.4
10304,38,1603,663,260,1670,0.8,1314,2.5
10401,49,1300,478,255,1133,0.8,912,2.3
10402,44,1560,557,300,1325,0.8,1086,2.4
10501,40,1000,557,150,1345,0.8,1040,2.4
10502,44,932,524,180,1260,0.7,965,2.2
10503,40,1365,617,220,1429,0.8,1176,2.5
10601,38,1625,578,280,1543,0.8,1284,2.6
10602,36,1733,652,320,1690,0.8,1436,2.7
10603,45,1690,563,300,1402,0.7,1158,2.5
10604,38,1700,635,240,1629,0.8,1294,2.5
10701,40,1733,526,300,1486,0.8,1220,2.6
10702,67,0,374,0,0,0,0,0
10703,41,1907,604,350,1620,0.8,1382,2.7
10704,38,2093,620,340,1870,0.9,1413,2.5
10801,54,1387,476,260,1079,0.7,855,2.2
10802,49,1300,471,243,1096,0.8,869,2.3
10803,44,1867,762,220,1774,0.8,1397,2.2
10804,48,1670,540,310,1299,0.8,1042,2.3
10805,49,1300,476,250,1129,0.8,905,2.3
10901,40,1387,634,230,1512,0.8,1181,2.4
10902,44,1083,576,150,1345,0.8,1083,2.4
10903,48,1200,561,190,1324,0.7,1037,2.3
11001,39,1387,569,240,1453,0.8,1159,2.4
11002,46,1083,482,195,1122,0.8,873,2.3
11003,39,1300,656,175,1518,0.8,1246,2.5
11004,40,1463,620,250,1445,0.8,1174,2.4
11101,42,1800,624,320,1683,0.8,1332,2.5
11102,43,1733,582,320,1499,0.8,1276,2.6
11103,37,1750,655,340,1756,0.8,1355,2.4
11201,46,1733,592,350,1396,0.8,1137,2.4
11202,44,1330,516,250,1265,0.8,1004,2.4
11203,47,1733,539,340,1332,0.8,1064,2.4
11301,39,1300,648,200,1493,0.8,1242,2.6
11302,45,1300,577,180,1417,0.8,1120,2.3
11303,38,1408,652,248,1552,0.8,1244,2.5
11401,48,1517,511,280,1226,0.7,992,2.3
11402,47,1842,645,350,1638,0.7,1334,2.4
11501,39,2500,809,570,2468,0.8,2328,3.1
11502,43,2600,748,450,2308,0.8,2149,3.1
11503,40,2167,762,360,2038,0.8,1890,3
11504,35,2600,854,590,2455,0.9,2407,3.4
11601,35,2000,652,380,1723,0.9,1584,3
11602,33,2470,845,500,2305,0.9,2265,3.3
11603,32,1911,577,330,1509,1,1434,3.2
11701,35,2400,720,460,1921,1.1,1626,2.7
11702,35,2500,900,460,2312,1,1944,2.4
11703,32,2500,956,570,2526,1.2,1935,2
11801,36,3000,1238,630,3245,1,2422,2.3
11802,34,2600,834,550,2421,1,1916,2.5
11901,35,2100,509,400,1485,1,1332,3.1
11902,35,2000,492,370,1370,1.1,1268,3
11903,37,2167,612,430,1765,1,1571,2.9
11904,35,2167,667,460,1763,1.1,1600,2.7
12001,37,2500,895,570,2386,1,2073,2.6
12002,38,3000,1235,580,3324,1,2443,2.4
12003,34,2167,700,460,1958,1.1,1733,2.7
12101,36,2750,1027,560,2784,1,2311,2.6
12102,38,2300,793,480,2248,1,2008,2.8
12103,41,3000,942,650,3048,0.9,2642,3
12104,38,2700,1361,570,3353,1,2393,2.1
12201,38,3033,1193,650,3339,1,2620,2.5
12202,44,2817,874,600,2431,0.9,2121,2.8
12203,39,2600,871,530,2427,1,2095,2.7
12301,34,2167,820,450,2181,0.8,2048,3.1
12302,34,1842,630,350,1596,0.9,1458,3
12303,37,2167,724,360,1978,0.8,1813,3
12401,44,1842,689,350,1866,0.8,1468,2.5
12402,60,0,0,0,0,0,0,1
12403,34,2000,751,370,1933,0.8,1711,2.8
12404,36,1950,688,360,1752,0.8,1483,2.7
12405,34,1863,683,370,1694,0.9,1532,2.9
12501,32,2000,519,450,1410,1.2,1469,3.1
12502,38,2167,645,438,1896,0.9,1695,2.9
12503,33,2000,490,380,1403,1.1,1282,3.1
12504,34,2080,722,420,1879,1.1,1718,2.8
12601,39,2500,797,530,2441,0.9,2205,3
12602,36,2300,749,460,2167,1,1831,2.7
12701,33,2167,614,400,1760,0.9,1720,3.4
12702,37,1820,442,350,1279,1,1245,3.3
12703,34,2100,603,360,1665,1,1504,3.1
12801,41,2500,839,450,2277,0.9,1866,2.6
12802,39,2383,833,440,2343,0.9,2096,2.9
19797,58,0,540,0,0,0,0,0
19999,39,0,405,0,0,0,0,0
