SA3_CODE_2016,D_0_4_FPEFT_MPEFT,D_0_4_FPEFT_MPEPT,D_0_4_FPEFT_MPEAW,D_0_4_FPEFT_MPEHNS,D_0_4_FPEFT_MPET,D_0_4_FPEFT_MPULFTW,D_0_4_FPEFT_MPULPTW,D_0_4_FPEFT_MPUT,D_0_4_FPEFT_MPTLF,D_0_4_FPEFT_MPNLF,D_0_4_FPEFT_MPLFSNS,D_0_4_FPEFT_T,D_0_4_FPEPT_MPEFT,D_0_4_FPEPT_MPEPT,D_0_4_FPEPT_MPEAW,D_0_4_FPEPT_MPEHNS,D_0_4_FPEPT_MPET,D_0_4_FPEPT_MPULFTW,D_0_4_FPEPT_MPULPTW,D_0_4_FPEPT_MPUT,D_0_4_FPEPT_MPTLF,D_0_4_FPEPT_MPNLF,D_0_4_FPEPT_MPLFSNS,D_0_4_FPEPT_T,D_0_4_FPEAW_MPEFT,D_0_4_FPEAW_MPEPT,D_0_4_FPEAW_MPEAW,D_0_4_FPEAW_MPEHNS,D_0_4_FPEAW_MPET,D_0_4_FPEAW_MPULFTW,D_0_4_FPEAW_MPULPTW,D_0_4_FPEAW_MPUT,D_0_4_FPEAW_MPTLF,D_0_4_FPEAW_MPNLF,D_0_4_FPEAW_MPLFSNS,D_0_4_FPEAW_T,D_0_4_FPHNS_MPEFT,D_0_4_FPHNS_MPEPT,D_0_4_FPHNS_MPEAW,D_0_4_FPHNS_MPEHNS,D_0_4_FPHNS_MPET,D_0_4_FPHNS_MPULFTW,D_0_4_FPHNS_MPULPTW,D_0_4_FPHNS_MPUT,D_0_4_FPHNS_MPTLF,D_0_4_FPHNS_MPNLF,D_0_4_FPHNS_MPLFSNS,D_0_4_FPHNS_T,D_0_4_FPET_MPEFT,D_0_4_FPET_MPEPT,D_0_4_FPET_MPEAW,D_0_4_FPET_MPEHNS,D_0_4_FPET_MPET,D_0_4_FPET_MPULFTW,D_0_4_FPET_MPULPTW,D_0_4_FPET_MPUT,D_0_4_FPET_MPTLF,D_0_4_FPET_MPNLF,D_0_4_FPET_MPLFSNS,D_0_4_FPET_T,D_0_4_FPULFTW_MPEFT,D_0_4_FPULFTW_MPEPT,D_0_4_FPULFTW_MP_EAW,D_0_4_FPULFTW_MP_E_HW_NS,D_0_4_FPULFTW_MPET,D_0_4_FPULFTW_MPULFTW,D_0_4_FPULFTW_MPULPTW,D_0_4_FPULFTW_MPUT,D_0_4_FPULFTW_MPTLF,D_0_4_FPULFTW_MPNLF,D_0_4_FPULFTW_MPLFSNS,D_0_4_FPULFTW_T,D_0_4_FPULPTW_MPEFT,D_0_4_FPULPTW_MPEPT,D_0_4_FPULPTW_MPEAW,D_0_4_FPULPTW_MPEm_HW_NS,D_0_4_FPULPTW_MPET,D_0_4_FPULPTW_MPULFTW,D_0_4_FPULPTW_MPULPTW,D_0_4_FPULPTW_MPUT,D_0_4_FPULPTW_MPTLF,D_0_4_FPULPTW_MPNLF,D_0_4_FPULPTW_MPLFSNS,D_0_4_FPULPTW_T,D_0_4_FPUT_MPEFT,D_0_4_FPUT_MPEPT,D_0_4_FPUT_MPEAW,D_0_4_FPUT_MP_E_HNS,D_0_4_FPUT_MPET,D_0_4_FPUT_MPULFTW,D_0_4_FPUT_MPULPTW,D_0_4_FPUT_MPUT,D_0_4_FPUT_MPTLF,D_0_4_FPUT_MPNLF,D_0_4_FPUT_MPLFSNS,D_0_4_FPUT_T,D_0_4_FPTLF_MPEFT,D_0_4_FPTLF_MPEPT,D_0_4_FPTLF_MPEAW,D_0_4_FPTLF_MPEHNS,D_0_4_FPTLF_MPET,D_0_4_FPTLF_MPULFTW,D_0_4_FPTLF_MPULPTW,D_0_4_FPTLF_MPUT,D_0_4_FPTLF_MPTLF,D_0_4_FPTLF_MPNLF,D_0_4_FPTLF_MPLFSNS,D_0_4_FPTLF_T,D_0_4_FPNLF_MPEFT,D_0_4_FPNLF_MPEPT,D_0_4_FPNLF_MPEAW,D_0_4_FPNLF_MP_E_HNS,D_0_4_FPNLF_MPET,D_0_4_FPNLF_MPUEmpLfFTW,D_0_4_FPNLF_MPUEmpLfPTW,D_0_4_FPNLF_MPUT,D_0_4_FPNLF_MPTLF,D_0_4_FPNLF_MPNLF,D_0_4_FPNLF_MPLFSNS,D_0_4_FPNLF_T,D_0_4_FPLFSNS_MPEFT,D_0_4_FPLFSNS_MPEPT,D_0_4_FPLFSNS_MPEAW,D_0_4_FPLFSNS_MP_E_HNS,D_0_4_FPLFSNS_MPET,D_0_4_FPLFSNS_MPULFTW,D_0_4_FPLFSNS_MPULPTW,D_0_4_FPLFSNS_MPUT,D_0_4_FPLFSNS_MPTLF,D_0_4_FPLFSNS_MPNLF,D_0_4_FPLFSNS_MPLFSNS,D_0_4_FPLFSNS_T,D_0_4_FPT_MPEFT,D_0_4_FPT_MPEPT,D_0_4_FPT_MPEAW,D_0_4_FPT_MPEHNS,D_0_4_FPT_MPET,D_0_4_FPT_MPULFTW,D_0_4_FPT_MPULPTW,D_0_4_FPT_MPUT,D_0_4_FPT_MPTLF,D_0_4_FPT_MPNLF,D_0_4_FPT_MPLFSNS,D_0_4_FPT_T,D_5_9_FPEFT_MPEFT,D_5_9_FPEFT_MPEPT,D_5_9_FPEFT_MPEAW,D_5_9_FPEFT_MPEHNS,D_5_9_FPEFT_MPET,D_5_9_FPEFT_MPULFTW,D_5_9_FPEFT_MPULPTW,D_5_9_FPEFT_MPUT,D_5_9_FPEFT_MPTLF,D_5_9_FPEFT_MPNLF,D_5_9_FPEFT_MPLFSNS,D_5_9_FPEFT_T,D_5_9_FPEPT_MPEFT,D_5_9_FPEPT_MPEPT,D_5_9_FPEPT_MPEAW,D_5_9_FPEPT_MPEHNS,D_5_9_FPEPT_MPET,D_5_9_FPEPT_MPULFTW,D_5_9_FPEPT_MPULPTW,D_5_9_FPEPT_MPUT,D_5_9_FPEPT_MPTLF,D_5_9_FPEPT_MPNLF,D_5_9_FPEPT_MPLFSNS,D_5_9_FPEPT_T,D_5_9_FPEAW_MPEFT,D_5_9_FPEAW_MPEPT,D_5_9_FPEAW_MPEAW,D_5_9_FPEAW_MPEHNS,D_5_9_FPEAW_MPET,D_5_9_FPEAW_MPULFTW,D_5_9_FPEAW_MPULPTW,D_5_9_FPEAW_MPUT,D_5_9_FPEAW_MPTLF,D_5_9_FPEAW_MPNLF,D_5_9_FPEAW_MPLFSNS,D_5_9_FPEAW_T,D_5_9_FPHNS_MPEFT,D_5_9_FPHNS_MPEPT,D_5_9_FPHNS_MPEAW,D_5_9_FPHNS_MPEHNS,D_5_9_FPHNS_MPET,D_5_9_FPHNS_MPULFTW,D_5_9_FPHNS_MPULPTW,D_5_9_FPHNS_MPUT,D_5_9_FPHNS_MPTLF,D_5_9_FPHNS_MPNLF,D_5_9_FPHNS_MPLFSNS,D_5_9_FPHNS_T,D_5_9_FPET_MPEFT,D_5_9_FPET_MPEPT,D_5_9_FPET_MPEAW,D_5_9_FPET_MP_E_HNS,D_5_9_FPET_MPET,D_5_9_FPET_MPULFTW,D_5_9_FPET_MPULPTW,D_5_9_FPET_MPUT
10102,554,52,12,3,620,16,0,16,639,28,0,661,843,89,9,6,941,3,3,4,943,10,0,956,323,20,51,0,388,3,0,3,391,6,0,401,21,0,0,10,37,0,0,0,37,0,0,37,1735,161,69,17,1991,18,4,20,2013,45,0,2055,21,0,0,0,17,3,0,3,20,0,0,20,28,3,0,0,36,3,0,3,39,0,0,39,47,3,0,4,51,5,0,5,60,0,0,60,1779,170,72,22,2040,23,4,30,2071,45,0,2118,541,54,12,25,637,21,0,24,656,61,0,718,0,3,0,0,3,0,0,0,3,0,0,7,2326,221,88,45,2682,48,3,50,2734,106,6,2838,937,70,13,7,1025,14,0,22,1046,37,0,1080,1013,73,5,7,1103,3,0,9,1111,23,0,1131,64,6,15,0,88,0,5,4,87,0,0,93,12,3,0,12,23,0,0,0,23,0,0,23,2030,156,29,25,2240,23,5,32
10103,115,12,0,0,133,3,0,3,133,11,0,145,225,32,3,4,263,0,0,0,263,5,0,271,36,11,5,0,54,0,0,3,55,0,0,54,3,0,0,0,10,0,0,0,10,0,0,10,380,58,14,8,457,3,0,6,462,20,0,478,0,0,0,0,3,0,0,0,3,3,0,3,6,0,0,0,7,0,0,0,7,0,0,7,7,0,0,0,11,0,0,0,11,3,0,12,390,56,15,8,463,3,0,6,469,21,0,489,125,24,5,5,161,8,3,10,168,25,0,192,0,0,0,0,0,0,0,0,0,0,0,3,516,76,19,17,629,11,3,11,643,48,5,686,238,21,8,3,266,0,0,0,272,21,0,287,321,37,0,4,366,0,0,0,366,5,0,370,5,10,0,0,16,0,0,0,16,0,0,17,10,0,0,4,18,0,0,0,18,0,0,18,574,72,8,11,668,0,0,0
10104,199,49,0,3,257,8,0,8,266,18,0,285,594,130,9,3,743,8,5,13,759,31,0,793,97,8,16,0,124,0,0,0,124,6,0,136,8,0,3,8,17,0,0,0,17,0,0,22,908,196,28,14,1147,15,4,21,1163,61,3,1227,6,0,0,0,11,4,0,4,13,0,0,19,27,0,0,0,27,8,0,8,32,0,0,33,31,3,0,0,33,10,0,17,51,3,0,54,936,196,28,17,1176,31,4,37,1215,63,3,1278,439,119,11,19,586,41,6,41,628,110,3,746,5,0,0,0,11,0,0,0,11,0,13,19,1384,314,40,39,1775,64,8,78,1850,176,15,2041,452,114,8,0,574,7,4,6,583,31,0,615,767,185,17,3,972,19,14,34,1005,66,0,1076,24,12,16,0,46,0,0,0,46,0,3,49,11,0,0,7,24,0,0,0,24,5,3,28,1258,306,37,14,1615,22,13,39
10105,189,28,6,0,223,4,0,5,231,4,0,237,457,70,6,6,543,8,3,12,552,10,0,562,106,18,5,0,135,3,0,3,132,4,0,142,6,3,0,8,22,0,0,0,22,0,0,18,761,116,23,18,916,11,3,14,936,20,0,958,9,3,0,0,7,0,0,0,9,0,0,8,24,3,0,0,29,3,0,3,28,0,0,28,27,8,0,0,39,3,0,3,40,0,0,42,786,120,22,18,951,17,3,22,977,24,0,995,274,57,11,8,355,8,3,10,369,63,3,437,5,0,0,0,5,0,0,0,5,0,5,7,1074,176,30,33,1315,25,8,32,1348,87,7,1444,308,37,4,3,351,6,3,9,356,21,0,383,522,64,10,4,603,7,3,14,612,14,0,629,32,6,6,0,45,0,0,0,45,9,0,53,0,4,0,9,17,0,0,0,17,0,3,23,868,114,21,23,1018,15,7,22
10106,226,34,0,6,270,0,0,3,273,8,0,287,494,50,8,0,559,3,0,8,565,11,0,577,131,13,13,0,162,3,0,3,162,4,0,166,7,0,0,4,14,0,0,0,14,0,0,14,866,100,23,14,1002,10,3,9,1018,25,0,1043,7,0,0,0,10,0,0,0,10,0,0,10,7,4,0,0,10,0,0,0,15,0,0,15,12,4,0,0,19,0,0,0,21,0,0,21,880,102,23,16,1022,7,7,12,1039,25,0,1064,385,60,11,16,475,22,0,23,497,65,0,556,0,0,0,0,0,0,0,0,0,0,0,0,1261,161,43,35,1498,29,9,39,1537,82,3,1619,438,55,0,7,503,7,0,7,512,21,0,529,654,75,17,8,746,9,0,5,751,21,3,768,35,12,8,0,51,0,0,0,51,4,0,60,6,3,0,7,20,3,0,3,24,3,0,25,1133,138,27,22,1323,13,0,17
10201,775,158,21,12,962,9,6,16,974,90,3,1072,2502,250,32,19,2806,18,6,20,2822,56,0,2883,576,56,51,8,697,3,0,3,700,20,0,716,34,3,0,23,66,0,0,0,66,3,0,70,3884,471,103,61,4523,32,14,44,4564,176,5,4737,27,0,0,5,31,0,0,3,35,3,0,36,137,23,5,0,166,8,0,8,171,10,0,176,170,21,5,4,200,4,0,6,209,11,0,214,4055,489,105,64,4716,35,15,55,4769,180,5,4954,1830,240,62,47,2175,62,9,74,2247,153,3,2398,9,3,0,7,19,0,0,0,19,0,18,37,5892,736,167,118,6909,95,29,120,7034,330,26,7396,1401,227,21,11,1658,16,10,29,1688,117,0,1804,3008,288,32,30,3353,35,9,44,3403,98,6,3504,121,13,30,6,172,0,0,0,172,11,3,185,29,8,0,39,74,0,0,0,74,0,0,74,4555,536,78,86,5260,50,27,77
10202,743,103,11,3,860,19,7,26,883,53,0,939,2224,212,26,15,2477,31,6,40,2516,57,0,2574,501,53,51,3,606,7,3,9,619,17,0,635,35,7,3,25,69,6,0,6,74,3,0,75,3510,372,92,46,4010,63,16,82,4092,133,0,4223,20,7,0,3,28,6,3,13,44,3,0,50,124,16,0,3,140,7,3,10,147,3,0,149,143,20,0,3,172,14,3,19,192,11,0,202,3650,392,89,54,4185,77,20,97,4287,139,0,4419,1616,220,44,42,1918,62,11,69,1993,214,4,2205,5,3,0,11,10,0,0,0,10,0,13,25,5270,619,128,102,6119,139,32,169,6284,354,16,6656,1183,152,14,10,1358,38,9,46,1400,96,3,1495,2528,241,47,15,2834,38,7,43,2878,98,3,2981,121,25,35,0,184,7,0,5,189,12,0,198,27,4,0,24,61,0,0,0,60,0,3,66,3865,425,91,52,4431,78,20,95
10301,247,32,5,0,283,0,0,0,283,25,0,306,716,47,15,6,787,3,0,3,789,6,0,796,167,13,17,0,199,3,0,3,195,8,0,205,18,6,0,4,23,0,0,0,23,0,0,25,1147,88,34,17,1289,3,0,3,1294,42,0,1332,8,0,0,0,6,7,0,7,15,0,0,15,24,5,0,0,26,0,0,3,31,0,0,30,32,4,0,0,35,5,0,10,42,0,0,49,1175,97,32,17,1328,11,3,11,1340,43,0,1380,410,57,12,14,493,34,3,37,528,65,0,598,0,0,0,0,0,0,0,0,0,0,3,9,1586,154,49,36,1827,44,4,47,1872,104,6,1983,536,55,6,4,603,14,0,15,614,45,0,660,749,76,11,7,841,5,0,5,842,17,0,865,39,0,9,0,54,0,0,0,54,0,0,54,11,0,3,3,16,3,0,3,17,3,0,20,1341,131,28,11,1515,15,0,19
10302,279,30,7,3,317,3,0,3,319,19,0,340,820,55,4,9,889,10,0,10,899,23,0,924,166,17,16,6,202,3,0,3,206,7,0,211,14,0,0,30,41,0,0,0,41,0,0,40,1271,109,26,43,1447,18,0,15,1466,47,3,1515,9,3,0,0,10,3,0,3,11,3,0,15,25,8,0,0,35,0,0,0,36,3,0,41,31,11,0,3,42,3,0,3,47,8,0,54,1305,116,26,44,1497,19,0,22,1513,53,3,1570,509,78,13,18,618,51,12,63,681,76,4,763,0,0,0,3,3,0,0,0,3,0,0,9,1817,195,38,63,2112,72,9,81,2199,130,10,2337,528,61,10,4,598,5,3,14,613,25,0,634,941,93,3,11,1044,10,3,16,1059,42,0,1104,57,3,8,3,78,0,0,0,78,3,0,80,11,0,0,36,48,0,0,0,48,3,0,45,1537,156,25,52,1764,19,7,23
10303,160,16,0,0,177,3,0,3,183,17,0,195,632,56,4,7,701,8,3,10,711,16,0,724,135,5,23,6,179,3,0,3,180,4,0,179,8,0,0,8,14,0,0,0,14,0,0,14,938,79,36,23,1072,14,3,12,1084,33,0,1119,13,0,0,0,15,3,0,3,20,0,0,18,32,8,3,0,45,3,0,3,44,0,0,44,43,10,3,0,59,9,0,9,64,0,0,63,980,87,38,23,1126,16,3,19,1149,33,0,1185,542,78,29,18,670,47,9,55,724,84,0,811,7,0,0,4,12,0,0,0,12,0,9,17,1535,165,62,41,1808,68,7,76,1882,121,7,2011,328,27,0,5,360,8,0,8,368,15,0,385,750,68,7,8,835,3,3,10,844,32,3,882,30,9,18,3,55,0,0,0,59,0,0,59,5,3,0,9,15,0,0,0,15,0,0,15,1115,107,25,25,1268,14,3,18
