SA3_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
10102,14393,14193,28584,1684,1796,3477,4101,4201,8305,344,320,661,448,482,931,96,107,195,105,88,196,42,32,70,134,108,243,2312,2270,4580,0,0,4,7574,7610,15185,890,968,1860,154,143,296,10310,10510,20818,2135,2072,4208,26834,26772,53606
10103,5294,5049,10340,1029,1008,2038,1330,1262,2593,97,115,215,170,158,329,25,26,46,29,37,65,12,9,23,23,21,43,193,193,386,0,0,0,1887,1815,3704,165,162,329,52,35,94,3135,3024,6157,1103,866,1963,9527,8933,18464
10104,18650,19031,37685,3357,3719,7084,5281,5750,11035,713,706,1423,422,431,847,79,77,150,146,162,306,64,76,146,57,72,130,856,936,1793,0,0,0,7619,8202,15826,308,377,681,202,203,400,11486,12503,23986,2964,3048,6017,33104,34582,67689
10105,9119,9079,18203,2252,2416,4670,2717,2719,5438,64,74,139,126,144,270,25,26,50,35,49,87,15,20,29,7,12,17,223,245,462,3,0,4,3223,3290,6505,249,261,510,62,72,139,5788,6039,11824,1996,1464,3459,16908,16582,33490
10106,9974,10088,20056,1791,2036,3827,1915,2081,3994,65,98,163,198,194,400,40,40,77,43,43,84,21,21,40,23,21,48,955,1056,2011,0,0,3,3260,3561,6820,168,191,361,67,75,148,5289,5862,11152,1273,1250,2515,16529,17199,33725
10201,42898,45715,88616,5601,6011,11612,19737,21447,41183,281,325,605,641,669,1310,88,102,189,184,189,370,57,74,127,79,74,151,115,129,247,3,4,5,21180,23006,44190,1813,2061,3880,496,464,960,29090,31542,60635,4924,5303,10228,76912,82566,159478
10202,39172,41057,80228,5566,6178,11745,19380,21368,40749,200,200,396,671,717,1386,95,106,201,163,187,352,40,52,89,56,55,112,93,106,197,0,0,0,20698,22782,43482,923,1012,1939,481,470,956,27671,30441,58117,5123,5608,10728,71965,77113,149079
10301,10999,11114,22117,2663,2868,5529,4692,5029,9721,66,78,140,190,206,393,27,37,60,58,43,101,15,16,31,24,18,44,48,45,94,0,3,4,5123,5465,10588,312,329,636,120,98,216,8216,8752,16967,2750,1916,4668,21967,21787,43747
10302,15444,15218,30666,3539,3802,7346,3042,3318,6362,101,118,214,317,297,621,46,42,91,64,66,128,17,11,27,34,40,69,100,113,213,0,0,0,3720,4012,7732,182,252,433,116,101,214,7556,8164,15723,2749,2806,5557,25758,26181,51937
10303,12023,11666,23690,2639,2826,5466,3706,3912,7616,48,46,98,245,249,492,37,26,68,40,31,76,8,14,28,14,14,28,24,25,50,0,0,0,4132,4323,8452,189,206,398,100,98,198,7059,7454,14510,2947,2526,5471,22023,21646,43675
10304,14111,14442,28553,2872,3139,6015,5802,6365,12166,139,136,278,285,328,612,46,38,88,99,105,203,24,38,62,26,24,49,50,68,119,0,0,3,6472,7097,13573,472,541,1011,143,122,259,9958,10901,20859,2056,2037,4093,26119,27382,53502
10401,13543,13796,27344,2928,3258,6186,3156,3367,6524,143,161,298,918,970,1890,39,30,68,105,99,202,28,26,56,73,63,135,39,32,71,3,0,3,4495,4755,9247,205,247,443,138,132,271,7765,8388,16153,2300,2024,4324,23614,24209,47818
10402,20779,21608,42384,3962,4451,8413,7836,8720,16553,458,542,1001,1179,1117,2291,116,113,222,209,242,449,79,82,161,92,105,202,98,104,200,0,0,0,10070,11019,21086,999,1233,2231,313,362,678,15349,17064,32414,3184,3358,6545,39309,42029,81336
10501,6649,6138,12791,1288,1377,2665,1268,1295,2567,71,59,128,180,204,383,28,31,61,46,29,78,21,30,52,23,19,41,6,10,21,3,0,3,1644,1676,3322,100,160,260,52,45,97,3092,3253,6344,1689,1556,3245,11423,10948,22379
10502,5978,6117,12094,1250,1461,2707,514,549,1069,97,107,205,93,96,187,204,230,440,50,50,97,27,18,45,28,20,45,10,13,27,0,0,0,1022,1094,2120,91,90,177,53,57,114,2425,2692,5114,964,884,1846,9362,9692,19057
