SA3_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10102,..,5265,5265,6111,402,6519,3217,63,3281,3353,10,3363,1455,3,1457,573,0,578,14716,5740,20459
10103,..,2242,2242,2511,190,2700,909,37,950,850,17,866,355,7,362,134,4,142,4762,2494,7259
10104,..,8689,8689,11376,622,12004,3199,52,3257,2601,15,2618,1132,7,1137,615,0,615,18925,9385,28317
10105,..,3872,3872,4456,255,4717,1783,31,1817,1596,5,1606,761,8,769,403,7,408,9002,4170,13180
10106,..,3378,3378,4557,264,4817,1722,25,1752,1812,8,1820,926,0,925,408,0,408,9422,3676,13102
10201,..,16969,16969,19760,1571,21332,9274,254,9521,9539,64,9604,3963,27,3994,1770,14,1784,44306,18893,63202
10202,..,14989,14989,18162,1532,19691,8484,172,8658,8466,59,8522,3972,22,3987,1993,4,1994,41071,16771,57847
10301,..,4394,4394,5141,490,5629,2271,93,2366,2286,43,2328,1041,10,1051,502,3,506,11249,5032,16280
10302,..,6268,6268,7155,355,7511,2572,41,2617,2220,9,2222,1300,3,1303,655,0,655,13900,6681,20578
10303,..,5238,5238,5677,400,6075,2273,36,2309,2084,8,2087,966,4,968,448,0,447,11444,5677,17128
10304,..,5616,5616,6651,450,7106,2873,59,2929,2919,36,2949,1468,16,1486,674,3,674,14581,6174,20755
10401,..,5680,5680,7266,552,7819,2402,47,2448,1950,13,1954,985,4,990,555,3,556,13158,6290,19441
10402,..,8773,8773,10969,996,11969,4475,120,4597,4007,41,4051,1794,16,1807,956,12,966,22200,9970,32171
10501,..,2809,2809,2707,215,2921,1043,19,1066,915,0,910,497,3,500,372,0,372,5537,3051,8581
10502,..,2818,2818,2574,180,2756,1042,18,1061,817,0,821,343,0,344,190,0,190,4973,3020,7995
10503,..,6767,6767,8060,568,8630,3547,89,3641,3088,18,3100,1648,3,1657,874,0,871,17223,7448,24663
10601,..,7334,7334,9713,665,10378,4792,52,4842,4673,17,4689,2155,3,2160,1009,0,1009,22338,8085,30417
10602,..,5702,5702,8323,525,8853,4314,78,4391,4478,11,4492,1937,4,1945,870,0,875,19926,6327,26258
10603,..,6637,6637,9706,567,10269,3541,64,3607,3431,12,3445,1550,5,1549,773,0,773,19001,7285,26292
10604,..,3012,3012,3530,264,3802,1541,38,1586,1492,6,1506,730,3,738,293,0,293,7596,3328,10929
10701,..,6398,6398,8147,489,8637,4290,58,4349,4449,19,4461,1857,3,1860,1073,0,1070,19818,6971,26788
10702,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
10703,..,6518,6518,10297,553,10850,5050,61,5114,5376,23,5399,2346,8,2351,1085,0,1089,24163,7161,31327
10704,..,12470,12470,13967,1660,15622,6700,639,7340,7184,288,7469,2972,96,3066,1142,63,1201,31964,15202,47170
10801,..,4103,4103,5121,353,5467,1471,26,1496,1135,7,1147,471,0,471,231,0,231,8428,4498,12919
10802,..,5574,5574,6537,505,7047,2342,51,2387,1799,18,1810,945,3,954,569,3,570,12191,6153,18344
10803,..,43,43,51,3,52,20,0,18,14,0,14,6,0,6,0,0,0,90,46,132
10804,..,8819,8819,11612,805,12420,3782,104,3888,3422,33,3457,1584,6,1586,698,0,694,21096,9769,30864
10805,..,6039,6039,7983,530,8515,2628,48,2679,2202,10,2213,1071,5,1082,557,0,557,14445,6628,21079
10901,..,6951,6951,7428,668,8093,3055,140,3190,2972,46,3023,1305,11,1322,561,4,561,15316,7823,23140
10902,..,1274,1274,1602,88,1686,588,4,590,503,4,505,317,0,317,123,0,123,3133,1367,4502
10903,..,5026,5026,6084,329,6413,1792,28,1819,1704,10,1714,868,3,872,358,3,362,10794,5404,16202
11001,..,3821,3821,4433,379,4809,1681,95,1773,1627,47,1679,773,18,790,334,4,340,8845,4364,13211
11002,..,4507,4507,5312,345,5658,1742,27,1762,1466,8,1474,834,4,841,394,0,394,9745,4897,14635
11003,..,2528,2528,2823,226,3050,1242,16,1263,1135,0,1135,621,0,624,314,0,314,6141,2771,8915
11004,..,8239,8239,9760,726,10487,4166,106,4270,3805,30,3839,1816,11,1829,868,20,888,20418,9125,29544
11101,..,11259,11259,14849,908,15760,6994,128,7122,7151,32,7186,2732,6,2738,1073,9,1088,32800,12346,45146
11102,..,6215,6215,9292,557,9844,4189,74,4271,4169,19,4188,1791,4,1792,839,4,842,20273,6872,27146
11103,..,18241,18241,18950,2620,21569,8949,1010,9965,8400,362,8762,3246,121,3370,1220,87,1310,40769,22444,63212
11201,..,8398,8398,9905,1108,11015,4055,271,4324,3652,97,3747,1468,41,1514,573,11,583,19663,9926,29589
11202,..,7730,7730,8585,891,9480,3560,120,3681,3025,40,3059,1535,13,1548,772,3,773,17477,8795,26275
11203,..,10104,10104,12003,1152,13155,4534,143,4676,4298,34,4325,1898,6,1901,918,4,924,23650,11441,35089
11301,..,4340,4340,5252,368,5616,2234,63,2294,2311,21,2331,1257,12,1269,595,14,614,11654,4817,16474
11302,..,1579,1579,2015,84,2098,626,7,633,661,3,660,293,0,294,133,0,135,3723,1672,5403
11303,..,9130,9130,11162,875,12035,4554,209,4760,4271,72,4348,2263,22,2282,1067,14,1081,23320,10319,33640
11401,..,10900,10900,14344,876,15216,4809,77,4889,4186,23,4211,1933,7,1942,971,3,973,26243,11879,38127
11402,..,4640,4640,6544,333,6877,2286,30,2321,2287,12,2299,1106,3,1111,515,3,516,12744,5023,17770
11501,..,5615,5615,11434,380,11812,8503,130,8633,11432,42,11472,4914,35,4947,2184,41,2233,38468,6248,44721
11502,..,1106,1106,2259,109,2365,1225,15,1235,1569,5,1572,948,3,952,637,0,633,6630,1237,7867
11503,..,1203,1203,2333,109,2440,1272,13,1286,1509,4,1511,765,0,766,442,0,442,6327,1324,7649
11504,..,978,978,2086,95,2181,1707,25,1735,2660,11,2672,1358,3,1364,649,0,649,8466,1117,9577
11601,..,7625,7625,10515,856,11372,8213,190,8405,8562,99,8664,3855,49,3903,2778,37,2816,33925,8863,42788
11602,..,2768,2768,5540,310,5857,5531,81,5604,7607,34,7638,3074,21,3094,1785,25,1807,23533,3243,26768
11603,..,5084,5084,7059,564,7623,6115,83,6201,6432,37,6465,3803,9,3816,3171,3,3177,26580,5786,32360
11701,..,3780,3780,4237,723,4961,2813,272,3088,2828,106,2932,1079,45,1121,524,18,542,11477,4942,16424
11702,..,5509,5509,5780,1436,7216,2990,634,3621,2489,266,2749,782,82,865,452,33,489,12482,7968,20447
11703,..,32415,32415,26289,7431,33715,8156,3313,11472,5123,1871,6997,1361,649,2011,696,501,1188,41627,46173,87796
11801,..,14082,14082,14452,3085,17534,6444,1058,7502,5894,394,6291,2244,82,2331,670,42,711,29707,18747,48449
11802,..,13097,13097,13571,3059,16630,7337,1405,8745,7291,616,7902,2593,273,2867,989,146,1139,31775,18602,50373
11901,..,10164,10164,11930,809,12741,8936,224,9155,9812,74,9885,5647,40,5684,4495,31,4528,40811,11338,52154
11902,..,7682,7682,10195,1111,11308,7772,322,8090,7745,246,7986,3904,125,4029,3042,108,3150,32653,9591,42240
11903,..,8586,8586,10703,1056,11761,7604,429,8034,8006,220,8221,3507,84,3592,2178,47,2225,31992,10424,42420
11904,..,10596,10596,12749,1693,14440,8351,575,8927,7817,270,8088,3352,111,3463,2001,74,2074,34274,13323,47593
12001,..,6945,6945,9557,1197,10753,5377,455,5826,5181,133,5317,1705,40,1739,650,19,667,22465,8780,31246
12002,..,6100,6100,6406,871,7276,3273,370,3644,3278,128,3407,856,32,888,195,10,204,14007,7509,21515
12003,..,11696,11696,13283,2486,15765,9014,1080,10096,8503,563,9071,3326,244,3573,1800,196,1997,35919,16268,52190
12101,..,9281,9281,11622,1392,13014,6960,409,7369,7205,144,7347,2658,54,2715,859,26,886,29301,11304,40605
12102,..,5102,5102,7433,518,7951,5215,107,5323,5874,33,5911,2217,5,2228,887,3,891,21629,5765,27397
