SA3_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
10704,12250,24203,225,1234,1339,6174,293,1293,7897,30694,9756,39390,844,3527,1318,4549,2707,8529,4863,16602,14624,55995,54,228,365,1259,152,532,1743,4506,2312,6528,252,792,606,1329,2071,4404,2926,6526,5241,13057,559,1158,32676,94409
10801,4593,9116,36,201,257,1201,84,379,1170,4567,1548,6351,80,312,200,637,533,1595,806,2542,2357,8893,15,80,111,406,50,174,595,1674,772,2339,39,114,106,234,576,1192,719,1534,1491,3871,112,225,8551,22108
10802,5832,11598,90,474,406,1948,155,713,1856,7472,2504,10610,137,584,270,867,913,2796,1321,4248,3829,14854,40,214,191,755,121,477,1156,3378,1505,4824,68,209,182,392,900,1924,1155,2521,2659,7347,200,422,12523,34220
10803,50,93,0,0,3,10,0,0,23,79,25,85,0,0,3,11,6,16,11,31,35,115,0,0,0,0,0,0,3,3,3,3,0,0,0,0,4,8,4,8,7,10,0,3,87,219
10804,10577,20996,113,607,861,3951,211,925,3821,15238,5000,20727,256,1043,576,1856,1355,4158,2188,7056,7190,27778,36,149,265,930,106,404,1436,3867,1848,5351,116,350,359,760,1213,2577,1686,3688,3531,9040,222,455,21518,58273
10805,7177,14198,93,539,468,2191,182,851,2316,9336,3060,12919,189,742,380,1226,1049,3228,1623,5193,4677,18112,38,167,201,740,119,433,1105,3172,1463,4515,76,244,231,499,914,1957,1219,2698,2689,7211,195,407,14737,39927
10901,6418,12632,103,584,641,3020,175,768,3594,14150,4510,18525,295,1216,502,1623,978,3023,1778,5861,6292,24383,30,160,200,695,92,331,1181,3212,1504,4398,69,221,243,507,797,1677,1111,2402,2615,6797,183,379,15507,44197
10902,1438,2817,32,182,126,572,35,151,663,2733,863,3637,58,212,77,230,236,721,368,1162,1230,4796,5,14,37,141,16,55,201,559,255,772,13,43,28,54,181,385,221,470,474,1244,38,72,3177,8928
10903,5470,10790,72,357,410,1920,119,565,2108,8561,2713,11408,159,644,289,866,681,2057,1125,3565,3832,14972,19,74,108,357,49,176,621,1667,799,2280,51,163,132,271,483,998,661,1432,1456,3711,121,250,10881,29726
11001,3855,7604,66,370,368,1652,101,462,1974,7828,2511,10314,134,501,305,950,537,1638,970,3085,3478,13401,22,100,123,422,58,199,648,1765,846,2483,36,113,137,294,480,1002,657,1410,1500,3891,144,301,8981,25193
11002,4718,9346,68,360,344,1597,131,595,1772,7194,2319,9747,113,443,265,817,628,1905,1006,3163,3320,12911,30,130,128,494,76,273,801,2276,1032,3181,32,97,123,247,536,1123,689,1465,1717,4647,144,291,9897,27198
11003,2473,4892,40,207,236,1030,86,422,1458,5850,1819,7507,77,295,162,471,453,1412,685,2176,2499,9680,15,69,70,265,74,288,566,1676,717,2294,26,83,72,142,379,833,476,1064,1199,3356,112,252,6288,18180
11004,8538,16917,158,841,813,3675,261,1223,4497,17905,5728,23645,297,1164,515,1606,1526,4668,2334,7439,8059,31090,56,234,253,985,145,566,1800,5153,2257,6933,107,327,279,586,1223,2643,1604,3559,3864,10494,327,680,20789,59179
11101,12996,25790,212,1182,1383,6333,424,1851,7182,28012,9193,37379,787,3213,1244,4227,3002,9391,5035,16840,14231,54216,84,380,380,1308,195,665,2109,5734,2765,8087,221,687,588,1314,2308,4895,3114,6896,5875,14981,412,848,33514,95832
11102,8471,16848,146,798,834,3817,364,1624,4227,16540,5568,22770,458,1895,601,2028,1928,6102,2989,10024,8559,32798,48,210,243,862,140,477,1419,3949,1850,5500,132,411,305,664,1331,2887,1764,3962,3609,9464,245,509,20884,59616
11103,16116,31791,195,1089,1531,6980,420,1871,9600,36907,11752,46846,755,3073,1392,4614,3041,9445,5183,17134,16936,63979,103,430,485,1674,234,856,2843,7515,3665,10473,267,860,803,1750,2878,6092,3950,8695,7615,19170,843,1734,41504,116674
11201,8782,17372,93,506,744,3358,178,767,4094,15733,5110,20361,284,1115,657,2068,1323,4059,2260,7246,7375,27613,30,113,250,829,106,360,1517,3808,1899,5102,127,377,451,957,1216,2496,1795,3833,3695,8936,255,540,20106,54457
11202,7380,14672,103,563,712,3421,225,1010,3308,13330,4344,18327,262,1068,521,1675,1345,4185,2123,6931,6464,25259,57,283,273,979,131,474,1580,4400,2040,6129,121,393,360,766,1204,2543,1687,3700,3729,9837,293,615,17869,50381
11203,10759,21379,149,792,851,3928,286,1256,4688,18405,5969,24388,388,1582,683,2256,1715,5328,2783,9169,8751,33550,54,251,323,1150,154,565,1641,4363,2172,6326,164,519,429,952,1695,3610,2287,5091,4462,11409,312,650,24290,66989
11301,4651,9234,112,644,534,2431,199,923,2795,11328,3639,15327,224,896,328,1010,1024,3285,1568,5190,5210,20510,22,117,118,441,90,336,797,2288,1028,3186,40,135,122,266,636,1372,804,1768,1831,4951,186,394,11873,35092
11302,1775,3492,21,131,153,652,44,197,767,3089,982,4066,48,176,103,313,248,776,396,1264,1376,5333,7,35,41,160,16,70,235,632,298,893,18,63,37,72,211,445,266,582,566,1472,47,102,3776,10398
11303,9715,19144,194,1069,1067,5047,324,1512,5347,21598,6936,29224,370,1484,677,2146,1620,5028,2663,8657,9600,37880,58,246,311,1131,160,603,1701,4822,2230,6801,126,382,305,660,1291,2743,1724,3786,3950,10589,353,735,23623,68342
11401,13081,25874,175,971,837,3900,318,1430,4692,18512,6025,24807,366,1508,635,2038,1888,5870,2896,9413,8924,34221,60,262,283,1005,190,694,1835,5106,2373,7062,150,452,377,805,1627,3432,2149,4696,4527,11764,304,627,26828,72489
11402,6155,12113,93,554,490,2234,160,730,2623,10449,3374,13963,221,905,385,1213,994,3104,1603,5216,4983,19185,25,124,158,579,76,251,613,1676,874,2630,76,219,181,400,680,1427,932,2053,1801,4682,123,241,13058,36214
11501,11719,23401,313,1780,2580,11691,371,1666,11410,45013,14670,60152,1806,7594,2817,10004,4839,15663,9462,33259,24133,93413,48,201,310,1077,102,326,1063,2827,1519,4435,270,875,561,1346,1647,3667,2476,5888,4001,10321,358,761,40218,127896
11502,2453,4880,99,563,458,2168,100,470,1562,6497,2219,9704,325,1411,381,1364,887,2931,1588,5704,3802,15406,5,35,59,199,24,81,208,582,298,900,51,157,65,164,345,771,461,1097,764,1994,62,125,7074,22403
11503,2419,4826,86,503,339,1619,172,810,1568,6281,2172,9222,210,874,253,852,788,2616,1253,4339,3420,13560,15,65,60,225,29,102,252,666,350,1053,35,112,73,166,306,662,413,939,772,1989,35,78,6648,20451
11504,2231,4504,118,662,696,3238,165,775,2899,11640,3878,16310,374,1613,428,1491,1017,3380,1823,6486,5702,22799,13,67,69,234,33,120,322,866,440,1287,55,188,88,214,328,735,471,1136,909,2422,63,149,8902,29871
11601,9959,20310,317,1883,1702,8189,516,2438,9987,38836,12530,51348,1119,4852,1476,5207,3868,12824,6460,22880,18995,74230,94,478,416,1591,271,1003,1998,5674,2774,8751,309,1032,553,1274,2707,6122,3566,8433,6334,17181,692,1490,35983,113206
11602,5831,11834,252,1401,1570,7319,357,1611,9137,35516,11314,45848,895,3815,1234,4382,2322,7696,4447,15889,15758,61736,50,257,260,930,96,352,1060,2879,1471,4420,170,565,328,792,1046,2384,1552,3746,3021,8164,254,558,24869,82299
11603,6342,13003,468,2829,1574,7898,619,3116,7157,29093,9815,42935,987,4380,1036,3646,2963,10034,4984,18052,14796,60990,184,925,488,2029,396,1608,2636,8048,3699,12603,321,1125,452,1020,2236,5214,3012,7363,6708,19968,518,1161,28361,95125
11701,4000,8030,78,430,440,1978,129,552,3230,12140,3872,15099,319,1361,434,1511,1035,3373,1793,6236,5661,21335,21,88,100,344,61,210,569,1496,749,2137,86,270,204,478,852,1873,1149,2624,1898,4764,339,721,11897,34844
11702,5431,10760,39,212,361,1660,68,321,3286,12034,3760,14222,176,765,340,1127,874,2842,1383,4727,5145,18953,19,72,90,322,50,192,629,1508,791,2097,66,225,211,447,878,1926,1153,2595,1943,4687,354,754,12880,35157
11703,26486,51944,19,103,464,1983,77,329,6993,24033,7556,26447,252,1002,803,2567,1173,3594,2228,7161,9788,33607,20,104,162,529,82,268,1436,3422,1699,4320,120,360,710,1526,1683,3478,2513,5363,4215,9684,1709,3637,42197,98876
11801,13325,26039,94,474,1141,5130,85,331,7969,29747,9287,35676,591,2322,1332,4469,1507,4580,3434,11370,12720,47045,10,42,200,640,44,123,1241,2942,1498,3751,153,448,546,1197,1235,2538,1933,4184,3429,7933,591,1220,30063,82237
11802,12320,24354,99,514,1232,5462,186,828,8596,32156,10111,38954,709,2868,1356,4700,2413,7615,4475,15184,14591,54132,35,164,215,688,99,330,1475,3665,1824,4848,185,563,621,1405,1948,4178,2760,6149,4579,10996,1005,2116,32490,91606
11901,10990,22333,579,3488,2447,12282,675,3277,11186,46011,14888,65053,1517,6705,1793,6455,5063,17035,8371,30195,23256,95248,177,874,579,2258,295,1134,2465,7282,3508,11551,464,1599,746,1822,3484,7994,4700,11413,8208,22971,865,1894,43316,142443
11902,9712,19732,375,2243,1652,8287,401,1911,9573,37851,11994,50287,1023,4569,1410,5022,3663,12236,6103,21827,18094,72109,80,398,378,1412,168,607,1724,4825,2346,7239,282,953,671,1573,2580,5765,3537,8288,5875,15525,778,1721,34463,109088
11903,11147,22632,229,1295,1583,7256,337,1527,8237,31700,10381,41776,1086,4642,1860,6520,3494,11353,6437,22514,16820,64292,59,276,292,1055,125,446,1423,3804,1902,5581,288,937,730,1749,2249,4994,3268,7675,5171,13256,724,1604,33862,101782
11904,13102,26577,234,1332,1394,6506,345,1581,9055,34106,11026,43531,945,4032,1344,4665,3329,10738,5624,19433,16647,62963,54,241,266,927,130,451,1551,4085,1993,5702,262,860,649,1488,2464,5418,3372,7763,5365,13464,931,2023,36041,105021
12001,9118,18111,72,411,815,3629,111,492,6199,22958,7206,27486,571,2393,911,3140,1915,6118,3393,11647,10596,39138,8,35,142,477,57,179,885,2203,1091,2900,124,383,421,955,1257,2683,1802,4021,2894,6925,481,1016,23089,65180
12002,5776,11253,21,120,395,1714,57,234,4630,17096,5113,19168,177,690,489,1632,671,2041,1338,4363,6451,23528,3,4,94,275,19,65,603,1449,723,1793,73,217,249,545,662,1383,975,2142,1700,3939,246,509,14164,39227
12003,13495,27290,169,937,1487,6726,214,922,9320,34683,11184,43267,1049,4469,1937,6756,3260,10635,6252,21860,17432,65132,32,128,289,989,79,255,1559,3923,1960,5293,242,794,882,2020,2326,5146,3457,7965,5420,13259,1090,2351,37432,108027
12101,10851,21457,61,336,1279,5687,120,507,9365,35098,10824,41621,707,2838,1755,5994,1821,5633,4287,14469,15111,56090,13,59,208,671,38,119,1102,2713,1360,3559,157,458,641,1445,1276,2714,2076,4619,3436,8177,561,1192,29957,86915
12102,6972,13938,123,689,1141,5151,162,714,6997,26628,8430,33183,684,2829,1255,4294,1919,6079,3851,13196,12281,46378,21,84,209,706,43,135,764,1944,1042,2867,187,597,364,819,1177,2521,1724,3932,2764,6803,313,668,22336,67793
12103,10299,20378,205,1050,2271,10340,185,759,9322,36424,11974,48567,1315,5344,2754,9649,2722,8496,6792,23489,18770,72056,23,100,300,994,46,148,887,2335,1256,3581,216,657,664,1539,1197,2527,2078,4723,3330,8298,366,769,32765,101500
12104,12226,23828,46,234,648,2818,69,265,6063,21909,6822,25223,348,1356,1070,3527,1087,3253,2502,8131,9323,33358,6,13,139,429,22,70,916,2144,1078,2651,116,348,474,1021,859,1754,1453,3127,2535,5786,471,973,24555,63943
12201,4485,8767,34,187,509,2269,44,188,3288,12453,3873,15095,250,1000,523,1787,657,2011,1437,4799,5315,19891,11,28,87,266,20,57,373,918,490,1266,54,179,175,393,392,799,624,1364,1117,2626,134,291,11052,31572
12202,6059,11929,97,490,798,3565,171,740,4415,17429,5484,22219,573,2314,787,2673,1576,4901,2928,9886,8412,32104,21,80,152,500,40,118,569,1509,774,2215,117,374,257,564,791,1682,1156,2613,1931,4823,134,283,16546,49141
12203,13768,27338,251,1320,2075,9436,313,1368,12090,46675,14734,58803,1165,4769,1879,6599,3295,10503,6333,21872,21065,80676,35,143,294,980,109,350,1482,3755,1916,5230,286,903,559,1282,2077,4477,2921,6661,4839,11889,479,1012,40148,120919
12301,4922,9895,192,1111,925,4335,394,1823,5158,20499,6671,27759,534,2290,626,2181,1681,5496,2849,9971,9517,37729,44,212,201,712,111,432,949,2590,1308,3951,148,472,235,541,848,1871,1226,2885,2531,6838,158,346,17126,54808
12302,11816,23942,506,3000,1895,9240,808,3959,9948,39556,13151,55758,1214,5299,1451,5047,4692,15410,7362,25755,20512,81513,175,858,630,2420,439,1689,3460,10010,4697,14976,389,1299,654,1499,3364,7491,4411,10287,9107,25264,657,1417,42092,132138
12303,3874,7718,154,832,559,2678,313,1474,2789,11315,3812,16302,303,1271,382,1309,1260,4081,1942,6660,5750,22963,31,127,117,429,54,193,532,1481,730,2234,51,155,116,261,552,1184,712,1598,1444,3836,95,203,11164,34718
12401,8222,16258,151,860,963,4443,219,1010,4708,18458,6038,24772,475,1945,868,2927,1765,5534,3104,10401,9141,35174,30,138,229,787,107,349,1147,3022,1514,4303,136,421,359,796,1169,2453,1666,3671,3177,7975,221,457,20759,59864
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,11707,23572,393,2252,1628,7803,691,3291,9761,38478,12473,51827,1028,4467,1164,4065,3767,12392,5965,20922,18443,72748,95,457,438,1599,275,961,2760,7617,3568,10627,279,914,563,1300,2459,5447,3303,7655,6870,18285,512,1091,37529,115699
12404,2899,5856,93,555,361,1691,193,949,2019,8031,2667,11226,258,1109,250,837,1012,3347,1517,5300,4185,16522,24,108,134,477,83,290,688,1912,925,2783,80,256,156,341,774,1692,1010,2287,1937,5069,146,310,9169,27759
12405,4012,8118,158,986,589,2953,274,1300,3175,12653,4195,17897,448,1931,445,1572,1784,5947,2679,9449,6876,27347,67,335,171,694,132,457,1179,3432,1548,4909,130,419,208,486,1252,2856,1595,3759,3138,8669,254,555,14286,44684
12501,6763,13871,235,1470,1016,5128,226,1086,5868,22760,7348,30445,630,2759,913,3232,2027,6776,3568,12760,10916,43208,54,279,193,785,81,287,917,2505,1245,3853,170,581,350,840,1280,2886,1801,4310,3046,8162,593,1328,21315,66570
12502,5241,10472,93,504,965,4382,161,722,5071,19556,6283,25155,653,2813,1174,4125,1897,6157,3727,13097,10006,38256,28,129,196,676,53,183,762,2006,1036,2994,131,421,345,820,1044,2282,1519,3525,2558,6525,244,518,18048,55768
12503,9502,19379,593,3693,1935,9980,615,3092,10150,41742,13294,58511,1216,5609,1319,4713,4036,13742,6569,24060,19863,82572,160,806,437,1736,242,916,2152,6390,2980,9853,366,1290,573,1377,2920,6784,3854,9458,6836,19306,903,2004,37095,123263
12504,11777,23843,159,916,1294,5828,262,1202,13042,47605,14761,55548,754,3237,1342,4687,2492,8170,4588,16099,19349,71648,37,175,257,937,111,395,1445,3801,1853,5309,211,673,612,1384,2007,4416,2830,6473,4686,11782,795,1723,36607,108995
12601,4035,8041,58,333,757,3402,80,366,3597,13904,4496,18010,564,2361,1042,3680,1301,4123,2905,10172,7408,28180,6,28,88,300,23,83,385,1005,510,1420,100,311,254,600,545,1150,891,2058,1401,3481,175,365,13016,40066
12602,12523,25044,147,783,1503,6764,170,773,9743,36435,11560,44758,1028,4274,1831,6404,3003,9619,5862,20292,17427,65048,20,86,228,750,70,211,1291,3219,1601,4261,200,631,627,1433,1905,4199,2731,6271,4334,10533,808,1709,35097,102334
12701,6040,12362,428,2517,1771,8817,592,2912,7059,28886,9851,43138,1089,4854,1039,3790,3249,11222,5377,19865,15226,63003,110,533,385,1497,224,855,1552,4750,2278,7633,274,983,352,858,1721,4051,2348,5892,4622,13527,373,835,26263,89719
12702,11344,23354,691,4138,2629,13058,801,4019,9709,40126,13832,61338,2114,9639,2113,7796,6784,23339,11009,40765,24842,102104,201,987,824,3236,430,1644,3373,9925,4822,15790,623,2186,1087,2724,4611,11076,6318,15985,11145,31776,1102,2477,48433,159714
12703,7360,14910,337,2023,1802,8696,497,2414,8626,34272,11259,47405,1048,4595,1297,4574,3094,10315,5437,19482,16698,66881,80,398,334,1254,203,774,1772,5040,2389,7467,302,1023,523,1223,2025,4625,2854,6866,5242,14327,482,1039,29779,97164
12801,10922,21608,208,1116,1296,5908,269,1202,7425,28889,9198,37118,991,4175,1258,4388,2947,9463,5197,18036,14388,55153,28,126,241,798,103,346,1276,3267,1646,4538,213,659,462,1010,1832,3907,2502,5580,4152,10115,391,824,29847,87698
12802,9623,19134,244,1346,1510,6822,332,1475,8231,32397,10314,42038,1127,4783,1362,4838,3666,11902,6162,21522,16470,63558,45,187,251,831,98,314,1170,3051,1559,4384,244,795,425,988,1588,3462,2256,5252,3811,9631,325,679,30235,93003
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
