SA3_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
10603,101,40,432,232,127,126,71,111,18,1257,3,0,3,0,3,4,6,10,3,33,36,41,44,31,31,15,23,15,13,247,52,42,112,66,54,50,55,99,57,591,2190,3693,4046,2398,2209,1074,1022,1188,278,18104
10604,38,4,132,76,29,44,66,53,4,452,0,0,3,0,0,3,4,4,0,18,7,4,14,4,6,0,17,14,3,83,48,16,71,30,20,20,58,66,24,355,1046,1379,1911,710,768,345,953,681,109,7901
10701,89,32,433,194,138,117,60,109,12,1180,0,4,0,4,0,3,0,3,0,17,27,37,21,18,29,7,24,14,5,174,29,51,119,75,57,64,86,106,83,674,1909,4446,4139,2663,2692,1162,1161,1296,298,19768
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
10703,148,39,577,243,143,141,90,135,18,1529,3,3,0,3,0,0,4,5,4,19,33,35,42,20,39,6,35,26,20,251,60,51,149,72,71,69,58,118,86,736,2949,6122,5325,3594,3204,1501,1467,1520,391,26083
10704,193,45,632,348,237,167,81,126,18,1848,3,6,13,13,9,3,0,9,0,54,65,123,49,57,75,25,35,22,11,465,55,90,141,104,73,71,64,97,136,833,5310,14546,6246,4784,4950,2098,1539,1833,582,41892
10801,43,8,226,75,36,61,26,58,7,547,3,0,0,0,3,0,0,0,0,10,10,8,3,3,5,7,7,3,3,42,32,18,29,24,14,50,28,53,30,270,804,1444,1225,887,692,513,273,523,107,6458
10802,63,13,230,143,55,63,30,88,11,690,0,0,0,4,0,3,0,4,3,17,11,15,12,12,16,3,16,17,8,100,51,29,75,97,29,35,35,89,57,496,1189,2219,1741,1661,1090,574,464,900,195,10016
10803,4,0,11,0,0,0,0,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,11,32,19,30,22,20,8,3,24,7,158
10804,148,32,512,227,131,145,40,155,9,1412,0,4,0,0,3,7,7,0,0,20,22,43,23,27,25,9,20,12,3,181,53,39,101,73,65,73,51,85,75,608,2337,5458,3454,2687,2510,1366,727,1287,265,20079
10805,73,14,271,112,47,92,27,97,4,737,0,0,8,3,0,0,0,0,5,15,22,13,20,8,14,8,11,20,0,112,49,36,69,66,37,65,60,88,34,501,1440,2856,2016,1674,1250,854,569,984,128,11791
10901,130,22,436,183,105,139,59,108,14,1206,3,6,0,7,4,3,0,4,0,35,31,37,19,18,22,12,19,15,4,187,58,31,78,46,35,51,55,96,54,507,2503,4749,3165,2250,2202,1050,880,1107,227,18133
10902,27,0,70,21,28,13,8,21,0,184,0,0,3,3,0,0,4,0,0,4,4,3,3,3,3,0,3,4,0,29,30,7,31,20,17,15,21,28,15,179,574,554,484,343,304,131,176,262,38,2865
10903,98,13,234,104,62,75,21,94,5,704,7,0,0,4,0,0,4,6,3,27,29,20,12,16,6,0,14,17,0,106,87,32,79,69,38,48,56,100,33,541,2078,2043,1720,1215,984,518,545,1022,142,10266
11001,57,12,187,74,53,52,22,58,3,524,0,0,3,5,0,4,0,3,0,15,29,25,16,12,13,5,10,7,4,113,54,50,35,26,27,28,21,56,31,330,1784,3206,1416,1174,1295,546,288,799,131,10637
11002,70,10,152,72,29,38,16,78,4,481,5,0,0,3,0,0,0,4,0,13,22,8,4,8,7,10,10,18,4,88,82,27,68,59,26,35,49,101,65,511,1712,1661,1288,1129,829,456,367,884,167,8494
11003,40,10,108,62,34,16,19,28,3,320,0,0,0,0,0,0,0,0,0,8,10,8,11,3,5,3,8,12,3,59,65,18,36,21,43,39,51,59,38,375,1255,1366,1022,677,713,301,415,456,118,6319
11004,159,29,412,199,105,102,99,165,10,1280,5,8,3,0,3,0,0,12,4,29,41,29,32,15,20,21,36,26,4,231,99,73,158,86,92,84,119,206,96,1023,3105,5229,3794,2523,2460,1160,1338,1736,315,21661
11101,170,58,726,251,211,178,78,155,15,1859,0,3,0,4,3,9,4,5,0,31,41,62,57,43,58,15,34,25,13,343,59,64,125,98,85,80,69,101,105,780,4163,10699,6634,4030,4774,1919,1488,1749,439,35899
11102,111,40,420,169,134,126,71,127,13,1216,0,0,0,0,0,3,0,7,0,17,18,32,37,20,24,9,30,20,14,206,34,44,102,62,57,50,59,90,70,567,2110,4989,4276,2606,2575,1155,1211,1316,320,20554
11103,248,76,1024,404,273,257,117,195,32,2629,3,4,7,10,3,6,0,19,0,57,80,162,74,62,90,39,58,40,26,631,81,130,157,110,116,78,87,142,156,1057,5904,19137,7881,5932,6345,2728,1872,2400,665,52859
11201,174,40,582,261,113,151,43,143,18,1533,9,3,3,3,4,5,0,3,4,31,56,72,36,41,34,17,16,29,12,309,78,68,115,101,65,91,39,111,86,760,3230,6956,3615,2981,2279,1380,652,1522,359,22979
11202,106,20,405,175,72,84,25,181,13,1090,3,6,0,9,0,0,4,12,0,35,25,28,23,17,12,13,22,21,10,171,76,39,74,65,44,62,60,124,70,615,2194,4494,2805,2460,2121,1016,761,1613,238,17713
11203,160,48,661,287,174,162,68,165,18,1743,3,6,0,3,3,3,0,4,0,31,32,42,33,36,28,11,20,28,11,252,61,60,128,97,69,84,57,109,89,751,2661,5702,4306,3357,2630,1497,916,1694,355,23133
11301,91,10,240,111,69,62,28,131,6,756,3,3,0,5,7,0,4,13,3,33,33,16,8,19,12,8,11,35,10,148,106,30,51,55,55,50,77,165,66,658,2110,2428,2141,1245,1326,604,649,1391,210,12092
11302,27,5,53,36,13,11,15,41,4,197,0,0,0,0,0,0,0,0,0,9,6,6,3,0,7,0,13,6,3,50,32,11,26,14,23,10,30,38,10,191,617,683,672,400,359,133,294,348,44,3555
11303,161,32,572,246,165,171,49,201,10,1609,7,8,3,7,0,5,3,18,0,57,52,55,37,44,44,15,30,36,9,331,120,65,120,94,79,91,70,142,71,856,4031,6883,4719,3431,3093,1485,1128,1792,312,26885
11401,185,32,579,285,137,141,64,162,11,1598,5,3,3,3,9,3,3,3,0,32,42,58,36,41,37,21,17,26,4,289,95,59,134,102,61,103,62,126,100,843,3010,5706,4988,3548,2654,1503,902,1697,371,24382
11402,115,21,344,138,79,73,43,100,4,907,3,0,0,0,0,3,0,8,0,18,34,32,17,14,25,9,11,22,3,162,48,33,64,34,42,45,26,63,42,407,2204,3861,2568,1509,1537,856,563,880,208,14173
11501,217,93,464,229,266,190,42,78,28,1612,6,3,3,8,5,0,0,4,0,36,146,176,47,60,129,68,31,29,17,699,109,122,94,54,134,81,36,36,164,825,10263,20632,5249,3551,7939,3254,1016,1369,849,54125
11502,52,9,142,45,76,45,9,21,5,405,3,0,0,0,0,0,0,0,0,7,17,14,12,4,14,10,6,4,7,87,31,25,33,9,29,10,15,18,37,207,1898,2594,1452,638,1264,557,236,356,141,9136
11503,60,17,149,62,71,44,24,35,9,465,0,3,0,0,0,0,0,3,0,8,17,18,20,16,10,5,4,3,4,102,26,18,57,23,40,12,25,31,53,282,1295,1854,1923,845,1091,439,406,505,144,8503
11504,67,20,176,90,95,55,20,29,8,563,3,0,0,0,3,0,0,0,0,9,23,32,15,12,23,13,8,3,3,129,32,24,33,23,31,13,12,26,45,243,2216,3371,1880,933,1827,733,381,408,204,11945
11601,181,50,619,265,226,184,211,198,26,1964,10,3,0,7,12,10,20,22,4,85,53,95,73,86,106,54,117,101,31,714,69,74,158,114,127,78,147,160,216,1139,4172,10429,6275,4404,6367,2483,2965,2789,788,40685
11602,163,43,411,184,178,152,105,94,23,1359,6,3,9,0,6,3,3,7,0,40,64,89,61,49,106,37,69,30,17,527,67,73,73,64,91,46,76,48,104,639,4862,10754,4284,2958,5185,1994,1597,1269,507,33407
11603,92,29,395,171,149,144,137,155,21,1294,0,0,4,4,3,4,15,14,3,52,28,36,54,45,56,25,77,41,13,381,51,55,124,92,100,63,211,199,161,1056,1887,5272,4199,3389,4071,1631,2750,2096,537,25839
11701,115,37,300,107,90,70,43,68,6,837,0,0,5,7,0,9,3,7,0,29,40,39,17,27,26,21,19,15,8,223,31,46,46,53,51,32,46,52,67,409,2274,4655,2122,1625,2204,1183,702,860,255,15885
11702,103,51,309,123,85,82,20,48,4,838,0,0,6,5,3,0,3,10,0,31,84,196,29,27,81,32,16,15,15,506,39,94,46,48,33,26,18,29,82,427,3555,10141,2237,1827,2806,1278,437,792,324,23395
11703,613,168,1786,724,291,279,55,201,51,4176,27,17,32,60,7,25,10,48,9,230,349,659,107,167,212,124,40,68,51,1776,181,314,191,227,130,125,46,174,342,1723,16978,42085,7558,7992,9939,5987,1035,3582,1563,96713
11801,312,91,654,268,159,112,18,53,15,1690,5,7,5,11,3,6,0,3,4,49,219,379,43,70,127,87,8,34,32,1001,159,180,61,85,95,75,16,60,155,886,11950,25166,3263,3470,5392,3476,462,1151,976,55301
11802,253,66,624,300,233,131,33,119,16,1780,6,3,12,8,11,9,6,8,5,62,147,244,68,86,93,43,40,34,27,787,104,149,88,101,96,82,55,70,172,914,8815,21856,5022,4177,6282,3048,963,1611,827,52597
11901,233,40,693,369,289,205,115,168,37,2143,3,6,16,4,14,10,4,14,3,82,58,89,69,47,81,51,65,50,19,529,102,111,195,135,144,119,143,143,238,1333,4872,11315,6740,4378,6297,2905,2287,2247,825,41862
11902,170,38,681,272,184,164,165,153,32,1868,8,4,20,18,0,12,10,33,9,120,59,101,57,81,81,35,64,51,31,563,65,97,139,104,117,100,120,168,233,1141,3873,8996,5006,4017,4747,2880,2386,2610,772,35295
11903,180,53,678,271,202,183,68,128,16,1775,8,3,11,6,16,10,8,26,4,96,78,102,50,56,92,47,39,37,14,511,93,120,118,96,108,89,62,84,188,961,5581,13349,4917,3775,6107,3048,1425,2071,731,41006
11904,264,63,916,352,239,226,112,185,33,2382,5,5,14,9,7,7,18,29,6,109,83,116,63,74,110,56,59,65,22,641,111,118,151,102,129,80,86,150,229,1155,5921,14188,5829,4554,6597,3591,1954,3223,831,46688
12001,213,59,423,175,156,126,32,53,11,1256,4,7,5,9,0,5,0,8,3,43,91,134,19,27,77,36,7,22,25,446,76,96,63,46,65,57,25,56,102,575,6641,13201,2918,2036,4470,2242,514,844,547,33414
12002,128,41,225,84,70,49,9,22,6,633,3,3,5,0,0,3,0,4,0,18,102,179,21,22,62,21,4,8,10,437,50,77,15,21,31,31,6,13,67,319,5640,11553,1549,1345,2614,1180,211,371,373,24842
12003,259,82,963,362,215,206,88,191,26,2384,9,10,29,26,6,16,14,33,3,143,125,257,73,67,191,74,42,44,33,907,110,144,119,99,135,77,55,130,226,1100,7607,22556,5624,4820,7480,3834,1453,2813,1014,57207
12101,212,70,466,169,133,108,19,67,16,1259,7,7,6,3,11,11,3,3,0,45,118,222,35,55,84,58,11,21,20,629,93,145,33,40,60,35,12,29,121,564,9382,21524,2748,2544,5355,2651,444,884,767,46289
12102,117,44,392,138,112,99,33,71,10,1021,4,3,5,5,3,4,3,3,0,33,59,117,38,33,63,33,17,22,14,404,43,85,43,44,57,41,18,33,86,464,4725,12521,3382,2636,4205,1642,589,1104,388,31201
12103,159,51,254,129,120,82,17,39,3,859,11,3,0,8,0,6,3,0,0,28,145,204,20,39,112,49,8,12,17,603,79,125,37,26,54,37,8,17,125,513,10133,20116,2187,2116,5415,2330,352,668,775,44105
12104,210,73,382,162,139,105,17,43,14,1146,3,3,3,4,6,0,0,0,5,24,150,236,35,39,96,65,5,7,19,653,88,135,30,34,82,48,4,18,112,546,10200,20951,2171,2165,5039,2414,265,558,766,44529
12201,87,29,199,75,61,37,17,23,9,539,0,0,3,3,3,4,0,0,0,13,73,89,10,11,38,28,3,5,7,258,41,52,21,26,36,23,5,9,51,258,4300,7611,1198,1143,1886,1064,171,317,305,17999
12202,142,55,307,126,146,80,24,56,9,947,0,3,4,0,3,0,3,0,0,16,57,87,16,33,31,22,21,15,10,292,63,55,62,38,53,38,14,30,78,433,4502,7202,2977,1785,2749,1391,410,653,385,22071
12203,389,137,912,365,308,233,106,138,24,2601,3,6,5,6,5,7,6,13,0,60,129,216,56,68,109,63,34,23,33,730,144,128,134,99,126,96,63,89,163,1037,11139,18806,7405,5006,7152,3606,1217,1934,774,57039
12301,97,36,307,160,174,105,64,66,13,1029,3,3,0,4,0,3,0,3,0,21,33,32,41,23,22,18,29,9,14,212,46,32,72,43,63,44,57,38,65,462,2892,5291,3720,2399,2864,1275,1067,896,319,20713
12302,194,56,661,319,272,218,191,238,28,2169,3,7,12,7,4,6,17,10,3,66,52,77,78,71,94,38,120,76,21,625,80,89,178,146,147,130,234,212,181,1394,4034,9529,7156,5357,6337,2766,3349,2930,733,42189
12303,57,19,215,92,109,71,47,52,14,666,0,3,0,0,5,0,0,0,0,13,28,13,15,8,12,9,23,10,10,132,47,36,106,41,68,43,52,64,31,488,1734,2741,2962,1458,1669,691,891,779,200,13121
12401,132,39,397,219,144,96,42,87,9,1161,8,8,0,7,0,3,0,7,0,37,54,120,29,50,53,24,19,22,19,378,49,74,71,64,63,32,50,60,74,540,3529,9558,3690,3073,3131,1243,777,1249,346,26594
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12403,244,85,707,352,438,230,166,191,30,2450,5,5,3,12,12,3,8,11,0,52,85,67,59,52,77,32,70,47,28,506,78,79,159,105,148,93,150,128,178,1125,5037,9872,7778,4971,6578,2488,2615,2261,696,42300
12404,60,16,209,90,88,64,34,59,9,622,4,3,3,3,0,0,0,3,0,21,14,20,20,7,24,6,27,7,3,131,23,16,52,30,39,22,44,38,36,300,1187,2090,2391,1261,1377,589,669,608,165,10347
12405,68,21,243,103,148,88,78,90,11,832,3,0,0,3,4,3,5,6,0,26,20,22,17,21,24,5,42,18,5,181,33,35,80,38,77,45,108,87,79,584,1290,2549,2644,1806,2326,847,1294,1078,262,14094
12501,99,17,452,160,103,98,55,105,14,1095,3,0,15,6,6,11,9,25,3,88,26,67,34,35,39,30,24,32,20,312,50,53,132,65,62,45,54,113,186,755,2832,7040,3162,2453,3164,1807,1192,1931,596,24183
12502,99,26,284,102,120,91,35,63,10,823,8,3,0,4,3,7,4,4,0,32,49,64,23,27,47,25,23,17,3,271,26,52,54,16,42,29,21,33,81,362,3211,7891,2717,1768,3228,1367,676,861,376,22101
12503,149,50,518,275,216,159,108,129,22,1636,8,3,13,14,9,6,17,23,3,94,56,59,64,38,74,44,64,39,21,458,75,87,206,107,119,91,143,184,260,1257,3710,8740,5740,3889,5412,2360,2166,2272,830,35111
12504,179,50,594,225,215,162,175,165,29,1807,10,10,13,7,10,13,8,14,8,91,75,145,78,86,112,60,87,67,14,729,77,109,109,65,122,55,82,86,194,902,5996,19209,5321,4045,7362,3062,2298,2589,918,50794
12601,55,22,149,54,49,50,10,32,3,419,0,0,3,6,0,0,0,3,0,18,36,70,12,15,45,13,4,10,10,215,21,52,23,27,30,13,10,12,53,245,3135,8608,1329,1102,2415,941,262,432,254,18472
12602,224,55,703,265,208,177,54,105,20,1805,4,9,7,4,10,5,3,7,0,48,115,189,54,46,123,57,29,32,22,662,80,134,86,80,104,68,32,71,189,851,8163,20466,4895,3522,7149,3156,967,1567,798,50673
12701,146,40,434,215,200,135,74,115,14,1373,3,0,7,8,3,3,8,7,4,44,48,44,54,37,54,23,53,31,17,351,78,66,154,71,132,100,124,133,167,1018,3013,6047,4763,2661,4069,1674,1703,1482,589,25998
12702,172,47,625,452,245,207,100,193,31,2068,8,10,11,14,9,10,13,31,3,110,37,62,70,32,67,36,60,60,25,447,97,93,242,121,134,117,199,215,249,1470,3356,8238,6391,4069,5507,2372,2459,2620,839,35849
12703,140,38,451,251,201,131,93,134,9,1455,7,6,12,3,6,9,11,14,3,70,54,61,75,62,78,26,48,47,12,462,56,66,128,74,113,82,100,121,183,939,3532,8074,4931,3438,4803,1892,1976,1790,656,31093
12801,244,65,575,320,308,217,71,114,8,1924,4,12,0,8,7,3,4,3,3,37,82,115,51,50,78,29,24,19,20,475,100,105,99,92,116,82,36,47,145,824,6973,12078,5925,3867,5539,2524,1000,1271,612,39790
12802,176,54,551,256,272,180,76,84,14,1670,3,6,3,0,8,3,7,10,3,42,57,104,25,42,72,28,37,18,13,400,78,85,95,61,108,72,27,40,143,716,6346,12628,6259,3822,6010,2307,1081,1305,574,40336
19797,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
19999,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
