SA2_MAINCODE_2016,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_1PF_T,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_1PF_T,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_1PF_T,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_1PF_T,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_1PF_T,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_1PF_T,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_1PF_T,C16_4000m_1PF_1C,C16_4000m_1PF_2C,C16_4000m_1PF_3C,C16_4000m_1PF_4mo_ch,C16_4000m_1PF_T,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_1PF_T,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_1PF_T,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_1PF_T
102011040,88,43,13,8,154,112,38,22,5,175,198,66,16,10,292,77,40,10,4,132,38,19,10,3,66,17,16,3,0,29,7,8,0,0,17,9,3,3,0,12,59,42,17,10,135,20,7,4,0,32,818,389,122,43,1372
102011041,18,6,3,0,31,17,13,3,0,36,34,22,10,3,72,34,20,4,0,59,18,7,4,0,28,4,5,0,0,15,5,8,0,0,15,3,0,0,0,5,12,14,11,0,34,3,0,0,0,3,184,116,35,7,341
102011042,49,20,10,0,82,62,21,12,7,98,104,44,10,4,156,41,19,7,3,64,31,7,0,4,40,17,7,3,0,21,11,6,0,0,17,9,0,0,0,6,34,26,10,4,74,16,3,3,0,18,488,201,61,21,780
102011043,30,22,11,4,60,37,19,7,3,68,68,32,15,4,121,45,20,5,4,74,25,20,4,0,53,8,5,3,0,17,0,3,0,0,11,0,0,0,0,3,29,19,11,6,61,8,6,0,0,13,317,191,67,37,614
102021044,61,47,16,4,121,99,35,13,5,160,160,76,27,7,274,91,44,23,0,160,41,35,7,3,81,15,7,8,0,28,4,16,0,0,17,6,6,0,0,14,63,46,17,5,133,12,14,6,0,30,723,425,150,41,1333
102021045,48,31,24,7,111,38,29,17,10,94,86,42,22,12,165,29,23,7,8,72,12,7,4,0,25,9,3,0,3,15,5,4,0,0,10,0,5,0,0,4,20,23,14,5,54,17,7,0,0,20,371,254,126,45,802
102021046,35,22,11,3,68,37,10,5,3,61,68,31,10,0,110,31,13,0,0,45,5,10,0,0,16,6,0,0,0,6,0,0,0,0,3,0,0,0,0,0,28,19,3,5,48,13,4,0,0,17,311,147,52,19,529
102021047,38,19,10,3,74,53,31,6,3,92,92,38,15,0,148,43,20,12,3,83,26,21,5,0,59,9,3,0,0,18,3,8,0,0,14,0,3,0,0,4,29,23,4,6,54,10,3,0,0,11,403,205,70,25,702
102021048,84,52,31,15,186,128,29,12,16,182,155,71,28,9,266,87,30,17,6,145,26,13,12,0,52,9,11,8,0,28,4,4,3,0,13,4,0,0,0,7,47,29,19,8,103,17,12,0,0,35,765,380,150,87,1372
102021049,0,7,0,0,7,5,3,0,0,11,6,0,0,0,9,8,3,0,0,11,6,0,0,0,4,0,0,0,0,3,0,3,0,0,3,3,0,0,0,3,3,3,4,0,13,0,0,0,0,0,46,24,11,4,81
102021050,31,15,8,0,52,44,14,8,3,67,52,31,12,3,95,29,14,3,4,53,20,10,4,3,31,11,9,3,0,21,0,4,0,0,6,0,0,0,0,4,24,17,8,0,47,14,4,0,0,18,286,160,63,15,528
102021051,10,3,0,0,17,13,3,0,0,26,29,10,4,0,50,13,6,4,0,29,11,3,3,0,18,3,7,0,0,11,8,0,0,0,7,4,0,0,0,3,5,10,6,0,16,3,0,0,0,3,127,59,20,3,212
102021052,9,11,3,4,25,24,7,3,0,37,32,14,4,3,57,10,6,4,0,18,6,6,0,0,13,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,13,13,4,0,30,0,3,0,0,4,144,79,29,13,275
102021053,73,22,19,3,112,81,25,8,6,116,116,51,15,8,193,79,16,4,0,103,27,11,7,0,48,8,4,0,0,14,4,4,0,0,13,4,0,0,0,7,47,27,11,0,92,9,4,0,0,16,607,258,84,25,978
102021054,38,25,12,3,73,46,12,3,7,71,56,29,6,3,96,30,19,3,0,54,14,8,3,0,26,5,3,0,0,9,3,0,0,0,11,0,0,0,0,0,36,20,10,0,71,13,5,0,0,16,320,166,49,26,560
102021055,17,11,9,0,33,13,10,3,0,28,27,18,4,4,51,18,12,5,0,31,11,7,3,0,22,0,3,0,0,4,0,4,0,0,0,0,0,0,0,3,8,13,0,3,18,4,0,0,0,3,126,93,29,12,257
102021056,23,19,10,3,58,42,19,15,6,83,58,50,21,15,143,37,32,9,4,90,27,16,11,7,54,11,4,0,0,17,4,0,5,0,13,0,0,0,0,3,16,19,20,3,52,4,0,0,3,12,310,212,127,43,692
102021057,45,19,9,7,89,42,11,3,6,67,64,29,13,11,118,18,17,0,5,49,10,14,3,0,30,4,0,0,0,4,0,3,0,0,5,0,0,0,0,0,29,14,12,0,58,6,0,0,0,10,340,172,70,32,616
103011058,65,49,20,3,131,78,37,14,7,142,129,62,24,10,221,64,22,11,0,105,39,22,4,0,62,11,3,3,0,20,7,7,0,0,17,0,0,0,0,7,43,30,13,7,94,9,11,5,3,23,618,320,136,43,1118
103011059,24,14,12,9,66,27,8,3,3,40,49,24,19,7,97,40,17,12,0,73,5,10,3,3,20,0,0,0,0,3,0,5,0,0,8,0,0,0,0,0,18,9,16,9,50,6,5,3,0,12,253,154,94,36,537
103011060,8,3,0,0,16,13,3,0,0,15,23,12,3,0,29,10,5,0,0,19,7,3,0,0,12,3,0,0,0,3,0,3,0,0,3,0,0,0,0,0,15,3,4,0,23,8,0,0,0,7,121,41,16,0,181
103011061,11,3,6,0,21,17,8,0,3,23,15,4,6,4,27,12,9,0,0,21,9,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,5,0,24,8,4,0,0,13,106,49,20,8,182
103021062,15,10,6,7,34,24,3,3,3,36,26,11,4,3,46,10,5,3,0,20,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,6,4,31,10,3,0,0,9,154,74,36,25,283
103021063,37,17,3,3,66,39,15,9,6,64,40,26,7,0,74,12,8,0,0,25,5,3,3,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,17,8,10,8,35,5,3,0,0,14,244,124,46,24,441
103021064,10,9,0,4,28,18,5,4,0,29,20,13,3,3,40,8,0,3,0,16,5,0,0,0,7,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,3,0,13,3,0,0,0,3,118,48,37,8,206
103021065,23,20,4,3,49,28,13,5,6,53,58,18,9,0,86,18,12,0,0,34,11,3,0,3,13,0,3,0,0,3,0,0,0,0,3,0,0,0,0,6,16,16,9,0,38,16,4,6,0,21,230,118,49,25,429
103021066,10,3,3,0,14,13,0,0,0,17,15,7,4,0,28,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,9,0,0,0,0,3,64,27,14,0,113
103021067,41,10,17,4,80,29,9,4,5,48,53,20,9,3,89,20,11,3,0,41,12,4,0,0,23,3,3,0,0,3,3,0,0,0,3,4,0,0,0,3,16,12,11,3,41,6,8,0,0,18,291,154,71,36,551
103021068,15,0,0,0,16,8,6,0,0,18,10,3,0,0,12,10,3,0,0,7,4,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,8,3,5,0,18,6,0,0,0,6,89,24,15,6,133
103021069,19,6,0,0,33,14,9,3,4,25,37,11,4,0,48,8,6,0,0,14,8,3,0,0,8,3,0,0,0,4,7,0,0,0,8,0,0,0,0,0,7,0,3,3,13,5,3,0,0,12,143,60,19,12,227
103031070,69,25,11,3,107,44,21,3,0,74,65,28,7,4,106,27,16,8,0,49,25,4,3,0,37,3,4,0,0,7,4,0,0,0,5,0,0,0,0,3,28,14,4,4,52,11,8,0,0,17,414,187,68,26,688
103031071,16,6,9,4,42,25,8,0,0,32,20,21,5,0,43,15,3,0,0,23,11,4,0,0,12,3,3,0,0,9,4,0,0,0,4,0,0,0,0,3,14,12,8,3,36,3,9,0,0,14,165,95,40,13,312
103031072,34,22,13,6,68,41,12,3,4,67,40,32,3,5,73,24,11,3,0,38,16,9,0,4,31,3,3,0,0,5,0,3,0,0,5,0,0,0,0,3,16,16,10,4,43,7,0,0,3,9,275,152,44,28,505
103031073,18,0,3,0,20,10,3,0,0,12,14,7,6,0,26,4,0,0,0,5,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,5,9,3,0,0,0,4,103,31,18,5,155
103031074,25,15,5,3,49,20,8,0,3,32,28,5,5,0,44,14,7,0,0,18,7,4,0,0,10,0,0,0,0,4,3,0,0,0,3,3,0,0,0,3,26,8,3,0,42,9,0,0,0,14,206,80,30,19,336
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,21,14,7,0,35,17,14,3,3,38,27,14,3,0,51,14,3,3,0,23,4,6,3,0,16,3,0,0,0,5,3,0,0,0,3,0,0,0,0,0,10,10,7,0,31,8,0,0,0,10,165,86,35,10,297
103041077,82,32,17,5,139,61,28,16,10,108,128,50,14,11,207,43,23,0,0,67,24,26,0,0,54,14,4,0,0,23,5,7,4,0,18,0,0,0,0,3,36,43,10,10,91,23,5,4,0,31,587,291,98,54,1036
103041078,53,22,19,6,100,51,22,20,4,92,74,39,19,4,132,46,28,8,7,88,35,13,6,3,64,10,9,3,0,22,5,3,3,3,16,0,0,0,0,0,26,19,14,14,69,13,7,8,0,29,431,232,119,55,841
103041079,18,7,7,0,32,17,10,3,4,32,42,8,6,0,63,16,12,0,0,33,8,6,0,0,15,3,0,0,0,4,0,0,0,0,0,3,0,0,0,6,22,9,9,3,35,6,3,0,0,14,173,81,38,16,305
104011080,87,45,17,7,150,92,42,20,15,162,127,50,13,10,194,37,21,0,4,64,14,5,3,4,28,8,3,0,0,11,8,3,0,3,16,5,0,0,0,5,36,27,15,4,81,19,3,3,0,28,618,321,109,63,1109
104011081,45,23,12,8,90,39,28,9,0,74,51,32,9,7,99,32,9,3,4,53,13,5,0,0,17,3,0,0,0,6,4,0,0,0,3,0,0,0,0,0,20,21,11,6,63,13,0,0,0,16,339,178,59,44,624
104011082,57,27,14,3,101,57,31,8,4,104,77,22,10,0,111,23,20,5,3,56,18,3,0,0,20,0,3,0,0,5,0,0,0,0,0,3,0,0,0,0,41,26,4,3,74,10,4,0,0,15,419,199,58,27,700
104021083,21,12,8,4,43,16,12,0,0,35,32,18,9,0,57,8,7,0,0,24,10,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,22,12,13,0,55,4,0,0,0,3,171,100,37,14,329
104021084,81,35,12,11,135,81,31,20,14,149,126,61,23,5,210,48,25,8,4,86,31,12,3,0,42,7,3,0,0,10,3,3,0,0,10,7,0,0,0,7,42,27,11,13,94,20,10,6,3,40,579,280,101,64,1029
104021085,38,13,8,0,61,39,14,9,3,63,64,31,10,5,117,28,19,3,4,50,11,0,0,0,18,3,3,0,0,3,0,3,0,0,3,0,0,0,0,0,25,16,9,3,50,13,3,3,0,20,306,139,58,29,531
104021086,11,4,0,0,17,11,8,0,0,22,17,4,0,0,29,7,0,0,0,14,4,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,6,5,9,0,15,0,0,0,0,0,79,37,12,10,141
104021087,10,8,3,0,21,8,3,0,0,13,12,4,3,3,23,3,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,21,6,0,0,0,6,89,42,22,12,155
104021088,31,7,6,5,50,18,14,3,3,38,38,31,4,3,75,21,14,5,0,38,17,4,0,0,24,0,3,0,0,3,4,0,0,0,3,0,0,0,0,0,9,12,8,0,29,8,0,0,0,5,185,107,30,11,338
104021089,84,43,19,5,156,89,31,11,5,138,120,69,16,3,210,37,21,7,0,68,25,9,6,3,42,4,10,0,0,12,3,7,0,0,7,5,3,0,0,10,32,34,12,4,85,6,5,0,0,20,573,318,103,33,1023
104021090,11,4,5,0,28,22,7,3,0,29,32,13,0,0,49,14,0,0,0,15,3,3,0,0,4,6,0,0,0,4,0,0,0,0,0,0,0,0,0,3,15,5,4,0,26,4,0,0,0,6,146,68,24,7,232
104021091,47,22,14,6,80,46,27,10,5,77,70,21,9,7,106,23,16,5,3,47,11,12,6,3,25,5,0,0,0,5,3,0,0,0,5,0,0,0,0,0,30,17,11,3,61,8,3,0,0,19,323,178,66,26,594
105011092,15,5,0,3,28,15,5,0,3,34,18,13,3,5,33,12,4,0,0,14,5,0,0,0,4,0,0,0,0,3,3,0,0,0,4,0,0,0,0,3,10,4,0,3,18,7,9,6,9,25,128,62,28,23,246
105011093,19,6,3,0,22,12,0,0,3,15,17,4,4,4,23,15,4,0,0,16,5,0,0,0,10,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,9,4,0,0,16,4,3,4,0,14,104,42,23,8,172
105011094,8,6,7,0,20,14,3,6,3,26,15,7,4,5,31,3,0,0,0,6,6,0,0,0,12,0,3,0,0,3,3,0,0,0,8,3,0,0,0,3,12,7,10,0,24,11,5,0,0,13,109,64,27,19,227
105011095,17,6,7,0,33,11,4,3,0,15,22,7,3,3,40,13,3,0,0,14,5,3,0,0,6,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,6,3,3,6,14,5,3,0,0,13,110,53,28,15,206
105011096,21,9,11,3,46,27,9,11,3,49,29,14,10,7,55,8,0,0,4,10,10,0,0,0,12,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,18,15,5,3,40,15,6,0,8,24,206,98,56,38,393
105021097,65,28,21,6,116,88,31,14,3,135,107,39,10,12,168,47,28,11,4,83,20,19,5,3,42,5,5,0,0,10,10,3,0,0,9,9,0,0,0,7,42,24,19,5,92,33,9,3,3,50,589,299,124,52,1059
105021098,5,0,4,0,8,13,0,0,0,17,6,11,0,3,23,7,0,0,0,7,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,11,3,0,0,0,10,69,25,19,9,119
105031099,36,13,3,3,55,27,7,7,3,39,24,9,3,7,39,11,3,0,3,18,8,7,0,0,17,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,8,9,3,32,12,3,3,0,16,192,73,42,26,335
105031100,36,26,16,7,75,41,21,7,11,81,73,31,20,7,124,20,11,8,0,38,16,4,4,4,29,3,3,0,0,10,3,0,0,0,6,0,3,0,0,3,20,12,11,3,48,11,6,0,3,21,296,161,85,46,585
105031101,49,22,10,9,92,49,33,9,3,96,86,63,23,0,165,52,31,9,5,97,22,15,9,3,44,6,4,4,0,13,6,0,0,0,10,4,0,0,0,3,39,29,6,3,76,16,3,0,0,23,446,264,98,35,844
105031102,17,13,10,6,50,35,10,8,3,63,55,33,11,7,103,12,7,4,0,22,12,6,6,4,26,6,3,0,0,9,0,3,3,0,9,0,0,0,0,0,10,14,3,3,32,14,10,0,0,27,229,146,56,38,476
105031103,3,4,4,0,11,11,6,0,0,14,18,9,0,0,29,6,3,0,0,13,13,0,0,0,13,3,0,0,0,3,0,3,0,0,7,0,0,0,0,0,7,9,0,0,15,0,3,0,0,3,90,53,6,4,158
105031104,12,11,8,0,27,11,7,0,3,25,17,13,0,6,39,4,3,3,0,10,3,0,3,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,7,3,0,19,3,6,0,0,12,102,66,26,18,204
105031105,10,13,10,8,42,19,3,0,7,32,38,10,0,4,54,16,4,0,0,23,7,3,0,0,10,5,4,0,0,7,4,0,0,0,6,0,0,0,0,0,15,6,4,5,32,4,3,3,3,11,166,82,43,34,325
105031106,26,14,14,5,54,22,13,9,7,46,47,15,7,10,71,11,3,3,0,19,5,8,0,0,19,3,0,4,0,8,0,3,0,0,3,0,0,0,0,0,20,17,4,3,50,11,9,3,0,22,223,122,61,27,438
106011107,25,18,6,3,49,17,15,4,3,36,43,15,10,0,74,18,11,7,0,39,15,11,0,0,26,3,0,0,0,5,4,5,0,0,6,0,0,0,0,3,12,21,4,0,39,4,3,0,0,10,197,135,44,17,392
