SA2_MAINCODE_2016,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_SDRTHT1S_NPUR_1,C06_SDRTHT1S_NPUR_2,C06_SDRTHT1S_NPUR_3,C06_SDRTHT1S_NPUR_4,C06_SDRTHT1S_NPUR_5,C06_SDRTHT1S_NPUR_6mo,C06_SDRTHT1S_To,C06_SDRTHT2S_NPUR_1,C06_SDRTHT2S_NPUR_2,C06_SDRTHT2S_NPUR_3,C06_SDRTHT2S_NPUR_4,C06_SDRTHT2S_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_SDRTHT_NPUR_1,C06_SDRTHT_NPUR_2,C06_SDRTHT_NPUR_3,C06_SDRTHT_NPUR_4,C06_SDRTHT_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_SDRTHT_Tot,C06_FUA_1_2SB_NPUR_1,C06_FUA_1_2SB_NPUR_2,C06_FUA_1_2SB_NPUR_3,C06_FUA_1_2SB_NPUR_4,C06_FUA_1_2SB_NPUR_5,C06_FUA_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_FUA_I_a_3SB_NPUR_1,C06_FUA_I_a_3SB_NPUR_2,C06_FUA_I_a_3SB_NPUR_3,C06_FUA_I_a_3SB_NPUR_4,C06_FUA_I_a_3SB_NPUR_5,C06_FUA_I_a_3SB_NPUR_6m,C06_FUA_In_a_3SB_To,C06_FUA_4mor_s_b_NPUR_1,C06_FUA_4mor_s_b_NPUR_2,C06_FUA_4mor_s_b_NPUR_3,C06_FUA_4mor_s_b_NPUR_4,C06_FUA_4mor_s_b_NPUR_5,C06_FUA_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4,C06_DS_ns_NPUR_5,C06_DS_ns_NPUR_6more,C06_Dwg_st_NS_T,C06_Tot_NPUR_1,C06_Tot_NPUR_2,C06_Tot_NPUR_3,C06_Tot_NPUR_4,C06_Tot_NPUR_5,C06_Tot_NPUR_6more,C06_T_T,C11_Se_h_NPUR_1,C11_Se_h_NPUR_2,C11_Se_h_NPUR_3,C11_Se_h_NPUR_4,C11_Se_h_NPUR_5,C11_Se_h_NPUR_6more,C11_Se_h_Tot,C11_S_r_t_h_t_1_s_NPUR_1,C11_S_r_t_h_t_1_s_NPUR_2,C11_S_r_t_h_t_1_s_NPUR_3,C11_S_r_t_h_t_1_s_NPUR_4,C11_S_r_t_h_t_1_s_NPUR_5,C11_S_r_t_h_t_1_s_NPUR_6mo,C11_SDRTHTS_To,C11_S_r_t_h_t_2mor_s_NPUR_1,C11_S_r_t_h_t_2mor_s_NPUR_2,C11_S_r_t_h_t_2mor_s_NPUR_3,C11_S_r_t_h_t_2mor_s_NPUR_4,C11_S_r_t_h_t_2mor_s_NPUR_5,C11_SDRTHT2S_NPUR_6mo,C11_SDRTHT2S_To,C11_Sd_r_t_h_t_To_NPUR_1,C11_Sd_r_t_h_t_To_NPUR_2,C11_Sd_r_t_h_t_To_NPUR_3,C11_Sd_r_t_h_t_To_NPUR_4,C11_Sd_r_t_h_t_To_NPUR_5,C11_SDRTHT_NPUR_6mor,C11_Sd_r_t_h_t_To_Tot,C11_Fl_u_a_1_2SB_NPUR_1,C11_Fl_u_a_1_2SB_NPUR_2,C11_Fl_u_a_1_2SB_NPUR_3,C11_Fl_u_a_1_2SB_NPUR_4,C11_Fl_u_a_1_2SB_NPUR_5,C11_F_u_a_1_2SB_NPUR_6mor,C11_FUA_1_2SB_Tot,C11_F_u_a_I_a_3SB_NPUR_1,C11_F_u_a_I_a_3SB_NPUR_2,C11_F_u_a_I_a_3SB_NPUR_3,C11_F_u_a_I_a_3SB_NPUR_4,C11_F_u_a_I_a_3SB_NPUR_5,C11_F_u_a_I_a_3SB_NPUR_6m,C11_FUA_In_a_3_st_b_To,C11_F_u_a_4mor_s_b_NPUR_1,C11_F_u_a_4mor_s_b_NPUR_2,C11_F_u_a_4mor_s_b_NPUR_3,C11_F_u_a_4mor_s_b_NPUR_4,C11_F_u_a_4mor_s_b_NPUR_5,C11_F_u_a_4m_s_b_NPUR_6mor,C11_FUA_4mor_st_bl_Tot,C11_FUA_AH_NPUR_1,C11_FUA_AH_NPUR_2,C11_FUA_AH_NPUR_3,C11_FUA_AH_NPUR_4,C11_FUA_AH_NPUR_5,C11_FUA_AH_NPUR_6mo,C11_FUA_AH_Tot,C11_FUA_To_NPUR_1,C11_FUA_To_NPUR_2,C11_FUA_To_NPUR_3,C11_FUA_To_NPUR_4,C11_FUA_To_NPUR_5,C11_FUA_To_NPUR_6mo,C11_FUA_To_To,C11_OD_CCH_NPUR_1,C11_OD_CCH_NPUR_2,C11_OD_CCH_NPUR_3,C11_OD_CCH_NPUR_4,C11_OD_CCH_NPUR_5,C11_OD_CCH_NPUR_6mo,C11_OD_CCH_Tot,C11_OD_IHTSO_NPUR_1,C11_OD_IHTSO_NPUR_2,C11_OD_IHTSO_NPUR_3,C11_OD_IHTSO_NPUR_4,C11_OD_IHTSO_NPUR_5,C11_OD_IHTSO_NPUR_6mo,C11_OD_IHTSO_Tot,C11_OD_H_f_a_s_o_NPUR_1,C11_OD_H_f_a_s_o_NPUR_2,C11_OD_H_f_a_s_o_NPUR_3,C11_OD_H_f_a_s_o_NPUR_4,C11_OD_H_f_a_s_o_NPUR_5,C11_OD_H_f_a_s_o_NPUR_6mor,C11_OD_H_f_a_s_o_TO,C11_OD_Tot_NPUR_1,C11_OD_Tot_NPUR_2,C11_OD_Tot_NPUR_3,C11_OD_Tot_NPUR_4,C11_OD_Tot_NPUR_5,C11_OD_Tot_NPUR_6mor,C11_OD_T_T,C11_DS_ns_NPUR_1,C11_DS_ns_NPUR_2,C11_DS_ns_NPUR_3,C11_DS_ns_NPUR_4
101021007,280,358,106,101,49,12,917,7,0,4,0,0,0,10,0,0,0,0,0,0,4,7,4,4,0,0,0,10,10,6,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,18,12,3,4,0,0,0,20,3,0,0,0,0,0,3,0,0,0,0,0,0,0,12,3,4,0,0,0,22,0,0,0,0,0,0,0,309,373,119,102,54,16,975,361,499,160,136,58,25,1240,9,6,3,0,0,0,24,3,4,0,0,0,0,10,16,11,3,0,0,0,28,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,4,3,3,0,0,18,4,0,0,0,0,0,8,0,3,0,0,0,0,7,13,11,3,3,0,0,36,0,0,0,0
101021008,432,758,494,574,231,124,2608,139,118,36,8,6,0,316,37,41,17,11,3,0,111,184,159,55,20,12,0,425,114,45,12,5,3,0,183,11,4,0,0,0,0,20,0,0,0,0,0,0,0,9,3,0,0,0,0,12,137,51,10,5,3,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,972,557,599,242,130,3250,477,758,489,521,225,91,2558,135,91,43,15,8,3,289,37,36,18,12,0,0,98,172,122,57,24,7,3,393,81,24,10,3,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,82,27,10,4,0,0,120,11,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,14,0,0,0,0
101021009,520,697,357,292,128,76,2076,142,115,38,14,0,0,310,93,67,20,8,0,0,182,233,178,60,22,0,0,496,432,149,45,16,3,0,647,137,63,20,5,0,0,226,235,113,35,10,5,0,401,3,3,0,0,0,0,5,809,326,96,31,8,3,1281,4,3,0,0,0,0,13,0,0,0,0,0,0,0,0,4,0,0,0,0,12,8,11,0,0,0,0,20,0,0,0,0,0,0,0,1572,1213,513,349,143,79,3870,510,738,378,298,149,59,2133,226,140,56,26,10,3,458,104,94,37,23,7,3,276,328,236,93,48,15,6,730,410,147,45,28,6,3,642,353,185,55,19,5,3,623,80,60,14,8,0,0,167,15,4,0,0,0,0,20,862,397,116,56,11,8,1447,11,4,0,0,0,0,11,0,0,0,0,0,0,0,8,9,0,3,0,0,23,18,8,0,3,0,0,37,8,3,0,0
101021010,105,261,137,125,54,33,717,155,94,21,11,3,0,282,78,45,22,3,3,0,157,233,141,34,16,5,0,436,189,70,22,5,0,0,287,174,68,13,9,5,0,268,16,11,3,0,0,0,22,0,0,0,0,0,0,0,373,143,40,19,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,0,0,0,0,3,0,0,0,0,0,0,0,718,553,210,159,62,35,1735,133,292,149,145,50,35,816,104,77,22,15,3,0,223,89,81,40,21,6,0,235,195,155,59,36,7,4,460,216,82,30,11,4,0,344,100,41,4,10,3,0,163,112,60,23,8,4,0,203,3,0,0,0,0,0,3,428,181,56,30,9,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,8,0,0,0,0,0,10,0,0,0,0
101021011,538,1389,640,817,379,168,3932,0,6,3,3,0,0,9,0,0,0,0,0,0,0,0,6,3,3,0,0,9,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,0,0,0,14,11,6,3,0,0,0,16,53,41,10,6,6,0,106,3,5,9,12,3,0,30,0,0,0,3,0,0,7,54,47,15,18,7,0,147,0,0,0,0,0,0,0,605,1441,656,832,388,173,4104,565,1498,719,921,421,181,4301,13,9,6,3,0,0,35,3,0,0,3,0,0,4,20,13,6,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,10,4,7,0,0,0,0,12,57,43,10,6,0,0,115,0,3,4,0,3,0,13,3,5,0,0,0,0,5,61,51,14,8,7,0,141,0,0,0,0
101021012,290,875,658,888,376,110,3194,92,117,45,22,3,3,276,21,15,13,6,3,0,64,112,131,55,24,5,7,337,84,73,10,12,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,73,10,12,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,20,5,12,0,0,0,0,20,0,0,0,0,0,0,0,494,1079,729,924,384,120,3726,333,950,649,948,414,134,3430,195,170,58,27,9,0,460,32,51,23,11,0,4,117,224,225,83,38,6,3,581,46,30,11,12,0,0,97,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,27,14,12,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,7,3,3,3,0,0,0,7,0,0,0,0
101031013,266,392,118,124,50,18,966,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,17,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,290,394,118,124,50,18,998,308,378,101,112,46,23,972,14,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,13,12,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,16,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,0,3,0,0,0,8,0,0,0,0
101031014,643,866,323,316,125,58,2322,50,23,3,3,0,0,75,0,5,5,0,0,0,4,50,23,5,3,0,0,81,127,21,4,0,0,0,161,7,0,0,0,0,0,10,0,0,0,0,0,0,0,12,0,0,0,0,0,12,147,25,4,0,0,0,176,0,0,0,0,0,0,3,0,0,0,0,0,0,0,14,5,4,3,3,0,33,22,9,9,4,3,0,43,0,3,0,0,0,0,3,862,921,344,323,128,55,2633,664,927,313,274,146,54,2365,120,34,9,7,0,0,170,6,0,3,3,0,0,11,127,34,9,12,0,0,177,85,21,3,0,0,0,109,4,0,0,0,0,0,4,3,0,0,0,0,0,0,5,0,0,0,0,0,5,97,17,3,0,0,0,121,3,0,0,0,0,0,4,0,0,0,0,0,0,0,7,4,0,0,0,0,14,11,8,0,0,0,0,14,0,0,0,0
101031015,235,453,119,127,69,30,1040,3,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,10,0,0,0,0,0,11,3,0,0,0,0,0,3,0,3,0,0,0,0,5,12,5,0,0,0,0,18,0,0,0,0,0,0,0,259,458,120,126,71,30,1063,287,465,138,153,59,30,1140,13,15,4,10,0,3,42,0,5,0,0,0,0,10,13,22,4,12,3,3,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,13,3,0,0,0,0,0,8,0,3,0,0,0,0,3,12,6,0,0,0,0,22,3,0,0,0
101031016,328,518,257,248,87,39,1466,9,7,6,6,0,0,29,21,19,8,7,0,0,57,30,27,13,7,0,0,84,77,54,19,13,0,0,165,18,19,5,0,0,0,36,0,0,0,0,0,0,3,3,6,3,4,0,0,17,96,75,22,15,8,0,227,8,6,4,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,6,14,10,7,0,3,0,29,9,3,0,0,0,0,11,475,631,299,279,95,38,1824,338,521,233,297,94,31,1518,30,39,20,19,5,0,112,30,30,8,13,7,0,85,63,71,25,31,7,0,198,71,60,32,18,3,0,180,5,10,11,4,0,0,36,7,3,0,0,0,0,11,0,0,0,0,0,0,0,82,73,35,25,3,0,221,17,12,0,4,0,0,30,0,0,0,0,0,0,3,7,0,0,0,0,0,9,24,10,3,4,0,0,42,38,7,12,5
