SA2_MAINCODE_2016,C06_0_74_REA,C06_0_74_ST_HA,C06_0_74_Per_no_sa_ho,C06_0_74_Ho_co_op_c_c_g,C06_0_74_Oth_land_typ,C06_0_74_LLT_NS,C06_0_74_Tot,C06_75_99_REA,C06_75_99_ST_HA,C06_75_99_Pe_no_sa_ho,C06_75_99_H_c_op_c_c_gr,C06_75_99_Oth_lan_typ,C06_75_99_Lan_type_ns,C06_75_99_Tot,C06_100_149_REA,C06_100_149_ST_HA,C06_100_149_Pe_no_sa_ho,C06_100_149_H_c_o_c_c_g,C06_100_149_Ot_lan_ty,C06_100_149_Lan_typ_ns,C06_100_149_Tot,C06_150_199_REA,C06_150_199_ST_HA,C06_150_199_Pe_no_sa_ho,C06_150_199_H_c_o_c_c_g,C06_150_199_Ot_lan_ty,C06_150_199_Lan_ty_ns,C06_150_199_Tot,C06_200_224_REA,C06_200_224_ST_HA,C06_200_224_Pe_no_sa_ho,C06_200_224_H_c_o_c_c_g,C06_200_224_Ot_lan_ty,C06_200_224_Lan_ty_ns,C06_200_224_Tot,C06_225_274_REA,C06_225_274_ST_HA,C06_225_274_Pe_no_sa_ho,C06_225_274_H_c_o_c_c_g,C06_225_274_Ot_la_typ,C06_225_274_Lan_ty_ns,C06_225_274_Tot,C06_275_349_REA,C06_275_349_ST_HA,C06_275_349_Pe_no_sa_ho,C06_275_349_H_c_o_c_c_g,C06_275_349_Ot_lan_ty,C06_275_349_Lan_ty_ns,C06_275_349_Tot,C06_350_449_REA,C06_350_449_ST_HA,C06_350_449_Pe_no_sa_ho,C06_350_449_H_c_o_c_c_g,C06_350_449_Ot_lan_ty,C06_350_449_Lan_ty_ns,C06_350_449_Tot,C06_450_549_REA,C06_450_549_ST_HA,C06_450_549_Pe_no_sa_ho,C06_450_549_H_c_o_c_c_g,C06_450_549_Oth_lan_typ,C06_450_549_Lan_ty_ns,C06_450_549_Tot,C06_550_649_REA,C06_550_649_ST_HA,C06_550_649_Pe_no_sa_ho,C06_550_649_H_c_o_c_c_g,C06_550_649_Ot_lan_ty,C06_550_649_Lan_ty_ns,C06_550_649_Tot,C06_650_749_REA,C06_650_749_ST_HA,C06_650_749_Pe_no_sa_ho,C06_650_749_H_co_op_c_ch_gr,C06_650_749_Oth_lan_typ,C06_650_749_LLT_NS,C06_650_749_Tot,C06_750_849_REA,C06_750_849_ST_HA,C06_750_849_Pe_no_sa_ho,C06_750_849_H_co_op_c_ch_gr,C06_750_849_Oth_lan_typ,C06_750_849_LLT_NS,C06_750_849_Tot,C06_850_950_REA,C06_850_949_ST_HA,C06_850_949_Pe_no_sa_ho,C06_850_949_H_co_op_c_ch_gr,C06_850_949_Oth_lan_typ,C06_850_949_LLT_NS,C06_850_949_Tot,C06_950_over_REA,C06_950_over_ST_HA,C06_950over_Pe_no_sa_ho,C06_950ov_H_co_op_c_ch_gr,C06_950over_Oth_lan_typ,C06_950over_LLT_NS,C06_950_over_Tot,C06_R_NS_REA,C06_R_NS_ST_HA,C06_R_NS_Pe_no_sa_ho,C06_R_NS_H_co_op_c_ch_gr,C06_R_NS_Oth_lan_typ,C06_R_NS_Land_typ_ns,C06_Rent_not_statd_Tot,C06_Tot_REA,C06_Tot_ST_HA,C06_T_Pe_no_sa_ho,C06_Tot_Ho_co_op_co_ch_gr,C06_Tot_Oth_lan_typ,C06_Tot_LLT_NS,C06_T_T,C11_0_74_REA,C11_0_74_ST_HA,C11_0_74_Per_no_sa_ho,C11_0_74_Ho_co_op_c_c_g,C11_0_74_Oth_land_typ,C11_0_74_LLT_NS,C11_0_74_Tot,C11_75_99_REA,C11_75_99_ST_HA,C11_75_99_Pe_no_sa_ho,C11_75_99_H_c_op_c_c_gr,C11_75_99_Oth_lan_typ,C11_75_99_Lan_type_ns,C11_75_99_Tot,C11_100_149_REA,C11_100_149_ST_HA,C11_100_149_Pe_no_sa_ho,C11_100_149_H_c_o_c_c_g,C11_100_149_Ot_lan_ty,C11_100_149_Lan_typ_ns,C11_100_149_Tot,C11_150_199_REA,C11_150_199_ST_HA,C11_150_199_Pe_no_sa_ho,C11_150_199_H_c_o_c_c_g,C11_150_199_Ot_lan_ty,C11_150_199_Lan_ty_ns,C11_150_199_Tot,C11_200_224_REA,C11_200_224_ST_HA,C11_200_224_Pe_no_sa_ho,C11_200_224_H_c_o_c_c_g,C11_200_224_Ot_lan_ty,C11_200_224_Lan_ty_ns,C11_200_224_Tot,C11_225_274_REA,C11_225_274_ST_HA,C11_225_274_Pe_no_sa_ho,C11_225_274_H_c_o_c_c_g,C11_225_274_Ot_la_typ,C11_225_274_Lan_ty_ns,C11_225_274_Tot,C11_275_349_REA,C11_275_349_ST_HA,C11_275_349_Pe_no_sa_ho,C11_275_349_H_c_o_c_c_g,C11_275_349_Ot_lan_ty,C11_275_349_Lan_ty_ns,C11_275_349_Tot,C11_350_449_REA,C11_350_449_ST_HA,C11_350_449_Pe_no_sa_ho,C11_350_449_H_c_o_c_c_g,C11_350_449_Ot_lan_ty,C11_350_449_Lan_ty_ns,C11_350_449_Tot,C11_450_549_REA,C11_450_549_ST_HA,C11_450_549_Pe_no_sa_ho,C11_450_549_H_c_o_c_c_g,C11_450_549_Oth_lan_typ,C11_450_549_Lan_ty_ns,C11_450_549_Tot,C11_550_649_REA,C11_550_649_ST_HA,C11_550_649_Pe_no_sa_ho,C11_550_649_H_co_op_c_ch_gr,C11_550_649_Oth_lan_typ,C11_550_649_LLT_NS,C11_550_649_Tot,C11_650_749_REA,C11_650_749_ST_HA,C11_650_749_Pe_no_sa_ho,C11_650_749_H_co_op_c_ch_gr,C11_650_749_Oth_lan_typ,C11_650_749_LLT_NS,C11_650_749_Tot,C11_750_849_REA,C11_750_849_ST_HA,C11_750_849_Pe_no_sa_ho,C11_750_849_H_co_op_c_ch_gr,C11_750_849_Oth_lan_typ,C11_750_849_LLT_NS,C11_750_849_Tot,C11_850_950_REA,C11_850_949_ST_HA,C11_850_949_Pe_no_sa_ho,C11_850_949_H_co_op_c_ch_gr
101021007,3,0,11,0,4,17,36,3,3,4,0,3,0,8,18,3,20,0,3,0,48,41,0,22,0,3,0,68,13,0,10,0,3,0,18,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,8,80,13,71,0,19,13,200,0,0,27,0,3,23,51,0,7,3,0,0,0,12,4,4,14,0,0,0,28,14,0,14,0,6,0,36,18,3,17,0,4,0,35,41,0,18,0,3,0,59,23,0,6,0,0,0,26,3,0,3,0,0,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101021008,0,65,14,3,0,14,96,3,49,0,8,0,3,70,81,82,17,9,13,3,218,47,51,31,6,26,0,160,31,46,25,3,0,0,104,112,23,20,0,3,0,155,104,13,40,0,5,0,163,11,0,3,0,3,0,18,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,11,19,3,0,3,0,34,413,362,144,36,57,29,1036,0,23,9,0,0,4,36,0,65,0,4,0,0,73,3,73,7,6,0,0,94,23,57,15,7,8,0,102,20,18,15,4,11,0,66,27,23,12,5,12,0,80,70,45,33,0,5,0,149,132,17,59,0,10,0,214,39,0,19,0,4,0,65,7,0,3,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
101021009,0,65,26,6,0,11,116,10,13,4,11,0,0,38,252,18,50,9,0,0,331,322,3,85,0,19,0,425,98,13,46,0,12,0,169,147,0,36,0,0,0,190,124,0,35,0,3,0,169,30,0,5,0,0,0,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,11,12,3,11,0,3,3,39,1005,123,305,26,42,19,1521,3,18,21,3,0,19,71,0,60,5,7,0,0,68,21,32,13,11,3,0,86,120,15,35,12,0,3,182,122,5,27,0,3,0,160,205,9,58,3,9,3,279,274,11,89,0,4,0,384,237,6,74,0,11,0,323,73,0,24,0,12,0,110,11,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0
101021010,3,16,3,6,3,3,41,7,6,9,0,0,0,21,147,18,23,0,3,0,193,158,4,30,0,4,0,195,58,5,22,0,4,0,87,73,0,11,0,0,0,91,75,0,18,0,0,0,88,31,0,3,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,3,0,0,3,0,16,560,48,114,12,23,6,764,3,3,14,5,5,8,41,0,21,0,0,0,0,16,14,22,5,6,0,0,50,71,8,25,3,4,3,113,80,0,15,0,5,0,100,106,0,13,0,8,0,131,147,0,27,0,10,0,190,99,3,30,0,7,0,141,39,0,11,0,0,0,45,7,0,3,0,0,0,11,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
101021011,0,3,34,0,15,40,83,0,0,17,0,4,0,19,11,0,37,0,11,0,54,21,0,33,0,5,0,55,18,0,27,0,3,0,49,25,0,29,0,3,0,63,36,0,20,0,0,0,58,26,0,22,0,5,0,52,23,0,0,0,0,0,21,7,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,6,0,9,0,6,0,21,173,3,225,0,52,37,495,0,0,40,0,20,25,85,0,0,3,0,7,0,14,7,0,11,0,3,0,17,7,0,18,0,6,0,34,6,0,21,0,3,0,27,7,0,27,0,10,0,44,43,0,30,0,7,0,86,62,0,33,0,6,0,105,34,0,18,0,4,0,52,33,0,14,0,0,0,45,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
101021012,0,21,6,0,6,7,34,0,19,0,0,0,0,19,9,33,11,3,31,0,88,9,29,11,0,173,0,220,8,19,10,0,14,0,59,89,8,27,0,8,0,128,112,3,32,0,4,0,149,121,0,29,0,6,0,156,32,0,8,0,0,0,37,9,0,4,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,5,0,0,0,10,0,23,398,131,134,3,256,11,934,3,7,11,0,3,12,30,0,20,0,0,0,0,20,0,23,4,0,8,0,42,17,22,7,3,20,0,72,15,6,8,0,35,0,70,11,11,9,0,85,0,118,58,14,28,0,98,0,196,138,10,61,0,19,0,226,104,0,30,0,5,0,139,50,0,15,0,5,0,74,23,0,4,0,3,0,32,8,0,3,0,0,0,6,0,0,0,0
101031013,0,11,39,0,15,26,87,0,0,15,0,3,0,15,14,8,41,0,4,0,76,5,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,23,23,114,0,29,27,213,3,0,26,0,10,21,62,0,5,7,0,4,0,20,8,3,37,0,7,0,59,11,5,24,0,4,0,46,8,0,5,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031014,5,46,28,3,20,19,124,37,13,13,6,5,0,68,99,23,61,3,11,4,201,142,19,43,0,8,0,219,40,3,18,0,4,0,65,31,0,10,0,0,0,38,8,0,0,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,9,5,3,11,0,10,0,24,374,109,185,14,61,26,768,3,6,18,0,12,17,55,14,29,7,3,3,0,61,94,18,40,11,10,3,165,76,35,42,8,11,4,167,70,3,26,3,6,0,109,103,4,27,0,0,0,138,49,0,9,0,3,0,62,9,0,5,0,0,0,16,0,0,0,0,3,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031015,0,0,24,0,4,16,46,0,0,8,0,0,0,8,13,0,19,0,0,0,31,8,0,6,0,0,0,20,3,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,0,3,0,5,0,0,6,0,3,0,12,23,0,77,4,24,18,152,0,0,21,0,10,16,52,0,0,4,0,4,0,6,3,0,18,0,3,0,23,12,0,15,0,3,0,30,8,0,5,0,0,0,8,5,0,9,0,0,0,14,6,0,4,0,0,0,12,4,0,7,0,0,0,12,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101031016,0,0,31,0,17,34,85,0,0,7,0,3,0,13,23,3,29,0,16,0,76,32,0,38,0,7,0,75,11,0,20,0,0,0,37,16,0,23,0,11,0,47,30,0,15,0,0,0,47,17,0,13,0,0,0,31,8,0,3,0,0,0,9,7,0,6,0,3,0,20,5,0,0,0,0,0,6,9,0,3,0,0,0,19,0,0,0,0,0,0,0,26,0,10,0,0,0,47,6,0,15,0,8,0,30,194,6,211,3,75,39,527,3,0,22,0,17,26,69,0,0,0,0,0,0,6,9,0,22,0,14,0,50,46,3,35,0,6,0,88,28,0,28,0,4,0,64,59,4,19,0,0,0,83,59,0,20,0,9,0,85,56,0,13,0,3,0,75,21,0,8,0,3,0,36,25,0,3,0,6,0,32,11,0,7,0,4,0,24,15,0,9,0,0,0,25,4,0,0,0
101041017,0,49,15,4,12,17,98,3,23,11,5,3,0,48,35,43,53,18,6,0,153,133,13,64,4,11,4,228,75,4,43,0,0,0,129,126,3,30,0,0,0,159,34,0,8,0,6,0,46,5,0,0,0,3,0,12,0,0,7,0,0,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,13,11,11,3,9,0,45,418,147,239,31,65,28,929,0,15,16,0,3,18,62,3,43,3,0,0,0,48,11,46,22,16,12,0,99,60,15,41,9,4,3,131,55,6,41,0,3,0,110,132,18,58,0,5,0,219,137,3,40,0,7,0,184,59,0,18,0,3,0,80,11,0,3,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041018,0,10,11,0,3,21,47,0,6,3,4,0,0,22,42,20,40,11,6,3,117,161,3,62,6,3,3,233,102,7,31,0,0,0,147,134,0,32,0,0,0,171,51,0,8,0,0,0,61,3,0,3,0,0,0,9,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,3,5,11,0,3,0,27,507,55,202,28,18,24,839,0,3,22,0,7,16,42,0,5,0,0,0,0,7,14,15,18,8,3,0,57,63,12,37,4,0,3,123,60,11,34,0,8,0,104,160,5,49,3,3,0,225,181,3,38,0,8,0,228,77,0,15,0,0,0,90,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0
101041019,0,47,20,13,14,29,123,14,32,5,0,0,0,52,66,29,46,9,10,0,162,209,21,55,4,5,5,298,65,3,26,0,3,0,104,34,0,9,0,3,0,49,8,0,4,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,9,7,0,4,3,23,406,150,174,34,40,38,844,0,10,20,3,16,22,72,4,40,3,16,0,0,63,15,35,23,4,8,0,94,84,38,49,6,10,5,185,76,8,39,0,5,0,128,115,6,35,3,0,0,163,69,0,32,3,0,0,109,17,0,3,0,0,0,27,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041020,0,0,60,9,22,58,154,3,0,18,0,3,0,25,25,4,89,0,13,0,133,54,0,60,0,6,0,125,14,0,10,0,0,0,26,12,0,4,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,7,0,0,12,0,11,0,29,121,4,253,13,68,63,525,0,0,44,0,15,31,92,0,0,13,0,0,0,20,11,3,61,3,5,0,83,33,0,53,0,8,0,101,32,0,31,0,4,0,63,22,0,23,0,0,0,47,21,0,8,0,0,0,36,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041021,0,0,6,0,6,5,13,3,0,0,0,0,0,5,16,0,23,4,11,0,50,42,0,28,0,0,0,69,34,0,15,0,0,0,44,30,0,8,0,0,0,42,8,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,135,0,93,4,16,5,260,0,0,6,0,3,3,17,0,0,0,0,0,0,0,11,0,13,3,3,0,31,15,0,15,0,14,0,46,30,0,18,0,0,0,46,57,0,22,0,0,0,74,29,0,12,0,0,0,45,9,0,5,0,0,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,0,29,6,0,3,8,54,4,25,10,9,4,0,48,31,31,19,0,0,0,91,54,28,30,0,0,4,118,32,0,6,0,0,0,47,26,0,11,3,0,0,48,9,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,5,0,3,0,14,164,129,77,10,14,19,425,0,7,3,0,4,11,24,0,25,5,0,3,0,33,11,34,17,11,0,0,77,55,17,27,0,0,0,101,27,9,10,0,0,0,46,52,25,16,0,3,0,97,45,4,11,0,3,0,63,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041024,0,0,12,3,14,12,43,0,6,0,16,0,0,24,3,3,18,12,3,4,42,20,0,20,0,0,0,46,5,0,4,0,4,0,10,5,0,5,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,6,38,5,71,31,28,14,190,0,0,23,0,10,13,45,0,0,0,0,0,0,3,3,16,21,10,8,3,59,3,0,26,0,0,0,32,7,0,14,0,0,0,24,11,0,11,0,0,0,28,7,0,7,0,0,0,16,7,0,3,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
101041025,7,3,19,22,10,29,91,0,11,5,3,0,0,20,60,7,57,3,7,0,131,189,5,87,3,7,0,288,61,0,32,0,4,0,99,143,0,41,0,8,4,198,80,0,16,0,5,0,95,10,0,3,0,3,0,17,0,0,3,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,11,4,0,14,12,4,3,37,553,26,285,43,47,38,999,3,5,20,10,8,21,62,0,14,3,4,6,0,23,22,12,25,17,3,0,72,135,4,65,6,3,0,213,84,3,40,0,8,0,137,134,4,59,0,3,3,207,170,3,33,0,3,0,213,61,0,14,0,7,0,80,8,0,3,0,4,0,13,0,0,0,0,0,0,3,3,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0
101041026,0,35,24,3,7,24,96,3,21,15,3,8,0,46,42,27,66,0,13,8,150,117,17,58,9,10,0,211,63,0,31,0,6,0,93,45,7,11,0,3,0,70,3,0,4,0,0,0,10,3,0,0,0,0,0,3,0,0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,4,7,4,0,0,26,285,109,223,16,46,29,718,0,8,22,0,6,24,59,0,32,0,3,4,0,39,16,45,32,9,0,0,101,63,10,46,0,7,0,126,51,14,34,7,0,0,112,124,10,38,0,4,0,174,66,4,24,0,0,0,94,16,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041027,7,29,26,35,18,34,154,12,18,9,3,4,0,48,54,24,62,3,8,0,152,206,11,95,3,3,0,318,81,0,37,0,9,0,119,27,0,12,0,0,0,45,3,0,3,0,0,0,6,3,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,6,7,15,0,3,3,33,397,94,257,49,55,43,889,0,10,29,3,9,22,79,3,25,4,14,7,3,52,21,14,19,18,11,0,84,118,11,71,3,10,0,209,85,8,41,8,3,0,145,122,6,54,0,3,0,184,59,3,20,0,0,0,85,10,0,3,0,3,0,13,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101051539,8,191,44,27,10,32,313,71,119,25,21,11,4,253,361,127,111,8,23,3,632,537,76,175,5,41,3,828,140,11,58,0,4,0,214,107,0,28,0,0,0,139,25,0,4,0,0,0,24,0,0,3,0,0,0,8,0,0,3,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,4,0,0,0,16,23,56,15,8,5,0,110,1280,594,466,69,102,51,2563,11,61,19,6,12,33,145,17,161,12,18,9,3,215,142,153,66,22,37,3,409,313,95,132,8,21,3,576,193,47,92,0,9,0,337,327,4,100,3,18,0,458,229,4,62,0,8,0,298,44,0,18,0,4,0,64,0,0,3,0,0,0,12,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0
101051540,0,8,72,7,59,101,250,5,11,33,4,10,0,59,48,3,87,0,10,4,146,53,0,53,0,5,0,114,17,0,12,0,0,0,30,23,0,11,0,0,0,33,6,0,0,0,0,0,9,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,19,0,9,0,34,162,25,282,18,101,103,691,0,0,73,10,50,60,197,0,0,22,3,3,0,29,26,8,65,4,5,0,111,75,5,55,0,9,0,147,50,3,36,0,0,0,87,45,0,22,0,9,0,69,30,0,6,0,0,0,40,17,0,0,0,0,0,22,5,0,3,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
101061541,3,25,22,27,4,19,91,3,8,4,6,0,0,28,45,33,22,3,7,0,108,65,19,33,0,0,0,121,62,4,17,0,0,0,80,46,0,7,0,0,0,52,12,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,4,3,0,0,26,235,101,114,40,19,18,528,0,8,21,18,4,12,67,0,3,4,0,0,0,6,6,22,8,7,5,0,49,17,13,19,4,9,0,56,31,9,17,0,4,0,52,48,15,26,0,7,0,96,92,0,35,0,0,0,129,35,0,20,0,3,0,59,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061542,4,4,49,3,53,74,192,3,0,8,0,7,0,17,23,0,54,0,22,0,92,19,0,36,0,3,0,55,8,0,23,0,0,0,34,18,0,30,0,0,0,46,20,0,19,0,3,0,41,22,0,15,0,0,0,44,9,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,13,3,40,122,7,254,3,107,82,574,0,0,45,0,33,47,135,0,0,3,0,0,0,6,6,0,27,0,8,4,46,16,0,41,0,3,0,65,14,0,23,0,9,3,46,11,0,21,0,3,0,42,29,0,33,0,4,0,62,18,0,36,0,11,0,64,22,0,27,0,5,0,51,11,0,5,0,0,0,12,5,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
101061543,6,57,25,4,14,27,132,24,43,22,3,4,0,89,159,34,70,0,12,3,289,233,20,58,0,7,0,324,87,0,20,0,0,0,114,29,0,11,0,3,0,41,3,0,3,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,8,8,11,4,11,0,41,563,162,217,15,59,30,1044,3,12,15,3,9,21,70,9,20,8,6,0,0,42,79,39,37,10,10,0,175,217,37,63,5,7,4,331,126,7,49,0,4,0,184,167,0,17,3,0,0,187,63,0,9,0,4,3,75,8,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101061544,0,5,73,11,67,87,247,9,3,24,4,7,0,51,66,22,91,3,13,0,195,24,3,25,0,8,0,52,4,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,0,17,0,29,0,46,109,38,236,10,122,93,603,3,0,63,3,67,63,198,3,4,23,3,4,0,37,38,8,63,3,12,4,132,58,7,66,5,13,4,154,23,0,16,0,3,0,40,11,0,4,0,0,0,13,3,0,4,0,0,0,8,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
