SA2_MAINCODE_2016,C16_OTT_DS_FUA,C16_OTT_DS_OD,C16_OTT_DS_NS_,C16_OTT_Tot,C16_TT_NS_DS_Sep_house,C16_TT_NS_DS_SemiDRTHT,C16_TT_NS_DS_FUA,C16_TT_NS_DS_OD,C16_TT_NS_DS_NS_,C16_TT_NS_T,C16_Tot_DS_Sep_house,C16_Tot_DS_SemiDRTHT,C16_Tot_DS_FUA,C16_Tot_DS_OD,C16_Tot_DS_NS_,C16_T_T
103021067,9,0,7,30,319,38,89,27,10,482,3723,180,347,63,54,4366
103021068,0,0,0,20,164,3,0,5,0,175,1309,10,15,26,16,1376
103021069,0,0,0,20,285,5,14,10,11,325,2280,17,68,28,57,2447
103031070,0,0,0,52,370,71,25,14,3,482,4563,551,146,56,14,5337
103031071,0,0,0,26,405,4,3,56,0,469,2828,36,8,364,58,3289
103031072,0,0,0,22,358,49,37,34,29,508,3989,333,228,103,52,4701
103031073,0,0,0,13,191,3,3,4,3,198,1485,10,31,11,22,1563
103031074,0,0,3,37,546,11,6,39,7,602,3978,48,26,93,45,4188
103031075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103041076,0,0,0,19,212,8,21,9,26,270,2665,38,73,44,29,2840
103041077,7,0,7,60,519,134,91,20,61,818,6315,1105,414,44,116,7990
103041078,6,0,0,16,345,52,19,16,6,446,6372,460,232,35,19,7124
103041079,9,3,0,38,313,7,5,9,0,337,4051,26,50,38,25,4192
104011080,3,0,0,50,435,55,82,28,4,603,6146,645,615,138,51,7603
104011081,0,4,0,43,562,4,0,64,18,648,5764,39,20,268,70,6164
104011082,6,10,0,56,420,53,60,143,5,684,5908,509,490,866,60,7834
104021083,0,0,0,26,168,10,6,8,4,197,2198,62,26,13,17,2318
104021084,7,7,3,44,298,131,128,50,28,646,4540,1271,1045,266,157,7273
104021085,6,0,4,47,149,83,153,4,14,405,2297,656,1169,21,61,4209
104021086,3,0,0,12,133,0,0,0,0,130,1336,4,8,12,9,1380
104021087,0,0,0,15,132,0,0,3,3,135,1367,5,13,7,18,1423
104021088,0,3,0,15,141,55,5,14,8,229,2704,363,106,125,41,3334
104021089,19,3,3,171,283,86,63,48,8,488,5944,927,593,259,46,7772
104021090,0,3,0,11,106,12,9,18,0,144,1630,179,115,155,19,2102
104021091,0,6,0,40,316,45,17,145,9,539,4101,390,92,595,48,5223
105011092,0,0,3,24,253,8,9,52,3,320,1380,25,78,134,22,1639
105011093,0,3,0,14,213,3,38,12,7,267,1656,32,145,109,7,1951
105011094,0,0,0,22,260,3,20,32,3,321,1573,17,73,61,17,1738
105011095,0,0,4,13,214,6,14,33,5,273,1844,50,76,68,30,2063
105011096,0,27,3,91,323,0,26,135,18,507,2269,9,147,457,141,3019
105021097,7,3,0,44,548,23,45,34,21,669,7163,193,219,123,46,7738
105021098,0,0,3,37,160,12,3,24,20,211,912,25,13,34,33,1030
105031099,0,3,0,44,332,8,10,28,5,382,3094,55,77,98,55,3372
105031100,0,0,0,25,229,41,22,12,0,300,3109,504,123,42,11,3786
105031101,51,0,3,80,305,69,127,5,6,514,5272,473,867,40,44,6699
105031102,58,5,3,82,194,14,27,58,3,300,2748,108,324,204,11,3387
105031103,0,0,0,13,185,0,0,3,8,196,1962,0,0,19,17,1999
105031104,0,0,0,26,139,0,4,23,0,170,1664,6,50,27,16,1757
105031105,3,0,0,26,252,9,15,12,3,292,2383,36,105,21,23,2574
105031106,0,7,0,28,318,13,10,69,5,406,2812,89,48,302,26,3279
106011107,0,0,0,22,248,9,3,4,3,264,3451,110,39,15,29,3648
106011108,0,0,0,60,486,125,24,14,25,683,6982,951,157,31,55,8179
106011109,0,0,0,18,335,0,0,4,8,340,2808,8,6,18,40,2879
106011110,0,0,0,21,245,4,4,14,3,263,3338,21,39,59,25,3485
106011111,0,0,0,36,385,61,22,6,6,474,5913,534,138,17,22,6631
106011112,6,0,0,42,281,48,49,9,13,400,4908,603,308,70,35,5932
106011113,0,0,0,21,258,0,0,8,0,269,1743,0,3,18,17,1782
106021114,0,0,13,24,149,12,14,38,18,227,1997,187,81,96,154,2506
106021115,0,0,41,132,416,109,63,3,9,604,8571,1377,450,27,119,10543
106021116,0,0,0,12,89,23,0,11,0,125,2478,145,3,21,10,2652
106021117,0,0,0,81,389,65,21,0,82,561,7252,758,139,7,98,8241
106021118,0,0,0,16,81,3,5,0,0,96,3245,103,20,0,15,3385
106031119,0,3,0,14,202,18,0,19,3,244,1825,231,3,154,29,2238
106031120,0,0,0,15,182,12,3,11,0,216,2504,174,52,42,5,2765
106031121,22,3,3,131,302,299,68,41,30,734,5339,2539,860,161,83,8979
106031122,0,3,0,25,311,124,28,166,14,643,4260,851,57,290,33,5495
106031123,0,0,0,6,83,0,0,0,0,83,1749,0,6,4,3,1767
106031124,0,0,3,126,128,19,15,20,20,198,2035,165,123,48,26,2394
106031125,3,4,0,30,343,5,3,32,3,386,4482,62,38,182,12,4783
106041126,0,0,0,9,263,67,8,20,7,362,4013,591,39,34,23,4693
106041127,0,0,3,29,126,6,17,23,5,176,1349,55,37,29,29,1505
106041128,0,0,0,11,149,9,20,8,0,187,2049,87,169,27,15,2349
106041129,0,0,0,38,326,3,14,17,3,361,3044,23,102,83,36,3292
107011131,9,0,0,72,329,77,53,3,4,467,7551,896,297,22,26,8801
107011132,0,0,0,12,83,8,3,0,0,89,2629,93,4,3,4,2736
107011133,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3
107011134,3,0,0,83,217,19,30,5,3,278,4757,379,180,31,11,5365
107011545,0,0,0,36,297,22,53,0,0,381,4464,176,412,10,21,5082
107011546,7,0,0,15,179,34,136,4,3,360,2689,385,785,23,10,3894
107011547,0,0,0,6,83,36,10,22,0,149,1416,347,88,60,15,1927
107021135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
107031136,0,0,0,20,148,52,0,0,3,211,4095,571,18,3,11,4695
107031137,0,0,31,39,114,48,0,3,20,179,1985,464,16,7,71,2546
107031138,86,0,0,101,81,28,65,10,5,186,1937,694,509,88,20,3243
107031139,0,0,0,3,77,6,9,0,0,94,1913,137,45,0,0,2100
107031140,29,0,0,42,193,15,41,3,22,276,2510,108,195,40,60,2914
107031141,0,3,0,21,171,72,32,20,0,294,4390,990,185,103,18,5690
107031142,0,0,0,30,156,52,7,7,0,219,2926,693,66,16,9,3711
107031143,4,0,0,56,461,77,68,36,3,642,6268,776,733,284,17,8080
107041144,5,3,0,101,248,122,57,37,3,469,5506,1695,816,98,20,8133
107041145,3,0,0,62,158,144,57,24,0,385,3596,1902,792,88,13,6388
107041146,44,3,0,72,232,46,60,44,10,392,5823,726,722,211,28,7514
107041147,5,3,0,26,94,5,16,5,4,135,2432,104,283,23,10,2853
107041148,4,0,0,25,147,37,36,3,3,229,3240,407,351,27,25,4055
107041150,28,5,6,61,243,62,88,15,4,411,5025,1078,1124,55,38,7326
107041548,56,0,33,97,93,41,754,91,105,1076,743,355,5492,108,234,6942
107041549,18,0,0,38,152,59,205,70,9,499,3094,1050,2319,91,28,6583
108011151,0,0,0,19,132,4,4,22,3,164,1808,12,18,68,13,1923
108011152,7,0,6,79,258,101,150,20,6,538,4280,1073,913,165,55,6488
108011153,0,12,0,32,185,6,0,43,0,231,2299,44,26,214,11,2591
108011154,0,0,3,24,137,67,66,29,15,316,1563,747,604,146,47,3106
108021155,0,0,0,20,510,38,44,29,21,635,4896,210,240,88,53,5488
108021156,0,3,3,39,337,14,3,21,23,390,3539,69,42,93,124,3873
108021157,7,0,0,12,137,3,10,9,0,161,1731,52,91,109,13,1995
108021158,8,5,0,40,153,23,52,53,0,288,2261,206,425,409,18,3318
108021159,0,0,0,22,243,3,0,8,0,260,2955,50,5,61,17,3090
108021160,0,6,0,17,106,13,19,31,3,174,1895,201,234,142,14,2493
108031161,0,0,0,3,21,0,0,0,3,21,149,0,0,0,3,150
108041162,0,4,0,114,364,60,34,87,4,543,5707,678,296,553,43,7278
108041163,21,3,0,165,366,160,218,45,11,795,8016,1735,1829,169,47,11792
108041164,146,8,0,255,249,152,210,73,8,697,4340,1599,1422,344,46,7753
108041165,0,0,0,22,203,0,0,10,11,223,1938,5,8,23,60,2028
108041166,26,0,0,38,256,18,10,4,7,295,3729,260,138,27,13,4169
108051167,0,0,0,8,157,3,6,7,0,182,2017,23,59,50,20,2170
108051168,0,3,0,103,164,46,16,21,6,248,3476,503,189,135,55,4365
108051169,4,0,3,64,450,86,86,49,19,681,6787,814,704,116,74,8486
108051170,0,0,0,43,437,18,0,32,4,490,4855,183,20,187,31,5268
108051171,0,0,0,8,114,13,7,0,0,133,1955,101,61,14,9,2143
109011172,0,0,3,92,232,48,28,3,0,306,4861,577,96,16,14,5569
109011173,0,0,0,34,310,90,5,0,0,409,3410,582,18,14,17,4038
109011174,0,0,0,47,205,140,68,5,4,427,3086,1182,234,28,19,4541
109011175,0,3,0,46,289,6,11,15,3,320,4124,56,41,43,35,4297
109011176,0,0,0,39,344,137,36,7,4,524,4710,1342,154,61,24,6287
109021177,0,0,0,17,144,3,23,13,4,184,1112,27,75,41,21,1280
109021178,0,4,0,17,226,6,23,36,7,290,2085,41,129,166,24,2447
109021179,0,3,0,23,166,3,5,41,3,227,1314,24,50,98,18,1502
109031180,4,0,0,16,149,18,25,3,3,194,2035,123,156,42,11,2365
109031181,0,0,0,35,245,12,23,8,4,299,2514,92,172,77,15,2876
109031182,0,0,0,13,294,18,57,29,0,387,2803,76,278,72,37,3269
109031183,0,3,0,52,268,12,13,23,10,325,2601,61,79,84,31,2857
109031184,8,3,0,45,123,20,19,30,0,197,1953,136,189,135,11,2420
109031185,0,10,0,41,423,7,36,31,3,504,3675,116,172,186,17,4161
110011186,9,4,6,70,492,89,83,32,11,709,7007,964,578,82,74,8700
110011187,0,0,0,17,136,0,3,3,0,150,1682,26,34,15,14,1769
110011188,0,0,0,31,162,0,10,5,5,182,2304,16,39,30,20,2408
110011189,0,0,0,22,163,0,3,5,0,176,1304,3,28,26,21,1390
110021190,0,0,3,33,349,3,14,12,22,399,3447,39,142,53,66,3744
110021191,0,3,4,21,312,25,57,17,10,418,4067,178,394,80,67,4784
110021192,0,0,0,29,208,0,0,23,0,234,1893,5,10,59,47,2018
110021193,0,5,0,31,233,3,5,28,0,272,2339,25,26,87,18,2494
110021194,0,0,0,34,286,4,12,57,5,364,2805,61,45,126,22,3050
110031195,4,0,0,29,340,28,117,66,8,561,2540,156,524,194,61,3474
110031196,0,0,0,46,260,22,0,17,0,297,1874,126,5,47,10,2066
110031197,0,0,0,14,236,21,68,22,0,360,2387,132,273,79,15,2884
110031198,0,0,0,14,234,15,7,10,7,267,1719,66,23,63,15,1888
110041199,0,0,0,32,244,22,30,23,10,326,3189,175,276,45,36,3706
110041200,0,0,0,23,140,0,7,12,0,155,1568,0,22,50,12,1657
110041201,4,0,0,46,293,3,11,12,0,316,3014,19,91,42,7,3174
110041202,0,0,0,39,504,127,27,29,7,694,6897,987,157,54,42,8133
110041203,3,0,3,57,329,126,30,142,9,647,4778,877,222,174,53,6107
110041204,0,0,0,10,194,17,13,3,4,231,1551,88,41,271,21,1973
110041205,0,3,0,67,593,5,19,41,0,659,6848,63,92,137,42,7177
111011206,3,0,0,76,180,74,34,7,0,296,5468,827,434,106,18,6850
111011207,4,0,0,18,77,20,23,8,3,132,1825,261,292,78,9,2461
111011208,0,0,0,32,288,88,56,3,3,434,7601,1273,453,14,17,9352
111011209,19,0,0,65,301,36,21,11,3,375,7969,549,202,26,17,8759
111011210,0,0,0,44,169,44,15,4,3,236,2731,553,193,19,11,3505
111011211,0,3,0,24,37,16,4,5,0,59,958,295,15,105,0,1381
111011212,66,0,0,87,155,36,63,0,3,259,3648,391,554,30,18,4644
111011213,0,0,0,23,109,21,4,0,3,138,3868,404,26,12,4,4313
111011214,0,0,0,23,168,55,17,11,3,249,4158,910,213,15,12,5301
111021215,31,0,0,48,124,21,21,29,0,195,2798,204,150,81,5,3243
111021216,0,0,0,30,132,6,0,0,0,141,3233,47,33,3,3,3317
111021217,0,0,0,51,178,33,6,0,0,210,4493,281,41,0,3,4829
111021218,0,3,0,207,282,62,5,55,8,414,4651,697,93,195,29,5671
111021219,4,0,0,41,204,28,15,14,4,270,4456,538,202,44,10,5255
111021220,5,0,0,14,104,5,3,15,0,131,3210,109,48,82,8,3459
111021221,0,0,0,45,101,3,0,0,0,103,2264,28,13,6,3,2309
111031222,0,0,5,25,134,18,19,3,5,178,4944,568,430,10,24,5972
111031223,0,0,0,11,185,13,3,0,0,205,3051,186,46,4,8,3303
111031224,14,0,3,40,128,65,142,28,9,373,3160,927,957,68,32,5144
111031225,3,0,3,30,173,45,27,3,0,248,5252,865,497,18,18,6656
111031226,3,0,0,13,135,10,0,0,3,150,4162,242,15,4,9,4429
111031227,6,0,0,36,209,76,62,15,7,364,4671,1015,448,44,31,6209
111031228,8,0,0,34,122,53,74,4,4,256,3374,1032,1063,5,16,5500
111031229,12,0,0,30,51,81,354,26,9,511,685,1404,3167,33,33,5323
111031230,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
111031231,3,0,0,31,136,54,46,0,5,234,2677,745,402,3,34,3863
111031232,3,0,0,34,160,14,31,11,0,214,2644,182,181,35,14,3059
111031233,0,0,0,136,260,81,20,13,3,378,6289,1135,312,38,13,7787
111031234,4,0,0,27,143,36,60,7,3,246,3738,507,539,16,22,4821
111031235,0,0,0,14,151,60,37,27,9,289,2225,956,331,71,44,3624
112011236,8,3,0,162,305,288,60,120,9,773,4117,2643,603,571,36,7972
112011237,0,0,0,70,411,41,8,33,34,527,5616,575,163,106,75,6530
112011238,0,0,0,26,219,4,3,19,4,252,2037,33,29,67,20,2186
112011239,0,0,0,20,262,25,51,38,21,392,2861,237,311,200,65,3678
112011240,3,3,3,37,388,100,81,223,28,825,2533,625,422,438,98,4116
112011241,0,3,0,18,138,42,20,63,0,258,1575,444,158,330,11,2519
112011242,0,3,0,14,112,54,14,28,4,208,2103,672,111,107,25,3016
112011243,4,7,0,46,444,16,16,111,9,597,3007,57,115,206,47,3426
112021244,22,0,0,44,309,3,79,28,0,425,4185,77,549,111,18,4945
112021245,0,0,0,29,270,3,3,10,3,287,2618,16,10,44,20,2704
112021246,0,0,0,34,253,91,40,3,3,392,4101,908,204,4,17,5242
112021247,0,3,0,32,298,3,11,12,3,336,2979,21,77,77,23,3178
112021248,5,3,0,39,422,96,116,54,5,697,4777,757,628,238,42,6453
112021249,3,8,0,80,490,5,14,75,6,585,5532,20,41,287,43,5929
112031250,0,5,0,24,232,81,89,122,10,538,3101,786,899,742,53,5584
112031251,13,0,0,34,187,28,48,34,5,293,2810,259,423,85,20,3593
112031252,0,6,0,44,408,0,3,42,9,463,3654,4,9,119,39,3822
112031253,0,3,46,79,243,67,53,34,11,407,3611,791,281,294,206,5171
112031254,19,5,4,86,307,169,370,145,5,1000,4371,1702,2417,348,40,8877
112031550,6,0,0,134,163,170,15,34,0,387,3908,2202,187,34,7,6344
112031551,0,0,0,9,47,0,0,0,0,47,1056,0,0,0,3,1063
112031552,20,4,0,63,110,104,57,91,7,371,1780,1179,527,532,18,4038
113011256,0,0,0,46,500,57,224,24,3,812,5500,433,985,106,40,7064
113011257,0,4,0,62,487,0,21,50,6,574,4471,19,121,125,57,4793
113011258,0,0,0,17,346,17,40,15,4,431,3276,206,250,57,34,3824
113011259,0,0,0,20,251,24,13,30,3,317,2281,62,77,47,19,2488
113021260,0,0,0,7,110,0,8,11,4,134,1303,19,25,22,14,1371
113021261,0,0,0,17,231,17,15,3,0,273,2339,115,133,6,15,2607
113021262,0,0,0,13,156,9,7,7,0,178,1831,16,28,29,20,1923
113031263,0,0,0,35,217,9,9,11,0,249,2957,129,76,45,10,3214
113031264,0,3,0,19,121,3,3,11,0,140,1313,39,21,58,17,1449
113031265,0,0,0,23,229,10,9,5,0,254,1965,46,46,11,15,2083
113031266,4,0,0,24,173,3,16,6,0,194,2497,44,129,43,18,2729
113031267,0,0,0,62,253,0,72,3,0,329,5422,33,755,15,15,6246
113031268,0,0,0,56,59,10,3,9,0,91,1237,117,14,22,8,1402
113031269,3,0,0,35,411,40,40,17,0,508,7298,226,452,108,6,8095
113031270,37,3,4,55,218,48,121,13,5,404,3249,604,1097,68,23,5044
113031271,0,0,0,59,491,3,15,32,6,551,5122,12,131,81,45,5388
114011272,15,5,3,84,252,21,17,52,16,347,2963,246,164,340,79,3794
114011273,0,0,0,13,96,0,0,22,0,120,1406,44,0,35,4,1489
114011274,0,0,0,31,159,3,10,4,0,178,1967,80,54,54,15,2162
114011275,0,0,0,0,3,0,0,0,0,3,22,0,0,0,0,22
114011276,0,0,0,10,89,23,16,14,0,136,1547,191,147,42,8,1934
114011277,3,3,3,39,337,69,25,25,3,460,5229,666,196,119,29,6246
114011278,0,0,15,66,476,123,33,22,5,660,6247,768,198,82,98,7391
114011279,3,0,0,135,359,21,47,19,0,447,5369,217,95,70,3,5748
114011280,9,3,0,29,96,8,8,24,0,136,1677,52,64,224,11,2024
114011281,0,0,0,18,89,0,0,11,3,103,1193,0,0,32,8,1232
114011282,3,0,0,50,373,70,12,59,11,513,5609,576,163,211,38,6593
114011283,0,0,0,16,180,0,0,11,3,186,2139,3,0,52,23,2216
114021284,0,0,0,92,255,49,17,0,6,333,4492,607,118,14,48,5280
114021285,0,0,0,8,124,0,0,0,3,128,2027,5,9,8,15,2057
114021286,0,0,0,22,253,19,17,23,3,310,3198,180,121,58,17,3569
114021287,0,0,0,33,220,36,7,15,9,283,3331,328,93,68,31,3857
114021288,0,0,0,13,119,0,0,3,0,120,1355,5,0,5,16,1376
114021289,5,0,0,34,145,3,3,21,0,173,2603,19,16,37,14,2695
115011290,31,0,0,60,176,48,39,0,3,270,5487,1423,897,4,12,7829
115011291,0,0,0,23,110,23,9,0,4,156,5145,734,177,3,13,6074
115011294,69,0,0,233,55,20,3,0,0,77,1619,380,97,0,0,2091
115011296,15,0,0,47,85,10,0,0,3,100,3557,279,41,3,3,3884
115011553,6,0,0,12,52,6,49,0,0,113,1648,351,660,0,7,2664
115011554,198,0,3,397,22,24,49,0,0,91,1116,343,411,0,7,1875
115011555,0,0,0,54,89,54,7,0,0,149,3175,483,181,4,7,3845
115011556,0,0,0,9,64,15,37,0,0,122,2382,274,458,0,5,3120
115011557,0,0,0,5,32,8,0,0,0,41,1327,186,12,0,4,1532
115011558,41,0,0,77,97,36,33,0,4,177,4736,957,202,6,17,5911
115011559,54,0,0,76,175,27,7,0,0,213,6145,578,104,0,23,6859
115021297,3,3,0,80,335,16,15,32,13,406,5932,273,142,163,43,6552
115021298,9,0,0,52,93,4,3,4,4,106,1564,61,71,21,15,1728
115031299,0,0,0,5,152,3,0,3,15,178,994,9,3,12,42,1063
115031300,0,0,0,41,483,9,3,13,6,514,6976,30,31,73,57,7168
115041301,0,0,0,22,162,27,6,45,12,259,3075,139,62,102,33,3411
115041302,0,0,0,21,222,14,11,0,3,251,5457,916,103,0,27,6504
116011303,8,0,0,37,214,40,186,3,4,444,3296,557,1997,5,16,5868
116011304,0,0,0,40,297,53,15,0,7,373,4890,822,172,14,28,5931
116011306,0,0,0,43,355,58,6,0,4,425,6060,760,71,4,18,6914
116011307,3,0,0,65,436,54,56,0,3,549,7916,430,306,42,26,8713
116011308,0,0,0,31,362,113,16,3,5,500,6173,1450,218,18,30,7891
116011560,3,0,0,18,187,90,4,0,0,277,2909,1125,38,4,4,4083
116011561,15,0,0,37,242,60,31,0,6,334,4048,782,276,0,25,5137
116021309,0,0,0,14,98,6,0,0,3,111,4332,126,5,0,9,4470
116021310,0,0,0,39,360,49,30,0,4,444,7479,1497,286,3,21,9283
116021312,0,3,0,29,380,18,4,118,9,528,4854,455,13,355,55,5723
116021562,0,0,0,0,32,12,0,0,0,42,255,838,37,0,4,1135
116021563,0,0,0,15,161,113,14,0,17,304,2421,4153,456,3,60,7095
116031313,3,0,0,36,481,118,27,0,3,632,4951,808,142,10,6,5912
116031314,0,0,0,11,110,8,0,0,0,120,2380,75,3,0,5,2465
116031315,0,0,0,35,306,33,0,0,3,341,5277,514,0,6,11,5805
116031316,3,0,0,85,578,61,80,3,3,722,6044,390,285,28,18,6769
116031317,4,0,0,26,317,128,165,7,4,621,4089,1596,1484,29,23,7223
116031318,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5
116031319,0,0,0,28,276,65,14,3,0,364,5095,891,111,27,8,6130
117011320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
117011321,9,0,0,23,64,47,169,14,5,300,1221,977,1606,50,24,3873
117011322,31,0,0,50,157,44,453,11,8,675,3045,563,5486,81,51,9229
117011323,11,0,0,35,111,61,260,0,0,430,1424,729,2191,3,6,4357
117011324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
117011325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117021326,31,0,0,62,231,146,536,24,14,944,3315,2038,4846,183,66,10452
117021327,21,0,0,42,126,213,513,69,29,956,1647,2987,3670,261,95,8656
117021328,0,0,0,19,98,85,79,11,3,277,1320,1139,534,52,17,3062
117031329,18,0,0,22,9,180,739,24,37,996,34,1216,4621,40,76,5984
117031330,18,0,0,28,27,208,472,12,13,726,258,2770,4515,42,47,7636
117031331,27,0,0,56,51,361,674,47,90,1225,297,3580,5339,116,121,9457
117031332,45,0,0,66,40,401,607,62,25,1132,379,5044,5283,229,75,10998
117031333,48,0,0,50,9,119,1386,104,45,1665,53,927,10089,150,81,11296
117031334,48,0,0,60,9,101,1009,4,15,1129,73,660,8558,12,55,9351
117031335,52,0,0,68,11,227,1195,43,20,1489,76,2243,8193,126,73,10707
117031336,37,0,0,50,4,252,809,35,32,1133,28,2302,5764,65,73,8240
117031337,88,4,0,99,0,12,1581,414,14,2029,26,123,10725,434,45,11351
117031338,86,0,0,100,44,135,1719,14,24,1939,762,1370,13309,38,82,15560
118011339,32,0,20,65,99,71,769,11,10,960,1255,1100,5349,100,69,7860
118011340,34,0,0,50,62,104,1120,13,0,1295,852,1557,6695,24,17,9142
118011341,24,0,0,31,56,177,670,19,15,927,875,1937,3938,243,32,7023
118011342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
