SA2_MAINCODE_2016,C11_C_Lat_Da_Saint_0_14,C11_C_Lat_Da_Saint_15_24,C11_C_Lat_Da_Saint_25_34,C11_C_Lat_Da_Saint_35_44,C11_C_Lat_Da_Saint_45_54,C11_C_Lat_Da_Saint_55_64,C11_C_Lat_Da_Saint_65_74,C11_C_Lat_Da_Saint_75_84,C11_C_Lat_Da_Saint_85ov,C11_C_Lat_Da_Saint_Tot,C11_C_Luthe_0_14,C11_C_Luthe_15_24,C11_C_Luthe_25_34,C11_C_Luthe_35_44,C11_C_Luthe_45_54,C11_C_Luthe_55_64,C11_C_Luthe_65_74,C11_C_Luthe_75_84,C11_C_Luthe_85ov,C11_C_Luthe_Tot,C11_C_Ori_Orth_0_14,C11_C_Ori_Orth_15_24,C11_C_Ori_Orth_25_34,C11_C_Ori_Orth_35_44,C11_C_Ori_Orth_45_54,C11_C_Ori_Orth_55_64,C11_C_Ori_Orth_65_74,C11_C_Ori_Orth_75_84,C11_C_Ori_Orth_85ov,C11_C_Ori_Orth_To,C11_C_Oth_Prot_0_14,C11_C_Oth_Prot_15_24,C11_C_Oth_Prot_25_34,C11_C_Oth_Prot_35_44,C11_C_Oth_Prot_45_54,C11_C_Oth_Prot_55_64,C11_C_Oth_Prot_65_74,C11_C_Oth_Prot_75_84,C11_C_Oth_Prot_85ov,C11_C_Oth_Prot_Tot,C11_C_Pentec_0_14,C11_C_Pentec_15_24,C11_C_Pentec_25_34,C11_C_Pentec_35_44,C11_C_Pentec_45_54,C11_C_Pentec_55_64,C11_C_Pentec_65_74,C11_C_Pentec_75_84,C11_C_Pentec_85ov,C11_C_Pentec_Tot,C11_C_Pres_Ref_0_14,C11_C_Pres_Ref_15_24,C11_C_Pres_Ref_25_34,C11_C_Pres_Ref_35_44,C11_C_Pres_Ref_45_54,C11_C_Pres_Ref_55_64,C11_C_Pres_Ref_65_74,C11_C_Pres_Ref_75_84,C11_C_Pres_Ref_85ov,C11_C_Pres_Ref_Tot,C11_C_Sal_Army_0_14,C11_C_Sal_Army_15_24,C11_C_Sal_Army_25_34,C11_C_Sal_Army_35_44,C11_C_Sal_Army_45_54,C11_C_Sal_Army_55_64,C11_C_Sal_Army_65_74,C11_C_Sal_Army_75_84,C11_C_Sal_Army_85ov,C11_C_Sal_Army_Tot,C11_C_Sev_day_Adv_0_14,C11_C_Sev_day_Adv_15_24,C11_C_Sev_day_Adv_25_34,C11_C_Sev_day_Adv_35_44,C11_C_Sev_day_Adv_45_54,C11_C_Sev_day_Adv_55_64,C11_C_Sev_day_Adv_65_74,C11_C_Sev_day_Adv_75_84,C11_C_Sev_day_Adv_85oe,C11_C_Sev_day_Adv_Tot,C11_C_Unit_Chur_0_14,C11_C_Unit_Chur_15_24,C11_C_Unit_Chur_25_34,C11_C_Unit_Chur_35_44,C11_C_Unit_Chur_45_54,C11_C_Unit_Chur_55_64,C11_C_Unit_Chur_65_74,C11_C_Unit_Chur_75_84,C11_C_Unit_Chur_85ov,C11_C_Unit_Chur_Tot,C11_C_Christi_nfd_0_14,C11_C_Christi_nfd_15_24,C11_C_Christi_nfd_25_34,C11_C_Christi_nfd_35_44,C11_C_Christi_nfd_45_54,C11_C_Christi_nfd_55_64,C11_C_Christi_nfd_65_74,C11_C_Christi_nfd_75_84,C11_C_Christi_nfd_85ov,C11_C_Christi_nfd_Tot,C11_C_Oth_Chris_0_14,C11_C_Oth_Chris_15_24,C11_C_Oth_Chris_25_34,C11_C_Oth_Chris_35_44,C11_C_Oth_Chris_45_54,C11_C_Oth_Chris_55_64,C11_C_Oth_Chris_65_74,C11_C_Oth_Chris_75_84,C11_C_Oth_Chris_85ov,C11_C_Oth_Chris_Tot,C11_Christia_Tot_0_14,C11_Christia_Tot_15_24,C11_Christia_Tot_25_34,C11_Christia_Tot_35_44,C11_Christia_Tot_45_54,C11_Christia_Tot_55_64,C11_Christia_Tot_65_74,C11_Christia_Tot_75_84,C11_Christia_Tot_85ov,C11_Christ_T_T,C11_Hinduism_0_14,C11_Hinduism_15_24,C11_Hinduism_25_34,C11_Hinduism_35_44,C11_Hinduism_45_54,C11_Hinduism_55_64,C11_Hinduism_65_74,C11_Hinduism_75_84,C11_Hinduism_85ov,C11_Hinduism_Tot,C11_Islam_0_14,C11_Islam_15_24,C11_Islam_25_34,C11_Islam_35_44,C11_Islam_45_54,C11_Islam_55_64,C11_Islam_65_74,C11_Islam_75_84,C11_Islam_85ov,C11_Islam_Tot,C11_Judaism_0_14,C11_Judaism_15_24,C11_Judaism_25_34,C11_Judaism_35_44,C11_Judaism_45_54,C11_Judaism_55_64,C11_Judaism_65_74,C11_Judaism_75_84,C11_Judaism_85ov,C11_Judaism_Tot,C11_OR_AusAborTrad_0_14,C11_OR_AusAborTrad15_24,C11_OR_AusAborTrad25_34,C11_OR_AusAborTrad35_44,C11_OR_AusAborTrad45_54,C11_OR_AusAborTrad55_64,C11_OR_AusAborTrad65_74,C11_OR_AusAborTrad75_84,C11_OR_AusAborTrad85oe,C11_OR_AusAborTrade_Tot,C11_OR_Sikh_0_14,C11_OR_Sikh_15_24,C11_OR_Sikh_25_34,C11_OR_Sikh_35_44,C11_OR_Sikh_45_54,C11_OR_Sikh_55_64,C11_OR_Sikh_65_74,C11_OR_Sikh_75_84,C11_OR_Sikh_85oe,C11_OR_Sikh_Tot,C11_OR_Ot_Re_Gr_0_14,C11_OR_Ot_Re_Gr_15_24,C11_OR_Ot_Re_Gr_25_34,C11_OR_Ot_Re_Gr_35_44,C11_OR_Ot_Re_Gr_45_54,C11_OR_Ot_Re_Gr_55_64,C11_OR_Ot_Re_Gr_65_74,C11_OR_Ot_Re_Gr_75_84,C11_OR_Ot_Re_Gr_85ov,C11_OR_Ot_Re_Gr_Tot,C11_OthRel_T_0_14,C11_OthRel_T_15_24,C11_OthRel_T_25_34,C11_OthRel_T_35_44,C11_OthRel_T_45_54,C11_OthRel_T_55_64,C11_OthRel_T_65_74,C11_OthRel_T_75_84,C11_OthRel_T_85ov,C11_OthRel_T_T,C11_SBOSB_N_RA_0_14,C11_SBOSB_N_RA_15_24,C11_SBOSB_N_RA_25_34,C11_SBOSB_N_RA_35_44,C11_SBOSB_N_RA_45_54,C11_SBOSB_N_RA_55_64,C11_SBOSB_N_RA_65_74,C11_SBOSB_N_RA_75_84,C11_SBOSB_N_RA_85ov,C11_SBOSB_N_RA_Tot
101021007,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,6,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,3,3,0,0,12,0,4,5,14,21,26,28,6,5,103,0,0,0,0,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,3,15,11,7,21,20,26,35,15,4,149,10,3,3,10,8,11,5,0,0,52,0,0,0,0,0,0,3,0,0,3,316,147,126,292,326,332,307,133,45,2030,3,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,8,6,0,0,0,26,4,3,3,3,8,6,0,0,0,26,210,77,85,126,135,142,84,20,3,889
101021008,4,3,3,0,3,3,0,0,0,18,4,3,13,10,14,13,3,9,3,66,0,0,0,0,0,0,0,0,0,3,10,0,3,6,4,6,0,0,0,25,17,8,19,9,13,3,0,0,0,66,18,15,25,32,59,48,42,9,6,253,4,12,0,4,3,3,3,0,0,33,4,3,0,3,0,4,0,0,0,13,60,42,33,49,55,42,24,10,3,319,27,14,10,19,21,7,0,0,0,102,0,0,3,0,3,0,0,0,0,9,1227,803,801,895,991,786,460,209,57,6222,7,3,9,6,6,4,0,0,0,39,21,3,18,6,3,4,3,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,15,3,0,10,9,6,5,0,0,0,27,4,4,9,7,6,3,0,0,0,42,386,238,271,261,178,97,40,7,3,1477
101021009,3,5,4,3,0,0,0,0,0,21,5,3,10,11,14,19,4,16,3,77,0,0,0,0,0,0,0,0,0,7,5,9,3,8,3,0,0,0,3,32,15,11,21,14,8,9,7,5,0,79,22,18,24,43,47,58,29,30,13,284,3,3,3,0,7,7,7,0,0,26,0,5,5,0,5,3,0,0,0,19,41,24,48,44,41,42,21,18,22,290,25,31,46,16,23,14,0,0,0,156,0,4,0,0,0,9,0,0,0,19,889,734,927,862,868,850,577,507,231,6451,37,9,61,16,8,0,0,0,0,123,58,11,70,44,5,3,0,0,0,200,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,15,14,45,16,0,0,0,0,0,86,4,10,17,5,9,4,0,0,0,46,18,29,59,22,7,4,0,0,0,138,372,337,514,395,269,150,56,21,17,2138
101021010,3,0,4,3,0,0,0,0,0,10,0,3,3,0,8,11,17,7,3,47,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,0,11,10,10,12,3,5,8,0,0,0,46,19,12,15,25,30,29,15,12,0,147,0,0,3,0,7,3,3,0,0,11,0,4,0,0,5,0,0,0,0,7,11,8,23,10,24,24,16,5,0,127,19,13,25,5,15,5,4,0,0,87,0,0,0,0,0,0,0,0,0,3,437,394,445,414,479,341,210,108,40,2868,30,12,58,16,5,0,0,0,0,124,27,15,38,11,5,3,0,0,0,99,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,12,37,7,0,3,0,0,0,71,0,3,10,3,9,0,0,0,0,24,17,14,43,12,8,3,0,0,0,103,139,144,224,156,103,106,46,24,4,943
101021011,3,3,6,0,0,0,0,0,0,15,23,14,10,28,28,28,14,4,0,148,0,0,0,0,0,0,0,0,0,3,3,0,3,5,3,0,3,0,0,21,12,5,7,8,12,6,0,0,0,48,20,19,17,50,78,97,42,11,3,338,5,5,0,8,6,6,4,0,0,33,3,0,0,3,3,0,3,0,0,15,88,46,31,83,115,92,48,7,0,505,75,40,31,45,42,43,14,6,0,297,3,0,3,0,3,6,3,0,0,20,1906,1050,717,1425,1638,1328,627,179,42,8908,3,0,0,4,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,9,3,0,0,0,7,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,5,9,23,10,3,0,0,66,8,6,5,9,23,10,3,0,0,66,863,455,321,567,631,529,187,49,12,3618
101021012,10,5,0,5,4,0,0,0,0,29,21,5,12,23,15,10,11,7,0,108,0,0,0,0,0,0,0,0,0,0,3,11,0,0,7,0,0,0,0,23,41,20,17,31,18,8,0,0,0,134,45,32,31,66,86,62,25,10,3,357,5,0,6,4,5,7,0,3,0,31,4,5,3,0,3,3,0,0,3,23,86,69,40,88,102,55,26,16,0,477,48,24,20,28,28,16,5,0,0,176,0,0,3,0,3,6,0,0,0,14,2249,1188,970,1729,1500,818,367,165,29,9016,24,3,25,16,8,5,4,0,0,87,18,18,14,14,14,5,3,0,0,87,4,0,0,0,3,0,3,0,0,15,3,3,0,0,0,0,0,0,0,5,4,0,7,3,0,0,0,0,0,12,10,4,11,13,7,0,0,0,0,40,14,5,18,16,11,3,0,0,0,61,679,366,388,464,341,173,41,8,9,2471
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,3,5,3,0,0,0,0,17,21,13,13,15,30,30,37,14,9,178,3,3,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,4,6,3,8,12,8,15,0,3,58,7,3,4,5,6,3,0,0,0,25,0,0,0,0,0,0,0,0,0,0,290,139,154,203,297,324,220,129,76,1824,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,14,3,0,0,0,3,5,0,0,0,14,119,61,50,36,61,45,20,12,3,401
101031014,0,0,0,0,3,3,0,0,0,11,6,9,9,4,18,19,16,23,5,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,4,24,8,5,8,11,3,4,0,0,68,12,9,14,12,26,40,26,10,16,161,3,0,0,0,7,0,3,0,0,20,0,0,0,0,0,0,0,0,0,5,14,19,14,20,31,34,30,22,9,197,55,11,19,20,16,5,5,6,0,131,0,0,0,0,3,0,0,0,0,10,826,487,418,561,707,634,526,370,176,4699,3,4,3,5,3,3,0,0,0,21,0,0,0,0,3,8,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,3,0,3,0,0,0,22,0,7,9,3,0,3,0,0,0,22,290,192,157,145,165,132,66,28,9,1187
101031015,0,0,0,0,0,0,0,0,0,0,0,5,0,3,9,10,17,7,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,4,5,0,4,0,0,25,7,0,4,9,14,27,19,12,0,86,4,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,13,7,7,10,25,28,15,6,3,113,14,9,10,9,18,8,8,4,0,72,0,0,0,0,0,0,0,0,0,0,379,200,131,290,405,363,318,132,31,2247,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,5,0,0,0,22,0,0,0,4,6,5,0,0,0,25,159,82,41,89,91,102,47,20,3,637
101031016,3,0,0,0,0,0,0,0,0,8,14,0,10,11,10,14,6,8,7,73,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,4,14,9,6,0,7,8,0,0,0,46,3,3,10,19,28,40,20,8,4,146,0,0,3,0,0,0,0,0,0,9,0,3,0,0,0,3,0,0,0,15,48,21,27,36,52,50,17,12,3,268,30,19,8,23,14,15,3,0,0,107,0,0,0,4,0,0,0,0,0,3,672,414,351,523,621,519,292,169,49,3604,0,0,3,0,0,3,0,0,0,7,0,0,0,0,3,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,6,5,0,0,0,0,25,0,9,3,6,3,0,0,0,0,27,404,284,258,285,244,153,67,23,6,1729
