SA2_MAINCODE_2016,C16_CF_1F1NW_N,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_299,C16_CF_1F1NW_300_399,C16_CF_1F1NW_400_499,C16_CF_1F1NW_500_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_999,C16_CF_1F1NW_1000_1499,C16_CF_1F1NW_1500_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000mo,C16_CF_1F1NW_Ns,C16_CF_1F1NW_T,C16_CF_1P1NW_N,C16_CF_1P1NW_1_149,C16_CF_1P1NW_150_299,C16_CF_1P1NW_300_399,C16_CF_1P1NW_400_499,C16_CF_1P1NW_500_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_999,C16_CF_1P1NW_1000_1499,C16_CF_1P1NW_1500_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000_mr,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_N,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_299,C16_CF_1A1NW_300_399,C16_CF_1A1NW_400_499,C16_CF_1A1NW_500_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_999,C16_CF_1A1NW_1000_1499,C16_CF_1A1NW_1500_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000m,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_N,C16_CF_BA_1_149,C16_CF_BA_150_299,C16_CF_BA_300_399,C16_CF_BA_400_499,C16_CF_BA_500_649,C16_CF_BA_650_799,C16_CF_BA_800_999,C16_CF_BA_1000_1499,C16_CF_BA_1500_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000_more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_N,C16_CF_BNW_1_149,C16_CF_BNW_150_299,C16_CF_BNW_300_399,C16_CF_BNW_400_499,C16_CF_BNW_500_649,C16_CF_BNW_650_799,C16_CF_BNW_800_999,C16_CF_BNW_1000_1499,C16_CF_BNW_1500_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000_more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_N,C16_CF_LFns_1_149,C16_CF_LFns_150_299,C16_CF_LFns_300_399,C16_CF_LFns_400_499,C16_CF_LFns_500_649,C16_CF_LFns_650_799,C16_CF_LFns_800_999,C16_CF_LFns_1000_1499,C16_CF_LFns_1500_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000_more,C16_CF_LFns_Ns,C16_CF_LFns_T,C16_C_f_c_T_Fi_N,C16_C_f_c_T_Fi_1_149,C16_C_f_c_T_Fi_150_299,C16_C_f_c_T_Fi_300_399,C16_C_f_c_T_Fi_400_499,C16_C_f_c_T_Fi_500_649,C16_CF_c_T_Fi_650_799,C16_CF_c_T_Fi_800_999,C16_CF_c_T_Fi_1000_1499,C16_CF_c_T_Fi_1500_1999,C16_CF_c_T_Fi_2000_2499,C16_CF_c_T_Fi_2500_2999,C16_CF_c_T_Fi_3000_3999,C16_CF_c_T_Fi_4000_more,C16_C_f_with_c_TFI_Ns,C16_C_f_with_c_T_T,C16_1PF_F_N,C16_1PF_F_1_149,C16_1PF_F_150_299,C16_1PF_F_300_399,C16_1PF_F_400_499,C16_1PF_F_500_649,C16_1PF_F_650_799,C16_1PF_F_800_999,C16_1PF_F_1000_1499,C16_1PF_F_1500_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000_more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_N,C16_1PF_P_1_149,C16_1PF_P_150_299,C16_1PF_P_300_399,C16_1PF_P_400_499,C16_1PF_P_500_649,C16_1PF_P_650_799,C16_1PF_P_800_999,C16_1PF_P_1000_1499,C16_1PF_P_1500_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000_more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_N,C16_1PF_A_1_149,C16_1PF_A_150_299,C16_1PF_A_300_399,C16_1PF_A_400_499,C16_1PF_A_500_649,C16_1PF_A_650_799,C16_1PF_A_800_999,C16_1PF_A_1000_1499,C16_1PF_A_1500_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000_more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_N,C16_1PF_U_1_149,C16_1PF_U_150_299,C16_1PF_U_300_399,C16_1PF_U_400_499,C16_1PF_U_500_649,C16_1PF_U_650_799,C16_1PF_U_800_999,C16_1PF_U_1000_1499,C16_1PF_U_1500_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000_more,C16_1PF_U_Ns,C16_1PF_U_To,C16_1PF_N_lf_Fi_N,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_299,C16_1PF_N_lf_Fi_300_399,C16_1PF_N_lf_Fi_400_499,C16_1PF_N_lf_Fi_500_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_999,C16_1PF_N_lf_Fi_1000_1499,C16_1PF_N_lf_Fi_1500_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000_more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_N,C16_1PF_LFns_1_149,C16_1PF_LFns_150_299,C16_1PF_LFns_300_399,C16_1PF_LFns_400_499,C16_1PF_LFns_500_649,C16_1PF_lf_ns_Fi_650_799,C16_1PF_lf_ns_Fi_800_999
101021007,0,0,0,0,0,0,0,4,15,16,7,5,6,3,4,54,0,0,0,0,4,0,0,4,3,0,0,3,0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,3,4,7,3,3,3,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,6,5,12,21,49,51,43,41,40,26,64,353,0,0,0,0,0,3,3,0,7,3,9,0,0,0,5,35,0,0,0,0,3,3,6,3,3,0,3,0,0,0,4,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,4,4,10,3,3,8,4,0,0,0,0,8,45,0,0,0,0,0,0,0,0
101021008,0,0,0,0,0,0,3,3,22,27,25,22,8,11,7,142,0,0,0,0,0,0,0,7,8,3,6,3,3,0,3,35,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,18,3,3,0,3,8,3,8,9,10,9,6,7,0,0,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,55,6,5,0,3,8,3,8,21,83,123,139,148,203,137,120,1005,0,0,0,0,0,3,3,15,35,34,35,12,13,3,17,166,0,0,0,0,8,9,13,12,20,14,3,0,0,0,3,82,0,0,0,3,0,0,0,0,3,0,0,0,0,0,8,15,0,0,3,3,5,3,3,0,0,0,0,0,0,0,6,23,3,3,12,18,10,17,25,17,34,7,8,3,3,0,19,173,0,0,0,0,0,0,0,0
101021009,0,0,0,0,0,7,4,22,36,28,26,8,12,9,6,171,0,0,0,0,4,0,0,7,9,6,3,7,0,3,3,40,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,18,0,0,0,0,0,0,0,3,0,0,7,4,0,3,0,16,3,0,0,0,3,3,8,0,19,4,10,6,3,0,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,3,0,3,0,3,12,19,38,122,130,158,127,159,93,91,963,0,0,0,0,0,0,7,16,48,49,33,12,13,3,21,209,0,0,3,3,4,7,16,11,17,7,4,3,0,3,12,90,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,15,3,0,0,3,5,3,0,0,3,0,0,0,0,0,0,17,5,4,0,7,8,26,16,19,24,22,9,8,3,0,13,161,0,0,0,0,0,0,0,0
101021010,0,0,0,0,0,4,0,11,28,21,17,0,8,9,0,94,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,26,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,4,0,7,0,0,3,3,0,4,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,42,0,0,0,0,0,9,14,27,66,57,72,54,78,81,64,525,0,0,0,0,0,3,3,9,24,7,10,0,3,3,7,78,0,0,0,3,0,0,3,6,5,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,3,3,8,5,3,8,4,0,0,3,0,5,49,0,0,0,0,0,0,0,0
101021011,0,0,0,0,0,0,3,7,35,51,52,21,66,58,20,315,0,0,0,0,0,0,0,4,11,9,11,6,10,3,11,65,0,0,0,0,0,0,0,0,4,0,0,0,3,0,5,13,0,0,0,0,0,0,0,0,0,0,3,4,7,12,7,36,4,0,3,0,0,0,0,3,19,16,5,3,9,3,11,78,0,0,0,0,0,0,0,0,0,0,3,0,0,0,135,136,5,0,3,0,4,3,3,20,113,195,276,309,539,605,338,2416,0,0,0,0,0,0,3,9,27,34,40,16,14,6,17,176,0,0,0,3,3,11,4,10,17,7,0,0,4,3,7,77,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,17,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,3,9,11,4,7,13,8,6,3,0,0,11,84,0,0,0,0,0,0,0,0
101021012,0,0,0,0,0,0,3,6,30,44,60,20,40,41,20,267,0,0,0,0,0,0,0,0,5,8,4,8,6,3,0,41,0,0,0,0,0,0,0,0,3,0,0,0,4,3,3,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,15,0,0,0,0,3,3,0,0,12,7,3,3,4,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,128,0,3,0,0,3,3,8,16,83,150,203,245,442,569,261,1994,0,0,0,0,0,0,8,5,37,51,53,24,19,12,33,247,0,0,3,0,0,3,6,12,22,7,9,0,3,0,0,74,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,8,0,3,5,10,5,8,14,10,11,11,4,3,0,12,107,0,0,0,0,0,0,0,0
101031013,0,0,0,0,0,0,0,0,11,12,3,0,0,0,0,27,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,0,0,0,4,0,5,13,49,40,39,20,12,9,37,235,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,14,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,3,3,0,3,4,10,6,0,0,0,0,0,7,43,0,0,0,0,0,0,0,0
101031014,0,0,0,0,0,0,3,9,30,18,16,3,6,0,4,92,0,0,0,0,0,0,7,0,5,8,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,6,6,14,3,3,0,0,0,7,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,3,0,0,0,3,0,17,21,97,110,90,51,55,39,84,576,0,0,0,0,0,3,4,5,20,24,10,10,3,0,20,100,0,0,3,4,10,10,20,10,22,5,4,0,0,0,4,91,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,3,3,0,0,0,0,0,0,0,0,3,19,3,0,7,8,10,18,17,15,22,0,3,0,0,0,19,126,0,0,0,0,0,0,0,0
101031015,0,0,0,0,0,3,0,5,10,8,11,3,3,0,5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,4,3,0,0,4,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,3,6,9,11,44,60,44,34,47,27,59,348,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,14,0,0,0,0,0,4,3,0,4,0,3,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,5,6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
101031016,0,0,0,0,0,0,0,4,6,10,3,4,5,0,9,43,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,0,3,3,16,0,3,0,0,0,0,4,5,5,0,3,0,0,0,3,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,47,54,3,3,3,0,0,6,12,27,76,105,140,74,88,42,115,700,0,0,0,0,0,7,3,6,29,18,15,0,4,3,8,89,0,0,0,8,4,10,8,3,6,5,0,0,0,0,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,3,3,3,3,0,7,0,3,3,3,0,9,55,0,0,0,0,0,0,0,0
