SA2_MAINCODE_2016,C16_450_549_1PF_CU15_DS,C16_450_549_1PF_CU15_NDS,C16_450_549_1PFnoCU15_DS,C16_450_549_1PF_NDCO,C16_450_549_T,C16_550_649_1PF_CU15_DS,C16_550_649_1PF_CU15_NDS,C16_550_649_1PFnoCU15_DS,C16_550_649_1PF_NDCO,C16_550_649_T,C16_650_749_1PF_CU15_DS,C16_650_749_1PF_CU15_NDS,C16_650_749_1PFnoCU15_DS,C16_650_749_1PF_NDCO,C16_650_749_T,C16_750_849_1PF_CU15_DS,C16_750_849_1PF_CU15_NDS,C16_750_849_1PFnoCU15_DS,C16_750_849_1PF_NDCO,C16_750_849_T,C16_850_949_1PF_CU15_DS,C16_850_949_1PF_CU15_NDS,C16_850_949_1PFnoCU15_DS,C16_850_949_1PF_NDCO,C16_850_949_T,C16_950_and_over_1PF_CU15_DS,C16_950_and_over_1PF_CU15_NDS,C16_950_and_over_1PFnoCU15_DS,C16_950_and_over_1PF_NDCO,C16_950_and_over_T,C16_Rns_1PF_CU15_DS,C16_Rns_1PF_CU15_NDS,C16_Rns_1PFnoCU15_DS,C16_Rns_1PF_NDCO,C16_Rns_T,C16_Tot_1PF_CU15_DS,C16_Tot_1PF_CU15_NDS,C16_Tot_1PFnoCU15_DS,C16_Tot_1_pa_f_NDCO,C16_Tot_T
101021007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,5,5,46
101021008,4,7,3,0,18,0,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,20,133,27,66,244
101021009,0,11,3,13,25,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,11,15,158,22,59,255
101021010,0,6,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,9,4,60,10,30,103
101021011,3,7,0,0,16,0,3,0,3,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,57,3,15,80
101021012,5,23,3,10,41,3,4,4,0,15,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,11,95,18,36,165
101031013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,10,29
101031014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,14,96,19,31,164
101031015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,3,9,23
101031016,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,4,3,37,9,16,66
