region_id,C01_SH_0b_NPGH_2,C01_SH_0b_NPGH_3,C01_SH_0b_NPGH_4,C01_SH_0b_NPGH_5,C01_SH_0b_NPGH_6_mor,C01_SH_0bTotal,C01_SH_1b_NPGH_2,C01_SH_1b_NPGH_3,C01_SH_1b_NPGH_4,C01_SH_1b_NPGH_5,C01_SH_1b_NPGH_6_mor,C01_SH_1b_Tot,C01_SH_2b_NPGH_2,C01_SH_2b_NPGH_3,C01_SH_2b_NPGH_4,C01_SH_2b_NPGH_5,C01_SH_2b_NPGH_6_mor,C01_SH_2b_Tot,C01_SH_3b_NPGH_2,C01_SH_3b_NPGH_3,C01_SH_3b_NPGH_4,C01_SH_3b_NPGH_5,C01_SH_3b_NPGH_6_mor,C01_SH_3b_Tot,C01_SH_4mb_NPGH_2,C01_SH_4mb_NPGH_3,C01_SH_4mb_NPGH_4,C01_SH_4mb_NPGH_5,C01_SH_4mb_NPGH_6_mor,C01_SH_4mb_Tot,C01_SH_NB_NS_NPGH_2,C01_SH_NB_NS_NPGH_3,C01_SH_NB_NS_NPGH_4,C01_SH_NB_NS_NPGH_5,C01_SH_NB_NS_NPGH_6_mor,C01_SH_NB_NS_T,C01_SH_Tot_NPGH_2,C01_SH_Tot_NPGH_3,C01_SH_Tot_NPGH_4,C01_SH_Tot_NPGH_5,C01_SH_Tot_NPGH_6_mor,C01_SH_T_T,C01_SDRTHT_0b_NPGH_2,C01_SDRTHT_0b_NPGH_3,C01_SDRTHT_0b_NPGH_4,C01_SDRTHT_0b_NPGH_5,C01_SDRTHT_0b_NPGH_6_mor,C01_SDRTHT_0bTotal,C01_SDRTHT_1b_NPGH_2,C01_SDRTHT_1b_NPGH_3,C01_SDRTHT_1b_NPGH_4,C01_SDRTHT_1b_NPGH_5,C01_SDRTHT_1b_NPGH_6_mor,C01_SDRTHT_1b_Tot,C01_SDRTHT_2b_NPGH_2,C01_SDRTHT_2b_NPGH_3,C01_SDRTHT_2b_NPGH_4,C01_SDRTHT_2b_NPGH_5,C01_SDRTHT_2b_NPGH_6_mor,C01_SDRTHT_2b_Tot,C01_SDRTHT_3b_NPGH_2,C01_SDRTHT_3b_NPGH_3,C01_SDRTHT_3b_NPGH_4,C01_SDRTHT_3b_NPGH_5,C01_SDRTHT_3b_NPGH_6_mor,C01_SDRTHT_3b_Tot,C01_SDRTHT_4mb_NPGH_2,C01_SDRTHT_4mb_NPGH_3,C01_SDRTHT_4mb_NPGH_4,C01_SDRTHT_4mb_NPGH_5,C01_SDRTHT_4mb_NPGH_6_mor,C01_SDRTHT_4mb_Tot,C01_SDRTHT_NB_NS_NPGH_2,C01_SDRTHT_NB_NS_NPGH_3,C01_SDRTHT_NB_NS_NPGH_4,C01_SDRTHT_NB_NS_NPGH_5,C01_SDRTHT_NB_NS_NPGH_6_mor,C01_SDRTHT_NB_NS_T,C01_SDRTHT_Tot_NPGH_2,C01_SDRTHT_Tot_NPGH_3,C01_SDRTHT_Tot_NPGH_4,C01_SDRTHT_Tot_NPGH_5,C01_SDRTHT_Tot_NPGH_6_mor,C01_SDRTHT_T_T,C01_FUA_0b_NPGH_2,C01_FUA_0b_NPGH_3,C01_FUA_0b_NPGH_4,C01_FUA_0b_NPGH_5,C01_FUA_0b_NPGH_6_mor,C01_FUA_0bTotal,C01_FUA_1b_NPGH_2,C01_FUA_1b_NPGH_3,C01_FUA_1b_NPGH_4,C01_FUA_1b_NPGH_5,C01_FUA_1b_NPGH_6_mor,C01_FUA_1b_Tot,C01_FUA_2b_NPGH_2,C01_FUA_2b_NPGH_3,C01_FUA_2b_NPGH_4,C01_FUA_2b_NPGH_5,C01_FUA_2b_NPGH_6_mor,C01_FUA_2b_Tot,C01_FUA_3b_NPGH_2,C01_FUA_3b_NPGH_3,C01_FUA_3b_NPGH_4,C01_FUA_3b_NPGH_5,C01_FUA_3b_NPGH_6_mor,C01_FUA_3b_Tot,C01_FUA_4mb_NPGH_2,C01_FUA_4mb_NPGH_3,C01_FUA_4mb_NPGH_4,C01_FUA_4mb_NPGH_5,C01_FUA_4mb_NPGH_6_mor,C01_FUA_4mb_Tot,C01_FUA_NB_NS_NPGH_2,C01_FUA_NB_NS_NPGH_3,C01_FUA_NB_NS_NPGH_4,C01_FUA_NB_NS_NPGH_5,C01_FUA_NB_NS_NPGH_6_mor,C01_FUA_NB_NS_T,C01_FUA_Tot_NPGH_2,C01_FUA_Tot_NPGH_3,C01_FUA_Tot_NPGH_4,C01_FUA_Tot_NPGH_5,C01_FUA_Tot_NPGH_6_mor,C01_FUA_T_T,C01_OD_0b_NPGH_2,C01_OD_0b_NPGH_3,C01_OD_0b_NPGH_4,C01_OD_0b_NPGH_5,C01_OD_0b_NPGH_6_mor,C01_OD_0bTotal,C01_OD_1b_NPGH_2,C01_OD_1b_NPGH_3,C01_OD_1b_NPGH_4,C01_OD_1b_NPGH_5,C01_OD_1b_NPGH_6_mor,C01_OD_1b_Tot,C01_OD_2b_NPGH_2,C01_OD_2b_NPGH_3,C01_OD_2b_NPGH_4,C01_OD_2b_NPGH_5,C01_OD_2b_NPGH_6_mor,C01_OD_2b_Tot,C01_OD_3b_NPGH_2,C01_OD_3b_NPGH_3,C01_OD_3b_NPGH_4,C01_OD_3b_NPGH_5,C01_OD_3b_NPGH_6_mor,C01_OD_3b_Tot,C01_OD_4mb_NPGH_2,C01_OD_4mb_NPGH_3,C01_OD_4mb_NPGH_4,C01_OD_4mb_NPGH_5,C01_OD_4mb_NPGH_6_mor,C01_OD_4mb_Tot,C01_OD_NB_NS_NPGH_2,C01_OD_NB_NS_NPGH_3,C01_OD_NB_NS_NPGH_4,C01_OD_NB_NS_NPGH_5,C01_OD_NB_NS_NPGH_6_mor,C01_OD_NB_NS_T,C01_OD_Tot_NPGH_2,C01_OD_Tot_NPGH_3,C01_OD_Tot_NPGH_4,C01_OD_Tot_NPGH_5,C01_OD_Tot_NPGH_6_mor,C01_OD_T_T,C01_DS_NS_NPGH_2,C01_DS_NS_NPGH_3,C01_DS_NS_NPGH_4,C01_DS_NS_NPGH_5,C01_DS_NS_NPGH_6_mor,C01_DS_NS_T,C01_Tot_NPGH_2,C01_Tot_NPGH_3,C01_Tot_NPGH_4,C01_Tot_NPGH_5,C01_Tot_NPGH_6_mor,C01_T_T,C06_SH_0b_NPGH_2,C06_SH_0b_NPGH_3,C06_SH_0b_NPGH_4,C06_SH_0b_NPGH_5,C06_SH_0b_NPGH_6_mor,C06_SH_0bTotal,C06_SH_1b_NPGH_2,C06_SH_1b_NPGH_3,C06_SH_1b_NPGH_4,C06_SH_1b_NPGH_5,C06_SH_1b_NPGH_6_mor,C06_SH_1b_Tot,C06_SH_2b_NPGH_2,C06_SH_2b_NPGH_3,C06_SH_2b_NPGH_4,C06_SH_2b_NPGH_5,C06_SH_2b_NPGH_6_mor,C06_SH_2b_Tot,C06_SH_3b_NPGH_2,C06_SH_3b_NPGH_3
LGA10050,0,0,0,0,0,0,0,0,0,0,0,0,110,6,0,0,0,116,181,54,8,0,0,243,36,16,16,3,0,71,4,0,0,0,0,4,331,76,24,3,0,434,0,0,0,0,0,0,3,0,0,0,0,3,64,4,0,0,0,68,10,6,0,0,0,16,0,0,3,0,0,3,0,0,0,0,3,3,77,10,3,0,3,93,0,0,0,0,0,0,5,0,0,0,0,5,202,9,0,0,0,211,11,9,0,0,0,20,0,0,0,3,3,6,3,0,0,0,0,3,221,18,0,3,3,245,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,0,3,0,7,639,104,27,9,6,785,0,0,0,0,0,0,0,3,0,0,0,3,59,3,0,0,0,62,216,58
LGA10110,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51,117,46,7,0,0,170,22,13,18,3,3,59,3,0,0,0,0,3,193,59,25,3,3,283,0,0,0,0,0,0,3,0,0,0,0,3,43,3,0,0,0,46,8,9,0,0,0,17,3,0,3,0,0,6,0,0,0,0,0,0,57,12,3,0,0,72,3,0,0,0,0,3,3,0,0,0,0,3,89,6,3,0,0,98,14,4,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,109,10,3,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,3,359,84,34,3,3,483,0,0,0,0,0,0,3,0,0,0,0,3,50,3,0,0,0,53,112,44
LGA10150,0,0,0,0,0,0,0,0,0,0,0,0,34,0,4,0,0,38,54,34,4,3,0,95,24,13,21,9,5,72,5,0,0,3,3,11,117,47,29,15,8,216,0,0,0,0,0,0,3,0,0,0,0,3,66,6,0,0,0,72,26,13,6,0,0,45,0,0,0,0,0,0,3,0,0,0,0,3,98,19,6,0,0,123,0,0,0,0,0,0,35,3,0,0,0,38,417,52,23,0,0,492,20,22,6,0,0,48,3,3,3,4,0,13,12,4,3,0,0,19,487,84,35,4,0,610,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,3,6,6,0,0,0,12,12,0,0,0,0,12,720,156,70,19,8,973,0,0,0,0,0,0,4,0,0,3,0,7,45,3,3,0,3,54,76,25
LGA10200,0,0,0,0,0,0,3,0,0,0,0,3,80,8,0,0,0,88,77,42,8,4,3,134,19,9,11,4,3,46,5,3,3,0,0,11,184,62,22,8,6,282,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,27,16,19,9,3,3,50,3,0,3,0,0,6,3,0,0,0,3,6,42,26,12,3,6,89,0,0,0,0,0,0,11,3,0,0,0,14,199,47,30,13,6,295,16,19,8,3,3,49,0,0,0,0,0,0,5,3,3,3,3,17,231,72,41,19,12,375,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,3,0,0,0,0,3,464,163,75,30,24,756,0,0,0,0,0,0,0,0,0,0,0,0,84,12,3,0,3,102,78,27
LGA10250,0,0,0,0,0,0,3,0,0,0,0,3,43,5,0,0,0,48,113,21,3,0,0,137,34,10,4,0,0,48,4,3,0,0,0,7,197,39,7,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,16,14,4,0,0,34,0,0,0,0,0,0,3,0,0,0,3,6,61,14,4,0,3,82,3,0,0,0,0,3,3,0,0,0,0,3,63,4,0,0,0,67,12,5,0,3,0,20,3,0,3,0,0,6,3,0,0,0,0,3,87,9,3,3,0,102,0,0,0,0,0,0,3,0,0,0,0,3,7,3,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,16,0,0,0,0,0,0,358,65,14,3,3,443,3,0,0,0,0,3,7,0,0,0,0,7,60,0,0,0,0,60,121,25
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,7,0,0,0,0,7,3,3,0,0,0,6,0,0,0,0,0,0,13,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,9,0
LGA10350,0,3,0,0,0,3,6,0,0,0,0,6,183,16,3,0,0,202,294,60,12,3,3,372,70,23,25,6,3,127,8,7,0,0,0,15,561,109,40,9,6,725,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,42,73,17,5,0,0,95,5,4,0,0,0,9,6,0,0,0,0,6,126,21,5,0,0,152,0,0,0,0,0,0,15,0,0,0,0,15,130,20,7,0,0,157,12,3,0,0,0,15,3,0,0,0,0,3,3,0,0,0,0,3,163,23,7,0,0,193,0,0,0,0,0,0,3,0,3,0,0,6,12,0,0,0,0,12,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,15,6,3,0,0,24,9,0,0,0,0,9,874,159,55,9,6,1103,0,0,0,0,0,0,8,0,0,0,0,8,166,4,3,3,0,176,269,37
LGA10470,0,3,0,0,0,3,0,0,0,0,0,0,68,3,3,0,0,74,111,43,10,0,0,164,33,22,28,5,0,88,0,0,0,0,0,0,212,71,41,5,0,329,0,0,0,0,0,0,3,3,0,0,0,6,25,3,0,0,0,28,24,20,0,0,0,44,3,3,3,0,0,9,3,0,0,0,0,3,58,29,3,0,0,90,0,0,0,0,0,0,4,0,0,0,0,4,82,3,0,0,0,85,9,8,0,0,0,17,0,3,3,0,0,6,0,0,0,0,0,0,95,14,3,0,0,112,3,0,0,0,0,3,3,0,0,0,0,3,9,0,3,0,0,12,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,18,3,3,0,0,24,0,0,0,0,0,0,383,117,50,5,0,555,0,0,0,0,0,0,0,0,0,0,0,0,56,3,0,0,0,59,141,39
LGA10550,0,0,0,0,0,0,3,0,0,0,0,3,60,0,0,0,0,60,80,6,0,0,0,86,30,5,0,0,0,35,0,0,0,0,0,0,173,11,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,22,3,3,0,0,28,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,29,3,3,0,0,35,0,0,0,0,0,0,5,0,0,0,0,5,41,3,0,0,0,44,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,52,0,0,0,0,0,0,3,0,0,0,0,3,6,0,0,0,0,6,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,3,0,0,0,0,3,267,17,3,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,53,115,5
LGA10600,0,0,0,0,0,0,3,0,0,0,0,3,32,3,0,0,0,35,45,5,0,0,0,50,20,0,0,0,3,23,0,0,0,0,0,0,100,8,0,0,3,111,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,117,8,3,0,3,131,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,30,64,4
