region_id,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_T_M,C11_75_79_T_F,C11_75_79_T_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_T_M,C11_80_84_T_F,C11_80_84_T_P,C11_85o_Mar_RegM_M,C11_85o_Mar_RegM_F,C11_85o_Mar_DFM_M,C11_85o_Mar_DFM_F,C11_85o_N_mar_M,C11_85o_N_mar_F,C11_85o_T_M,C11_85o_T_F,C11_85o_T_P,C11_T_Marr_reg_marr_M,C11_T_Marr_reg_marr_F,C11_T_Mar_de_fa_mar_M,C11_T_Mar_de_fa_mar_F,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_T_M,C11_Tot_T_F,C11_Tot_T_P
LGA10050,123,349,495,650,1145,282,159,4,3,126,354,412,516,928,129,73,3,0,81,363,213,436,649,7901,8080,1648,1711,6618,8170,16167,17961,34128
LGA10110,47,189,229,300,529,106,66,0,0,60,179,166,245,411,67,40,0,0,38,158,105,198,303,3611,3678,812,843,3048,3941,7471,8462,15933
LGA10150,121,298,466,513,979,222,130,0,5,125,269,347,404,751,128,48,6,0,102,293,236,341,577,6956,7014,1386,1372,6522,7668,14864,16054,30918
LGA10200,123,268,504,495,999,204,125,0,0,115,324,319,449,768,115,53,0,0,110,340,225,393,618,13631,13725,1032,970,12275,11506,26938,26201,53139
LGA10250,135,397,597,761,1358,360,256,9,4,161,449,530,709,1239,240,109,8,5,160,452,408,566,974,7227,7345,1363,1426,5123,6591,13713,15362,29075
LGA10300,12,16,34,26,60,11,6,0,0,6,14,17,20,37,4,0,0,0,4,15,8,15,23,410,416,85,88,275,280,770,784,1554
LGA10350,480,1281,1893,2362,4255,1097,651,8,8,481,1489,1586,2148,3734,607,281,9,3,480,1447,1096,1731,2827,34111,34292,2335,2378,27547,31326,63993,67996,131989
LGA10470,100,247,364,499,863,194,110,6,0,87,263,287,373,660,82,38,0,0,58,256,140,294,434,6248,6356,1390,1431,4945,5670,12583,13457,26040
LGA10550,137,260,529,545,1074,232,156,4,3,109,260,345,419,764,136,53,0,3,102,257,238,313,551,5934,6022,1346,1404,3968,4535,11248,11961,23209
LGA10600,55,103,218,225,443,86,45,6,3,40,109,132,157,289,64,29,0,3,36,101,100,133,233,2106,2138,562,609,1647,2058,4315,4805,9120
LGA10650,39,70,158,142,300,86,51,3,0,30,74,119,125,244,48,24,0,0,28,70,76,94,170,1566,1582,253,254,1054,1078,2873,2914,5787
LGA10750,551,1563,1969,2451,4420,790,448,7,3,456,1201,1253,1652,2905,352,156,10,3,258,1039,620,1198,1818,55728,56183,6484,6689,42587,47666,104799,110538,215337
LGA10800,20,46,96,103,199,55,25,0,0,19,60,74,85,159,22,13,0,0,18,51,40,64,104,1145,1158,187,195,731,694,2063,2047,4110
LGA10850,34,49,104,100,204,50,26,0,3,25,55,75,84,159,16,5,0,0,10,31,26,36,62,1292,1313,197,214,891,937,2380,2464,4844
LGA10900,195,593,804,1012,1816,353,215,11,3,170,513,534,731,1265,188,92,4,3,161,587,353,682,1035,13916,14148,2517,2709,9463,11998,25896,28855,54751
LGA10950,17,19,47,40,87,13,10,0,0,8,22,21,32,53,5,0,0,0,6,13,11,13,24,470,485,89,100,380,363,939,948,1887
LGA11000,12,24,35,38,73,11,14,0,0,12,19,23,33,56,14,8,0,0,13,24,27,32,59,455,449,93,89,353,313,901,851,1752
LGA11050,6,24,30,43,73,21,13,0,0,9,24,30,37,67,5,0,0,0,3,25,8,25,33,459,456,67,68,333,345,859,869,1728
LGA11100,124,307,444,523,967,216,112,3,0,104,317,323,429,752,91,40,0,0,88,296,179,336,515,6983,7062,1093,1033,6231,7120,14307,15215,29522
LGA11150,15,15,31,26,57,9,8,0,0,5,16,14,24,38,3,0,0,0,0,12,3,12,15,345,349,132,133,354,386,831,868,1699
LGA11200,9,7,13,12,25,4,3,0,0,5,14,9,17,26,4,3,0,0,3,6,7,9,16,147,142,112,120,286,310,545,572,1117
LGA11250,82,211,284,363,647,146,88,5,0,78,210,229,298,527,59,28,0,0,54,156,113,184,297,2881,2945,692,727,2683,3135,6256,6807,13063
LGA11300,77,254,338,430,768,216,117,0,0,75,269,291,386,677,115,46,0,0,80,257,195,303,498,5785,5861,563,560,5686,6468,12034,12889,24923
LGA11350,72,158,248,318,566,128,83,3,0,73,182,204,265,469,79,32,3,0,69,195,151,227,378,3971,4090,1426,1446,4485,5263,9882,10799,20681
LGA11400,64,102,207,201,408,79,51,3,0,41,70,123,121,244,28,21,0,0,28,84,56,105,161,2622,2655,392,405,1507,1524,4521,4584,9105
LGA11450,75,238,401,442,843,168,95,0,0,76,238,244,333,577,92,53,3,0,60,244,155,297,452,11245,11371,1575,1631,6551,7595,19371,20597,39968
LGA11500,253,701,904,1109,2013,357,228,15,14,179,581,551,823,1374,171,80,9,0,137,473,317,553,870,25170,25417,3911,4025,21673,25300,50754,54742,105496
LGA11520,166,496,793,976,1769,481,245,6,4,162,583,649,832,1481,251,98,3,4,144,603,398,705,1103,14586,14781,2428,2471,10254,12702,27268,29954,57222
LGA11550,399,936,1690,1785,3475,839,453,7,5,326,899,1172,1357,2529,447,186,0,0,250,877,697,1063,1760,26355,26496,2121,2132,21750,22904,50226,51532,101758
