region_id,C01_Se_h_NPUR_1,C01_Se_h_NPUR_2,C01_Se_h_NPUR_3,C01_Se_h_NPUR_4,C01_Se_h_NPUR_5,C01_Se_h_NPUR_6more,C01_Se_h_Tot,C01_SDRTHT1S_NPUR_1,C01_SDRTHT1S_NPUR_2,C01_SDRTHT1S_NPUR_3,C01_SDRTHT1S_NPUR_4,C01_SDRTHT1S_NPUR_5,C01_SDRTHT1S_NPUR_6mo,C01_SDRTHT1S_To,C01_SDRTHT2S_NPUR_1,C01_SDRTHT2S_NPUR_2,C01_SDRTHT2S_NPUR_3,C01_SDRTHT2S_NPUR_4,C01_SDRTHT2S_NPUR_5,C01_SDRTHT2S_NPUR_6mo,C01_SDRTHT2S_To,C01_SDRTHT_NPUR_1,C01_SDRTHT_NPUR_2,C01_SDRTHT_NPUR_3,C01_SDRTHT_NPUR_4,C01_SDRTHT_NPUR_5,C01_SDRTHT_NPUR_6mor,C01_SDRTHT_Tot,C01_FUA_1_2SB_NPUR_1,C01_FUA_1_2SB_NPUR_2,C01_FUA_1_2SB_NPUR_3,C01_FUA_1_2SB_NPUR_4,C01_FUA_1_2SB_NPUR_5,C01_FUA_1_2SB_NPUR_6mor,C01_FUA_1_2SB_Tot,C01_FUA_I_a_3SB_NPUR_1,C01_FUA_I_a_3SB_NPUR_2,C01_FUA_I_a_3SB_NPUR_3,C01_FUA_I_a_3SB_NPUR_4,C01_FUA_I_a_3SB_NPUR_5,C01_FUA_I_a_3SB_NPUR_6m,C01_FUA_In_a_3SB_To,C01_FUA_4mor_s_b_NPUR_1,C01_FUA_4mor_s_b_NPUR_2,C01_FUA_4mor_s_b_NPUR_3,C01_FUA_4mor_s_b_NPUR_4,C01_FUA_4mor_s_b_NPUR_5,C01_FUA_4m_s_b_NPUR_6mor,C01_FUA_4mor_st_bl_Tot,C01_FUA_AH_NPUR_1,C01_FUA_AH_NPUR_2,C01_FUA_AH_NPUR_3,C01_FUA_AH_NPUR_4,C01_FUA_AH_NPUR_5,C01_FUA_AH_NPUR_6mo,C01_FUA_AH_Tot,C01_FUA_To_NPUR_1,C01_FUA_To_NPUR_2,C01_FUA_To_NPUR_3,C01_FUA_To_NPUR_4,C01_FUA_To_NPUR_5,C01_FUA_To_NPUR_6mo,C01_FUA_To_To,C01_OD_CCH_NPUR_1,C01_OD_CCH_NPUR_2,C01_OD_CCH_NPUR_3,C01_OD_CCH_NPUR_4,C01_OD_CCH_NPUR_5,C01_OD_CCH_NPUR_6mo,C01_OD_CCH_Tot,C01_OD_IHTSO_NPUR_1,C01_OD_IHTSO_NPUR_2,C01_OD_IHTSO_NPUR_3,C01_OD_IHTSO_NPUR_4,C01_OD_IHTSO_NPUR_5,C01_OD_IHTSO_NPUR_6mo,C01_OD_IHTSO_Tot,C01_OD_H_f_a_s_o_NPUR_1,C01_OD_H_f_a_s_o_NPUR_2,C01_OD_H_f_a_s_o_NPUR_3,C01_OD_H_f_a_s_o_NPUR_4,C01_OD_H_f_a_s_o_NPUR_5,C01_OD_H_f_a_s_o_NPUR_6mor,C01_OD_H_f_a_s_o_TO,C01_OD_Tot_NPUR_1,C01_OD_Tot_NPUR_2,C01_OD_Tot_NPUR_3,C01_OD_Tot_NPUR_4,C01_OD_Tot_NPUR_5,C01_OD_Tot_NPUR_6mor,C01_OD_T_T,C01_DS_ns_NPUR_1,C01_DS_ns_NPUR_2,C01_DS_ns_NPUR_3,C01_DS_ns_NPUR_4,C01_DS_ns_NPUR_5,C01_DS_ns_NPUR_6more,C01_Dwg_st_NS_T,C01_Tot_NPUR_1,C01_Tot_NPUR_2,C01_Tot_NPUR_3,C01_Tot_NPUR_4,C01_Tot_NPUR_5,C01_Tot_NPUR_6more,C01_T_T,C06_Se_h_NPUR_1,C06_Se_h_NPUR_2,C06_Se_h_NPUR_3,C06_Se_h_NPUR_4,C06_Se_h_NPUR_5,C06_Se_h_NPUR_6more,C06_Se_h_Tot,C06_S_r_t_h_t_1_s_NPUR_1,C06_S_r_t_h_t_1_s_NPUR_2,C06_S_r_t_h_t_1_s_NPUR_3,C06_S_r_t_h_t_1_s_NPUR_4,C06_S_r_t_h_t_1_s_NPUR_5,C06_S_r_t_h_t_1_s_NPUR_6mo,C06_SDRTHTS_To,C06_S_r_t_h_t_2mor_s_NPUR_1,C06_S_r_t_h_t_2mor_s_NPUR_2,C06_S_r_t_h_t_2mor_s_NPUR_3,C06_S_r_t_h_t_2mor_s_NPUR_4,C06_S_r_t_h_t_2mor_s_NPUR_5,C06_SDRTHT2S_NPUR_6mo,C06_SDRTHT2S_To,C06_Sd_r_t_h_t_To_NPUR_1,C06_Sd_r_t_h_t_To_NPUR_2,C06_Sd_r_t_h_t_To_NPUR_3,C06_Sd_r_t_h_t_To_NPUR_4,C06_Sd_r_t_h_t_To_NPUR_5,C06_SDRTHT_NPUR_6mor,C06_Sd_r_t_h_t_To_Tot,C06_Fl_u_a_1_2SB_NPUR_1,C06_Fl_u_a_1_2SB_NPUR_2,C06_Fl_u_a_1_2SB_NPUR_3,C06_Fl_u_a_1_2SB_NPUR_4,C06_Fl_u_a_1_2SB_NPUR_5,C06_F_u_a_1_2SB_NPUR_6mor,C06_FUA_1_2SB_Tot,C06_F_u_a_I_a_3SB_NPUR_1,C06_F_u_a_I_a_3SB_NPUR_2,C06_F_u_a_I_a_3SB_NPUR_3,C06_F_u_a_I_a_3SB_NPUR_4,C06_F_u_a_I_a_3SB_NPUR_5,C06_F_u_a_I_a_3SB_NPUR_6m,C06_FUA_In_a_3_st_b_To,C06_F_u_a_4mor_s_b_NPUR_1,C06_F_u_a_4mor_s_b_NPUR_2,C06_F_u_a_4mor_s_b_NPUR_3,C06_F_u_a_4mor_s_b_NPUR_4,C06_F_u_a_4mor_s_b_NPUR_5,C06_F_u_a_4m_s_b_NPUR_6mor,C06_FUA_4mor_st_bl_Tot,C06_FUA_AH_NPUR_1,C06_FUA_AH_NPUR_2,C06_FUA_AH_NPUR_3,C06_FUA_AH_NPUR_4,C06_FUA_AH_NPUR_5,C06_FUA_AH_NPUR_6mo,C06_FUA_AH_Tot,C06_FUA_To_NPUR_1,C06_FUA_To_NPUR_2,C06_FUA_To_NPUR_3,C06_FUA_To_NPUR_4,C06_FUA_To_NPUR_5,C06_FUA_To_NPUR_6mo,C06_FUA_To_To,C06_OD_CCH_NPUR_1,C06_OD_CCH_NPUR_2,C06_OD_CCH_NPUR_3,C06_OD_CCH_NPUR_4,C06_OD_CCH_NPUR_5,C06_OD_CCH_NPUR_6mo,C06_OD_CCH_Tot,C06_OD_IHTSO_NPUR_1,C06_OD_IHTSO_NPUR_2,C06_OD_IHTSO_NPUR_3,C06_OD_IHTSO_NPUR_4,C06_OD_IHTSO_NPUR_5,C06_OD_IHTSO_NPUR_6mo,C06_OD_IHTSO_Tot,C06_OD_H_f_a_s_o_NPUR_1,C06_OD_H_f_a_s_o_NPUR_2,C06_OD_H_f_a_s_o_NPUR_3,C06_OD_H_f_a_s_o_NPUR_4,C06_OD_H_f_a_s_o_NPUR_5,C06_OD_H_f_a_s_o_NPUR_6mor,C06_OD_H_f_a_s_o_TO,C06_OD_Tot_NPUR_1,C06_OD_Tot_NPUR_2,C06_OD_Tot_NPUR_3,C06_OD_Tot_NPUR_4,C06_OD_Tot_NPUR_5,C06_OD_Tot_NPUR_6mor,C06_OD_T_T,C06_DS_ns_NPUR_1,C06_DS_ns_NPUR_2,C06_DS_ns_NPUR_3,C06_DS_ns_NPUR_4
LGA10050,2413,4357,2243,2225,1122,420,12780,522,354,82,26,8,4,996,66,29,12,3,0,3,113,588,383,94,29,8,7,1109,1550,711,154,33,14,9,2471,93,16,3,0,0,0,112,51,40,5,0,3,0,99,22,13,0,0,0,0,35,1716,780,162,33,17,9,2717,58,23,4,3,0,0,88,3,0,0,0,0,0,3,15,22,8,9,3,0,57,76,45,12,12,3,0,148,27,29,10,10,3,3,82,4820,5594,2521,2309,1153,439,16836,2621,4730,2338,2269,1092,413,13463,543,399,66,34,7,4,1053,75,56,16,0,0,4,151,618,455,82,34,7,8,1204,1428,785,125,76,10,3,2427,102,48,7,5,0,0,162,122,58,10,3,0,0,193,8,0,6,0,0,0,14,1660,891,148,84,10,3,2796,52,36,7,5,3,0,103,3,3,0,0,0,0,6,24,15,7,7,0,0,53,79,54,14,12,3,0,162,7,3,0,0
LGA10110,1352,2353,1070,1132,562,249,6718,239,145,41,13,6,0,444,24,12,4,5,3,0,48,263,157,45,18,9,0,492,456,230,53,27,5,4,775,8,5,0,0,0,0,13,7,5,3,0,0,0,15,24,3,4,0,0,0,31,495,243,60,27,5,4,834,14,3,0,0,0,0,17,0,0,0,0,0,0,0,12,14,7,8,3,0,44,26,17,7,8,3,0,61,19,21,6,6,3,0,55,2155,2791,1188,1191,582,253,8160,1540,2424,1140,1080,514,218,6916,220,148,31,11,0,3,413,30,21,0,0,0,0,51,250,169,31,11,0,3,464,466,215,57,14,3,0,755,11,0,0,0,0,0,11,0,0,4,0,0,0,4,16,13,0,0,0,0,29,493,228,61,14,3,0,799,26,11,8,0,0,0,45,0,0,0,0,0,0,0,3,11,0,7,0,3,24,29,22,8,7,0,3,69,0,0,0,0
LGA10150,842,1603,1132,1159,569,268,5573,299,460,216,123,32,13,1143,159,217,131,92,40,10,649,458,677,347,215,72,23,1792,1030,788,335,174,51,14,2392,1350,1232,570,307,77,23,3559,188,206,104,40,4,3,545,40,24,6,6,3,0,79,2608,2250,1015,527,135,40,6575,3,0,0,0,0,0,3,0,0,0,0,0,0,0,36,40,25,16,8,8,133,39,40,25,16,8,8,136,217,91,19,27,6,3,363,4164,4661,2538,1944,790,342,14439,947,1753,1148,1281,569,244,5942,283,390,211,128,35,12,1059,333,261,168,113,39,14,928,616,651,379,241,74,26,1987,1179,920,385,158,51,13,2706,1374,1268,570,268,74,11,3565,163,180,108,70,20,3,544,19,12,7,3,3,3,47,2735,2380,1070,499,148,30,6862,0,0,0,0,0,0,0,22,0,0,0,0,0,22,38,35,10,14,5,3,105,60,35,10,14,5,3,127,0,0,0,0
LGA10200,1611,2269,1660,2075,1231,1308,10154,127,99,83,75,42,30,456,129,294,273,275,129,86,1186,256,393,356,350,171,116,1642,662,696,557,420,182,80,2597,265,346,256,158,60,26,1111,136,207,139,90,29,20,621,18,10,10,4,4,3,49,1081,1259,962,672,275,129,4378,0,0,0,0,0,0,0,3,0,0,0,0,0,3,26,27,19,15,10,9,106,29,27,19,15,10,9,109,17,18,21,23,11,13,103,2994,3966,3018,3135,1698,1575,16386,1647,2424,1907,2185,1330,1177,10670,165,138,90,107,68,72,640,175,344,306,297,129,73,1324,340,482,396,404,197,145,1964,617,678,503,355,164,102,2419,372,616,408,299,94,44,1833,450,636,377,277,90,70,1900,15,10,5,3,0,0,33,1454,1940,1293,934,348,216,6185,3,0,3,3,3,4,16,0,0,0,0,0,0,0,26,18,16,21,6,11,98,29,18,19,24,9,15,114,29,42,24,16
LGA10250,1666,3815,1630,1672,739,321,9843,771,583,145,61,21,7,1588,256,300,126,68,17,7,774,1027,883,271,129,38,14,2362,572,412,110,50,13,7,1164,35,48,14,0,0,0,97,24,17,5,0,3,0,49,49,29,8,6,0,0,92,680,506,137,56,16,7,1402,353,189,29,19,3,0,593,3,3,0,3,0,0,9,21,18,15,8,0,0,62,377,210,44,30,3,0,664,30,13,4,4,3,0,54,3780,5427,2086,1891,799,342,14325,1865,4136,1630,1691,784,306,10412,627,441,136,62,24,10,1300,233,229,118,43,9,7,639,860,670,254,105,33,17,1939,927,623,203,105,27,10,1895,43,58,12,3,0,0,116,21,14,0,0,0,0,35,13,15,6,3,0,0,37,1004,710,221,111,27,10,2083,339,231,29,15,3,0,617,4,8,0,0,0,0,12,8,24,7,5,3,4,51,351,263,36,20,6,4,680,0,0,3,3
LGA10300,150,288,138,159,78,36,849,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,39,10,3,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,10,3,0,0,0,52,19,4,0,0,0,0,23,0,0,0,0,0,0,0,5,4,0,0,0,0,9,24,8,0,0,0,0,32,0,0,0,0,3,0,3,216,306,141,159,81,36,939,195,310,105,127,69,28,834,3,3,0,0,0,0,6,0,0,0,0,0,0,0,3,3,0,0,0,0,6,32,7,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,7,3,0,0,0,42,9,0,0,0,0,0,9,0,0,0,0,0,0,0,8,4,0,0,0,0,12,17,4,0,0,0,0,21,0,0,0,0
LGA10350,6383,11323,7286,8107,4575,3509,41183,925,784,410,298,122,84,2623,644,866,636,528,250,164,3088,1569,1650,1046,826,372,248,5711,1290,360,152,109,44,32,1987,657,918,619,400,134,54,2782,331,285,194,141,63,14,1028,74,47,23,14,10,5,173,2352,1610,988,664,251,105,5970,40,7,3,0,0,0,50,3,0,0,0,3,0,6,49,62,35,31,13,16,206,92,69,38,31,16,16,262,68,88,27,50,22,14,269,10464,14740,9385,9678,5236,3892,53395,6642,10973,6787,7762,4408,3304,39876,1161,835,526,446,238,152,3358,836,1176,883,847,406,255,4403,1997,2011,1409,1293,644,407,7761,1316,479,258,201,100,64,2418,850,937,673,470,168,55,3153,359,407,292,196,57,12,1323,27,18,10,8,4,3,70,2552,1841,1233,875,329,134,6964,29,12,5,5,5,0,56,5,6,0,0,0,0,11,46,28,32,23,4,16,149,80,46,37,28,9,16,216,35,3,0,4
LGA10470,1783,3388,1713,1763,850,417,9914,269,185,77,24,10,6,571,43,49,32,18,4,5,151,312,234,109,42,14,11,722,672,285,42,16,5,3,1023,25,5,3,3,0,0,36,0,0,0,0,0,0,0,25,4,3,0,0,0,32,722,294,48,19,5,3,1091,18,10,3,0,0,0,31,0,3,0,0,0,0,3,49,35,11,10,4,3,112,67,48,14,10,4,3,146,17,11,10,7,3,3,51,2901,3975,1894,1841,876,437,11924,2117,3784,1753,1793,816,395,10658,356,229,77,42,19,8,731,38,54,32,18,3,0,145,394,283,109,60,22,8,876,519,274,53,21,3,3,873,26,8,3,0,0,0,37,0,0,0,0,0,0,0,15,5,0,0,0,0,20,560,287,56,21,3,3,930,28,7,3,0,3,0,41,3,3,3,0,0,0,9,30,19,7,9,3,0,68,61,29,13,9,6,0,118,10,8,13,9
LGA10550,1818,3568,1340,1327,669,290,9012,180,147,24,7,0,0,358,113,154,46,28,29,7,377,293,301,70,35,29,7,735,451,286,55,23,9,0,824,3,5,0,0,0,0,8,0,3,0,0,0,0,3,33,21,3,0,0,0,57,487,315,58,23,9,0,892,126,91,21,14,8,3,263,7,7,0,0,3,0,17,26,44,21,12,6,0,109,159,142,42,26,17,3,389,30,16,8,7,3,0,64,2787,4342,1518,1418,727,300,11092,2100,4180,1489,1413,605,304,10091,159,142,18,15,6,4,344,36,61,17,10,0,0,124,195,203,35,25,6,4,468,586,327,66,25,10,0,1014,3,0,0,0,0,0,3,0,0,0,0,0,0,0,11,12,3,3,0,0,29,600,339,69,28,10,0,1046,122,86,11,7,5,3,234,9,19,3,10,4,5,50,18,17,6,3,3,0,47,149,122,20,20,12,8,331,14,3,0,3
LGA10600,855,1591,633,564,299,136,4078,61,21,5,0,0,0,87,18,16,3,0,0,0,37,79,37,8,0,0,0,124,94,39,3,3,3,0,142,5,5,0,0,0,0,10,3,0,0,0,0,0,3,12,4,3,0,0,0,19,114,48,6,3,3,0,174,68,29,5,0,3,0,105,3,0,0,0,0,0,3,11,7,7,7,3,0,35,82,36,12,7,6,0,143,48,29,9,4,6,3,99,1178,1741,668,578,314,139,4618,986,1762,682,592,232,131,4385,22,7,5,3,0,0,37,18,15,3,3,3,0,42,40,22,8,6,3,0,79,145,46,5,0,0,0,196,8,5,0,0,0,0,13,0,0,0,0,0,0,0,3,7,0,0,0,0,10,156,58,5,0,0,0,219,84,28,3,3,3,3,124,11,0,6,0,0,0,17,6,12,6,7,3,0,34,101,40,15,10,6,3,175,0,0,0,0
LGA10650,575,1046,345,332,186,99,2583,70,23,4,3,3,0,103,0,3,0,0,0,0,3,70,26,4,3,3,0,106,80,43,12,0,3,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,83,46,12,0,3,0,144,36,21,0,0,3,0,60,3,0,0,0,0,0,3,13,9,5,5,0,3,35,52,30,5,5,3,3,98,3,4,3,0,0,0,10,783,1152,369,340,195,102,2941,638,1156,356,318,193,84,2745,46,36,5,0,3,3,93,0,0,0,0,0,0,0,46,36,5,0,3,3,93,120,63,5,5,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,120,67,5,5,0,0,197,36,26,0,0,0,3,65,3,0,0,0,0,0,3,6,4,3,4,3,0,20,45,30,3,4,3,3,88,0,3,0,3
LGA10750,8782,18232,14010,15629,7995,4730,69378,806,745,469,367,149,92,2628,774,1174,880,692,272,182,3974,1580,1919,1349,1059,421,274,6602,864,212,75,40,14,9,1214,408,438,233,150,50,19,1298,76,115,70,39,9,3,312,143,72,22,11,3,3,254,1491,837,400,240,76,34,3078,169,75,20,11,5,3,283,35,3,0,0,0,0,38,29,16,15,11,6,3,80,233,94,35,22,11,6,401,52,91,59,66,26,16,310,12138,21173,15853,17016,8529,5060,79769,10013,19268,14128,16007,7875,4824,72115,1095,1244,768,698,329,186,4320,968,1362,1068,782,337,235,4752,2063,2606,1836,1480,666,421,9072,876,195,71,40,16,4,1202,540,386,227,143,46,25,1367,284,397,252,110,28,21,1092,44,29,6,8,4,0,91,1744,1007,556,301,94,50,3752,321,165,26,17,3,3,535,10,4,4,0,0,0,18,34,22,14,9,6,3,88,365,191,44,26,9,6,641,3,11,3,3
LGA10800,488,802,310,277,189,97,2163,7,3,0,3,0,0,13,0,0,0,0,0,0,0,7,3,0,3,0,0,13,66,22,4,4,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,22,4,4,4,0,100,6,0,0,0,0,0,6,0,3,0,0,0,0,3,3,8,3,5,3,0,22,9,11,3,5,3,0,31,3,3,0,0,3,0,9,573,841,317,289,199,97,2316,515,813,314,236,184,89,2151,42,10,3,3,0,0,58,0,0,0,0,0,0,0,42,10,3,3,0,0,58,33,10,0,5,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,38,10,0,5,3,0,56,18,3,0,0,0,3,24,0,0,0,0,0,0,0,5,10,4,0,0,0,19,23,13,4,0,0,3,43,0,0,0,0
LGA10850,463,682,325,315,180,86,2051,16,15,5,4,3,3,46,5,3,0,3,0,0,11,21,18,5,7,3,3,57,44,7,4,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,44,10,4,0,0,0,58,6,0,0,0,0,0,6,0,3,0,0,0,0,3,4,7,3,5,3,0,22,10,10,3,5,3,0,31,3,6,0,0,3,0,12,541,726,337,327,189,89,2209,511,795,325,335,184,99,2249,30,5,5,4,3,0,47,0,0,0,0,0,0,0,30,5,5,4,3,0,47,44,21,6,3,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,47,21,6,3,0,0,77,4,3,0,3,0,0,10,0,3,0,0,0,0,3,6,6,0,0,0,0,12,10,12,0,3,0,0,25,0,0,0,0
LGA10900,5349,8247,4089,4244,2067,860,24856,300,162,50,38,20,6,576,102,96,41,16,5,3,263,402,258,91,54,25,9,839,528,144,20,8,3,3,706,67,17,5,0,0,0,89,22,15,4,0,0,0,41,73,23,3,3,0,0,102,690,199,32,11,3,3,938,8,4,0,0,0,0,12,4,3,0,0,0,0,7,23,23,3,4,0,0,53,35,30,3,4,0,0,72,33,31,24,28,7,6,129,6509,8765,4239,4341,2102,878,26834,5797,8804,4083,4224,1884,773,25565,435,192,45,26,4,0,702,88,81,37,12,3,0,221,523,273,82,38,7,0,923,372,114,30,7,3,0,526,71,28,0,3,0,0,102,5,3,3,0,0,0,11,53,16,3,0,0,0,72,501,161,36,10,3,0,711,5,8,3,3,3,0,22,0,0,0,0,0,0,0,15,7,3,3,0,3,31,20,15,6,6,3,3,53,0,0,0,0
LGA10950,241,358,144,143,98,52,1036,3,0,0,3,0,0,6,0,0,0,0,0,0,0,3,0,0,3,0,0,6,33,8,3,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,8,38,8,3,3,0,0,52,5,6,0,0,0,0,11,3,0,0,0,0,0,3,7,7,0,0,0,0,14,15,13,0,0,0,0,28,0,3,0,0,0,0,3,297,382,147,149,98,52,1125,237,366,134,147,84,39,1007,5,3,0,0,0,0,8,0,0,0,0,0,0,0,5,3,0,0,0,0,8,33,10,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,38,10,0,0,0,0,48,5,4,0,0,0,0,9,0,0,0,0,0,0,0,5,4,3,0,0,0,12,10,8,3,0,0,0,21,0,0,0,0
LGA11000,263,356,133,118,53,27,950,7,3,0,0,3,0,13,0,0,0,0,0,0,0,7,3,0,0,3,0,13,12,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,15,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,3,3,3,0,0,9,3,6,3,3,0,0,15,0,3,3,3,0,0,9,285,371,139,124,56,27,1002,266,391,118,124,50,18,967,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,17,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,21,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0
LGA11050,222,308,100,125,67,38,860,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,4,3,0,0,0,0,7,3,0,0,0,0,0,3,0,3,0,0,0,0,3,7,6,0,0,0,0,13,0,0,0,0,0,0,0,252,317,100,125,67,38,899,246,345,102,90,74,32,889,24,0,0,0,0,0,24,0,0,0,0,0,0,0,24,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,8,8,4,0,0,0,0,12,0,0,0,0
LGA11100,826,1508,1071,1148,507,317,5377,360,379,182,175,66,23,1185,120,209,169,141,52,35,726,480,588,351,316,118,58,1911,427,215,117,84,20,10,873,659,877,655,472,154,57,2874,453,367,205,147,48,18,1238,4,9,3,3,0,0,19,1543,1468,980,706,222,85,5004,0,0,0,0,0,0,0,3,0,0,0,0,0,3,28,20,19,11,6,6,90,31,20,19,11,6,6,93,30,23,10,14,4,3,84,2910,3607,2431,2195,857,469,12469,935,1555,1081,1187,556,243,5557,330,336,214,161,49,29,1119,187,242,173,171,58,26,857,517,578,387,332,107,55,1976,459,221,106,64,22,12,884,882,981,690,498,134,45,3230,529,519,210,97,26,12,1393,3,3,0,3,4,0,13,1873,1724,1006,662,186,69,5520,0,0,0,0,3,0,3,0,0,0,0,0,0,0,26,23,15,6,7,6,83,26,23,15,6,10,6,86,0,3,3,0
LGA11150,240,310,156,158,106,95,1065,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,28,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,31,9,0,0,0,0,40,14,10,0,0,0,0,24,3,0,0,0,0,0,3,4,4,5,0,0,3,16,21,14,5,0,0,3,43,0,3,0,0,0,0,3,292,339,161,158,106,98,1154,232,290,139,115,89,70,935,9,0,3,0,0,0,12,0,3,0,0,0,0,3,9,3,3,0,0,0,15,22,8,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,0,0,0,30,18,5,0,0,0,0,23,5,0,0,3,0,0,8,11,0,0,0,0,3,14,34,5,0,3,0,3,45,0,0,0,0
LGA11200,127,156,110,84,60,55,592,9,5,0,0,0,3,17,0,0,0,0,0,0,0,9,5,0,0,0,3,17,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,3,3,0,0,0,0,6,3,0,0,0,0,0,3,3,4,0,0,0,0,7,9,7,0,0,0,0,16,0,3,0,0,0,0,3,160,171,110,84,60,58,643,115,169,74,67,41,61,527,3,3,3,0,0,0,9,0,0,0,3,0,0,3,3,3,3,3,0,0,12,19,8,3,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,0,0,0,30,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,7,0,0,0,0,11,0,0,0,0
LGA11250,2170,2716,1109,1013,423,151,7582,50,16,4,3,0,0,73,3,0,0,0,0,0,3,53,16,4,3,0,0,76,163,41,7,3,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,167,41,7,3,0,0,218,21,8,0,0,0,0,29,0,0,0,0,0,0,0,10,7,3,0,0,3,23,31,15,3,0,0,3,52,61,13,3,3,0,0,80,2482,2801,1126,1022,423,154,8008,2194,2575,993,828,372,163,7125,88,62,28,27,5,4,214,5,3,0,0,0,0,8,93,65,28,27,5,4,222,188,50,16,11,0,0,265,0,0,0,0,0,0,0,12,0,3,0,0,0,15,12,0,0,0,0,0,12,212,50,19,11,0,0,292,8,11,3,3,0,0,25,0,0,3,0,0,0,3,15,5,3,0,0,0,23,23,16,9,3,0,0,51,0,3,0,0
LGA11300,855,1437,1029,1164,608,413,5506,163,208,124,106,32,20,653,70,86,85,61,24,6,332,233,294,209,167,56,26,985,384,235,118,64,23,11,835,432,425,268,152,34,12,1323,363,325,183,104,23,16,1014,47,26,13,11,6,0,103,1226,1011,582,331,86,39,3275,3,0,0,0,0,0,3,0,0,0,0,0,0,0,16,17,16,12,8,3,72,19,17,16,12,8,3,75,13,35,14,15,8,5,90,2346,2794,1850,1689,766,486,9931,894,1548,1002,1233,613,394,5684,155,212,135,88,39,24,653,80,95,68,61,20,6,330,235,307,203,149,59,30,983,335,252,144,86,31,13,861,403,438,294,196,61,20,1412,339,381,274,164,49,12,1219,4,0,3,0,3,0,10,1081,1071,715,446,144,45,3502,0,3,3,0,0,0,6,3,0,0,0,0,0,3,9,7,9,14,0,0,39,12,10,12,14,0,0,48,0,0,0,0
LGA11350,1796,3034,1527,1311,610,218,8496,163,170,63,26,7,3,432,116,157,80,24,10,3,390,279,327,143,50,17,6,822,320,170,55,8,11,3,567,34,16,5,0,0,0,55,3,0,0,0,0,0,3,48,19,6,0,3,0,76,405,205,66,8,14,3,701,195,101,14,6,3,0,319,15,3,0,0,0,0,18,56,44,10,12,3,3,128,266,148,24,18,6,3,465,32,28,14,11,3,3,91,2778,3742,1774,1398,650,233,10575,1850,3214,1535,1344,572,191,8706,153,157,75,30,7,0,422,109,143,64,31,8,5,360,262,300,139,61,15,5,782,333,197,52,27,3,0,612,45,23,7,3,3,0,81,0,0,0,0,0,0,0,34,7,7,3,0,0,51,412,227,66,33,6,0,744,200,86,15,16,3,0,320,97,0,0,0,0,0,97,27,13,9,10,0,0,59,324,99,24,26,3,0,476,4,0,0,0
