SA3_CODE_2016,C16_CF_1F1NW_N,C16_CF_1F1NW_1_149,C16_CF_1F1NW_150_299,C16_CF_1F1NW_300_399,C16_CF_1F1NW_400_499,C16_CF_1F1NW_500_649,C16_CF_1F1NW_650_799,C16_CF_1F1NW_800_999,C16_CF_1F1NW_1000_1499,C16_CF_1F1NW_1500_1999,C16_CF_1F1NW_2000_2499,C16_CF_1F1NW_2500_2999,C16_CF_1F1NW_3000_3999,C16_CF_1F1NW_4000mo,C16_CF_1F1NW_Ns,C16_CF_1F1NW_T,C16_CF_1P1NW_N,C16_CF_1P1NW_1_149,C16_CF_1P1NW_150_299,C16_CF_1P1NW_300_399,C16_CF_1P1NW_400_499,C16_CF_1P1NW_500_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_999,C16_CF_1P1NW_1000_1499,C16_CF_1P1NW_1500_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000_mr,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_N,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_299,C16_CF_1A1NW_300_399,C16_CF_1A1NW_400_499,C16_CF_1A1NW_500_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_999,C16_CF_1A1NW_1000_1499,C16_CF_1A1NW_1500_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000m,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_N,C16_CF_BA_1_149,C16_CF_BA_150_299,C16_CF_BA_300_399,C16_CF_BA_400_499,C16_CF_BA_500_649,C16_CF_BA_650_799,C16_CF_BA_800_999,C16_CF_BA_1000_1499,C16_CF_BA_1500_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000_more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_N,C16_CF_BNW_1_149,C16_CF_BNW_150_299,C16_CF_BNW_300_399,C16_CF_BNW_400_499,C16_CF_BNW_500_649,C16_CF_BNW_650_799,C16_CF_BNW_800_999,C16_CF_BNW_1000_1499,C16_CF_BNW_1500_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000_more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_N,C16_CF_LFns_1_149,C16_CF_LFns_150_299,C16_CF_LFns_300_399,C16_CF_LFns_400_499,C16_CF_LFns_500_649,C16_CF_LFns_650_799,C16_CF_LFns_800_999,C16_CF_LFns_1000_1499,C16_CF_LFns_1500_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000_more,C16_CF_LFns_Ns,C16_CF_LFns_T,C16_C_f_c_T_Fi_N,C16_C_f_c_T_Fi_1_149,C16_C_f_c_T_Fi_150_299,C16_C_f_c_T_Fi_300_399,C16_C_f_c_T_Fi_400_499,C16_C_f_c_T_Fi_500_649,C16_CF_c_T_Fi_650_799,C16_CF_c_T_Fi_800_999,C16_CF_c_T_Fi_1000_1499,C16_CF_c_T_Fi_1500_1999,C16_CF_c_T_Fi_2000_2499,C16_CF_c_T_Fi_2500_2999,C16_CF_c_T_Fi_3000_3999,C16_CF_c_T_Fi_4000_more,C16_C_f_with_c_TFI_Ns,C16_C_f_with_c_T_T,C16_1PF_F_N,C16_1PF_F_1_149,C16_1PF_F_150_299,C16_1PF_F_300_399,C16_1PF_F_400_499,C16_1PF_F_500_649,C16_1PF_F_650_799,C16_1PF_F_800_999,C16_1PF_F_1000_1499,C16_1PF_F_1500_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000_more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_N,C16_1PF_P_1_149,C16_1PF_P_150_299,C16_1PF_P_300_399,C16_1PF_P_400_499,C16_1PF_P_500_649,C16_1PF_P_650_799,C16_1PF_P_800_999,C16_1PF_P_1000_1499,C16_1PF_P_1500_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000_more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_N,C16_1PF_A_1_149,C16_1PF_A_150_299,C16_1PF_A_300_399,C16_1PF_A_400_499,C16_1PF_A_500_649,C16_1PF_A_650_799,C16_1PF_A_800_999,C16_1PF_A_1000_1499,C16_1PF_A_1500_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000_more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_N,C16_1PF_U_1_149,C16_1PF_U_150_299,C16_1PF_U_300_399,C16_1PF_U_400_499,C16_1PF_U_500_649,C16_1PF_U_650_799,C16_1PF_U_800_999,C16_1PF_U_1000_1499,C16_1PF_U_1500_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000_more,C16_1PF_U_Ns,C16_1PF_U_To,C16_1PF_N_lf_Fi_N,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_299,C16_1PF_N_lf_Fi_300_399,C16_1PF_N_lf_Fi_400_499,C16_1PF_N_lf_Fi_500_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_999,C16_1PF_N_lf_Fi_1000_1499,C16_1PF_N_lf_Fi_1500_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000_more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_N,C16_1PF_LFns_1_149,C16_1PF_LFns_150_299,C16_1PF_LFns_300_399,C16_1PF_LFns_400_499,C16_1PF_LFns_500_649,C16_1PF_lf_ns_Fi_650_799,C16_1PF_lf_ns_Fi_800_999
10102,0,0,0,3,3,9,14,58,166,187,183,79,142,140,67,1044,0,0,0,0,7,5,13,20,44,29,22,25,24,14,19,224,0,0,0,0,0,0,0,3,19,17,8,4,5,4,14,75,0,0,0,0,0,0,0,3,3,8,17,12,16,20,15,93,6,3,5,3,14,14,24,21,61,43,32,22,20,7,36,317,0,0,0,0,0,0,0,0,0,3,3,0,0,3,422,434,12,9,15,5,29,40,59,141,521,704,890,931,1455,1517,940,7259,4,5,0,4,3,9,28,55,175,186,179,63,65,26,109,903,0,0,7,15,25,38,47,54,75,44,19,3,14,8,26,382,0,0,0,8,0,3,9,0,13,13,6,0,3,0,11,68,5,0,5,8,12,14,5,4,4,4,3,0,0,0,8,75,21,8,32,39,50,77,64,57,91,55,25,22,15,9,63,625,0,0,0,0,0,0,0,0
10103,0,0,0,0,0,3,8,13,59,47,29,14,14,0,20,212,0,0,0,0,0,4,14,5,14,11,3,0,0,3,3,63,0,0,0,0,0,0,3,3,3,0,3,4,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,3,3,3,8,26,3,4,0,0,4,3,15,19,25,7,8,7,4,0,11,106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,110,118,8,7,4,4,9,15,39,70,270,313,312,182,206,118,294,1851,0,0,0,0,0,12,9,10,60,42,27,10,5,4,23,215,0,0,3,17,12,28,28,9,35,5,5,3,4,0,18,165,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,17,0,3,7,0,10,3,4,0,3,0,0,0,0,0,3,31,8,3,15,18,17,24,33,32,45,3,8,8,4,0,33,248,0,0,0,0,0,0,0,0
10104,0,3,0,3,7,12,28,63,254,155,103,37,30,15,62,768,0,4,3,6,14,24,48,59,108,47,28,13,6,11,57,411,0,0,0,0,0,3,7,10,15,10,10,0,4,3,9,72,0,0,0,0,0,0,0,8,7,11,12,4,4,3,8,59,15,3,8,4,31,34,66,63,180,70,43,13,14,14,87,647,0,0,0,0,0,0,0,5,12,0,0,0,0,0,381,409,20,11,17,11,59,98,190,289,1221,981,815,472,389,235,910,5717,0,0,3,6,10,34,46,78,173,107,47,20,11,3,89,625,0,7,12,35,68,141,124,108,140,45,14,6,0,5,90,794,0,0,0,6,3,6,17,6,16,8,0,0,4,0,19,92,11,0,14,19,20,23,16,14,11,5,0,0,0,0,17,144,24,10,57,59,126,137,170,176,201,56,28,16,5,6,176,1237,0,0,0,0,0,0,3,0
10105,3,0,0,0,4,5,14,37,139,118,97,50,36,26,37,559,0,0,0,3,8,15,15,24,48,20,11,7,3,3,12,170,0,3,0,0,0,3,7,4,9,12,9,5,3,0,8,55,0,0,0,0,0,0,0,0,3,3,9,3,3,0,12,31,5,0,3,6,12,13,18,45,68,30,15,4,7,5,34,276,0,0,0,0,0,0,0,3,5,0,3,0,0,0,192,200,11,10,7,10,25,37,65,156,496,575,583,431,421,246,509,3579,0,3,0,0,3,10,28,49,109,72,47,23,9,0,35,398,5,3,9,8,30,52,54,51,82,19,5,3,4,0,27,354,0,0,3,0,3,7,3,3,12,7,3,0,0,0,9,50,0,0,10,9,25,16,12,4,6,6,0,0,0,0,8,101,13,9,22,44,57,84,83,71,111,39,16,5,3,9,70,631,0,0,0,0,0,3,0,0
10106,0,0,0,0,0,6,10,32,147,123,91,26,50,46,53,589,0,0,3,0,4,10,12,25,38,33,11,5,7,3,13,166,0,0,0,0,4,0,3,3,9,10,10,3,6,0,4,45,0,0,0,0,0,0,0,0,12,7,7,10,8,5,8,51,10,3,5,6,22,18,28,25,59,38,14,12,5,12,29,283,0,0,0,0,0,0,0,0,3,3,0,0,0,0,216,226,17,3,12,11,38,39,66,138,557,598,533,408,485,518,595,4013,0,3,3,0,3,5,25,31,81,64,55,18,15,12,46,357,0,0,5,25,28,57,42,29,49,26,12,6,9,3,35,330,0,3,0,0,0,5,3,5,3,4,4,3,3,0,4,41,4,0,5,12,12,14,11,0,7,0,0,0,0,0,6,75,16,3,24,34,48,70,67,66,81,31,6,0,4,3,59,516,0,0,0,0,3,0,3,0
10201,3,3,3,4,7,25,59,158,674,799,628,260,361,252,229,3471,0,6,9,4,13,38,49,77,243,146,107,50,55,38,103,939,3,0,0,0,0,3,7,11,56,44,32,13,24,12,45,256,0,3,0,0,0,0,0,3,18,12,29,26,36,19,42,187,30,14,18,6,54,52,90,130,314,221,136,80,46,29,179,1409,0,0,0,0,0,3,0,3,10,5,7,3,5,0,1001,1049,43,32,43,24,84,151,268,522,2277,2845,3144,2404,2750,2164,2614,19363,4,3,5,6,12,54,94,187,534,482,313,121,127,33,294,2279,5,11,31,62,93,259,215,276,417,189,83,33,29,13,198,1921,0,0,3,7,7,16,17,18,39,28,15,5,3,3,35,205,21,5,25,39,45,58,54,45,33,22,6,3,3,0,45,392,86,38,88,131,240,366,385,353,564,222,124,49,29,25,350,3052,0,0,0,0,0,3,3,3
10202,4,3,3,0,5,17,59,187,785,806,521,204,187,116,209,3104,0,6,10,6,14,38,65,127,255,141,69,28,29,13,86,884,0,0,3,3,0,5,12,15,57,41,30,10,16,3,31,223,0,0,0,0,0,0,0,4,12,28,26,18,14,9,35,151,27,11,16,13,54,53,118,146,417,239,106,58,45,27,194,1520,0,0,0,0,0,0,3,4,9,6,3,0,4,0,816,859,37,23,32,23,95,132,310,617,2617,3049,2834,2025,1889,1064,2179,16946,3,0,5,7,14,46,128,205,603,467,290,109,77,16,276,2237,3,8,41,61,122,302,303,310,426,182,76,22,12,9,187,2063,0,5,3,3,21,30,20,23,47,25,12,4,9,0,34,236,16,7,43,53,69,124,60,42,46,20,3,6,3,3,67,557,97,33,124,193,343,525,508,513,642,231,96,33,23,13,368,3735,3,0,0,0,6,0,3,5
10301,0,0,0,0,0,8,10,48,182,159,120,41,42,40,56,721,0,0,0,0,6,7,12,30,51,19,17,8,8,6,26,184,0,0,0,0,3,0,6,5,18,5,9,4,0,5,6,57,0,0,0,0,0,0,0,0,3,7,4,9,7,0,8,41,8,3,6,3,13,24,40,33,78,35,13,10,5,7,43,324,0,0,0,0,0,0,0,0,3,0,3,0,0,0,269,276,14,7,10,3,31,52,78,166,680,708,779,603,655,370,659,4814,0,0,0,3,6,17,41,56,158,121,68,21,24,7,69,587,0,3,11,21,27,70,53,54,105,43,13,3,4,0,44,459,0,0,3,4,3,3,9,9,6,4,3,0,0,0,11,56,3,4,10,18,14,33,17,8,4,0,0,0,0,0,12,117,9,10,44,49,74,113,118,96,106,46,18,3,6,3,96,779,0,0,0,0,0,0,0,0
10302,0,0,4,4,6,12,27,67,236,160,112,39,42,24,72,803,0,0,7,3,7,13,26,29,55,25,21,8,0,3,17,208,0,0,3,0,0,0,0,4,17,9,9,4,3,0,11,67,0,0,0,0,0,0,0,3,9,12,14,3,3,5,15,79,16,6,5,5,35,32,49,65,129,50,17,7,9,3,71,481,0,0,0,0,0,0,0,3,3,4,7,0,0,0,282,297,27,9,24,17,58,75,136,249,976,855,764,484,458,281,833,5246,4,5,3,4,9,30,33,61,153,91,57,13,12,8,67,540,0,7,20,21,43,96,77,62,74,22,13,0,0,0,41,462,0,0,0,4,0,7,6,4,20,11,3,0,0,0,9,63,7,0,15,21,23,29,23,11,9,0,0,0,0,0,18,156,22,10,52,74,123,158,174,144,165,39,17,7,11,3,129,1122,0,0,0,3,0,0,0,5
10303,0,0,0,0,3,8,21,45,170,160,170,48,67,47,78,830,0,0,5,0,8,14,28,33,54,30,17,0,6,3,28,227,0,0,0,0,0,3,4,9,14,15,7,3,5,0,11,72,0,0,0,0,0,0,3,0,3,5,9,10,8,9,7,55,12,7,10,8,35,22,65,62,104,32,19,12,9,4,62,456,0,0,0,0,0,0,0,3,6,3,0,0,0,0,229,246,12,4,20,13,61,60,152,199,650,641,624,481,514,424,685,4534,3,3,0,3,3,13,39,41,99,63,47,16,10,6,58,406,0,0,11,29,40,91,68,53,55,20,17,0,3,3,34,427,0,0,0,3,7,3,3,0,9,3,4,0,0,0,7,46,4,4,13,12,22,27,14,11,9,3,0,0,0,0,18,140,17,8,55,54,90,117,160,117,124,49,29,5,6,8,107,943,0,0,0,0,0,0,3,0
