SA3_CODE_2016,C06_1PF_U_N,C06_1PF_U_1_149,C06_1PF_U_150_299,C06_1PF_U_300_399,C06_1PF_U_400_499,C06_1PF_U_500_649,C06_1PF_U_650_799,C06_1PF_U_800_999,C06_1PF_U_1000_1499,C06_1PF_U_1500_1999,C06_1PF_U_2000_2499,C06_1PF_U_2500_2999,C06_1PF_U_3000_3999,C06_1PF_U_4000m,C06_1PF_U_Ns,C06_1PF_U_T,C06_1PF_N_lf_Fi_N,C06_1PF_N_lf_Fi_1_149,C06_1PF_N_lf_Fi_150_299,C06_1PF_N_lf_Fi_300_399,C06_1PF_N_lf_Fi_400_499,C06_1PF_N_lf_Fi_500_649,C06_1PF_N_lf_Fi_650_799,C06_1PF_N_lf_Fi_800_999,C06_1PF_N_lf_Fi_1000_1499,C06_1PF_N_lf_Fi_1500_1999,C06_1PF_N_lf_Fi_2000_2499,C06_1PF_N_lf_Fi_2500_2999,C06_1PF_N_lf_Fi_3000_3999,C06_1PF_N_lf_Fi_4000m,C06_1PF_N_lf_Fi_Ns,C06_1PF_N_lf_T,C06_1PF_LFns_N,C06_1PF_LFns_1_149,C06_1PF_LFns_150_299,C06_1PF_LFns_300_399,C06_1PF_LFns_400_499,C06_1PF_LFns_500_649,C06_1PF_LFns_650_799,C06_1PF_LFns_800_999,C06_1PF_LFns_1000_1499,C06_1PF_LFns_1500_1999,C06_1PF_LFns_2000_2499,C06_1PF_LFns_2500_2999,C06_1PF_LFns_3000_3999,C06_1PF_LFns_4000m,C06_1PF_LFns_Ns,C06_1PF_LF_NS_T,C06_1PF_TFI_N,C06_1PF_TFI_1_149,C06_1PF_TFI_150_299,C06_1PF_TFI_300_399,C06_1PF_TFI_400_499,C06_1PF_TFI_500_649,C06_1PF_TFI_650_799,C06_1PF_TFI_800_999,C06_1PF_TFI_1000_1499,C06_1PF_TFI_1500_1999,C06_1PF_TFI_2000_2499,C06_1PF_TFI_2500_2999,C06_1PF_TFI_3000_3999,C06_1PF_TFI_4000m,C06_1PF_TFI_Ns,C06_1PF_TFI_T,C06_TFI_N,C06_TFI_1_149,C06_TFI_150_299,C06_TFI_300_399,C06_TFI_400_499,C06_TFI_500_649,C06_TFI_650_799,C06_TFI_800_999,C06_TFI_1000_1499,C06_TFI_1500_1999,C06_TFI_2000_2499,C06_TFI_2500_2999,C06_TFI_3000_3999,C06_TFI_4000m,C06_TFI_Ns,C06_T_T,C11_CFNC_BF_N,C11_CFNC_BF_1_149,C11_CFNC_BF_150_299,C11_CFNC_BF_300_399,C11_CFNC_BF_400_499,C11_CFNC_BF_500_649,C11_CFNC_BF_650_799,C11_CFNC_BF_800_999,C11_CFNC_BF_1000_1499,C11_CFNC_BF_1500_1999,C11_CFNC_BF_2000_2499,C11_CFNC_BF_2500_2999,C11_CFNC_BF_3000_3999,C11_CFNC_BF_4000m,C11_CFNC_BF_Ns,C11_CFNC_BF_T,C11_CFNC_BPT_N,C11_CFNC_BPT_1_149,C11_CFNC_BPT_150_299,C11_CFNC_BPT_300_399,C11_CFNC_BPT_400_499,C11_CFNC_BPT_500_649,C11_CFNC_BPT_650_799,C11_CFNC_BPT_800_999,C11_CFNC_BPT_1000_1499,C11_CFNC_BPT_1500_1999,C11_CFNC_BPT_2000_2499,C11_CFNC_BPT_2500_2999,C11_CFNC_BPT_3000_3999,C11_CFNC_BPT_4000m,C11_CFNC_BPT_Ns,C11_CFNC_BPT_T,C11_CFNC_1F1P_N,C11_CFNC_1F1P_1_149,C11_CFNC_1F1P_150_299,C11_CFNC_1F1P_300_399,C11_CFNC_1F1P_400_499,C11_CFNC_1F1P_500_649,C11_CFNC_1F1P_650_799,C11_CFNC_1F1P_800_999,C11_CFNC_1F1P_1000_1499,C11_CFNC_1F1P_1500_1999,C11_CFNC_1F1P_2000_2499,C11_CFNC_1F1P_2500_2999,C11_CFNC_1F1P_3000_3999,C11_CFNC_1F1P_4000m,C11_CFNC_1F1P_Ns,C11_CFNC_1F1P_T,C11_CFNC_1E1A_N,C11_CFNC_1E1A_1_149,C11_CFNC_1E1A_150_299,C11_CFNC_1E1A_300_399,C11_CFNC_1E1A_400_499,C11_CFNC_1E1A_500_649,C11_CFNC_1E1A_650_799,C11_CFNC_1E1A_800_999,C11_CFNC_1E1A_1000_1499,C11_CFNC_1E1A_1500_1999,C11_CFNC_1E1A_2000_2499,C11_CFNC_1E1A_2500_2999,C11_CFNC_1E1A_3000_3999,C11_CFNC_1E1A_4000m,C11_CFNC_1E1A_Ns,C11_CFNC_1E1A_T,C11_CFNC_1F1NW_N,C11_CFNC_1F1NW_1_149,C11_CFNC_1F1NW_150_299,C11_CFNC_1F1NW_300_399,C11_CFNC_1F1NW_400_499,C11_CFNC_1F1NW_500_649,C11_CFNC_1F1NW_650_799,C11_CFNC_1F1NW_800_999,C11_CFNC_1F1NW_1000_1499,C11_CFNC_1F1NW_1500_1999,C11_CFNC_1F1NW_2000_2499,C11_CFNC_1F1NW_2500_2999,C11_CFNC_1F1NW_3000_3999,C11_CFNC_1F1NW_4000m,C11_CFNC_1F1NW_Ns,C11_CFNC_1F1NW_T,C11_CFNC_1P1NW_N,C11_CFNC_1P1NW_1_149,C11_CFNC_1P1NW_150_299,C11_CFNC_1P1NW_300_399,C11_CFNC_1P1NW_400_499,C11_CFNC_1P1NW_500_649,C11_CFNC_1P1NW_650_799,C11_CFNC_1P1NW_800_999,C11_CFNC_1P1NW_1000_1499,C11_CFNC_1P1NW_1500_1999,C11_CFNC_1P1NW_2000_2499,C11_CFNC_1P1NW_2500_2999,C11_CFNC_1P1NW_3000_3999,C11_CFNC_1P1NW_4000m,C11_CFNC_1P1NW_Ns,C11_CFNC_1P1NW_T,C11_CFNC_1A1NW_N,C11_CFNC_1A1NW_1_149,C11_CFNC_1A1NW_150_299,C11_CFNC_1A1NW_300_399,C11_CFNC_1A1NW_400_499,C11_CFNC_1A1NW_500_649,C11_CFNC_1A1NW_650_799,C11_CFNC_1A1NW_800_999,C11_CFNC_1A1NW_1000_1499,C11_CFNC_1A1NW_1500_1999,C11_CFNC_1A1NW_2000_2499,C11_CFNC_1A1NW_2500_2999,C11_CFNC_1A1NW_3000_3999,C11_CFNC_1A1NW_4000m,C11_CFNC_1A1NW_Ns,C11_CFNC_1A1NW_T,C11_CFNC_BA_N,C11_CFNC_BA_1_149,C11_CFNC_BA_150_299,C11_CFNC_BA_300_399,C11_CFNC_BA_400_499,C11_CFNC_BA_500_649,C11_CFNC_BA_650_799,C11_CFNC_BA_800_999
10102,0,0,6,20,0,14,3,0,4,0,0,0,0,0,10,70,8,15,67,104,23,122,37,36,79,35,3,8,0,3,77,619,0,0,0,3,0,0,0,4,0,0,0,0,0,0,21,34,16,24,87,193,24,305,171,150,389,139,45,55,11,4,231,1847,66,82,132,255,473,765,483,683,2560,1811,1422,1164,1028,351,1569,12835,10,0,3,0,3,10,18,30,123,243,409,247,449,272,24,1840,0,0,4,0,0,13,11,32,38,25,12,12,14,7,3,179,0,0,0,0,5,4,8,38,137,150,123,64,106,42,7,702,0,0,0,0,3,0,0,10,17,33,41,24,37,24,3,192,3,0,3,3,3,13,40,48,119,95,44,95,29,15,16,516,0,0,8,6,12,35,34,30,54,35,13,12,13,3,7,262,0,0,0,3,3,7,7,7,11,10,3,4,0,0,7,56,0,0,0,0,0,0,0,4
10103,0,3,0,10,0,3,0,0,0,0,0,0,0,0,0,24,0,10,23,37,21,53,12,18,17,0,0,3,0,0,29,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,14,28,91,29,119,54,50,89,17,5,5,0,3,78,593,28,68,50,123,324,467,276,293,1134,565,242,170,105,29,557,4442,6,0,5,0,4,10,17,38,103,109,110,29,58,17,7,520,0,0,0,0,0,13,9,26,24,11,7,8,0,3,0,104,0,0,0,0,0,3,9,43,76,73,38,21,18,3,11,305,0,0,0,0,3,0,8,0,15,11,10,4,3,4,0,55,0,0,5,0,0,14,27,27,43,31,4,19,5,0,4,184,0,0,4,5,9,29,20,13,27,18,5,3,4,0,3,140,0,0,3,0,0,4,0,0,4,0,0,0,3,0,3,23,0,0,0,0,0,0,0,5
10104,3,10,31,64,4,76,14,10,0,0,0,0,0,0,29,242,13,25,112,237,67,371,64,74,69,16,0,6,0,0,137,1194,0,0,3,3,5,0,0,4,4,0,0,0,0,0,46,69,22,49,196,505,87,819,268,212,248,50,11,15,4,0,373,2851,142,262,371,721,2036,3072,1295,1467,4117,1436,668,361,197,60,2242,18450,8,0,8,3,3,26,33,93,220,223,171,75,91,22,24,999,3,0,11,5,9,41,65,123,135,58,35,7,11,5,5,511,3,0,6,7,8,30,56,119,281,217,133,54,42,10,17,978,3,0,3,0,4,4,16,14,64,30,39,6,10,3,3,204,0,0,11,8,14,29,90,113,189,105,23,56,14,0,22,673,0,3,13,28,42,148,148,132,146,53,34,18,6,3,20,791,6,0,3,4,9,18,15,23,28,15,4,7,9,3,14,155,0,0,0,0,0,3,11,10
10105,0,8,12,32,5,30,4,3,0,0,0,0,0,0,4,97,5,17,71,122,36,143,38,41,52,11,0,3,0,0,47,590,0,0,0,0,0,3,0,0,0,0,0,0,0,0,16,28,5,30,101,202,46,317,145,121,201,46,10,8,0,0,138,1367,87,122,164,292,612,1002,500,616,1922,1003,505,313,171,44,998,8349,3,0,5,3,5,15,17,36,128,142,171,72,92,29,18,720,0,0,0,3,0,9,20,34,25,27,13,3,3,3,0,141,0,0,4,0,3,5,18,51,162,117,89,30,45,4,15,550,0,0,0,0,0,3,6,6,22,13,16,11,9,0,4,96,0,3,3,0,11,15,31,51,90,71,22,26,10,4,25,374,3,3,4,13,9,44,35,34,45,10,6,4,6,0,9,241,0,0,0,4,3,4,9,3,9,4,0,3,0,0,0,45,0,0,0,0,0,0,3,3
10106,0,0,14,28,4,15,5,3,4,0,0,0,0,0,14,72,3,3,55,101,33,131,26,37,54,5,0,3,0,0,46,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,11,12,86,173,39,269,93,101,172,44,7,12,9,0,136,1167,118,98,139,261,650,964,487,603,1950,924,552,387,353,143,1127,8749,11,0,5,3,3,13,17,38,118,153,166,96,155,90,12,894,9,0,3,9,4,16,23,30,35,14,23,7,19,7,3,188,11,0,0,0,3,12,32,41,147,93,47,34,53,18,6,499,0,0,0,0,0,0,7,15,10,26,17,9,13,9,6,112,4,3,3,8,10,10,43,53,77,58,26,34,18,7,18,367,0,0,3,8,11,49,47,45,53,18,10,10,10,4,7,274,0,0,0,0,9,9,5,5,8,8,0,3,0,0,4,55,0,0,0,0,0,0,0,3
10201,10,16,73,148,19,134,30,18,17,8,3,0,0,0,45,526,43,65,240,461,148,753,207,217,302,75,18,23,3,0,291,2844,0,0,10,3,3,8,3,7,4,0,0,0,0,0,93,129,65,110,376,921,195,1583,817,644,1130,366,129,111,25,4,947,7410,223,394,536,1123,2755,4572,2243,2798,9174,5279,3180,2366,1586,414,5010,41660,12,0,5,0,3,14,15,88,355,537,805,320,462,214,46,2876,0,0,14,8,9,46,58,113,148,92,49,22,53,18,22,634,8,0,6,5,5,28,44,138,512,444,351,152,228,40,40,2006,0,0,0,3,0,10,14,31,69,60,65,23,51,9,20,346,0,3,3,10,32,37,134,169,403,301,77,219,47,16,52,1509,11,10,22,29,44,157,166,179,243,89,47,35,23,11,22,1076,0,0,3,3,10,18,23,32,46,16,9,16,3,0,12,189,0,0,0,0,0,6,6,11
10202,6,17,68,165,20,197,28,25,17,3,0,0,0,0,71,619,40,58,303,611,190,976,210,222,262,59,21,4,3,3,330,3291,0,0,4,4,4,25,3,5,7,0,0,0,0,4,119,173,46,108,432,1063,233,1976,731,613,938,269,70,33,13,3,917,7441,210,406,623,1287,3650,5023,2263,2710,8328,4128,2141,1264,689,197,4469,37395,5,0,8,0,3,11,14,75,380,536,698,241,291,99,25,2391,3,0,10,5,5,39,51,83,122,66,27,14,9,3,11,450,4,0,0,3,3,20,41,112,483,396,272,98,101,17,24,1577,0,0,0,4,3,5,8,20,72,63,47,19,21,6,19,299,3,0,3,7,19,33,144,217,397,205,51,112,33,14,63,1298,0,8,12,36,52,182,157,132,136,49,22,13,11,0,21,831,0,0,0,3,5,16,27,32,31,16,3,12,0,0,11,169,3,0,3,0,0,3,3,11
10301,3,3,20,36,0,42,10,4,3,0,0,0,0,0,10,122,7,11,54,125,47,154,40,55,62,5,3,4,0,0,81,642,0,0,0,3,0,3,0,0,0,0,0,0,0,0,28,34,11,22,92,219,53,358,172,145,235,63,9,9,0,0,213,1603,74,114,152,282,627,1027,550,658,2354,1372,803,544,317,97,1215,10165,9,0,4,6,0,3,6,36,135,182,266,125,148,49,17,994,3,0,0,3,0,14,16,36,55,27,26,5,4,3,4,205,3,0,3,4,8,9,20,42,170,163,114,54,52,19,7,673,0,0,0,0,0,4,13,6,27,20,18,5,9,0,4,102,0,0,0,0,7,9,53,62,119,90,23,50,7,8,20,458,0,0,3,12,20,50,58,45,49,28,6,5,4,0,3,288,0,0,0,0,0,7,12,9,4,7,3,4,0,0,0,59,0,0,0,0,0,3,0,0
10302,3,9,36,65,13,42,11,7,7,0,0,0,0,0,12,188,13,23,118,209,71,293,52,68,71,18,6,4,3,0,150,1092,0,0,4,8,0,10,0,3,0,0,0,0,0,0,53,73,18,41,194,379,94,583,204,183,224,41,10,12,3,5,299,2284,173,249,333,535,1551,2072,954,1110,3361,1391,603,345,181,84,1930,14874,35,3,21,10,5,48,52,123,239,220,211,99,105,49,30,1261,3,0,4,0,3,24,37,61,84,21,15,3,4,9,4,267,13,3,7,8,14,32,74,133,264,160,98,38,36,18,28,923,4,0,7,0,6,6,10,20,21,32,24,7,15,0,12,164,7,0,8,5,27,42,89,99,150,56,25,32,13,0,33,581,3,3,11,14,25,89,67,65,56,22,13,3,3,0,19,396,3,0,4,0,0,10,4,17,15,8,0,4,0,0,9,83,3,0,5,0,0,3,0,16
10303,3,7,18,45,12,24,3,0,3,0,0,0,0,0,7,128,12,23,104,204,68,215,47,56,51,5,6,0,0,0,93,892,0,0,0,0,0,3,0,3,3,0,0,0,0,0,30,42,16,33,144,337,93,427,144,127,187,44,9,13,7,0,201,1785,94,177,230,455,1186,1414,683,764,2216,1219,641,455,264,77,1359,11237,7,0,9,10,0,18,27,59,121,152,175,84,170,42,21,892,0,0,4,3,3,37,23,45,36,28,19,3,3,3,9,215,0,0,3,0,5,17,24,45,157,133,89,60,79,8,14,640,0,0,0,0,0,0,3,10,23,19,26,7,12,3,4,114,0,3,5,9,16,16,52,65,126,78,17,79,12,0,28,506,3,0,10,9,19,80,40,63,53,13,8,6,7,8,9,338,3,0,0,0,0,8,10,13,12,3,0,4,0,0,7,70,0,0,0,0,0,0,3,0
