SA3_CODE_2016,C11_SH_3b_NPFH_4,C11_SH_3b_NPFH_5,C11_SH_3b_NPFH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPFH_2,C11_SH_4mb_NPFH_3,C11_SH_4mb_NPFH_4,C11_SH_4mb_NPFH_5,C11_SH_4mb_NPFH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPFH_2,C11_SH_NB_NS_NPFH_3,C11_SH_NB_NS_NPFH_4,C11_SH_NB_NS_NPFH_5,C11_SH_NB_NS_NPFH_6_mor,C11_SH_NB_NS_T,C11_SH_Tot_NPFH_2,C11_SH_Tot_NPFH_3,C11_SH_Tot_NPFH_4,C11_SH_Tot_NPFH_5,C11_SH_Tot_NPFH_6_mor,C11_SH_T_T,C11_SDRTHT_0b_NPFH_2,C11_SDRTHT_0b_NPFH_3,C11_SDRTHT_0b_NPFH_4,C11_SDRTHT_0b_NPFH_5,C11_SDRTHT_0b_NPFH_6_mor,C11_SDRTHT_0bTotal,C11_SDRTHT_1b_NPFH_2,C11_SDRTHT_1b_NPFH_3,C11_SDRTHT_1b_NPFH_4,C11_SDRTHT_1b_NPFH_5,C11_SDRTHT_1b_NPFH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPFH_2,C11_SDRTHT_2b_NPFH_3,C11_SDRTHT_2b_NPFH_4,C11_SDRTHT_2b_NPFH_5,C11_SDRTHT_2b_NPFH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPFH_2,C11_SDRTHT_3b_NPFH_3,C11_SDRTHT_3b_NPFH_4,C11_SDRTHT_3b_NPFH_5,C11_SDRTHT_3b_NPFH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPFH_2,C11_SDRTHT_4mb_NPFH_3,C11_SDRTHT_4mb_NPFH_4,C11_SDRTHT_4mb_NPFH_5,C11_SDRTHT_4mb_NPFH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPFH_2,C11_SDRTHT_NB_NS_NPFH_3,C11_SDRTHT_NB_NS_NPFH_4,C11_SDRTHT_NB_NS_NPFH_5,C11_SDRTHT_NB_NS_NPFH_6_mor,C11_SDRTHT_NB_NS_T,C11_SDRTHT_Tot_NPFH_2,C11_SDRTHT_Tot_NPFH_3,C11_SDRTHT_Tot_NPFH_4,C11_SDRTHT_Tot_NPFH_5,C11_SDRTHT_Tot_NPFH_6_mor,C11_SDRTHT_T_T,C11_FUA_0b_NPFH_2,C11_FUA_0b_NPFH_3,C11_FUA_0b_NPFH_4,C11_FUA_0b_NPFH_5,C11_FUA_0b_NPFH_6_mor,C11_FUA_0bTotal,C11_FUA_1b_NPFH_2,C11_FUA_1b_NPFH_3,C11_FUA_1b_NPFH_4,C11_FUA_1b_NPFH_5,C11_FUA_1b_NPFH_6_mor,C11_FUA_1b_Tot,C11_FUA_2b_NPFH_2,C11_FUA_2b_NPFH_3,C11_FUA_2b_NPFH_4,C11_FUA_2b_NPFH_5,C11_FUA_2b_NPFH_6_mor,C11_FUA_2b_Tot,C11_FUA_3b_NPFH_2,C11_FUA_3b_NPFH_3,C11_FUA_3b_NPFH_4,C11_FUA_3b_NPFH_5,C11_FUA_3b_NPFH_6_mor,C11_FUA_3b_Tot,C11_FUA_4mb_NPFH_2,C11_FUA_4mb_NPFH_3,C11_FUA_4mb_NPFH_4,C11_FUA_4mb_NPFH_5,C11_FUA_4mb_NPFH_6_mor,C11_FUA_4mb_Tot,C11_FUA_NB_NS_NPFH_2,C11_FUA_NB_NS_NPFH_3,C11_FUA_NB_NS_NPFH_4,C11_FUA_NB_NS_NPFH_5,C11_FUA_NB_NS_NPFH_6_mor,C11_FUA_NB_NS_T,C11_FUA_Tot_NPFH_2,C11_FUA_Tot_NPFH_3,C11_FUA_Tot_NPFH_4,C11_FUA_Tot_NPFH_5,C11_FUA_Tot_NPFH_6_mor,C11_FUA_T_T,C11_OD_0b_NPFH_2,C11_OD_0b_NPFH_3,C11_OD_0b_NPFH_4,C11_OD_0b_NPFH_5,C11_OD_0b_NPFH_6_mor,C11_OD_0bTotal,C11_OD_1b_NPFH_2,C11_OD_1b_NPFH_3,C11_OD_1b_NPFH_4,C11_OD_1b_NPFH_5,C11_OD_1b_NPFH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPFH_2,C11_OD_2b_NPFH_3,C11_OD_2b_NPFH_4,C11_OD_2b_NPFH_5,C11_OD_2b_NPFH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPFH_2,C11_OD_3b_NPFH_3,C11_OD_3b_NPFH_4,C11_OD_3b_NPFH_5,C11_OD_3b_NPFH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPFH_2,C11_OD_4mb_NPFH_3,C11_OD_4mb_NPFH_4,C11_OD_4mb_NPFH_5,C11_OD_4mb_NPFH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPFH_2,C11_OD_NB_NS_NPFH_3,C11_OD_NB_NS_NPFH_4,C11_OD_NB_NS_NPFH_5,C11_OD_NB_NS_NPFH_6_mor,C11_OD_NB_NS_T,C11_OD_Tot_NPFH_2,C11_OD_Tot_NPFH_3,C11_OD_Tot_NPFH_4,C11_OD_Tot_NPFH_5,C11_OD_Tot_NPFH_6_mor,C11_OD_T_T,C11_DS_NS_NPFH_2,C11_DS_NS_NPFH_3,C11_DS_NS_NPFH_4,C11_DS_NS_NPFH_5,C11_DS_NS_NPFH_6_mor,C11_DS_NS_T,C11_Tot_NPFH_2,C11_Tot_NPFH_3,C11_Tot_NPFH_4,C11_Tot_NPFH_5,C11_Tot_NPFH_6_mor,C11_T_T,C16_SH_0b_NPFH_2,C16_SH_0b_NPFH_3,C16_SH_0b_NPFH_4,C16_SH_0b_NPFH_5,C16_SH_0b_NPFH_6_mor,C16_SH_0bTotal,C16_SH_1b_NPFH_2,C16_SH_1b_NPFH_3,C16_SH_1b_NPFH_4,C16_SH_1b_NPFH_5,C16_SH_1b_NPFH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPFH_2,C16_SH_2b_NPFH_3,C16_SH_2b_NPFH_4,C16_SH_2b_NPFH_5,C16_SH_2b_NPFH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPFH_2,C16_SH_3b_NPFH_3,C16_SH_3b_NPFH_4,C16_SH_3b_NPFH_5,C16_SH_3b_NPFH_6_mor,C16_SH_3b_Tot,C16_SH_4mb_NPFH_2,C16_SH_4mb_NPFH_3,C16_SH_4mb_NPFH_4,C16_SH_4mb_NPFH_5,C16_SH_4mb_NPFH_6_mor,C16_SH_4mb_Tot,C16_SH_NB_NS_NPFH_2,C16_SH_NB_NS_NPFH_3,C16_SH_NB_NS_NPFH_4,C16_SH_NB_NS_NPFH_5,C16_SH_NB_NS_NPFH_6_mor,C16_SH_NB_NS_T,C16_SH_Tot_NPFH_2,C16_SH_Tot_NPFH_3,C16_SH_Tot_NPFH_4,C16_SH_Tot_NPFH_5
10102,908,258,81,4329,1903,1321,1947,1030,436,6635,40,21,14,3,3,86,4508,2507,2964,1310,529,11811,0,0,0,0,0,0,12,4,0,0,0,18,336,116,39,6,4,505,289,143,94,21,11,561,19,15,21,10,4,73,10,0,0,3,0,15,667,284,153,40,19,1164,4,0,0,0,0,4,114,28,3,0,0,145,380,134,73,18,7,603,37,20,13,3,3,77,7,3,7,0,0,14,10,3,3,0,0,20,541,184,95,25,5,851,3,0,0,0,0,3,12,4,0,0,0,20,23,9,5,3,0,35,26,11,8,0,0,47,5,0,0,3,3,11,3,0,0,0,0,3,72,18,10,10,5,117,7,0,0,0,0,10,5795,2998,3222,1382,555,13960,10,3,3,3,0,18,65,20,10,6,0,99,429,100,68,23,3,615,2031,1005,806,254,72,4165,2169,1427,2100,1070,465,7231,67,30,23,13,3,138,4768,2580,3009,1368
10103,379,133,33,2063,676,285,403,205,100,1667,30,3,12,0,0,44,2182,765,828,348,137,4262,0,0,0,0,0,0,6,3,0,0,0,11,39,11,8,0,0,62,33,22,18,4,0,75,27,3,14,7,4,55,5,0,0,0,0,3,112,36,47,12,4,208,0,3,0,0,0,3,6,0,0,0,0,12,25,12,11,0,0,41,28,9,7,0,0,44,17,4,4,3,0,28,0,0,0,0,0,0,72,28,16,3,0,125,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,5,3,4,3,0,0,14,0,0,0,0,0,7,3,0,0,0,0,3,19,9,3,0,0,33,14,10,5,3,0,30,2394,849,905,366,145,4652,10,0,0,0,0,11,50,6,3,0,0,58,321,60,30,6,4,414,1125,430,354,115,26,2048,728,328,396,206,97,1747,42,10,6,3,0,64,2264,829,786,337
10104,1199,426,139,8420,2798,1115,1141,738,441,6230,114,35,21,10,3,187,9480,3061,2520,1211,594,16864,0,0,0,0,0,0,29,3,0,0,0,32,234,41,7,0,0,290,340,64,44,12,3,462,47,20,11,5,0,87,10,3,0,0,0,14,660,128,68,22,3,885,0,0,0,0,0,3,23,3,0,0,0,21,318,57,14,8,0,403,153,48,39,12,3,255,26,8,19,7,0,57,16,0,0,0,0,16,539,123,72,23,7,751,4,0,0,0,0,13,44,3,0,0,0,46,80,16,10,0,0,105,39,15,5,0,0,60,9,3,3,0,0,18,8,3,0,0,0,8,186,35,19,8,0,252,9,3,3,0,0,13,10865,3346,2683,1262,608,18766,21,5,3,3,0,31,148,19,22,3,4,194,1338,265,126,28,6,1765,5085,1428,1103,357,136,8108,3181,1125,1195,679,430,6607,165,42,36,12,25,279,9947,2880,2477,1083
10105,647,224,66,3968,1263,676,798,480,240,3459,41,11,11,6,0,77,4060,1679,1500,716,315,8266,0,0,0,0,0,0,0,0,0,0,0,4,84,11,0,3,0,100,60,28,18,7,8,111,13,8,9,8,0,41,3,0,0,0,0,3,162,47,30,14,11,259,0,0,0,0,0,0,10,0,0,0,0,16,58,14,5,0,0,77,6,4,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,81,23,9,0,0,111,3,0,0,0,0,3,12,3,0,0,0,13,15,5,0,0,0,16,7,4,9,0,0,18,5,4,0,0,0,13,3,0,0,0,0,3,49,15,8,0,5,77,11,9,4,3,0,25,4354,1769,1552,738,326,8731,5,0,0,0,0,7,45,4,4,3,3,65,470,91,50,8,5,629,2081,805,581,219,85,3765,1462,740,892,498,286,3885,69,23,11,5,4,122,4140,1668,1543,738
10106,670,234,80,3727,1568,726,982,631,354,4256,49,16,7,12,7,80,4190,1622,1745,899,437,8895,0,0,0,0,0,0,8,0,0,0,0,8,48,15,5,0,0,68,23,9,11,3,0,44,0,0,3,0,0,4,3,0,0,0,0,3,85,25,16,4,0,128,0,0,0,0,0,0,3,0,0,0,0,3,35,10,3,0,0,42,13,4,7,0,0,25,0,0,0,0,3,10,0,0,0,0,0,0,52,12,6,4,3,83,0,0,0,0,0,3,14,0,3,0,0,17,10,3,0,0,0,15,10,0,3,0,0,20,3,3,0,3,4,11,0,0,0,0,0,0,46,10,12,3,4,70,3,0,4,0,0,10,4377,1665,1778,914,445,9183,11,3,4,0,0,19,68,5,11,0,4,86,461,122,50,11,7,653,1921,713,628,220,75,3562,1759,791,1069,659,309,4591,73,18,5,13,10,120,4299,1653,1767,908
10201,3484,967,272,15814,5060,3203,4772,2600,1250,16883,154,42,46,22,3,270,14810,7622,8555,3653,1550,36183,3,0,0,0,0,6,48,3,0,0,0,54,1023,142,40,7,0,1211,1541,557,374,96,29,2600,164,94,125,83,40,499,44,14,5,0,0,64,2829,813,538,185,72,4431,7,0,0,0,0,7,74,8,3,0,0,85,886,155,35,4,0,1084,587,168,124,23,10,911,21,18,22,12,0,76,25,0,3,0,0,30,1601,345,182,41,14,2184,3,0,0,0,0,6,23,0,0,0,0,23,114,8,9,0,0,126,14,5,6,0,3,29,5,4,8,0,7,23,3,0,0,0,0,4,153,18,22,3,11,202,31,11,4,0,0,49,19421,8806,9303,3881,1642,43052,14,5,9,0,0,34,149,27,20,5,3,210,1962,525,266,54,26,2835,6893,3578,3307,892,238,14907,5533,3610,5024,2762,1401,18327,216,71,71,33,30,430,14770,7825,8695,3751
10202,3008,966,345,15608,4793,3030,4189,2492,1409,15908,232,63,53,22,17,387,15164,7433,7503,3532,1795,35429,0,0,0,0,0,0,23,7,3,0,0,30,608,110,34,3,3,765,827,383,222,76,18,1526,92,70,82,50,29,319,35,7,8,0,0,49,1589,573,346,133,49,2694,3,0,0,0,0,6,71,0,6,0,0,77,564,119,33,9,3,728,169,75,42,10,3,310,9,10,10,6,4,30,25,0,0,0,3,30,839,216,87,29,11,1183,3,0,0,0,0,9,46,4,7,0,0,60,67,17,5,0,0,97,25,4,8,3,0,44,3,0,3,4,4,18,6,0,4,0,0,9,155,27,34,8,12,232,4,5,3,0,0,17,17756,8257,7975,3703,1864,39550,9,11,0,4,0,26,169,29,10,4,3,218,2171,555,248,61,16,3054,7368,3517,2966,868,282,15006,5267,3376,4676,2802,1597,17713,286,88,73,48,30,522,15271,7576,7967,3795
10301,796,262,95,4325,1748,947,1215,728,374,5013,51,22,11,3,3,94,4528,2040,2080,1008,489,10147,0,0,0,0,0,0,9,3,0,0,0,13,119,36,3,0,0,158,126,52,24,5,3,214,18,3,17,8,5,56,11,0,3,0,0,9,278,95,49,17,7,454,0,0,0,0,0,0,18,0,0,0,0,18,130,22,12,4,0,166,31,16,4,3,0,60,3,0,0,4,0,8,0,0,0,0,0,0,185,39,18,7,0,253,0,0,0,0,0,0,5,0,0,0,0,3,7,0,0,0,0,5,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,20,3,3,0,0,24,12,0,0,3,0,15,5021,2182,2152,1046,493,10893,3,3,3,0,0,13,47,11,7,0,0,66,415,106,41,5,11,578,2107,937,726,218,70,4052,1942,1023,1391,785,402,5542,74,27,18,4,6,137,4583,2109,2188,1014
10302,1004,432,146,6661,2225,965,1141,902,535,5770,120,33,24,13,18,207,7071,2563,2264,1386,716,13998,0,0,0,0,0,0,3,0,0,0,0,5,75,8,0,3,0,94,35,6,4,3,0,55,11,0,4,3,3,18,3,0,0,0,0,4,126,24,10,9,8,171,0,0,0,0,0,0,13,0,0,0,0,13,73,20,3,3,0,95,21,12,3,0,0,31,3,0,0,0,0,9,0,0,0,0,0,0,109,30,4,3,0,147,3,0,0,0,0,3,20,0,0,0,0,19,14,3,0,3,0,21,14,3,5,0,0,21,8,4,0,3,3,18,7,0,3,0,0,10,61,10,9,10,3,88,8,0,3,0,0,10,7372,2627,2290,1415,724,14417,6,0,0,0,0,10,69,14,10,7,3,101,859,201,72,20,14,1168,3407,1222,878,372,150,6034,2256,978,1178,854,467,5737,168,42,22,12,8,255,6771,2462,2159,1271
10303,928,343,121,5311,1511,764,984,615,298,4182,81,25,15,13,5,135,5412,2097,2023,1010,432,10976,0,0,0,0,0,0,0,0,0,0,0,0,91,16,8,3,0,118,81,39,17,3,3,149,4,0,0,0,0,8,5,0,0,0,0,5,181,65,28,7,7,289,3,0,0,0,0,3,6,0,0,0,0,6,62,6,5,0,0,72,25,9,5,5,0,39,0,0,0,0,0,0,3,0,0,0,0,3,92,22,6,5,0,125,4,0,0,3,0,3,8,0,0,0,0,15,14,3,3,0,0,15,14,7,0,0,0,22,4,0,0,3,0,7,4,0,0,0,0,4,53,13,4,5,0,72,5,0,0,0,0,5,5742,2191,2068,1033,437,11468,4,4,3,0,0,8,96,14,11,3,0,124,841,201,76,27,6,1153,2600,1032,797,272,96,4803,1599,827,1071,613,320,4425,95,32,19,9,7,168,5244,2109,1988,921
