SA3_CODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
10102,155,73,693,46344,6109,789,100,7004,3988,57331
10103,39,84,449,16558,948,112,18,1082,1721,19366
10104,110,241,2389,62958,2370,238,49,2655,5022,70638
10105,45,84,892,31104,1321,232,41,1591,2860,35559
10106,14,63,839,32385,1146,136,22,1305,2252,35942
10201,382,729,5691,148067,10622,1497,143,12258,8724,169053
10202,214,722,4585,141705,6918,977,109,8007,8977,158683
10301,24,172,1008,40365,1712,229,23,1966,4262,46594
10302,27,259,1749,48927,1284,175,37,1493,4917,55336
10303,41,116,1051,40126,1324,183,25,1539,4953,46612
10304,64,126,1262,51185,2431,389,38,2857,3568,57614
10401,29,142,1614,45386,1051,111,30,1192,3685,50261
10402,134,402,2437,74070,4969,1092,109,6169,5786,86021
10501,9,60,444,20211,783,82,15,888,3049,24152
10502,17,201,625,17775,489,54,20,562,1883,20217
10503,46,187,1677,60473,2579,302,29,2908,6032,69414
10601,37,181,1581,78870,1727,241,45,2014,6790,87675
10602,63,161,1248,67559,2663,397,47,3111,3499,74162
10603,77,257,1840,63841,2333,259,45,2641,4892,71381
10604,10,71,553,26623,904,141,19,1069,2505,30196
10701,548,173,1940,59098,10246,2489,273,13013,3247,75354
10702,0,0,0,7,0,0,0,0,0,8
10703,349,212,2076,77094,7017,1153,112,8275,4468,89837
10704,646,228,3312,100216,18085,3626,177,21888,6190,128301
10801,35,206,1449,28174,808,77,20,899,2193,31272
10802,39,260,1573,42564,1098,141,21,1263,4299,48127
10803,0,0,10,321,17,3,0,22,39,382
10804,110,243,2981,71283,2324,238,55,2618,4665,78567
10805,50,283,1734,48799,1321,132,44,1494,3572,53856
10901,90,194,1587,53468,3080,674,51,3803,3999,61271
10902,18,26,245,10640,484,61,13,560,1348,12547
10903,30,194,1373,37224,1022,153,22,1198,3557,41980
11001,20,87,825,31854,2186,336,31,2546,2690,37090
11002,20,190,1050,33739,897,132,22,1054,3551,38345
11003,8,89,406,21959,682,82,11,771,2889,25622
11004,40,212,1969,71661,2310,491,50,2851,5986,80496
11101,195,368,3279,109574,4991,653,85,5728,4714,120014
11102,106,308,2330,68670,2871,374,56,3303,3235,75205
11103,396,896,4317,139380,13557,2566,169,16288,8217,163884
11201,91,400,2584,67195,3675,256,75,4001,7079,78280
11202,109,200,1878,61835,2453,299,46,2797,5314,69950
11203,126,444,3581,81054,3668,414,68,4150,6169,91371
11301,282,150,1216,37089,5271,1331,111,6718,4332,48144
11302,13,97,430,12512,458,68,6,537,1392,14437
11303,58,212,2309,81898,4116,814,61,4989,6468,93357
11401,148,351,3158,88002,3760,496,53,4313,7178,99490
11402,79,84,1430,42253,2456,320,42,2821,2800,47869
11501,576,483,2906,88286,44453,6796,371,51616,3831,143738
11502,133,27,608,21112,3538,441,35,4012,1108,26229
11503,18,21,259,21819,1032,103,14,1147,1623,24588
11504,57,14,230,24914,6396,723,62,7183,1081,33182
11601,839,212,1998,69489,50606,8136,619,59365,5895,134753
11602,196,31,488,52628,32264,3454,337,36051,4145,92823
11603,493,61,1084,59717,39460,5817,555,45838,6516,112066
11701,373,45,765,22953,17476,3242,230,20949,2783,46693
11702,537,43,856,34057,12543,3883,146,16568,3984,54609
11703,606,282,1811,111737,63289,13144,568,77002,25516,214249
11801,749,461,3166,90739,21467,1938,183,23586,12051,126382
11802,1001,392,3181,83943,39453,5693,354,45505,11204,140654
11901,1343,250,4028,65956,76362,19420,883,96666,8804,171429
11902,1489,191,2601,36892,69608,20249,990,90845,7330,135070
11903,972,220,3409,54270,52243,15261,501,68008,4921,127193
11904,1337,480,3379,51630,64995,12805,743,78549,7550,137723
12001,886,139,2011,46697,27957,5831,304,34087,4571,85356
12002,234,49,726,43208,7586,1060,87,8729,4131,56066
12003,1878,207,3410,62055,64294,16276,698,81264,8556,151873
12101,607,174,2514,66640,33231,6911,355,40490,5109,112245
12102,295,65,1532,52809,20926,4089,214,25228,2561,80603
12103,433,486,4039,81341,27894,4915,227,33036,3997,118371
12104,247,224,2052,68695,16729,1817,153,18703,6746,94139
12201,88,147,892,33384,5476,449,62,5982,2516,41888
12202,145,186,1651,52360,4889,423,49,5357,2723,60438
12203,551,516,4399,116023,23922,3314,271,27511,7010,150543
12301,74,94,868,53611,6102,669,75,6849,2056,62510
12302,345,368,1695,101047,41969,6008,574,48552,8799,158401
12303,91,37,605,36613,2164,250,47,2460,2080,41152
12401,139,88,1622,68558,4415,420,44,4880,3252,76694
12402,0,0,0,3,0,0,0,0,0,3
12403,268,109,1715,113335,17206,2138,252,19592,6760,139692
12404,68,73,693,30917,2298,309,38,2651,2979,36547
12405,152,41,535,37673,11501,1557,157,13215,3108,53993
12501,501,58,998,17889,46557,17818,603,64977,6804,89670
12502,299,97,1287,30750,26033,7130,226,33388,2428,66570
12503,1122,185,2710,51883,70832,19031,926,90788,8588,151262
12504,729,215,2597,55435,64803,11652,747,77196,8258,140891
12601,187,167,1149,25474,16990,3644,133,20767,1339,47590
12602,1060,273,3780,67219,50317,11089,484,61897,5419,134528
12701,479,70,815,46020,41555,8850,544,50953,5836,102811
12702,2364,184,3187,46891,90307,40104,1272,131689,7219,185802
12703,685,135,1547,49221,48557,10794,654,60006,8132,117356
12801,366,243,3563,89461,13496,1828,177,15503,4874,109841
12802,232,101,2381,91666,11707,1526,118,13351,3017,108036
19797,3,0,10,279,54,46,0,95,41,412
19999,15,22,78,7212,1529,320,19,1863,3211,12288
