SA3_CODE_2016,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_T_M,C16_75_79_T_F,C16_75_79_T_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_T_M,C16_80_84_T_F,C16_80_84_T_P,C16_85o_Mar_RegM_M,C16_85o_Mar_RegM_F,C16_85o_Mar_DFM_M,C16_85o_Mar_DFM_F,C16_85o_N_mar_M,C16_85o_N_mar_F,C16_85o_T_M,C16_85o_T_F,C16_85o_T_P,C16_T_Marr_reg_marr_M,C16_T_Marr_reg_marr_F,C16_T_Mar_de_fa_mar_M,C16_T_Mar_de_fa_mar_F,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_T_M,C16_Tot_T_F,C16_Tot_T_P
10102,131,282,481,537,1020,188,108,4,3,88,194,284,306,586,99,43,0,4,78,242,179,291,469,10038,10141,2386,2406,7636,7903,20062,20451,40508
10103,81,124,277,263,536,133,63,11,6,65,119,198,189,388,56,23,3,3,62,175,121,196,319,3106,3146,805,842,2716,2555,6623,6540,13169
10104,347,645,1477,1488,2964,608,385,25,20,288,596,929,1000,1928,370,192,16,4,282,722,666,921,1585,12452,12600,3082,3202,9105,10497,24640,26297,50934
10105,160,296,559,566,1118,203,137,10,8,131,255,346,400,742,125,54,8,3,108,313,246,371,621,6014,6080,1261,1304,4895,5273,12173,12652,24826
10106,136,269,539,536,1074,184,137,5,3,99,237,290,384,672,117,47,7,3,93,284,213,333,551,6530,6592,1328,1385,4356,4918,12212,12895,25100
10201,657,1560,2580,3066,5645,1154,806,50,27,503,1514,1706,2343,4051,880,456,29,28,721,1966,1638,2448,4090,29691,30021,6189,6327,23585,28861,59461,65205,124672
10202,716,1433,2593,2857,5454,1072,715,36,38,515,1338,1619,2091,3709,701,341,32,15,599,1573,1323,1931,3259,25711,26000,6179,6401,22768,27946,54662,60348,115011
10301,140,307,536,574,1116,200,164,7,7,105,288,307,457,761,136,60,4,0,118,339,262,401,658,7256,7368,1744,1814,6096,6841,15096,16022,31116
10302,301,493,982,1035,2016,393,273,15,8,232,432,642,709,1352,247,124,6,5,197,577,453,697,1152,9242,9313,1927,1973,7430,7747,18601,19038,37633
10303,245,439,727,767,1492,269,162,9,10,153,343,432,516,949,138,77,3,3,141,336,282,414,699,7403,7506,1811,1843,6360,6581,15571,15934,31497
10304,189,436,708,807,1513,336,239,7,3,162,388,508,630,1132,200,97,7,3,141,422,341,526,868,9715,9893,2048,2097,7031,8531,18790,20526,39319
10401,269,480,1008,994,2002,402,288,24,8,218,462,645,762,1403,273,135,12,7,175,512,460,651,1112,8508,8652,1958,2027,7135,7967,17599,18646,36241
10402,380,745,1343,1566,2907,654,418,32,16,249,623,933,1060,1991,390,178,13,14,272,805,675,994,1664,14088,14307,3499,3644,11717,14145,29300,32097,61393
10501,144,200,334,338,670,106,68,6,8,80,120,190,192,383,58,21,0,4,52,131,110,156,271,3058,3035,1131,1151,3559,3349,7740,7540,15279
10502,79,173,264,349,614,131,80,3,0,74,209,206,288,490,79,36,0,0,75,234,158,270,425,2836,2881,806,855,3171,3519,6813,7245,14064
10503,297,535,994,1050,2040,378,246,10,3,198,488,589,735,1328,256,111,10,4,197,474,464,593,1053,10855,11058,2463,2585,8863,10458,22183,24097,46279
10601,283,514,973,1004,1981,392,244,13,3,196,456,598,708,1309,179,94,9,10,183,536,373,631,1006,14201,14420,3510,3613,11724,12720,29437,30748,60187
10602,169,456,748,895,1648,329,221,10,8,115,405,454,633,1089,193,85,5,6,138,478,343,564,907,12858,13165,2976,3144,9230,11118,25060,27429,52490
10603,331,567,1365,1339,2704,562,348,10,13,211,509,785,866,1658,321,144,12,11,206,562,544,721,1263,12843,13113,2610,2717,9329,10374,24780,26199,50974
10604,83,194,323,393,715,143,86,7,0,71,202,217,285,507,67,33,3,0,76,195,145,226,376,4819,4863,1303,1344,3915,4034,10042,10239,20279
10701,293,670,1116,1333,2448,546,354,21,10,231,632,799,995,1794,303,135,13,5,227,635,542,774,1320,13275,13401,2467,2544,11156,12636,26890,28586,55480
