SA3_CODE_2016,Tot_persons_C06_M,Tot_persons_C06_F,Tot_persons_C06_P,Tot_persons_C11_M,Tot_persons_C11_F,Tot_persons_C11_P,Tot_persons_C16_M,Tot_persons_C16_F,Tot_persons_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_14_C06_M,Age_5_14_C06_F,Age_5_14_C06_P,Age_5_14_C11_M,Age_5_14_C11_F,Age_5_14_C11_P,Age_5_14_C16_M,Age_5_14_C16_F,Age_5_14_C16_P,Age_15_19_C06_M,Age_15_19_C06_F,Age_15_19_C06_P,Age_15_19_C11_M,Age_15_19_C11_F,Age_15_19_C11_P,Age_15_19_C16_M,Age_15_19_C16_F,Age_15_19_C16_P,Age_20_24_C06_M,Age_20_24_C06_F,Age_20_24_C06_P,Age_20_24_C11_M,Age_20_24_C11_F,Age_20_24_C11_P,Age_20_24_C16_M,Age_20_24_C16_F,Age_20_24_C16_P,Age_25_34_C06_M,Age_25_34_C06_F,Age_25_34_C06_P,Age_25_34_C11_M,Age_25_34_C11_F,Age_25_34_C11_P,Age_25_34_C16_M,Age_25_34_C16_F,Age_25_34_C16_P,Age_35_44_C06_M,Age_35_44_C06_F,Age_35_44_C06_P,Age_35_44_C11_M,Age_35_44_C11_F,Age_35_44_C11_P,Age_35_44_C16_M,Age_35_44_C16_F,Age_35_44_C16_P,Age_45_54_C06_M,Age_45_54_C06_F,Age_45_54_C06_P,Age_45_54_C11_M,Age_45_54_C11_F,Age_45_54_C11_P,Age_45_54_C16_M,Age_45_54_C16_F,Age_45_54_C16_P,Age_55_64_C06_M,Age_55_64_C06_F,Age_55_64_C06_P,Age_55_64_C11_M,Age_55_64_C11_F,Age_55_64_C11_P,Age_55_64_C16_M,Age_55_64_C16_F,Age_55_64_C16_P,Age_65_74_C06_M,Age_65_74_C06_F,Age_65_74_C06_P,Age_65_74_C11_M,Age_65_74_C11_F,Age_65_74_C11_P,Age_65_74_C16_M,Age_65_74_C16_F,Age_65_74_C16_P,Age_75_84_C06_M,Age_75_84_C06_F,Age_75_84_C06_P,Age_75_84_C11_M,Age_75_84_C11_F,Age_75_84_C11_P,Age_75_84_C16_M,Age_75_84_C16_F,Age_75_84_C16_P,Age_grp_85ov_C06_M,Age_grp_85ov_C06_F,Age_grp_85ov_C06_P,Age_grp_85ov_C11_M,Age_grp_85ov_C11_F,Age_grp_85ov_C11_P,Age_grp_85ov_C16_M,Age_grp_85ov_C16_F,Age_grp_85ov_C16_P,OS_vis_C06_M,OS_vis_C06_F,OS_vis_C06_P,OS_vis_C11_M,OS_vis_C11_F,OS_vis_C11_P,OS_vis_C16_M,OS_vis_C16_F,OS_vis_C16_P,IP_Abor_C06_M,IP_Abor_C06_F,IP_Abor_C06_P,IP_Abor_C11_M,IP_Abor_C11_F,IP_Abor_C11_P,IP_Abor_C16_M,IP_Abor_C16_F,IP_Abor_C16_P,IP_Tor_Strt_Is_2006_Ce_M,IP_Tor_Strt_Is_2006_Ce_F,IP_Tor_Strt_Is_2006_Ce_P,IP_Tor_Strt_Is_2011_Ce_M,IP_Tor_Strt_Is_2011_Ce_F,IP_Tor_Strt_Is_2011_Ce_P,IP_Tor_Strt_Is_2016_Ce_M,IP_Tor_Strt_Is_2016_Ce_F,IP_Tor_Strt_Is_2016_Ce_P,IP_B_Ab_To_St_Is_2006_Ce_M,IP_B_Ab_To_St_Is_2006_Ce_F,IP_B_Ab_To_St_Is_2006_Ce_P,IP_B_Ab_To_St_Is_2011_Ce_M,IP_B_Ab_To_St_Is_2011_Ce_F,IP_B_Ab_To_St_Is_2011_Ce_P,IP_B_Ab_To_St_Is_2016_Ce_M,IP_B_Ab_To_St_Is_2016_Ce_F,IP_B_Ab_To_St_Is_2016_Ce_P,IP_Tot_2006_Ce_M,IP_Tot_2006_Ce_F,IP_Tot_2006_Ce_P,IP_Tot_2011_Ce_M,IP_Tot_2011_Ce_F,IP_Tot_2011_Ce_P,IP_Tot_2016_Ce_M,IP_Tot_2016_Ce_F,IP_Tot_2016_Ce_P,Brthplace_Aust_2006_Ce_M,Brthplace_Aust_2006_Ce_F,Brthplace_Aust_2006_Ce_P,Brthplace_Aust_2011_Ce_M,Brthplace_Aust_2011_Ce_F,Brthplace_Aust_2011_Ce_P,Brthplace_Aust_2016_Ce_M,Brthplace_Aust_2016_Ce_F,Brthplace_Aust_2016_Ce_P,Brthplace_Elsewhere_2006_Ce_M,Brthplace_Elsewhere_2006_Ce_F,Brthplace_Elsewhere_2006_Ce_P,Brthplace_Elsewhere_2011_Ce_M,Brthplace_Elsewhere_2011_Ce_F,Brthplace_Elsewhere_2011_Ce_P,Brthplace_Elsewhere_2016_Ce_M,Brthplace_Elsewhere_2016_Ce_F,Brthplace_Elsewhere_2016_Ce_P,LSH_Eng_only_2006_Ce_M,LSH_Eng_only_2006_Ce_F,LSH_Eng_only_2006_Ce_P,LSH_Eng_only_2011_Ce_M,LSH_Eng_only_2011_Ce_F,LSH_Eng_only_2011_Ce_P,LSH_Eng_only_2016_Ce_M,LSH_Eng_only_2016_Ce_F,LSH_Eng_only_2016_Ce_P,LSH_Oth_Lan_2006_Ce_M,LSH_Oth_Lan_2006_Ce_F,LSH_Oth_Lan_2006_Ce_P,LSH_Oth_Lan_2011_Ce_M,LSH_Oth_Lan_2011_Ce_F,LSH_Oth_Lan_2011_Ce_P,LSH_Oth_Lan_2016_Ce_M,LSH_Oth_Lan_2016_Ce_F,LSH_Oth_Lan_2016_Ce_P,Aust_citiz_C06_M,Aust_citiz_C06_F,Aust_citiz_C06_P,Aust_citiz_C11_M,Aust_citiz_C11_F,Aust_citiz_C11_P,Aust_citiz_C16_M,Aust_citiz_C16_F,Aust_citiz_C16_P
10102,24578,24492,49068,26852,26660,53511,28828,28501,57331,1761,1644,3406,1883,1782,3668,1998,1731,3724,3696,3566,7259,3717,3640,7349,3848,3664,7512,1732,1650,3375,1810,1699,3506,1866,1727,3590,1439,1535,2973,1682,1576,3257,1615,1675,3288,3067,3301,6373,3402,3555,6955,3835,3957,7796,4159,4234,8394,4229,4372,8608,3984,4059,8048,3840,3633,7474,4319,4097,8422,4596,4585,9179,2761,2506,5265,3281,3057,6342,3655,3517,7171,1347,1294,2644,1648,1645,3291,2271,2155,4426,626,850,1476,716,846,1563,921,986,1912,137,291,424,162,394,556,248,441,693,86,86,174,95,119,217,129,149,273,481,517,995,660,669,1334,830,864,1693,18,12,29,11,11,23,23,10,29,9,4,16,20,15,32,18,13,28,505,533,1042,691,698,1390,869,883,1752,18777,18857,37634,20651,20663,41312,21631,21388,43014,4006,3977,7976,4603,4634,9238,4906,4936,9846,20524,20628,41157,22446,22431,44877,23342,23001,46344,2508,2538,5039,2981,3055,6036,3363,3488,6855,21887,21987,43873,23901,23971,47878,25052,24812,49859
10103,9503,8988,18489,9736,9193,18931,10013,9354,19366,561,507,1064,611,561,1173,485,418,903,1351,1284,2634,1298,1170,2468,1232,1132,2368,610,560,1174,704,560,1262,605,525,1128,521,376,897,507,423,939,576,464,1042,1075,989,2061,947,941,1893,1144,1022,2163,1360,1396,2749,1299,1299,2595,1195,1132,2328,1506,1346,2856,1532,1452,2984,1453,1456,2909,1240,1122,2364,1339,1204,2541,1456,1319,2771,780,691,1471,890,821,1714,1139,1054,2193,407,494,902,466,500,963,564,555,1117,101,217,318,147,260,410,171,281,449,269,270,539,275,229,502,418,341,760,127,103,227,190,165,347,227,173,394,8,8,20,8,16,25,11,12,22,5,3,6,6,5,11,3,0,5,142,114,253,204,183,383,242,186,425,7234,6911,14141,7759,7295,15055,7776,7196,14974,1110,1134,2243,1155,1213,2367,1246,1240,2493,7899,7756,15659,8368,8113,16481,8522,8040,16558,441,423,871,474,506,981,488,548,1028,7959,7753,15710,8433,8080,16506,8612,8160,16765
10104,32459,33612,66068,33368,34514,67880,34606,36029,70638,1730,1612,3333,1830,1682,3511,1505,1445,2955,4434,4388,8825,4072,3922,7999,3962,3692,7657,2136,2054,4189,2143,1974,4121,1825,1778,3603,1195,1052,2244,1158,1067,2225,1278,1191,2466,2391,2589,4982,2251,2512,4766,2501,2601,5101,3774,4261,8037,3488,3780,7270,3076,3461,6542,5085,5356,10440,4775,5260,10035,4472,4865,9338,5050,5144,10191,5838,6006,11847,6225,6742,12972,3823,3705,7530,4625,4427,9055,5918,5775,11696,2273,2550,4826,2462,2667,5125,2920,3008,5929,573,900,1473,717,1214,1929,927,1462,2389,102,100,199,113,133,249,125,138,263,1150,1132,2282,1303,1341,2637,1456,1570,3022,20,23,47,23,28,50,23,20,44,17,22,38,15,24,35,30,25,57,1190,1184,2373,1340,1388,2728,1513,1614,3127,26625,27620,54239,27192,28093,55283,27216,28230,55451,4009,4203,8213,4175,4483,8659,4277,4574,8851,30185,31286,61470,30686,31802,62484,30867,32086,62958,1003,1106,2110,1040,1186,2227,1108,1299,2406,29763,30921,60685,30332,31481,61811,30857,32228,63086
10105,16220,15858,32079,16675,16426,33099,17989,17572,35559,960,888,1843,1059,934,1994,1087,983,2075,2335,2163,4498,2231,2038,4269,2264,2055,4320,1131,1028,2157,1155,1009,2166,1094,1006,2102,926,791,1716,867,823,1686,1064,826,1884,1843,1702,3542,1725,1666,3390,2012,1992,4008,2271,2221,4496,2102,2172,4274,2113,2004,4125,2297,2258,4561,2433,2330,4764,2476,2449,4924,2142,2028,4176,2307,2197,4499,2437,2471,4913,1398,1417,2816,1651,1695,3350,2073,2016,4085,749,1007,1755,902,1085,1990,1051,1180,2236,164,359,518,242,475,720,317,571,892,68,47,116,50,57,107,65,78,138,347,273,623,432,394,827,658,607,1263,18,14,26,20,16,39,17,11,32,4,7,8,3,0,4,17,11,27,368,289,656,451,417,865,693,630,1322,13940,13767,27702,14424,14352,28778,14897,14549,29448,1284,1118,2408,1423,1297,2722,1695,1587,3288,14523,14792,29318,14915,15282,30198,15473,15630,31104,433,383,814,536,478,1015,731,741,1472,14398,14612,29010,14900,15237,30133,15540,15739,31283
10106,15933,16300,32234,16983,17412,34397,17678,18257,35942,1084,1072,2155,1214,1194,2406,1152,1065,2210,2500,2478,4980,2515,2462,4972,2578,2465,5041,1035,982,2023,1143,1081,2221,1102,1136,2237,714,694,1415,765,752,1516,818,871,1685,1579,1680,3253,1449,1694,3142,1551,1719,3269,2196,2356,4552,2311,2468,4779,2130,2256,4388,2350,2307,4659,2529,2382,4912,2502,2652,5156,2196,2090,4287,2351,2372,4721,2478,2432,4910,1348,1322,2676,1677,1580,3260,2102,2046,4152,765,937,1701,812,969,1782,969,1087,2058,164,374,544,220,468,693,304,536,839,29,38,64,32,33,60,41,53,101,335,311,649,426,435,864,626,577,1204,24,31,53,11,10,15,15,12,29,9,8,12,5,7,13,6,9,14,365,344,711,439,451,892,644,601,1245,13921,14280,28195,14736,15046,29778,14941,15289,30228,1193,1279,2471,1293,1440,2731,1363,1565,2928,14958,15422,30384,15657,16135,31789,15898,16490,32385,451,425,884,531,508,1034,615,613,1227,14919,15270,30194,15660,16104,31763,16128,16599,32729
10201,76838,82094,158938,78677,84435,163110,81880,87173,169053,4813,4583,9396,5023,4829,9854,4970,4604,9576,11163,10643,21799,10492,10166,20650,10571,10089,20665,5755,5343,11102,5619,5109,10728,5113,4964,10075,4322,4078,8401,4636,4342,8972,4645,4274,8922,8097,8411,16509,8058,8449,16507,8746,8966,17712,10382,11510,21887,10113,11057,21170,10008,10590,20598,11009,11713,22722,11104,12173,23280,11061,11986,23046,8905,9397,18308,9979,10741,20718,10660,11773,22432,6126,7094,13223,7256,8004,15257,9115,10084,19200,4833,6705,11535,4627,6219,10845,4886,6251,11143,1432,2624,4062,1773,3357,5132,2108,3575,5691,265,420,690,235,316,550,342,455,802,1251,1227,2483,1701,1698,3400,2286,2291,4575,54,62,119,65,46,115,57,64,128,26,31,56,30,33,63,31,31,61,1339,1321,2658,1792,1781,3576,2377,2389,4761,59546,64114,123657,61664,66449,128113,63077,66711,129785,11325,11749,23081,12488,13341,25828,13815,15003,28810,68730,73520,142254,70743,75938,146682,72023,76050,148067,3156,3549,6709,3993,4671,8659,5325,6345,11679,67268,72274,139542,69807,75486,145293,72544,77180,149722
10202,67105,71921,139023,72027,77052,149076,76884,81803,158683,4734,4374,9104,5141,4781,9925,4915,4692,9610,10447,10131,20577,10332,9941,20274,10706,9874,20582,4696,4507,9204,5294,5054,10351,5009,4850,9858,3628,3710,7331,4098,4106,8206,4623,4634,9255,7279,8014,15290,7570,8264,15840,8494,9063,17565,9029,9737,18765,9116,10072,19188,9031,9751,18777,8708,9207,17914,9485,10087,19578,9990,10592,20583,7266,8067,15329,8475,9203,17675,9398,10533,19932,5996,6785,12776,6818,7728,14550,8136,9256,17392,4255,5390,9645,4295,5370,9668,4831,5727,10552,1067,2003,3071,1385,2444,3833,1753,2834,4585,112,153,271,117,152,269,159,222,381,1757,1822,3586,2521,2669,5199,3672,3741,7410,76,77,156,72,74,148,90,86,174,33,23,61,42,53,103,57,83,137,1869,1925,3794,2639,2802,5446,3814,3908,7722,54875,58722,113605,59766,63760,123527,62591,66006,128598,8024,8540,16567,8550,9407,17956,9131,10107,19241,61766,66073,127843,66233,70707,136940,68928,72781,141705,2293,2593,4882,2708,3225,5935,3487,4058,7539,60308,64620,124926,65047,69823,134876,69008,73273,142276
10301,20625,20246,40876,21984,21568,43555,23445,23152,46594,1395,1257,2656,1528,1458,2980,1484,1367,2846,2959,2774,5737,3174,2865,6044,3215,2984,6196,1872,1743,3616,1736,1596,3341,1700,1626,3329,1728,1554,3281,1846,1663,3508,1811,1651,3463,2545,2285,4832,2597,2348,4945,3037,2622,5657,2749,2732,5486,2762,2813,5578,2743,2697,5440,2811,2756,5572,2852,2867,5720,2962,3032,5993,2323,2288,4614,2654,2588,5240,2820,2897,5720,1297,1389,2680,1742,1724,3466,2302,2329,4632,763,1035,1800,879,1133,2005,1028,1281,2311,179,422,607,215,515,731,340,664,1008,66,98,158,81,118,192,52,59,109,765,509,1277,908,795,1703,1219,1086,2309,22,21,45,24,27,46,25,32,55,10,13,20,17,25,42,29,25,55,795,549,1343,948,843,1795,1279,1144,2423,17961,17732,35696,18794,18693,37485,19486,19221,38707,1677,1507,3188,1975,1705,3679,2091,1954,4045,18474,18954,37435,19531,19957,39489,19857,20510,40365,604,578,1177,712,696,1408,944,934,1879,18177,18661,36838,19362,19788,39149,19934,20545,40480
10302,27683,27883,55567,27254,27541,54796,27462,27879,55336,1900,1786,3684,1876,1821,3698,1705,1696,3400,4330,4129,8456,3933,3771,7711,3785,3625,7418,1886,1716,3598,1789,1726,3511,1667,1686,3353,1257,1274,2529,1341,1181,2526,1483,1311,2793,2797,2832,5627,2535,2695,5225,2641,2792,5430,3469,3634,7101,3080,3288,6366,2834,2969,5797,3920,3722,7639,3785,3637,7423,3509,3600,7111,3536,3350,6885,3797,3585,7379,3897,3743,7638,2664,2655,5326,2874,2874,5752,3365,3180,6548,1570,1956,3523,1775,1983,3759,1937,2162,4102,365,825,1188,469,975,1444,636,1108,1749,70,51,127,101,80,177,64,84,143,1727,1833,3557,2087,2140,4229,2424,2544,4971,49,40,84,40,37,77,32,26,60,32,27,61,25,23,43,35,40,73,1803,1897,3701,2153,2198,4350,2493,2603,5099,25038,25214,50250,24337,24573,48916,23260,23465,46724,1149,1252,2401,1228,1358,2582,1313,1489,2797,26342,26684,53022,25446,25808,51247,24288,24642,48927,411,397,809,471,522,987,630,700,1327,25893,26200,52100,25126,25477,50603,24464,24789,49257
10303,21435,21103,42533,22300,21621,43918,23530,23085,46612,1321,1198,2519,1477,1360,2834,1500,1442,2942,3232,2930,6160,3056,2687,5741,3018,2803,5825,1478,1355,2829,1482,1353,2834,1371,1214,2585,1017,896,1915,1164,1048,2206,1225,1064,2288,2102,2212,4312,2137,2106,4242,2589,2438,5027,2953,3019,5970,2809,2825,5636,2533,2691,5232,3112,2953,6070,3243,3101,6345,3268,3209,6477,3089,2865,5952,3087,2943,6030,3251,3190,6448,1926,1871,3795,2394,2267,4662,2973,2806,5779,993,1275,2269,1173,1335,2512,1403,1568,2968,222,519,747,277,606,881,388,667,1051,41,60,95,41,68,110,50,68,121,633,553,1187,933,847,1778,1319,1225,2541,19,20,40,45,27,71,32,20,54,13,19,26,6,8,8,20,11,35,665,589,1254,977,878,1854,1372,1257,2625,18274,18012,36291,18880,18529,37414,18933,18451,37385,1793,1762,3550,1877,1825,3699,1913,1934,3848,19574,19677,39248,20168,19998,40161,20108,20020,40126,509,538,1046,563,643,1203,665,729,1399,19291,19314,38602,19835,19783,39619,20124,20069,40201
