SA3_CODE_2016,C11_850_949_Oth_lan_typ,C11_850_949_LLT_NS,C11_850_949_Tot,C11_950_over_REA,C11_950_over_ST_HA,C11_950over_Pe_no_sa_ho,C11_950ov_H_co_op_c_ch_gr,C11_950over_Oth_lan_typ,C11_950over_LLT_NS,C11_950_over_Tot,C11_R_NS_REA,C11_R_NS_ST_HA,C11_R_NS_Pe_no_sa_ho,C11_R_NS_H_co_op_c_ch_gr,C11_R_NS_Oth_lan_typ,C11_R_NS_Land_typ_ns,C11_Rent_not_statd_Tot,C11_Tot_REA,C11_Tot_ST_HA,C11_T_Pe_no_sa_ho,C11_Tot_Ho_co_op_co_ch_gr,C11_Tot_Oth_lan_typ,C11_Tot_LLT_NS,C11_T_T,C16_0_74_REA,C16_0_74_ST_HA,C16_0_74_Per_no_sa_ho,C16_0_74_Ho_co_op_c_c_g,C16_0_74_Oth_land_typ,C16_0_74_LLT_NS,C16_0_74_Tot,C16_75_99_REA,C16_75_99_ST_HA,C16_75_99_Pe_no_sa_ho,C16_75_99_H_c_op_c_c_gr,C16_75_99_Oth_lan_typ,C16_75_99_Lan_type_ns,C16_75_99_Tot,C16_100_149_REA,C16_100_149_ST_HA,C16_100_149_Pe_no_sa_ho,C16_100_149_H_c_o_c_c_g,C16_100_149_Ot_lan_ty,C16_100_149_Lan_typ_ns,C16_100_149_Tot,C16_150_199_REA,C16_150_199_ST_HA,C16_150_199_Pe_no_sa_ho,C16_150_199_H_c_o_c_c_g,C16_150_199_Ot_lan_ty,C16_150_199_Lan_ty_ns,C16_150_199_Tot,C16_200_224_REA,C16_200_224_ST_HA,C16_200_224_Pe_no_sa_ho,C16_200_224_H_c_o_c_c_g,C16_200_224_Ot_lan_ty,C16_200_224_Lan_ty_ns,C16_200_224_Tot,C16_225_274_REA,C16_225_274_ST_HA,C16_225_274_Pe_no_sa_ho,C16_225_274_H_c_o_c_c_g,C16_225_274_Ot_la_typ,C16_225_274_Lan_ty_ns,C16_225_274_Tot,C16_275_349_REA,C16_275_349_ST_HA,C16_275_349_Pe_no_sa_ho,C16_275_349_H_c_o_c_c_g,C16_275_349_Ot_lan_ty,C16_275_349_Lan_ty_ns,C16_275_349_Tot,C16_350_449_REA,C16_350_449_ST_HA,C16_350_449_Pe_no_sa_ho,C16_350_449_H_c_o_c_c_g,C16_350_449_Ot_lan_ty,C16_350_449_Lan_ty_ns,C16_350_449_Tot,C16_450_549_REA,C16_450_549_ST_HA,C16_450_549_Pe_no_sa_ho,C16_450_549_H_c_o_c_c_g,C16_450_549_Oth_lan_typ,C16_450_549_Lan_ty_ns,C16_450_549_Tot,C16_550_649_REA,C16_550_649_ST_HA,C16_550_649_Pe_no_sa_ho,C16_550_649_H_c_o_c_c_g,C16_550_649_Ot_lan_ty,C16_550_649_Lan_ty_ns,C16_550_649_Tot,C16_650_749_REA,C16_650_749_ST_HA,C16_650_749_Pe_no_sa_ho,C16_650_749_H_co_op_c_ch_gr,C16_650_749_Oth_lan_typ,C16_650_749_LLT_NS,C16_650_749_Tot,C16_750_849_REA,C16_750_849_ST_HA,C16_750_849_Pe_no_sa_ho,C16_750_849_H_co_op_c_ch_gr,C16_750_849_Oth_lan_typ,C16_750_849_LLT_NS,C16_750_849_Tot,C16_850_950_REA,C16_850_949_ST_HA,C16_850_949_Pe_no_sa_ho,C16_850_949_H_co_op_c_ch_gr,C16_850_949_Oth_lan_typ,C16_850_949_LLT_NS,C16_850_949_Tot,C16_950_over_REA,C16_950_over_ST_HA,C16_950over_Pe_no_sa_ho,C16_950ov_H_co_op_c_ch_gr,C16_950over_Oth_lan_typ,C16_950over_LLT_NS,C16_950_over_Tot,C16_R_NS_REA,C16_R_NS_ST_HA,C16_R_NS_Pe_no_sa_ho,C16_R_NS_H_co_op_c_ch_gr,C16_R_NS_Oth_lan_typ,C16_R_NS_Land_typ_ns,C16_Rent_not_statd_Tot,C16_Tot_REA,C16_Tot_ST_HA,C16_T_Pe_no_sa_ho,C16_Tot_Ho_co_op_co_ch_gr,C16_Tot_Oth_lan_typ,C16_Tot_LLT_NS,C16_T_T
10304,0,0,17,15,0,3,0,8,0,23,82,78,72,16,52,12,306,3329,974,1079,137,258,161,5937,13,42,138,9,54,90,351,3,42,7,17,7,0,78,69,283,76,31,14,7,477,310,200,130,22,18,4,684,353,79,156,10,8,9,619,788,78,191,8,21,7,1090,1117,57,217,5,23,3,1420,859,14,130,3,20,0,1031,103,3,25,0,3,0,140,20,3,10,0,3,0,30,4,0,3,0,3,0,9,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,3,0,0,0,11,55,54,72,13,39,3,236,3710,861,1154,119,207,127,6174
10401,0,0,4,15,0,5,0,3,0,29,44,35,46,6,26,3,156,2521,432,1402,171,301,163,4983,7,13,126,29,34,83,304,3,22,13,16,19,0,69,47,132,107,42,48,5,378,184,71,210,56,49,11,578,218,45,194,15,34,3,498,587,36,291,10,38,5,977,941,23,323,27,35,8,1361,486,3,90,8,13,6,610,96,0,13,3,10,0,131,23,0,7,0,6,0,37,17,0,10,0,7,0,29,6,0,3,0,3,0,8,0,0,0,0,0,0,9,10,0,4,0,4,0,18,34,34,58,11,27,8,176,2667,388,1458,210,324,146,5191
10402,0,0,3,23,0,13,0,11,0,54,75,101,72,34,51,31,355,5179,1257,2390,267,546,260,9892,14,42,155,19,37,124,385,3,31,15,8,3,0,60,28,464,131,42,68,6,737,152,230,165,65,64,12,687,213,102,213,21,45,5,598,755,92,321,25,63,8,1265,1437,124,543,21,57,16,2201,1967,36,510,7,49,14,2578,603,3,113,5,17,3,739,110,0,23,0,5,0,140,27,3,11,0,5,0,42,6,0,6,0,4,0,19,0,0,0,0,4,0,5,13,0,9,0,8,0,29,99,59,74,32,53,12,329,5415,1189,2296,236,492,200,9824
10501,4,0,4,0,0,12,0,4,3,13,16,34,61,26,105,21,257,476,587,848,422,985,327,3641,11,66,161,34,373,162,810,3,50,21,97,55,7,229,53,123,139,109,99,10,528,149,161,165,147,142,6,768,104,82,107,31,22,3,352,107,34,72,25,22,4,267,71,10,42,4,15,0,142,18,3,4,3,3,0,34,0,0,0,0,8,0,5,0,0,0,0,0,0,3,0,0,4,0,4,0,9,0,0,0,0,3,0,5,0,0,0,0,0,0,3,3,0,3,0,11,0,13,4,27,68,21,89,10,216,520,562,789,461,851,202,3383
10502,0,0,0,3,0,6,0,3,0,12,14,12,45,0,40,0,112,680,210,635,73,391,97,2089,4,21,67,17,135,61,304,3,20,19,9,41,4,95,44,65,100,38,40,7,294,196,51,187,12,27,4,482,113,16,115,4,18,4,280,138,14,91,3,21,3,267,108,12,48,0,14,0,177,36,0,20,0,4,0,63,4,0,3,0,0,0,5,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,4,0,7,16,8,38,3,26,8,104,676,207,690,88,331,96,2088
10503,0,0,3,19,0,15,0,3,3,36,50,64,89,14,60,20,299,3349,1138,1713,248,488,305,7241,21,60,179,28,135,172,597,9,45,29,30,14,3,134,164,353,213,81,40,10,874,571,239,285,53,65,14,1222,419,92,242,14,32,0,794,756,91,250,4,28,5,1137,976,61,292,5,20,6,1366,666,16,119,0,14,3,819,93,0,20,0,11,0,119,13,0,4,0,0,0,22,6,0,4,0,4,0,8,7,0,3,0,0,0,13,0,0,3,0,3,0,5,3,0,14,0,6,3,24,48,57,92,17,63,14,298,3743,1008,1745,239,443,247,7419
10601,0,0,3,11,0,15,0,4,3,30,98,71,82,10,55,21,332,4218,1050,1477,85,428,220,7472,7,53,180,11,38,137,426,10,42,19,12,6,0,84,48,369,89,10,27,8,543,272,224,156,15,45,8,723,260,91,158,6,19,3,545,944,80,255,8,87,8,1380,2013,62,354,3,58,9,2500,1342,0,162,3,10,4,1523,132,0,44,0,6,0,185,28,0,19,0,0,0,50,13,3,7,0,3,0,23,4,0,0,0,0,0,4,0,0,3,0,0,0,3,8,0,5,0,3,0,18,88,56,81,9,40,15,294,5185,976,1529,68,349,188,8300
10602,0,0,5,13,3,5,0,0,0,24,59,67,46,11,18,11,213,3508,1189,977,86,317,83,6156,10,55,75,3,15,41,189,3,51,5,10,4,0,78,27,414,33,5,11,3,487,218,250,67,36,34,3,611,163,98,83,8,11,3,366,341,85,159,0,168,9,759,1544,138,298,5,39,10,2033,2345,16,236,0,18,10,2626,292,0,34,0,3,0,328,42,0,10,0,0,0,54,8,0,0,0,0,0,5,3,0,0,0,0,0,6,0,0,0,0,0,0,3,3,0,3,0,0,0,5,61,63,40,17,22,3,206,5052,1167,1044,83,322,84,7759
10603,0,0,6,20,0,14,0,3,0,40,74,45,44,27,52,8,241,4059,843,1244,162,710,134,7147,7,30,92,7,23,71,228,3,28,10,13,4,0,53,29,264,64,33,42,4,429,96,142,80,52,29,5,403,152,65,130,8,44,3,400,486,115,171,6,321,10,1112,1301,42,308,11,88,10,1754,1562,8,244,0,33,3,1852,398,0,63,0,9,0,479,92,0,14,0,8,0,111,25,0,8,3,7,0,42,7,0,3,0,0,0,17,5,0,0,0,0,0,14,9,0,6,0,8,0,18,45,30,57,11,31,16,200,4216,718,1259,153,646,123,7108
10604,0,0,0,11,0,7,0,3,0,21,45,30,54,7,76,8,221,1693,454,759,114,485,198,3711,8,11,74,3,134,115,354,3,31,7,7,3,0,49,101,41,68,16,20,3,246,284,147,96,22,29,10,585,236,51,83,6,18,8,397,562,89,147,10,26,3,842,706,23,127,0,11,3,865,176,5,44,0,10,0,234,33,0,9,0,3,0,49,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,4,0,7,0,3,0,7,37,24,33,8,62,8,170,2163,409,708,75,314,141,3811
10701,0,0,6,10,0,10,0,3,0,27,43,124,55,23,17,8,269,2534,2405,1216,119,203,124,6596,12,119,98,13,6,41,294,0,93,12,3,0,0,105,32,814,48,24,18,12,946,136,427,98,20,19,9,712,155,184,85,9,21,7,452,330,110,151,14,25,0,636,619,217,258,14,26,3,1132,1283,130,356,7,24,10,1817,411,8,68,0,3,0,493,117,3,16,0,0,0,129,26,0,3,0,0,0,31,3,0,3,0,0,0,4,0,0,3,0,0,0,3,3,0,4,0,0,0,6,54,109,54,11,8,15,252,3174,2217,1243,113,160,106,7017
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,0,0,3,15,0,11,0,3,0,33,50,112,46,18,19,12,255,3755,1749,1547,145,211,138,7543,14,46,121,4,21,67,274,3,50,3,9,3,0,73,11,534,36,10,22,7,620,43,374,69,34,26,5,549,76,155,98,13,8,0,360,287,130,125,23,12,7,577,683,219,266,11,25,12,1217,1705,95,438,11,30,8,2289,996,6,130,0,5,0,1139,337,0,35,0,4,0,375,78,0,13,0,8,0,97,11,0,0,0,5,0,15,4,0,0,0,3,0,5,9,0,5,0,9,0,20,52,82,61,18,26,8,237,4301,1693,1406,135,209,121,7853
10704,0,0,20,34,3,12,0,3,0,57,114,222,110,26,35,21,523,8203,3421,2746,256,339,239,15213,19,172,142,10,31,132,501,7,126,8,28,0,6,173,48,1328,81,55,31,23,1566,224,506,167,56,16,11,979,235,228,152,28,19,10,665,791,168,281,21,36,8,1300,1985,180,423,20,34,10,2661,2793,185,553,17,38,5,3598,1835,32,296,6,22,4,2189,734,3,126,3,8,0,876,268,3,57,3,6,0,343,104,0,25,0,0,0,126,52,0,12,0,0,0,64,35,3,10,0,5,0,60,114,177,93,15,36,25,463,9238,3104,2439,269,278,227,15563
10801,0,0,0,11,0,8,0,0,0,23,31,7,53,3,17,7,124,1904,225,821,119,177,88,3334,3,10,67,5,27,70,187,0,8,3,6,0,0,28,30,93,54,15,21,4,211,146,59,88,68,33,3,395,170,16,96,19,8,0,318,388,21,115,11,11,4,560,557,11,140,4,11,8,734,486,0,117,0,8,3,616,96,0,22,0,0,0,121,7,0,0,0,0,0,8,8,0,3,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,3,3,0,4,0,5,0,14,39,18,30,4,17,4,114,1933,242,760,130,156,93,3314
10802,0,0,0,11,0,3,0,8,0,22,41,39,60,13,26,10,182,2532,701,1187,256,267,189,5135,7,15,115,6,26,118,286,4,17,16,7,0,3,44,53,203,113,48,49,7,473,237,149,201,93,33,9,722,269,66,173,15,31,4,556,588,69,229,23,27,5,939,791,32,245,14,30,8,1120,402,10,86,0,15,4,510,61,0,15,3,10,0,81,12,0,3,0,4,3,24,3,0,3,0,7,0,11,3,0,3,0,10,0,12,3,0,0,0,3,0,5,9,3,3,0,10,0,17,46,33,54,8,26,13,176,2470,599,1256,218,268,164,4983
10803,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,4,33,0,26,3,63,0,0,0,0,3,10,14,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,3,0,0,0,4,0,0,3,0,3,0,3,0,0,3,0,3,0,3,0,0,3,0,0,0,10,0,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,17,0,23,10,51
10804,0,0,3,15,0,13,0,0,0,31,55,55,73,23,49,15,276,4515,884,1742,187,418,177,7921,10,37,105,4,46,114,324,0,32,10,16,12,3,70,17,378,73,29,55,9,562,116,183,142,46,65,4,559,192,92,144,23,32,4,483,602,73,263,19,38,11,998,1285,96,370,18,37,10,1821,1897,20,345,9,35,7,2308,616,0,86,4,7,3,715,167,0,24,0,5,0,197,27,0,9,0,3,0,41,15,0,5,0,4,0,16,5,0,0,0,0,0,9,11,0,3,0,4,0,23,65,42,67,28,28,19,236,5031,960,1644,195,359,178,8362
10805,0,0,0,15,0,13,0,3,0,36,35,49,49,12,36,12,188,2958,641,1203,194,245,162,5405,5,18,124,11,27,90,276,3,24,11,12,6,0,57,69,208,123,25,19,5,444,373,160,161,58,49,9,809,289,61,164,13,23,5,570,732,52,210,11,16,7,1031,1134,37,207,5,17,9,1413,456,10,97,12,14,3,596,62,0,14,0,3,0,77,3,0,3,0,3,5,12,3,0,4,0,0,0,11,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,0,8,0,3,0,13,45,33,53,23,18,15,188,3188,612,1175,173,206,149,5495
10901,0,0,10,19,0,6,0,4,0,31,79,51,46,26,35,13,246,4058,851,1375,163,274,152,6868,19,28,111,12,34,73,279,15,42,20,29,9,3,112,332,296,140,26,27,5,833,953,142,228,32,39,14,1403,539,58,185,10,21,6,826,1044,79,240,10,30,4,1409,1108,23,197,4,19,4,1360,641,0,78,3,8,4,730,91,0,25,0,4,0,114,12,0,5,0,0,0,17,7,0,4,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,5,0,3,0,10,83,39,56,12,36,8,235,4839,717,1301,141,229,116,7344
10902,0,0,0,0,0,7,0,0,0,7,9,7,17,0,25,5,66,358,100,436,101,262,87,1359,9,12,65,17,109,60,262,4,8,12,3,8,0,33,54,30,87,42,27,3,239,148,32,112,15,35,7,339,52,15,62,5,7,0,147,45,4,38,3,7,0,97,28,3,7,0,0,0,42,19,0,10,0,0,0,31,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,26,3,30,4,74,366,95,425,83,229,75,1281
10903,0,0,0,11,0,13,0,3,0,26,31,15,68,4,60,11,189,1768,222,1147,140,409,220,3902,10,8,179,33,167,138,532,27,17,32,22,27,5,131,228,57,196,26,59,13,576,399,75,269,21,34,11,812,259,25,162,10,27,3,478,437,3,141,3,24,8,615,382,3,81,0,14,0,473,135,0,27,0,5,0,172,25,0,3,0,4,0,30,0,0,0,0,0,0,10,4,0,4,0,3,0,8,0,0,6,0,0,0,5,0,0,0,0,3,0,3,5,0,13,0,3,0,26,34,13,63,9,80,7,196,1954,195,1162,120,452,186,4075
11001,0,0,3,5,0,15,0,3,0,24,29,41,35,10,49,4,170,2129,530,920,121,307,175,4190,9,23,101,10,117,131,379,9,25,13,9,10,0,65,92,146,93,7,24,8,375,253,155,156,43,32,6,644,272,64,107,17,11,4,479,517,53,130,11,18,9,744,652,33,141,10,11,3,855,505,6,89,0,5,4,609,90,6,13,0,3,0,115,17,0,6,0,3,0,22,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,28,20,40,3,49,10,153,2447,530,907,119,286,174,4459
11002,0,0,0,5,0,16,0,0,0,26,26,21,62,14,61,10,189,1567,378,1039,202,413,258,3857,9,15,180,67,104,179,559,23,18,28,15,4,0,81,167,101,181,44,40,5,544,369,89,220,45,38,11,771,274,42,180,12,29,4,539,503,54,126,10,23,12,721,382,12,92,3,3,0,499,76,3,22,0,6,0,108,4,0,5,0,0,0,10,6,0,0,0,0,0,9,0,0,0,0,4,0,5,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,12,29,13,64,15,45,9,181,1852,331,1115,213,305,231,4042
