SA3_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
10102,252,91,182,273,92,201,295,0,4,3,0,0,3,3,3,10,116,199,316,129,215,342,144,247,390,1969,1819,3789,1839,1546,3387,2274,2175,4447,7879,7930,15810,8143,8227,16373,8960,9051,18011
10103,80,21,56,69,18,49,70,0,3,3,0,3,3,0,0,0,34,70,102,32,72,105,44,79,120,1332,1004,2337,1054,744,1801,1158,918,2069,3249,2999,6243,3031,2838,5872,3039,2875,5915
10104,237,78,197,276,54,160,214,0,4,4,6,3,6,8,4,13,79,216,294,111,230,341,85,201,283,2233,2292,4527,2331,2387,4712,3173,3308,6484,8600,9301,17905,8576,9190,17767,8878,9427,18313
10105,121,52,72,122,41,99,139,0,0,0,0,0,0,0,0,4,62,120,179,72,93,169,76,120,196,1682,1202,2885,1564,1037,2600,2006,1467,3480,5312,4702,10015,5108,4647,9762,5513,5093,10604
10106,98,35,63,105,27,73,101,0,3,4,3,0,3,0,4,4,38,89,123,54,84,135,49,98,148,937,904,1842,1062,1153,2219,1375,1472,2850,4491,4822,9306,4863,5176,10042,5214,5722,10939
10201,717,243,560,796,246,489,737,11,16,35,10,6,13,3,16,17,296,625,922,346,683,1028,364,653,1016,6912,7403,14310,5457,5749,11201,5031,5475,10510,24561,25516,50082,23498,25081,48575,23319,24957,48280
10202,543,192,411,606,191,463,654,9,14,19,8,9,22,4,7,14,194,488,683,251,526,779,295,645,941,5140,5652,10793,4834,5221,10055,5196,5828,11023,20386,21558,41945,21107,22759,43870,22164,23922,46089
10301,121,45,98,143,53,115,162,3,3,4,0,4,7,0,3,3,53,94,148,54,120,175,82,143,228,2050,1268,3316,2217,1468,3687,2842,1944,4784,7482,6852,14333,7775,7219,15000,8399,7907,16312
10302,134,32,94,128,37,111,146,6,3,8,0,3,4,3,4,4,58,126,186,46,120,165,55,142,197,1826,1816,3641,2081,1979,4055,2824,2926,5755,7972,8195,16165,7751,8131,15883,8064,8752,16817
10303,137,42,98,139,57,80,136,3,4,8,4,3,5,0,5,4,58,112,173,61,126,180,75,111,181,1952,1561,3515,2150,1589,3737,3052,2610,5665,6629,6185,12812,6553,6178,12732,7381,7179,14560
10304,131,72,121,190,60,137,199,4,0,7,3,0,5,0,8,6,65,127,191,93,145,238,83,169,255,1791,1756,3552,1843,1764,3608,2191,2202,4394,7707,8060,15758,8055,8558,16611,8825,9348,18175
10401,176,67,118,177,37,91,124,3,3,6,0,3,3,3,3,7,67,162,228,96,142,234,74,130,210,1856,1580,3432,1743,1558,3300,2379,2121,4506,6908,6875,13784,6632,6900,13527,6898,6934,13833
10402,358,101,241,346,119,246,362,6,6,12,0,8,4,6,12,15,117,333,450,143,328,466,184,342,522,2720,2724,5441,2525,2606,5127,3336,3606,6941,11709,12399,24103,11539,12595,24136,12055,13367,25422
10501,51,25,42,63,11,30,44,5,0,5,0,0,0,3,3,3,23,55,81,34,47,85,23,42,63,1399,1101,2502,1421,1216,2636,1796,1677,3474,4015,3870,7882,3753,3823,7572,3892,4074,7971
10502,74,23,45,67,25,48,74,0,0,0,0,4,3,3,3,5,31,76,105,32,73,102,42,71,111,1094,1044,2136,1043,999,2043,1056,991,2047,3213,3297,6516,3008,3137,6141,2774,2929,5704
10503,169,66,162,233,62,139,196,3,6,12,11,4,16,3,7,11,73,150,222,104,204,308,102,190,292,2756,2792,5545,2807,2381,5183,3744,3325,7062,10174,10703,20876,10157,10303,20460,10843,10959,21802
10601,243,109,201,314,63,240,304,0,7,5,6,7,12,3,9,11,127,227,349,149,254,407,144,312,452,3077,2684,5764,3184,2620,5810,4237,3560,7797,11963,11549,23506,12191,12005,24193,13332,13350,26677
10602,214,73,166,241,105,209,315,3,3,9,0,4,4,3,0,4,83,226,315,117,208,324,161,276,442,1918,1957,3875,1835,1778,3615,2088,2095,4183,8974,9321,18294,9528,9865,19397,10984,11451,22441
10603,219,66,213,280,76,179,258,0,7,7,4,4,11,4,3,9,77,204,283,101,263,364,116,229,348,2189,2277,4472,2361,2356,4718,2855,2916,5772,9049,9239,18287,9397,9848,19247,9847,10334,20183
10604,90,26,71,95,22,70,88,0,0,3,0,3,0,0,3,3,33,75,107,32,83,113,27,79,111,1267,989,2263,1341,1080,2424,1546,1313,2863,4374,4215,8585,4458,4319,8775,4708,4724,9426
10701,245,71,185,255,80,218,298,7,3,9,7,3,9,0,4,4,99,216,316,116,225,344,142,292,431,2811,2838,5646,2240,2311,4544,2245,2263,4513,10731,10751,21479,10384,10674,21062,10654,11007,21664
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,0,0,7,8,0,0,4
10703,242,95,240,335,118,285,400,0,3,4,3,7,7,0,7,12,118,205,321,129,296,424,175,367,541,2643,2736,5377,2218,2192,4405,2751,2996,5741,12437,12448,24891,12194,12607,24803,12858,13664,26521
10704,499,183,345,534,188,366,552,9,13,20,3,7,10,3,10,12,242,401,643,281,445,727,305,494,800,4195,4118,8313,3675,3466,7145,3665,3779,7444,18738,18547,37284,20046,19621,39666,21329,21136,42468
10801,70,22,50,73,19,61,75,0,0,4,0,0,0,3,4,8,18,78,96,26,68,89,26,83,111,1083,1175,2250,1144,1190,2330,1301,1412,2715,3604,3853,7456,3658,3899,7558,3696,4035,7736
10802,145,43,101,147,40,99,136,11,5,14,0,3,4,3,3,5,73,133,206,55,147,205,56,125,182,2136,1923,4056,2084,1746,3827,2782,2509,5293,6880,6766,13646,6658,6639,13297,6984,7067,14051
10803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,11,10,27,5,5,13,21,13,40,38,37,75,24,30,52,39,41,77
10804,214,85,196,281,94,211,302,4,4,6,3,5,11,4,8,12,78,176,259,113,254,367,135,281,413,2244,2510,4753,2201,2248,4447,2786,2974,5764,9247,9849,19093,9425,10090,19515,10349,11349,21694
10805,178,46,111,160,43,127,171,0,3,0,6,0,4,4,3,8,68,156,227,71,144,221,67,166,241,1614,1681,3297,1703,1739,3444,2074,2291,4362,6883,7318,14203,6771,7149,13923,6918,7624,14544
10901,185,66,151,223,108,181,287,3,8,9,5,3,6,3,5,9,85,173,258,120,188,307,152,247,402,2035,1986,4025,1864,1847,3710,2284,2422,4705,8596,9300,17896,8375,9304,17680,8863,9805,18673
10902,22,13,21,29,6,30,37,0,0,0,0,0,0,0,0,3,18,20,37,17,31,47,16,35,51,526,460,982,544,447,984,796,715,1508,1932,1834,3761,1795,1729,3520,1921,1928,3854
10903,105,36,69,111,31,85,111,0,4,5,0,3,0,3,4,5,38,90,130,52,85,138,36,105,144,1494,1427,2919,1491,1438,2926,2099,2173,4264,5569,5706,11273,5277,5585,10860,5639,6167,11809
11001,101,27,79,101,42,61,97,5,0,5,0,0,0,0,0,0,36,92,129,48,91,132,53,83,143,1131,1194,2327,1178,1279,2460,1520,1644,3169,6186,6853,13047,6169,6792,12965,6421,7154,13574
11002,109,27,91,115,29,76,110,0,6,3,0,3,3,4,0,7,42,96,140,38,103,142,78,120,199,1314,1241,2552,1419,1289,2710,2148,2091,4238,5284,5436,10721,5213,5438,10647,5597,5842,11438
11003,85,20,60,74,23,40,57,0,0,0,0,0,0,5,0,4,35,69,108,21,72,96,34,51,77,1363,1265,2625,1222,1117,2339,1616,1629,3241,4127,4117,8246,3815,3900,7716,4034,4228,8264
11004,218,79,166,241,86,177,269,3,4,9,3,0,5,8,0,12,93,200,295,120,198,321,119,221,345,2510,2557,5067,2781,2698,5487,3592,3664,7250,10826,11130,21962,11076,11406,22478,11791,12529,24320
11101,392,157,263,425,141,286,429,6,10,18,3,0,3,3,3,6,157,331,488,199,343,541,200,373,576,3509,3725,7229,3042,3160,6198,2876,3146,6018,16778,16993,33771,16111,16724,32835,16261,17048,33307
11102,213,84,177,253,99,211,312,6,4,14,5,7,8,6,5,12,101,195,297,115,222,340,151,273,428,2063,2191,4256,1850,1835,3684,1989,2178,4168,9670,9907,19572,9590,9792,19382,9840,10579,20418
11103,539,217,402,627,230,419,645,10,8,16,7,7,11,9,15,24,250,481,729,319,539,865,331,569,898,5649,5568,11216,4977,4788,9766,4805,5143,9945,22858,23432,46294,23609,24148,47755,25364,26275,51639
11201,357,115,253,365,104,238,342,0,4,4,5,3,8,6,3,6,117,326,444,156,326,481,145,296,444,2924,3014,5940,2369,2326,4694,3865,4064,7929,10873,11519,22399,10129,10873,21001,11260,12201,23464
11202,272,90,184,277,74,157,230,4,10,10,3,9,8,4,4,6,123,265,382,134,236,373,116,213,329,2101,2207,4306,2219,2088,4304,3101,3097,6199,10384,11274,21655,10187,10967,21160,10413,11233,21642
11203,282,106,233,336,105,192,294,0,3,3,8,0,8,6,4,10,101,254,354,161,314,477,162,265,431,3240,3336,6575,2911,3200,6113,3723,4054,7773,11055,11634,22688,11233,12456,23694,12173,13450,25623
11301,129,40,91,134,46,95,148,0,0,0,0,4,3,3,9,13,59,113,171,72,130,202,74,138,214,2065,1810,3876,1990,1894,3878,2591,2604,5198,7403,7190,14592,7293,7331,14622,7536,7796,15333
11302,60,10,27,35,6,20,33,0,0,0,0,0,0,0,0,0,14,58,68,18,41,52,18,31,51,673,527,1202,580,440,1020,885,735,1611,2133,2088,4215,2028,1951,3974,2181,2174,4358
11303,236,101,204,306,95,192,288,6,5,15,5,3,13,6,3,8,177,215,393,218,250,464,255,273,527,3190,2629,5815,3249,2558,5809,4276,3410,7688,14176,14086,28267,14137,14293,28429,14794,14953,29747
11401,294,110,251,357,96,236,334,0,3,5,7,0,7,3,3,10,134,254,388,159,311,472,159,320,474,3298,3380,6681,3868,3453,7323,4711,4254,8958,12533,12925,25461,12905,13161,26065,13557,13786,27344
11402,193,56,141,196,56,147,204,0,5,5,0,0,3,0,3,3,72,162,237,85,171,256,83,209,288,1505,1678,3188,1260,1328,2590,1720,1848,3572,6297,6875,13171,6099,6662,12764,6520,7208,13735
11501,506,214,407,616,244,384,630,4,7,12,6,10,19,7,8,14,307,517,829,338,582,922,427,644,1066,2698,2831,5530,2328,2437,4763,2261,2659,4926,20755,21185,41940,21504,21582,43086,22856,23008,45867
11502,94,24,71,94,34,70,102,0,0,0,0,0,0,0,5,7,37,86,124,42,92,131,49,101,145,748,789,1533,521,574,1098,650,695,1344,4042,4053,8099,3929,3993,7921,4171,4059,8226
11503,83,35,68,109,34,50,84,0,0,0,0,0,0,0,0,0,24,82,106,43,88,130,40,69,114,888,851,1734,941,803,1740,917,875,1787,3997,3925,7924,4001,3912,7912,3772,3866,7639
11504,106,30,83,117,41,88,130,0,0,0,0,3,3,0,0,0,41,87,134,44,105,148,64,121,193,720,756,1472,705,652,1356,629,653,1283,4312,4135,8447,4765,4653,9421,5595,5653,11247
11601,532,273,416,685,274,452,728,14,18,32,7,14,24,8,10,18,296,496,789,490,666,1156,582,748,1331,4452,4397,8850,3934,3756,7686,3687,3858,7546,18623,18617,37238,19264,19514,38779,20460,20681,41143
11602,257,125,241,368,149,275,421,3,3,8,3,9,8,3,4,7,185,240,417,226,367,592,325,453,775,2690,1879,4564,2261,1471,3738,2939,1931,4870,10669,9892,20567,12865,12159,25021,16355,15207,31562
11603,280,155,254,404,205,362,562,16,12,27,13,11,22,10,14,24,184,259,442,273,409,676,394,624,1022,4876,4855,9731,4320,4279,8594,4070,4206,8277,17622,17449,35073,18062,18008,36074,18681,19482,38165
11701,133,80,124,207,125,193,322,0,7,8,5,0,5,3,5,4,80,123,205,158,198,352,252,379,637,1694,1756,3445,1538,1501,3044,1715,1726,3437,5572,5502,11080,6042,5917,11960,7557,7565,15120
11702,347,126,197,325,152,206,362,7,7,9,8,4,9,3,0,3,187,298,480,225,282,506,273,320,599,2640,2373,5011,2220,1821,4040,2250,2129,4383,7223,7455,14676,7365,7488,14853,7955,8319,16274
11703,1399,754,921,1676,1279,1649,2923,19,13,31,31,24,50,17,42,59,1242,1563,2803,1670,2091,3764,2860,3827,6679,22217,17392,39608,13124,10586,23706,14984,12200,27180,36253,33364,69620,30488,30026,60519,38950,40883,79836
11801,828,288,493,782,449,674,1125,7,12,13,5,7,11,7,12,20,435,715,1148,434,697,1130,612,905,1519,9633,8913,18545,7146,6862,14007,6139,6799,12937,19834,20249,40081,18588,19363,37946,19002,20917,39923
11802,653,257,478,728,354,530,878,14,15,26,3,8,15,4,5,17,397,580,980,455,704,1157,597,843,1434,7488,5877,13361,6731,5188,11915,6786,5299,12089,21635,20160,41790,23191,21812,45006,26453,25207,51666
11901,650,259,461,719,290,645,938,28,22,53,13,9,27,13,19,29,371,613,988,475,725,1194,580,1126,1705,6655,6711,13368,6461,6259,12723,5630,5799,11425,23984,23995,47978,26006,26072,52081,27712,28525,56238
11902,582,324,455,777,336,593,929,20,17,33,14,13,28,19,22,42,366,576,945,684,780,1464,820,1107,1927,6396,5954,12343,5837,5366,11198,4620,4578,9195,19928,19087,39023,21291,19991,41283,22672,21764,44441
11903,586,201,422,627,304,510,814,8,11,19,4,11,17,9,3,14,299,493,789,389,618,1006,599,861,1460,4067,4174,8248,3395,3511,6910,3070,3242,6305,17503,17687,35194,17693,17916,35608,19297,19651,38946
11904,519,292,403,702,493,682,1175,22,16,39,10,16,28,16,14,37,385,487,869,604,691,1294,929,1181,2114,5817,5674,11488,4746,4502,9252,4560,4582,9137,18242,17883,36122,18565,18117,36679,21183,21209,42392
12001,335,125,278,402,190,315,507,0,3,3,0,4,7,3,8,8,155,291,442,177,390,565,326,477,800,2787,2795,5589,2668,2527,5197,2391,2647,5034,9235,9588,18822,10633,10955,21582,11997,12783,24779
12002,403,118,215,336,118,197,321,0,3,6,3,5,6,0,0,0,164,323,494,149,258,407,150,254,403,2292,2202,4493,1688,1613,3294,2174,2207,4379,6402,7050,13447,6553,7189,13738,8042,8595,16640
12003,825,341,570,918,478,702,1182,20,11,29,19,17,39,8,20,29,572,782,1356,802,969,1777,1060,1320,2383,6508,6082,12591,5502,5082,10579,5040,4892,9930,22565,22197,44763,22508,22326,44834,24465,25031,49492
12101,704,239,422,661,251,451,704,5,6,17,6,11,18,4,7,14,373,607,983,357,562,917,423,694,1122,3612,3586,7196,2546,2610,5157,2763,2973,5729,15247,15319,30567,15118,15608,30724,17456,17950,35407
12102,469,159,301,455,146,247,394,0,4,4,12,9,16,0,3,4,206,383,584,233,388,625,220,344,562,1901,2013,3916,1618,1570,3189,1508,1579,3087,11335,11792,23124,11725,12079,23805,12170,12767,24938
12103,507,168,365,532,219,410,627,12,5,16,5,3,9,0,0,0,247,386,636,242,430,673,294,497,786,2253,2472,4724,2287,2466,4749,2267,2645,4910,17276,17889,35169,18573,19325,37895,20013,20575,40591
12104,772,249,432,674,191,398,589,4,15,15,3,13,14,0,4,4,349,649,991,343,552,897,277,526,803,4321,4540,8863,3783,3763,7547,3443,3715,7153,11551,12746,24298,11884,12733,24617,12042,13570,25614
12201,275,89,166,252,114,216,327,0,7,7,3,3,7,0,3,3,144,248,394,132,223,349,153,266,414,1851,1875,3727,1391,1300,2699,1355,1445,2802,5908,5959,11873,5855,5996,11850,6137,6591,12725
12202,289,98,196,293,82,221,295,3,0,3,0,12,12,0,0,0,94,261,356,125,245,370,109,252,364,2165,2032,4197,1535,1547,3084,1506,1692,3200,8381,8388,16772,8348,8533,16873,8822,9173,17992
12203,766,275,542,822,330,511,838,13,11,25,6,10,12,9,3,12,383,654,1041,390,688,1084,473,681,1154,4665,4526,9191,3622,3618,7240,3787,4286,8071,19817,19596,39412,20574,20641,41216,22883,23293,46182
12301,192,66,164,228,62,185,246,7,3,8,0,8,9,0,0,0,84,163,245,96,210,300,94,244,339,1193,1305,2493,1148,1113,2258,1231,1393,2618,7096,7461,14559,8081,8557,16634,9448,10229,19682
12302,541,212,431,643,225,543,766,13,22,27,11,11,23,6,11,24,248,480,730,338,580,917,437,857,1294,6372,6450,12820,5393,5616,11008,5087,5682,10764,24601,25014,49621,23217,24178,47403,24343,25502,49841
