SA3_CODE_2016,C11_CFNC_BA_1000_1499,C11_CFNC_BA_1500_1999,C11_CFNC_BA_2000_2499,C11_CFNC_BA_2500_2999,C11_CFNC_BA_3000_3999,C11_CFNC_BA_4000_mr,C11_CFNC_BA_Ns,C11_CFNC_BA_Tot,C11_CFNC_BNW_Ne_Nil,C11_CFNC_BNW_1_149,C11_CFNC_BNW_150_299,C11_CFNC_BNW_300_399,C11_CFNC_BNW_400_499,C11_CFNC_BNW_500_649,C11_CFNC_BNW_650_799,C11_CFNC_BNW_800_999,C11_CFNC_BNW_1000_1499,C11_CFNC_BNW_1500_1999,C11_CFNC_BNW_2000_2499,C11_CFNC_BNW_2500_2999,C11_CFNC_BNW_3000_3999,C11_CFNC_BNW_4000mr,C11_CFNC_BNW_Ns,C11_CFNC_BNW_T,C11_CFNC_LFns_N,C11_CFNC_LFns_1_149,C11_CFNC_LFns_150_299,C11_CFNC_LFns_300_399,C11_CFNC_LFns_400_499,C11_CFNC_LFns_500_649,C11_CFNC_LFns_650_799,C11_CFNC_LFns_800_999,C11_CFNC_LFns_1000_1499,C11_CFNC_LFns_1500_1999,C11_CFNC_LFns_2000_2499,C11_CFNC_LFns_2500_2999,C11_CFNC_LFns_3000_3999,C11_CFNC_LFns_4000m,C11_CFNC_LFns_Ns,C11_CFNC_LFns_T,C11_CFNC_T_N,C11_CFNC_T_1_149,C11_CFNC_T_150_299,C11_CFNC_T_300_399,C11_CFNC_T_400_499,C11_CFNC_T_500_649,C11_CFNC_T_650_799,C11_CFNC_T_800_999,C11_CFNC_T_1000_1499,C11_CFNC_T_1500_1999,C11_CFNC_T_2000_2499,C11_CFNC_T_2500_2999,C11_CFNC_T_3000_3999,C11_CFNC_T_4000m,C11_CFNC_T_Ns,C11_CFNC_T_T,C11_CFC_BFT_N,C11_CFC_BFT_1_149,C11_CFC_BFT_150_299,C11_CFC_BFT_300_399,C11_CFC_BFT_400_499,C11_CFC_BFT_500_649,C11_CFC_BFT_650_799,C11_CFC_BFT_800_999,C11_CFC_BFT_1000_1499,C11_CFC_BFT_1500_1999,C11_CFC_BFT_2000_2499,C11_CFC_BFT_2500_2999,C11_CFC_BFT_3000_3999,C11_CFC_BFT_4000_mr,C11_CFC_BFT_Ns,C11_CFC_BFT_Tot,C11_CFC_BPT_N,C11_CFC_BPT_1_149,C11_CFC_BPT_150_299,C11_CFC_BPT_300_399,C11_CFC_BPT_400_499,C11_CFC_BPT_500_649,C11_CFC_BPT_650_799,C11_CFC_BPT_800_999,C11_CFC_BPT_1000_1499,C11_CFC_BPT_1500_1999,C11_CFC_BPT_2000_2499,C11_CFC_BPT_2500_2999,C11_CFC_BPT_3000_3999,C11_CFC_BPT_4000m,C11_CFC_BPT_Ns,C11_CFC_BPT_T,C11_CFC_1F1P_N,C11_CFC_1F1P_1_149,C11_CFC_1F1P_150_299,C11_CFC_1F1P_300_399,C11_CFC_1F1P_400_499,C11_CFC_1F1P_500_649,C11_CFC_1F1P_650_799,C11_CFC_1F1P_800_999,C11_CFC_1F1P_1000_1499,C11_CFC_1F1P_1500_1999,C11_CFC_1F1P_2000_2499,C11_CFC_1F1P_2500_2999,C11_CFC_1F1P_3000_3999,C11_CFC_1F1P_4000m,C11_CFC_1F1P_Ns,C11_CFC_1F1P_Tot,C11_CF_1E1A_N,C11_CF_1E1A_1_149,C11_CF_1E1A_150_299,C11_CF_1E1A_300_399,C11_CF_1E1A_400_499,C11_CF_1E1A_500_649,C11_CF_1E1A_650_799,C11_CF_1E1A_800_999,C11_CF_1E1A_1000_1499,C11_CF_1E1A_1500_1999,C11_CF_1E1A_2000_2499,C11_CF_1E1A_2500_2999,C11_CF_1E1A_3000_3999,C11_CF_1E1A_4000m,C11_CF_1E1A_Ns,C11_CF_1E1A_T,C11_CF_1F1NW_N,C11_CF_1F1NW_1_149,C11_CF_1F1NW_150_299,C11_CF_1F1NW_300_399,C11_CF_1F1NW_400_499,C11_CF_1F1NW_500_649,C11_CF_1F1NW_650_799,C11_CF_1F1NW_800_999,C11_CF_1F1NW_1000_1499,C11_CF_1F1NW_1500_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000mo,C11_CF_1F1NW_Ns,C11_CF_1F1NW_T,C11_CF_1P1NW_N,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_299,C11_CF_1P1NW_300_399,C11_CF_1P1NW_400_499,C11_CF_1P1NW_500_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_999,C11_CF_1P1NW_1000_1499,C11_CF_1P1NW_1500_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000_mr,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_N,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_299,C11_CF_1A1NW_300_399,C11_CF_1A1NW_400_499,C11_CF_1A1NW_500_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_999,C11_CF_1A1NW_1000_1499,C11_CF_1A1NW_1500_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000m,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_N,C11_CF_BA_1_149,C11_CF_BA_150_299,C11_CF_BA_300_399,C11_CF_BA_400_499,C11_CF_BA_500_649,C11_CF_BA_650_799,C11_CF_BA_800_999,C11_CF_BA_1000_1499,C11_CF_BA_1500_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000_more,C11_CF_BA_Ns,C11_CF_BA_Tot,C11_CF_BNW_N,C11_CF_BNW_1_149,C11_CF_BNW_150_299,C11_CF_BNW_300_399,C11_CF_BNW_400_499,C11_CF_BNW_500_649,C11_CF_BNW_650_799,C11_CF_BNW_800_999,C11_CF_BNW_1000_1499,C11_CF_BNW_1500_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000_more,C11_CF_BNW_Ns,C11_CF_BNW_Tot
10102,5,8,10,5,10,9,0,52,25,9,36,11,16,339,163,170,160,74,32,17,13,5,29,1104,3,0,0,0,3,7,0,3,3,8,4,0,0,0,292,320,43,9,57,26,45,420,285,369,666,686,694,479,673,384,395,5223,4,0,0,0,0,3,5,20,73,161,331,272,552,506,189,2114,0,0,0,3,0,6,3,9,39,29,37,26,34,11,18,211,3,0,8,3,0,4,22,20,210,311,403,255,476,186,115,2017,3,0,0,0,0,0,3,4,23,59,82,47,139,66,34,456,0,3,3,0,13,10,33,44,214,218,71,191,82,41,80,995,0,0,0,3,10,6,14,17,31,35,23,22,5,12,22,181,0,0,0,0,4,0,3,5,16,15,3,15,6,4,19,87,0,0,0,0,0,3,0,0,7,9,10,15,18,20,18,101,9,0,3,7,6,15,30,26,64,34,18,12,11,10,27,278
10103,3,0,0,0,0,3,3,19,10,3,31,11,3,231,102,96,66,24,15,6,7,6,23,632,0,0,0,0,0,14,3,0,0,0,0,0,0,0,112,130,15,9,47,21,29,312,203,260,363,280,195,93,93,32,177,2119,4,0,0,0,0,0,12,22,60,83,103,47,62,23,68,495,0,0,0,0,0,0,0,6,16,13,6,8,4,4,8,64,3,0,3,3,0,10,9,30,134,115,106,51,46,8,54,571,0,0,0,0,0,0,0,0,24,21,18,12,9,3,7,97,0,0,0,3,0,12,23,35,89,49,17,36,8,0,29,306,0,0,0,0,3,8,8,8,16,3,5,0,0,0,8,65,0,0,0,0,0,0,0,4,0,0,3,3,0,0,3,20,0,0,0,0,0,0,0,4,7,3,3,0,0,0,6,20,7,5,3,3,3,22,14,8,17,3,3,0,0,0,15,100
10104,15,10,8,0,3,0,5,67,63,16,155,70,71,1649,746,868,601,173,97,38,31,14,144,4750,4,0,3,0,0,35,7,9,8,7,0,0,0,0,655,737,92,18,217,123,157,1996,1183,1498,1687,895,546,262,216,61,915,9868,0,0,8,0,0,20,17,40,143,184,192,102,118,46,138,1012,0,0,3,0,8,16,30,64,117,53,41,17,11,6,40,397,10,3,7,0,6,24,40,101,467,382,275,115,95,23,146,1687,3,0,0,0,0,7,8,23,57,45,48,20,26,4,26,267,3,0,0,3,9,16,62,153,323,179,47,68,22,0,61,952,0,3,7,6,25,52,69,93,113,45,14,11,5,0,43,476,0,0,0,3,3,9,4,4,21,7,4,3,0,0,17,79,0,0,0,0,0,0,3,0,10,14,13,5,3,0,15,77,7,0,17,16,17,86,100,81,160,38,21,3,9,0,88,659
10105,0,0,3,3,3,0,3,30,22,10,56,16,18,538,179,201,92,37,10,13,3,4,53,1249,0,0,3,0,0,10,6,3,0,0,0,0,0,0,250,276,31,19,80,39,44,650,326,425,579,428,342,163,173,47,368,3717,4,3,3,0,3,0,4,10,98,158,202,123,130,50,84,872,0,0,0,0,0,3,9,7,25,19,14,4,7,3,10,103,0,0,0,0,3,4,17,46,216,265,230,98,91,22,97,1097,0,0,0,0,3,3,4,4,36,34,42,14,14,7,16,169,0,3,3,0,12,15,30,61,170,116,35,60,17,9,43,572,0,0,3,3,5,3,18,22,26,12,9,0,4,0,22,133,0,0,0,0,0,0,4,10,15,12,0,3,0,0,7,52,0,0,0,0,0,0,0,0,9,4,4,7,8,0,14,47,3,0,7,5,15,32,29,30,58,19,8,7,0,0,32,253
10106,4,6,14,0,3,0,0,35,28,3,60,16,14,476,179,168,139,40,11,8,10,4,53,1218,0,0,3,0,0,13,5,3,0,0,0,0,0,0,273,303,64,9,85,47,58,588,349,414,589,423,318,206,274,141,390,3942,3,0,4,0,0,5,8,21,81,110,163,109,175,137,116,943,0,0,0,0,0,3,8,15,32,22,20,3,13,7,21,145,0,0,3,0,0,12,26,70,248,241,216,129,150,42,112,1256,0,0,3,0,0,4,3,8,39,32,33,21,41,12,25,228,0,3,3,0,4,9,45,64,183,119,30,100,23,13,47,650,0,0,3,3,3,21,16,16,32,16,5,7,3,3,16,154,0,0,0,0,0,3,5,4,20,9,4,5,0,0,13,72,0,0,0,0,0,0,0,0,11,5,3,7,4,3,8,42,3,3,13,3,0,45,35,42,45,28,5,4,0,7,35,264
10201,20,21,26,12,25,3,11,145,115,18,255,81,63,2248,1246,1301,804,267,130,66,59,37,265,6966,8,0,7,0,3,56,26,20,14,6,0,0,3,0,914,1053,162,29,322,132,170,2608,1726,2083,2615,1840,1564,871,948,343,1403,16805,7,3,3,4,3,10,17,38,265,404,657,487,736,372,406,3409,0,0,7,6,4,22,27,75,187,144,107,57,49,31,82,786,8,3,9,3,12,23,50,152,992,1272,1164,760,920,242,505,6114,0,0,3,0,3,4,18,34,152,174,190,108,139,45,100,968,10,5,7,8,15,34,127,242,959,854,217,721,195,60,286,3741,0,3,14,19,24,49,78,111,203,117,55,44,39,13,71,828,3,0,4,3,3,11,23,20,80,49,19,38,15,5,33,301,0,0,0,0,0,0,3,8,26,27,34,18,35,13,35,203,19,7,28,29,28,128,166,123,271,169,86,29,35,7,168,1288
10202,27,23,14,6,9,0,12,122,115,19,302,94,73,3040,1173,1170,538,167,56,25,22,20,240,7043,0,0,7,0,4,76,21,24,15,4,3,3,0,0,822,981,139,25,344,155,167,3424,1645,1873,2193,1526,1206,540,514,162,1247,15161,6,0,3,5,0,10,11,38,279,459,748,418,542,200,310,3033,0,0,6,4,0,11,25,59,164,112,66,19,20,12,63,561,4,10,8,0,3,16,47,139,1026,1151,982,469,513,89,359,4820,4,0,0,3,0,4,13,39,138,176,189,87,84,25,74,826,7,10,5,3,21,25,169,313,1034,700,224,381,100,23,248,3275,4,0,9,9,25,82,92,112,195,88,43,26,21,4,104,812,3,0,0,0,4,4,17,32,58,39,24,23,9,0,56,280,0,0,0,0,0,3,3,12,27,30,35,20,18,11,26,185,21,8,46,27,38,203,212,161,355,145,52,23,22,7,194,1532
10301,0,6,3,7,3,3,6,27,21,5,39,19,16,510,206,225,116,39,23,3,6,4,56,1290,3,0,0,0,0,13,9,11,0,0,0,0,0,0,257,294,38,5,65,42,47,639,389,471,683,563,483,262,250,84,377,4390,4,0,0,0,0,0,8,18,95,188,245,167,240,95,110,1167,0,0,0,0,0,0,8,13,17,29,16,8,9,4,13,122,0,0,0,0,3,8,25,50,295,297,297,177,171,41,114,1464,0,0,0,0,0,4,3,10,40,40,63,30,35,12,13,241,0,3,0,7,4,15,42,102,223,198,53,88,34,7,57,832,0,0,3,0,0,16,17,29,54,17,12,8,3,3,14,169,0,0,0,0,3,3,0,11,16,10,7,3,0,3,8,72,0,0,0,0,0,0,0,3,9,8,8,3,15,4,5,51,3,0,9,5,6,47,29,24,58,22,10,4,7,3,32,268
10302,12,13,13,4,0,5,12,77,44,4,118,28,26,1096,300,329,132,25,23,7,14,10,107,2258,0,0,4,5,0,25,12,12,0,0,0,0,0,0,417,472,113,16,190,75,105,1367,647,874,977,548,413,202,190,92,664,6480,20,5,8,5,4,23,22,51,182,208,229,99,137,62,199,1255,0,3,0,0,0,6,16,21,39,25,9,12,3,0,12,147,4,3,4,8,4,26,46,122,422,348,247,108,125,30,159,1660,0,0,0,0,3,0,5,8,53,52,52,19,29,5,29,258,9,3,6,3,17,25,96,125,298,181,53,90,27,12,88,1044,0,3,0,5,4,28,30,34,52,18,3,3,0,0,18,210,0,0,0,0,4,8,10,15,25,15,3,10,0,0,10,99,0,0,3,0,0,0,3,6,17,8,13,5,8,0,16,79,9,3,15,7,14,80,68,49,112,34,10,3,0,0,70,471
10303,7,3,0,0,9,4,8,41,33,8,89,26,16,866,245,279,113,32,10,10,9,3,86,1825,3,0,3,0,0,16,3,10,6,0,0,0,0,0,303,346,55,11,117,62,68,1056,430,582,661,464,359,257,302,75,493,4989,0,0,3,3,3,7,18,21,69,114,141,90,171,66,111,812,0,0,0,6,0,5,11,15,44,19,10,11,13,0,13,144,3,0,0,5,7,7,20,48,221,293,229,192,216,53,120,1411,0,0,0,0,0,0,7,11,33,25,34,21,45,4,24,208,5,0,3,0,6,22,38,78,220,178,48,195,42,8,74,917,0,0,4,6,3,19,18,31,47,20,8,10,3,0,29,207,0,0,0,0,0,0,5,6,16,8,7,7,3,0,16,69,0,0,0,0,0,0,0,0,6,7,4,8,12,3,5,55,3,4,13,15,16,82,61,61,91,32,8,6,8,4,64,463
