SA3_CODE_2016,C06_CFC_SMS_MRM_NDC_UR_1,C06_CFC_SMS_MRM_NDC_UR_2,C06_CFC_SMS_MRM_NDC_UR_3,C06_CFC_SMS_MRM_NDC_UR_4mo,C06_CFC_SMS_MRM_NDC_UR_Total,C06_CFC_SMS_M_DfM_NDC_UR_1,C06_CFC_SMS_M_DfM_NDC_UR_2,C06_CFC_SMS_M_DfM_NDC_UR_3,C06_CFC_SMS_M_DfM_NDC_UR_4mo,C06_CFC_SMS_M_DfM_NDC_UR_Tot,C06_CFC_SMS_Tot_NDC_UR_1,C06_CFC_SMS_Tot_NDC_UR_2,C06_CFC_SMS_Tot_NDC_UR_3,C06_CFC_SMS_Tot_NDC_UR_4mo,C06_CFC_SMS_Tot_NDC_UR_Tot,C06_1_PF_NDC_UR_1,C06_1_PF_NDC_UR_2,C06_1_PF_NDC_UR_3,C06_1_PF_NDC_UR_4mo,C06_1_PF_NDC_UR_Tot,C06_Tot_NDC_UR_1,C06_Tot_NDC_UR_2,C06_Tot_NDC_UR_3,C06_Tot_NDC_UR_4mo,C06_Tot_NDC_UR_Tot,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Tot,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1_PF_NDC_UR_1,C11_1_PF_NDC_UR_2,C11_1_PF_NDC_UR_3,C11_1_PF_NDC_UR_4mo,C11_1_PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1_PF_NDC_UR_1,C16_1_PF_NDC_UR_2,C16_1_PF_NDC_UR_3,C16_1_PF_NDC_UR_4mo,C16_1_PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot
10102,1522,2064,808,223,4612,322,261,93,49,725,1845,2322,901,274,5338,692,407,155,43,1296,2537,2727,1056,318,6630,1607,2194,827,233,4863,374,295,118,30,819,1984,2487,944,264,5680,735,427,139,53,1355,2712,2920,1079,323,7034,1770,2216,857,219,5065,460,338,134,44,973,2230,2547,991,261,6032,737,425,146,42,1353,2969,2974,1141,306,7385
10103,419,569,243,83,1317,121,110,28,9,266,535,678,271,96,1579,223,128,46,22,420,762,811,323,113,2008,387,615,238,74,1313,130,128,34,21,311,516,738,277,91,1623,233,145,48,20,441,748,884,328,114,2071,392,545,225,61,1223,129,124,41,17,315,524,661,269,81,1538,219,143,48,10,427,745,805,320,95,1962
10104,1385,1817,765,303,4270,448,394,156,83,1074,1836,2206,918,383,5340,1046,696,228,106,2083,2881,2900,1151,489,7427,1267,1561,690,252,3772,496,418,168,92,1177,1761,1984,857,346,4951,1032,724,248,126,2129,2794,2710,1103,478,7080,1129,1386,597,221,3330,453,462,177,78,1175,1579,1850,777,301,4504,935,632,214,121,1907,2522,2477,986,423,6405
10105,727,1001,486,169,2388,184,162,64,20,434,915,1170,549,186,2826,474,294,133,30,926,1387,1463,683,220,3753,774,938,429,157,2296,199,202,88,36,524,976,1135,512,191,2821,534,340,135,33,1039,1508,1479,649,228,3864,728,929,435,168,2261,220,199,77,40,535,947,1129,511,207,2796,505,315,119,56,996,1452,1444,628,269,3791
10106,799,1130,626,244,2801,171,170,70,35,448,965,1307,691,282,3242,386,280,81,52,803,1355,1588,779,330,4048,816,1213,605,227,2857,223,211,80,43,564,1045,1418,682,273,3416,437,266,122,40,868,1483,1686,805,312,4288,718,1172,609,206,2701,263,195,82,38,584,986,1369,689,242,3287,399,289,149,58,896,1388,1663,840,295,4188
10201,4069,5845,2368,650,12936,796,687,244,77,1803,4864,6529,2618,720,14736,2548,1652,596,187,4983,7414,8181,3215,908,19715,4160,5902,2234,690,12992,975,807,313,102,2203,5136,6718,2543,798,15191,2608,1702,583,170,5061,7746,8414,3123,964,20249,4152,5952,2202,595,12894,1090,996,331,130,2543,5244,6948,2527,720,15442,2467,1635,523,160,4788,7714,8583,3051,879,20227
10202,3170,4644,1923,637,10369,887,803,322,143,2148,4057,5443,2245,779,12518,2564,1801,689,228,5284,6617,7242,2939,1009,17801,3250,4635,1979,620,10488,1068,938,351,172,2531,4318,5579,2324,793,13016,2961,1921,735,315,5926,7277,7498,3064,1112,18944,3383,4590,1925,607,10509,1172,1063,396,167,2795,4552,5653,2319,776,13303,2819,1882,746,261,5705,7369,7533,3067,1032,19009
10301,1067,1405,621,229,3310,226,205,91,51,571,1288,1607,708,282,3886,586,364,139,62,1150,1875,1969,847,340,5037,964,1357,669,236,3226,313,252,103,64,732,1271,1611,771,300,3959,629,420,185,79,1306,1902,2034,955,377,5271,971,1402,592,219,3182,312,301,130,60,800,1278,1702,721,281,3984,675,458,209,70,1414,1954,2166,926,344,5396
10302,1265,1653,995,420,4329,316,286,139,95,841,1582,1943,1136,509,5170,732,528,207,116,1584,2316,2472,1343,622,6755,1102,1429,895,397,3813,337,306,180,81,900,1435,1729,1070,478,4716,751,524,227,111,1615,2185,2259,1297,592,6334,953,1272,793,311,3329,345,316,163,70,895,1300,1585,956,382,4223,720,489,235,117,1565,2019,2072,1194,500,5791
10303,965,1347,637,215,3163,275,234,127,57,691,1238,1586,763,269,3855,644,369,160,55,1224,1877,1955,919,324,5077,917,1225,608,193,2945,299,277,122,71,764,1215,1504,729,256,3711,661,408,168,69,1306,1876,1912,899,330,5017,883,1200,545,187,2819,316,300,142,57,815,1205,1505,686,242,3638,649,414,161,71,1296,1854,1916,848,315,4934
10304,1237,1763,893,319,4208,315,266,99,80,764,1550,2027,994,398,4971,756,486,170,102,1514,2307,2517,1165,497,6488,1260,1828,937,308,4332,359,325,139,67,892,1621,2154,1080,374,5229,804,500,210,128,1639,2428,2648,1288,500,6865,1341,1818,962,333,4452,364,364,130,70,925,1705,2182,1097,394,5377,805,553,242,99,1698,2505,2738,1341,492,7073
10401,917,1315,624,239,3092,319,274,140,67,800,1241,1590,759,309,3890,775,578,218,92,1659,2016,2163,975,402,5550,946,1179,554,212,2886,319,310,133,85,848,1269,1486,688,296,3731,848,589,231,102,1767,2111,2072,917,397,5503,816,1030,497,178,2521,325,288,158,55,826,1133,1322,650,232,3343,803,527,181,97,1604,1938,1848,835,327,4953
10402,1702,2465,1044,357,5566,505,477,172,93,1247,2201,2940,1217,450,6813,1565,1059,371,128,3127,3768,4004,1592,575,9942,1818,2335,995,339,5487,543,531,196,85,1353,2357,2862,1194,419,6839,1587,1027,344,161,3112,3941,3893,1538,579,9948,1652,2325,968,310,5254,599,588,204,78,1470,2251,2915,1171,388,6727,1427,977,346,150,2911,3679,3897,1520,537,9639
10501,498,614,353,165,1637,221,215,110,99,654,725,827,462,270,2290,424,262,126,94,903,1150,1091,589,362,3195,410,544,308,142,1409,240,176,110,62,587,649,721,418,208,1995,400,239,132,96,868,1048,959,547,304,2861,331,464,252,120,1165,196,174,87,60,519,529,637,340,179,1685,366,246,135,80,827,886,887,479,259,2510
10502,434,551,219,78,1287,161,133,67,39,401,598,679,290,115,1687,407,230,100,51,785,1008,913,389,166,2467,381,447,178,64,1071,173,130,72,37,405,549,581,250,95,1476,402,249,108,58,821,954,829,360,157,2298,313,390,144,57,899,163,128,53,23,377,479,522,198,77,1279,351,255,116,39,757,828,772,313,121,2035
10503,1460,2081,1112,407,5059,404,341,164,118,1030,1872,2423,1274,521,6086,1052,748,351,183,2333,2923,3164,1625,702,8415,1376,1928,1021,393,4718,421,408,196,102,1129,1794,2338,1219,495,5840,1162,786,324,209,2480,2950,3123,1541,703,8323,1362,1736,937,369,4409,469,379,200,94,1137,1835,2107,1134,465,5541,1077,775,346,179,2380,2915,2888,1480,642,7925
10601,1849,2769,1201,432,6259,518,466,209,104,1294,2374,3237,1413,535,7554,1205,739,355,125,2426,3573,3978,1766,662,9976,1992,2718,1137,417,6260,646,543,235,108,1538,2634,3266,1374,524,7802,1334,900,328,144,2713,3973,4165,1710,673,10511,1941,2630,1073,370,6013,680,619,256,115,1671,2627,3247,1329,485,7679,1342,969,378,190,2882,3967,4210,1707,672,10559
