RA_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
RA10,84,809,157047,157934,4456,12203,158907,175563,133184,62475,187049,382712,225615,41384,87415,354412,209579,31600,81523,322702,182236,19952,68327,270514,137388,9562,45303,192249,69792,2837,25097,97732,18398,504,13261,32154,980719,181320,823931,1985977,366,1553,147795,149717,12089,18270,141520,171877,178989,65476,155756,400230,236998,38841,95623,371456,211984,29389,103190,344560,174807,17178,100479,292468,118241,6783,83461,208478,49004,1589,67251,117841,8222,285,40299,48808,990696,179372,935369,2105436,445,2361,304840,307655,16544,30475,300422,347442,312178,127955,342810,782938,462610,80221,183036,725868,421568,60984,184718,667266,357046,37133,168804,562979,255622,16345,128760,400735,118793,4425,92352,215570,26615,789,53558,80966,1971423,360690,1759304,4091416
RA11,26,439,38304,38773,987,4898,24524,30405,21338,13723,25392,60455,38774,10384,18115,67271,46284,10153,23067,79502,52412,7970,24007,84384,49594,4396,17886,71873,25342,1208,9986,36538,5989,226,4365,10581,240743,53399,185642,479786,54,1012,35966,37028,2053,7018,21179,30251,28116,14489,23854,66468,43714,10732,21270,75715,50273,10503,26853,87621,54240,7332,28093,89662,44493,3365,26182,74043,18598,766,21864,41228,2752,114,12555,15424,244293,55322,217817,517438,82,1455,74264,75805,3038,11914,45706,60656,49457,28213,49252,126921,82495,21114,39381,142989,96553,20654,49915,167123,106648,15300,52098,174043,94086,7759,44067,145913,43936,1979,31848,77762,8737,342,16922,26005,485038,108724,403459,997218
RA12,5,144,10799,10954,256,1442,6375,8072,5450,4048,7061,16562,10533,3049,5415,18999,13802,3194,8034,25029,17349,2760,9214,29319,15922,1453,6926,24303,7934,413,3793,12143,1689,56,1380,3127,72941,16570,59001,148509,17,346,9513,9872,541,2113,4946,7601,7507,4284,6330,18118,11996,3160,5548,20706,15529,3273,7251,26049,17689,2544,8284,28514,13965,1062,7647,22680,5576,223,6617,12414,792,38,3594,4426,73608,17057,59728,150389,20,491,20317,20830,804,3560,11319,15674,12956,8338,13390,34679,22523,6214,10968,39706,29338,6466,15282,51078,35034,5308,17498,57836,29886,2515,14582,46982,13511,642,10404,24556,2482,99,4972,7552,146550,33624,118727,298903
RA13,0,6,557,566,20,126,451,603,485,360,597,1435,712,236,417,1370,866,245,584,1706,976,173,678,1827,717,67,492,1278,375,26,271,670,73,0,68,141,4218,1244,4127,9593,0,22,502,523,35,187,373,588,643,362,525,1531,790,245,389,1429,914,246,466,1623,945,137,415,1498,596,53,407,1050,240,18,377,628,34,4,170,207,4194,1276,3616,9080,0,37,1053,1092,54,315,821,1184,1134,722,1117,2972,1506,480,810,2792,1780,491,1051,3321,1916,311,1098,3323,1310,119,902,2333,613,45,645,1304,107,8,237,344,8409,2519,7735,18666
RA14,0,0,104,102,3,28,85,116,42,75,134,249,99,61,103,264,135,70,135,338,162,45,157,362,108,13,126,245,47,5,40,99,11,0,10,21,607,292,898,1796,0,3,111,112,3,41,81,131,64,73,130,268,114,50,84,251,131,71,101,304,155,30,102,277,95,10,85,186,36,0,37,81,3,0,26,34,601,281,759,1644,0,3,211,218,8,68,166,242,111,145,262,516,212,112,194,510,263,141,239,645,313,72,256,639,205,27,207,436,85,6,81,178,13,0,39,58,1209,571,1662,3443
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
