RA_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA10,2212259,2328398,4540648,1033095,639606,1672702,280034,518232,798261,58801,68497,127294,90246,82365,172615,1462173,1308700,2770870,615519,882328,1497856,6.2,6.3,6.2,66.1,56.2,61,62,52.7,57.2,157711,152332,310045,30610,49622,80230,375729,451333,827067,178621,240648,419271,404217,189345,593559,14720,28903,43621,36239,60521,96758,455174,278768,733942,2098594,2181505,4280099,399974,411651,811624,1366532,1429175,2795700,1027276,1063163,2090440
RA11,563218,596008,1159221,220124,124809,344927,67511,142457,209972,16321,18198,34523,21356,18091,39445,325311,303554,628871,194901,247796,442702,6.6,6,6.3,57.8,50.9,54.2,54,47.9,50.8,13846,14811,28662,6341,12209,18553,45808,72040,117846,36606,60411,97024,158314,74857,233168,5645,11698,17343,10066,19305,29371,174029,105863,279891,527366,549515,1076879,95521,102907,198427,354432,365039,719474,241012,261630,502646
RA12,177088,177331,354419,68791,36468,105253,18723,39527,58248,5716,5743,11459,6522,5002,11527,99747,86738,186488,60504,74080,134581,6.5,5.8,6.2,56.3,48.9,52.6,52.6,46.1,49.4,2244,2880,5128,1290,2934,4225,10229,18504,28735,8902,15624,24528,45490,21167,66654,1806,3576,5384,2889,5270,8159,50187,30009,80199,167345,166012,333355,24421,25812,50233,121298,118357,239660,61197,64712,125910
RA13,11990,11189,23182,5343,2842,8179,940,2218,3153,438,426,867,475,346,813,7200,5821,13022,3245,3982,7234,6.6,5.9,6.2,60.1,52,56.2,56.1,49,52.6,94,149,240,46,143,187,524,1184,1704,488,880,1362,2449,1128,3581,119,215,336,170,230,398,2737,1571,4314,11226,10493,21718,1532,1623,3157,8308,7447,15757,3750,3913,7666
RA14,2393,2107,4502,886,545,1434,161,273,433,76,87,157,114,85,204,1235,989,2232,800,831,1630,9.2,8.6,9.1,51.6,46.9,49.6,46.9,43,45,11,30,44,11,17,29,69,174,245,102,156,265,420,197,615,47,60,100,44,40,89,508,301,805,2175,1996,4171,300,290,598,1622,1500,3123,676,641,1318
RA15,157,220,374,28,25,48,7,18,25,22,26,49,0,3,4,61,72,130,77,110,185,0,4.2,3.1,38.9,32.7,34.8,36.3,31.4,32.6,0,4,5,0,0,4,11,25,35,13,20,31,42,22,61,0,3,3,3,11,8,41,33,74,138,182,322,14,21,43,105,139,245,43,61,104
RA19,6958,4590,11545,1322,653,1977,531,520,1047,189,116,301,583,358,941,2623,1646,4272,2178,1876,4062,22.2,21.7,22,37.7,35.9,37,29.3,28.1,28.8,193,177,365,51,67,120,574,673,1247,294,374,663,1063,351,1416,64,60,126,104,92,195,1231,504,1738,1571,849,2420,3356,2845,6200,1027,548,1571,3734,3027,6765
