RA_CODE_2016,M_Neg_Nil_income_15_19_yrs,M_Neg_Nil_income_20_24_yrs,M_Neg_Nil_income_25_34_yrs,M_Neg_Nil_income_35_44_yrs,M_Neg_Nil_income_45_54_yrs,M_Neg_Nil_income_55_64_yrs,M_Neg_Nil_income_65_74_yrs,M_Neg_Nil_income_75_84_yrs,M_Negtve_Nil_incme_85_yrs_ovr,M_Neg_Nil_income_Tot,M_1_149_15_19_yrs,M_1_149_20_24_yrs,M_1_149_25_34_yrs,M_1_149_35_44_yrs,M_1_149_45_54_yrs,M_1_149_55_64_yrs,M_1_149_65_74_yrs,M_1_149_75_84_yrs,M_1_149_85ov,M_1_149_Tot,M_150_299_15_19_yrs,M_150_299_20_24_yrs,M_150_299_25_34_yrs,M_150_299_35_44_yrs,M_150_299_45_54_yrs,M_150_299_55_64_yrs,M_150_299_65_74_yrs,M_150_299_75_84_yrs,M_150_299_85ov,M_150_299_Tot,M_300_399_15_19_yrs,M_300_399_20_24_yrs,M_300_399_25_34_yrs,M_300_399_35_44_yrs,M_300_399_45_54_yrs,M_300_399_55_64_yrs,M_300_399_65_74_yrs,M_300_399_75_84_yrs,M_300_399_85ov,M_300_399_Tot,M_400_499_15_19_yrs,M_400_499_20_24_yrs,M_400_499_25_34_yrs,M_400_499_35_44_yrs,M_400_499_45_54_yrs,M_400_499_55_64_yrs,M_400_499_65_74_yrs,M_400_499_75_84_yrs,M_400_499_85ov,M_400_499_Tot,M_500_649_15_19_yrs,M_500_649_20_24_yrs,M_500_649_25_34_yrs,M_500_649_35_44_yrs,M_500_649_45_54_yrs,M_500_649_55_64_yrs,M_500_649_65_74_yrs,M_500_649_75_84_yrs,M_500_649_85ov,M_500_649_Tot,M_650_799_15_19_yrs,M_650_799_20_24_yrs,M_650_799_25_34_yrs,M_650_799_35_44_yrs,M_650_799_45_54_yrs,M_650_799_55_64_yrs,M_650_799_65_74_yrs,M_650_799_75_84_yrs,M_650_799_85ov,M_650_799_Tot,M_800_999_15_19_yrs,M_800_999_20_24_yrs,M_800_999_25_34_yrs,M_800_999_35_44_yrs,M_800_999_45_54_yrs,M_800_999_55_64_yrs,M_800_999_65_74_yrs,M_800_999_75_84_yrs,M_800_999_85ov,M_800_999_Tot,M_1000_1249_15_19_yrs,M_1000_1249_20_24_yrs,M_1000_1249_25_34_yrs,M_1000_1249_35_44_yrs,M_1000_1249_45_54_yrs,M_1000_1249_55_64_yrs,M_1000_1249_65_74_yrs,M_1000_1249_75_84_yrs,M_1000_1249_85ov,M_1000_1249_Tot,M_1250_1499_15_19_yrs,M_1250_1499_20_24_yrs,M_1250_1499_25_34_yrs,M_1250_1499_35_44_yrs,M_1250_1499_45_54_yrs,M_1250_1499_55_64_yrs,M_1250_1499_65_74_yrs,M_1250_1499_75_84_yrs,M_1250_1499_85ov,M_1250_1499_Tot,M_1500_1749_15_19_yrs,M_1500_1749_20_24_yrs,M_1500_1749_25_34_yrs,M_1500_1749_35_44_yrs,M_1500_1749_45_54_yrs,M_1500_1749_55_64_yrs,M_1500_1749_65_74_yrs,M_1500_1749_75_84_yrs,M_1500_1749_85ov,M_1500_1749_Tot,M_1750_1999_15_19_yrs,M_1750_1999_20_24_yrs,M_1750_1999_25_34_yrs,M_1750_1999_35_44_yrs,M_1750_1999_45_54_yrs,M_1750_1999_55_64_yrs,M_1750_1999_65_74_yrs,M_1750_1999_75_84_yrs,M_1750_1999_85ov,M_1750_1999_Tot,M_2000_2999_15_19_yrs,M_2000_2999_20_24_yrs,M_2000_2999_25_34_yrs,M_2000_2999_35_44_yrs,M_2000_2999_45_54_yrs,M_2000_2999_55_64_yrs,M_2000_2999_65_74_yrs,M_2000_2999_75_84_yrs,M_2000_2999_85ov,M_2000_2999_Tot,M_3000_more_15_19_yrs,M_3000_more_20_24_yrs,M_3000_more_25_34_yrs,M_3000_more_35_44_yrs,M_3000_more_45_54_yrs,M_3000_more_55_64_yrs,M_3000_more_65_74_yrs,M_3000_more_75_84_yrs,M_3000_more_85ov,M_3000_more_Tot,M_PI_NS_15_19_yrs,M_PI_NS_ns_20_24_yrs,M_PI_NS_ns_25_34_yrs,M_PI_NS_ns_35_44_yrs,M_PI_NS_ns_45_54_yrs,M_PI_NS_ns_55_64_yrs,M_PI_NS_ns_65_74_yrs,M_PI_NS_ns_75_84_yrs,M_PI_NS_ns_85_yrs_ovr,M_PI_NS_ns_Tot,M_Tot_15_19_yrs,M_Tot_20_24_yrs,M_Tot_25_34_yrs,M_Tot_35_44_yrs,M_Tot_45_54_yrs,M_Tot_55_64_yrs,M_Tot_65_74_yrs,M_Tot_75_84_yrs,M_Tot_85ov,M_Tot_Tot,F_Neg_Nil_income_15_19_yrs,F_Neg_Nil_income_20_24_yrs,F_Neg_Nil_income_25_34_yrs,F_Neg_Nil_income_35_44_yrs,F_Neg_Nil_income_45_54_yrs,F_Neg_Nil_income_55_64_yrs,F_Neg_Nil_income_65_74_yrs,F_Neg_Nil_income_75_84_yrs,F_Neg_Nil_incme_85_yrs_ovr,F_Neg_Nil_income_Tot,F_1_149_15_19_yrs,F_1_149_20_24_yrs,F_1_149_25_34_yrs,F_1_149_35_44_yrs,F_1_149_45_54_yrs,F_1_149_55_64_yrs,F_1_149_65_74_yrs,F_1_149_75_84_yrs,F_1_149_85ov,F_1_149_Tot,F_150_299_15_19_yrs,F_150_299_20_24_yrs,F_150_299_25_34_yrs,F_150_299_35_44_yrs,F_150_299_45_54_yrs,F_150_299_55_64_yrs,F_150_299_65_74_yrs,F_150_299_75_84_yrs,F_150_299_85ov,F_150_299_Tot,F_300_399_15_19_yrs,F_300_399_20_24_yrs,F_300_399_25_34_yrs,F_300_399_35_44_yrs,F_300_399_45_54_yrs,F_300_399_55_64_yrs,F_300_399_65_74_yrs,F_300_399_75_84_yrs,F_300_399_85ov,F_300_399_Tot
RA10,86709,30833,22791,11894,11765,16950,11977,5278,1810,200017,30946,12840,4548,3107,3753,5575,5770,2524,830,69884,13681,19984,14535,10768,12271,16391,17802,11475,3579,120487,6475,14456,13678,10241,13483,18806,37315,27807,8954,151208,7150,15267,16664,11576,13783,16754,26080,17312,8010,132600,6260,18500,21247,14194,14633,16464,19239,10341,3457,124338,3336,20405,32207,21350,20742,19803,14996,7217,2395,142453,1772,20296,48904,33245,31078,26706,14453,4716,1562,182731,815,16004,59705,42149,37321,30677,14485,4094,1320,206562,268,7521,44796,35007,29203,21950,8756,2126,687,150312,143,3539,37684,35176,28876,19891,6752,1660,533,134254,76,1444,25185,29712,23536,15297,4368,1013,378,100998,62,1168,37424,58799,44517,26663,7117,1633,510,177896,166,601,14018,44214,43729,24606,7678,2145,799,137956,13632,15743,36446,29012,25651,21288,17959,12847,7965,180551,171494,198610,429826,390446,354337,297829,214740,112191,42783,2212259,75406,30010,47454,40202,33054,38906,16631,7234,3230,292133,38064,13948,11211,13044,11344,12542,8009,3292,1115,112565,17025,22169,22937,22704,21898,27702,23084,12801,4470,174799,6892,16539,21334,21163,22853,29563,46324,30472,10812,205947
RA11,17294,2260,1807,1796,2343,4032,2517,932,385,33369,8667,1714,809,785,1206,2104,1785,642,215,17929,3677,4157,3787,3294,4007,6360,7066,3674,983,37015,1932,2264,2642,2954,4512,7700,16767,11568,3242,53583,2550,2825,2945,3356,4976,7526,12525,7384,2614,46695,2270,4314,4010,3805,4734,6829,8809,4434,1235,40445,1255,5442,7214,5770,6769,7796,6385,3029,905,44560,585,4815,9927,8367,9612,9925,5762,1832,563,51395,245,3054,10190,9665,10400,10028,5437,1548,474,51051,75,1399,6802,6881,7474,6518,2604,617,186,32565,24,677,5226,6455,7000,5460,1751,384,135,27110,12,292,3328,5184,5661,4131,1055,246,97,20008,20,259,4305,8212,8882,6031,1477,351,112,29658,47,135,1284,3497,4604,3675,1436,466,160,15301,5713,4297,8406,8122,8957,9113,8773,6041,3105,62529,44368,37896,72687,78160,91142,97238,84158,43154,14409,563218,15191,2078,4649,4808,5502,9064,3257,1219,673,46432,11064,1922,2315,2705,2834,4131,2461,853,347,28622,4720,4803,5660,5539,6048,9652,8599,3888,1257,50166,2135,3478,5425,6020,7330,11056,19987,11565,3587,70578
RA12,5018,527,585,624,949,1524,855,341,108,10525,2163,370,265,247,519,863,653,252,77,5404,958,1093,1213,1206,1724,2833,2682,1256,294,13262,569,548,806,1058,1850,3114,5894,3891,947,18683,747,743,903,1120,1929,3071,4455,2468,809,16253,621,1096,1170,1231,1854,2538,2800,1330,327,12962,409,1499,2067,1910,2469,2852,2107,854,252,14412,213,1435,2805,2523,3308,3495,1728,561,160,16218,75,869,2775,2713,3317,3420,1623,469,128,15387,27,368,1674,1875,2088,1925,779,177,49,8966,9,166,1257,1547,1822,1501,472,110,41,6930,8,119,776,1249,1309,1026,320,83,27,4920,5,69,1042,1643,1853,1339,391,109,40,6494,20,40,332,745,909,883,377,148,49,3507,2197,1331,2568,2663,3379,3923,3741,2405,969,23171,13037,10269,20245,22355,29274,34306,28879,14443,4286,177088,4402,557,1269,1336,1724,2837,1031,373,154,13684,2657,451,750,818,927,1347,750,266,97,8069,1140,1125,1788,1819,2242,3541,2742,1199,344,15940,487,833,1663,1897,2475,3966,6490,3553,1069,22416
RA13,307,42,35,66,71,120,69,22,12,744,60,26,21,14,39,38,26,19,0,248,55,72,109,96,136,166,139,54,16,835,25,44,73,83,128,194,289,196,37,1080,37,38,65,90,133,197,252,172,43,1020,42,72,106,85,138,154,131,54,14,796,27,85,141,116,151,174,109,42,11,852,19,94,181,147,187,178,96,36,8,946,16,88,215,173,202,178,80,28,3,975,3,35,151,117,143,124,41,9,3,629,3,29,147,118,108,109,24,9,5,552,0,18,107,95,80,85,25,5,0,412,0,20,152,147,148,96,24,8,6,601,4,4,36,85,103,82,28,14,4,354,170,123,270,249,314,350,282,156,43,1955,769,792,1806,1681,2079,2220,1620,819,206,11990,298,41,121,93,119,154,58,29,10,927,112,31,69,53,67,59,33,15,4,441,66,86,143,121,147,155,127,56,21,932,21,83,111,133,158,214,300,154,67,1248
RA14,50,10,7,11,20,26,9,3,0,136,10,6,3,5,6,9,7,3,0,56,21,29,36,38,51,46,21,16,0,248,4,8,18,31,32,40,53,28,9,217,7,13,25,21,26,42,60,17,10,215,3,12,18,18,22,21,15,5,0,125,4,14,29,21,29,32,22,4,3,163,3,9,31,19,39,31,13,4,0,151,0,8,34,29,35,39,13,3,0,178,0,3,13,19,22,15,7,3,0,85,0,0,27,18,21,16,7,3,0,90,0,0,11,18,11,11,7,0,0,62,0,3,14,15,17,22,6,0,0,76,0,3,3,13,3,29,9,0,0,65,42,53,104,66,90,86,64,24,3,532,140,167,371,342,446,459,314,126,28,2393,57,7,19,23,15,32,9,5,3,183,18,9,13,17,8,8,3,0,3,78,26,18,36,30,50,38,22,10,3,226,6,20,26,27,43,44,51,23,8,242
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,3,0,9,0,0,0,0,0,6,8,3,0,20,0,0,0,0,0,0,5,0,0,15,0,0,0,0,3,0,8,0,0,17,0,3,0,0,4,3,4,5,0,19,0,0,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,3,4,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,10,3,0,29,3,9,11,18,25,22,48,16,3,157,3,0,0,0,0,15,0,0,0,20,0,0,0,0,0,0,0,0,0,9,3,0,0,0,3,6,4,4,0,16,0,0,3,0,0,6,12,0,0,23
RA19,91,125,170,81,87,81,28,6,3,680,22,24,31,40,36,38,5,3,0,200,47,125,191,216,152,135,59,15,0,944,7,54,117,112,149,133,156,35,4,770,7,46,67,89,120,109,163,23,5,637,13,41,77,45,52,56,52,11,3,350,15,67,111,58,69,52,31,8,3,415,9,58,145,85,55,54,35,3,0,449,3,35,104,71,57,49,18,0,0,332,0,21,48,45,30,20,11,0,0,176,0,4,53,30,23,21,3,0,0,136,0,3,37,21,13,11,4,0,0,89,0,0,48,51,25,11,4,5,0,141,0,0,13,35,14,7,8,0,0,81,58,136,405,287,270,209,135,43,12,1558,285,746,1615,1269,1148,986,719,162,32,6958,69,104,130,60,65,99,21,10,5,558,12,25,23,30,23,38,6,4,0,163,55,87,108,87,97,116,40,10,0,609,6,39,96,74,84,94,142,21,6,556
