RA_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
RA10,1416,10037,90574,473530,402993,106842,23894,22088,1131382,843,8080,41710,43265,6989,875,219,3281,105263,542,8956,37102,81413,26663,3594,777,4014,163054,1383,17041,78812,124677,33651,4466,992,7291,268318,2522,24541,58480,17164,1917,376,266,4456,109726,2371,23956,107099,20746,938,153,131,4411,159812,5308,51533,119465,32348,1355,199,191,5136,215528,66,644,696,341,120,35,23,132,2056,10266,100680,285743,70598,4327,761,612,14136,487122,445,2989,4394,2290,747,187,89,864,12001,215,1374,2261,1574,903,262,150,1780,8518,13726,132118,461782,672671,442620,112519,25743,46159,1907344
RA11,998,6423,46664,199423,144008,27715,6153,9923,441307,167,2953,17429,9363,719,94,45,1420,32184,56,1113,4025,5176,818,78,27,336,11623,222,4061,21459,14532,1536,167,75,1747,43804,278,3953,11740,3181,325,58,62,1075,20681,18,298,1542,366,26,0,0,101,2356,9,257,1421,624,31,5,0,75,2423,4,52,36,29,11,0,3,9,144,306,4561,14742,4196,391,68,71,1262,25597,671,2310,2813,1457,534,99,52,600,8531,69,403,804,1044,542,155,118,544,3673,2261,17763,86475,220652,147014,28207,6459,14081,522910
RA12,558,3613,20624,68593,39555,7266,1796,4050,146060,72,560,2037,1070,175,43,17,216,4184,8,70,474,353,59,8,3,37,1020,72,637,2519,1426,233,47,18,251,5200,101,1389,3060,760,78,14,14,398,5810,3,31,142,63,11,0,0,15,268,3,26,42,20,8,0,0,9,110,0,15,4,4,3,6,0,3,35,106,1458,3250,849,100,17,14,421,6215,281,740,685,455,215,41,36,219,2684,34,173,320,509,280,75,89,154,1634,1057,6618,27403,71839,40380,7450,1958,5102,161806
RA13,45,306,1350,4018,2620,551,149,355,9408,0,16,47,21,3,0,0,4,96,0,3,0,0,0,0,0,0,8,0,18,50,24,3,0,0,3,97,8,141,179,20,4,0,3,15,373,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,3,16,0,0,0,0,3,0,0,0,3,10,154,179,22,5,0,3,21,392,31,66,49,49,19,5,4,38,262,9,13,48,79,42,11,13,20,228,91,555,1686,4192,2687,567,164,439,10388
RA14,4,88,268,610,474,100,43,72,1663,0,5,3,6,0,0,0,3,19,0,0,5,0,0,0,0,0,5,0,5,12,6,0,0,0,3,24,0,0,15,3,0,0,0,8,29,3,5,17,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,29,3,0,0,0,8,52,10,36,17,15,10,0,0,19,106,0,0,3,7,3,0,0,8,25,18,136,327,645,488,104,42,107,1865
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
