RA_CODE_2016,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
RA10,143192,1117,186,38,13,8,41,17992,162588,160545,9584,3693,764,140,40,68,18986,193813,146423,28210,16522,5138,1308,306,177,19671,217743,91981,49261,44879,15134,4492,1253,660,16403,224056,46629,37223,65919,27058,8414,2501,1500,12552,201792,33664,29615,72852,34076,10935,3270,2161,11123,197694,29461,28032,70012,34573,11295,3479,2270,10650,189766,26534,25629,65747,34196,11637,3504,2320,10305,179865,23207,23935,59762,34106,12347,3834,2405,10070,169659,18482,19804,51834,31653,11850,3634,2374,8947,148576,14122,14453,47538,29558,11346,3526,2336,8699,131579,9600,9184,34482,23623,10002,3292,2474,7344,100003,6540,6104,22888,18602,9424,3768,3369,6630,77326,4783,4680,15202,13432,7727,3533,3772,6450,59580,6306,6839,17469,13793,8237,3942,4950,12809,74350,761463,293659,588974,315741,119160,39895,30880,178617,2328398
RA11,36358,661,87,25,8,3,18,5597,42756,26359,4026,1990,477,79,22,22,3473,36445,17782,6956,5991,2222,647,203,90,2953,36842,9652,7216,10636,5357,1722,521,297,2727,38117,5883,5310,12621,7731,2910,876,595,2560,38488,5312,5200,15352,9930,3831,1179,799,3080,44681,5953,5290,16467,10448,4078,1265,779,3398,47672,6271,5252,16527,11163,4548,1366,824,3511,49461,6302,5032,17291,12628,5255,1472,739,3798,52526,5494,4433,16458,12464,5023,1367,679,3794,49713,4705,3924,16570,11846,5002,1505,788,3826,48162,3388,2715,11721,9680,4650,1512,928,3311,37910,2243,1623,6948,7133,4378,1777,1331,3048,28469,1524,1262,4268,4690,3306,1577,1474,2639,20740,1760,1710,4770,4699,3324,1566,1662,4531,24019,138979,60601,157702,110501,48757,16196,11017,52249,596008
RA12,9634,228,38,4,3,0,3,1956,11870,6138,1293,665,181,34,10,3,1047,9379,4331,1860,1823,851,233,71,44,1023,10227,2227,1782,2935,1728,647,235,112,971,10652,1383,1225,3282,2339,1029,342,241,934,10773,1332,1201,3934,2971,1261,432,327,1109,12554,1563,1359,4246,3323,1390,474,336,1275,13967,1831,1500,4880,3659,1598,535,329,1435,15768,1896,1515,5226,4131,1944,567,350,1569,17205,1659,1392,4800,3881,1935,566,326,1534,16084,1254,1069,4742,3742,1888,618,345,1501,15154,915,812,3260,2909,1584,574,391,1217,11664,640,419,1917,2128,1511,610,499,1112,8847,410,314,1115,1330,1045,578,518,913,6220,446,441,1214,1302,1032,555,599,1368,6967,35649,16424,44079,34484,17130,6173,4423,18971,177331
RA13,553,18,4,0,0,0,0,144,723,434,116,61,24,3,0,0,116,759,387,148,149,65,24,11,9,131,931,180,151,235,147,58,18,11,123,915,116,77,206,164,78,35,24,118,817,86,63,216,206,106,38,36,115,868,89,77,234,195,115,44,44,120,917,85,77,285,249,111,34,35,155,1027,76,66,289,257,107,43,29,132,996,64,56,244,198,96,35,28,97,817,46,42,192,177,97,31,26,106,714,39,25,137,130,98,45,33,84,592,27,21,87,113,87,38,37,63,483,18,17,42,49,56,30,29,43,297,25,14,46,60,56,28,44,59,333,2228,954,2435,2039,1099,430,392,1616,11189
RA14,103,5,0,0,0,0,0,42,147,87,32,9,0,0,0,0,30,164,70,26,41,13,9,0,0,38,191,30,24,35,20,19,4,5,35,172,17,13,49,27,14,5,7,21,154,18,12,34,23,12,14,17,39,161,17,14,45,35,21,8,15,44,198,25,14,42,42,21,9,20,38,200,19,19,53,42,19,10,9,28,195,15,10,42,30,11,5,11,25,150,16,7,34,24,14,3,6,18,125,4,8,26,24,13,8,11,17,100,0,3,10,14,7,9,4,9,58,3,0,4,13,9,5,6,10,42,4,3,4,10,7,0,7,7,43,444,200,422,310,165,86,110,381,2107
RA15,8,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,12,3,0,5,0,0,0,0,3,14,3,0,3,0,0,0,0,0,3,0,0,8,0,0,0,0,0,12,0,0,4,0,0,0,0,0,7,3,3,3,4,3,0,0,5,22,0,6,8,5,0,0,0,3,23,3,6,5,0,3,3,0,3,26,0,3,13,11,0,3,0,8,36,3,0,5,9,3,0,0,4,28,0,0,6,3,0,0,0,5,14,0,0,0,0,3,0,0,3,10,0,0,3,3,0,0,0,0,7,39,21,65,35,21,6,0,37,220
RA19,167,12,3,0,0,0,0,50,232,424,27,17,0,0,0,0,150,615,397,28,29,16,3,0,3,159,635,199,48,40,23,13,4,3,124,457,111,36,42,30,10,3,7,97,338,95,39,31,25,10,9,8,86,290,89,30,49,36,10,8,3,90,310,67,40,70,35,14,8,5,94,338,56,26,95,55,26,14,3,65,341,63,27,106,78,34,4,3,73,391,36,24,98,56,31,8,7,65,326,17,8,41,23,20,6,3,30,154,13,3,14,23,3,3,0,23,78,4,8,4,11,3,0,3,11,38,3,0,15,6,3,4,7,13,48,1744,350,650,414,184,65,57,1134,4590
