RA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA10,22395,3777,4839,80,81,31170,7552,1211,1304,27,19,10107,6436,1034,1192,30,12,8699,10622,1746,2117,46,26,14568,15052,2454,3211,63,35,20823,45725,7463,10501,130,100,63919,57097,9629,13489,181,127,80527,95977,15330,21491,260,245,133307,57631,9590,12659,145,154,80174,62399,11433,12213,151,185,86384,54448,11109,7677,136,198,73564,20590,3043,3039,77,65,26808,455914,77821,93735,1322,1256,630051
RA11,7386,316,121,64,43,7929,3889,201,96,24,12,4222,3514,173,57,33,21,3796,6868,296,179,59,36,7437,10138,416,198,61,51,10863,27586,1095,458,151,121,29403,28847,937,302,124,108,30312,30739,650,194,121,131,31830,13104,254,63,47,57,13519,10174,140,52,53,31,10447,5674,76,28,40,53,5878,7016,201,67,40,51,7377,154931,4757,1812,806,716,163019
RA12,3195,55,20,36,38,3340,1881,41,15,25,10,1969,1792,24,20,18,14,1879,3434,38,39,42,17,3571,4384,61,38,35,29,4551,9101,117,82,63,63,9425,6806,74,43,38,35,7001,5532,44,18,41,51,5692,1942,20,5,7,15,1994,1435,7,7,11,12,1474,1079,7,13,16,30,1141,2502,21,23,26,23,2595,43088,509,322,361,349,44628
RA13,287,0,0,3,8,295,112,0,0,0,9,117,107,0,0,0,7,111,197,0,0,3,3,202,235,0,0,0,4,245,357,0,0,5,13,367,221,0,0,0,4,228,165,0,0,0,3,171,38,0,0,0,0,38,55,0,0,0,0,57,63,0,0,3,0,62,152,0,0,0,3,160,1976,0,3,22,51,2060
RA14,39,0,0,0,3,43,21,0,0,0,0,21,7,0,0,0,0,6,11,0,0,0,0,16,14,0,0,0,0,18,27,0,0,0,0,27,22,0,0,0,0,22,25,0,0,0,0,25,7,0,0,0,0,7,14,0,0,0,0,14,17,0,0,0,0,17,29,0,0,0,0,31,236,0,0,3,9,248
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
