RA_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
RA10,..,4786,134455,227810,212257,184800,139378,70609,18568,992659,..,12766,61198,39183,28924,17387,7570,2024,326,169382,..,519,2129,6551,12043,9205,4323,2618,1778,39165,502937,..,..,..,..,..,..,..,..,502937,..,144528,..,..,..,..,..,..,..,144528,..,100254,75015,24767,15258,6210,875,23,3,222404,..,18882,16195,5978,5563,6336,4865,3072,1777,62666,..,12963,18289,6117,4654,3091,1298,379,111,46890,..,31112,48373,14325,10223,8708,5265,1880,518,120403,..,7701,27053,29681,33791,34769,28679,17121,9078,187872,6555,8486,11181,7094,5657,4264,3061,1658,646,48608,509488,341989,393892,361505,328358,274775,195317,99390,32802,2537517,..,12804,180680,239688,214987,177501,119707,49536,8317,1003228,..,19471,63787,36148,26384,14486,5314,1053,193,166843,..,5324,23136,44258,53048,30926,13892,10897,7102,188574,476046,..,..,..,..,..,..,..,..,476046,..,147139,..,..,..,..,..,..,..,147139,..,71801,50291,12722,8203,4767,1103,51,3,148931,..,15873,11726,4116,6353,13440,13030,10648,6478,81664,..,12989,13361,3481,2461,1840,715,340,162,35344
RA11,..,1073,21625,39194,46855,53036,50104,25522,6029,243431,..,5280,13441,9966,9580,7346,3887,1028,183,50709,..,206,827,2460,3744,2442,1113,698,486,11971,124259,..,..,..,..,..,..,..,..,124259,..,25910,..,..,..,..,..,..,..,25910,..,25377,10899,4846,3803,1835,272,7,0,47044,..,3102,1538,801,1111,1518,1259,756,457,10534,..,2173,1982,1094,1037,755,344,127,26,7542,..,3986,4319,1970,2475,2794,1997,764,164,18476,..,2072,5831,6951,10896,14657,12894,7634,3230,64175,2472,3307,3110,2194,2144,2174,1883,823,232,18326,126726,72482,63566,69472,81644,86557,73751,37359,10811,622372,..,2200,28481,44218,50922,54879,44926,18722,2778,247136,..,7937,14132,10230,9847,6688,2933,642,84,52485,..,2902,9072,13324,13085,5710,2916,2689,1846,51544,117417,..,..,..,..,..,..,..,..,117417,..,27415,..,..,..,..,..,..,..,27415,..,16294,5728,1972,1732,1228,283,17,0,27250,..,2396,832,437,1170,2282,2417,1864,1321,12717,..,2168,1163,426,515,410,211,50,42,4985
RA12,..,284,5525,10651,13966,17552,16106,8003,1704,73781,..,1570,3976,2934,3028,2559,1274,350,42,15729,..,67,292,668,1142,800,390,268,150,3778,36448,..,..,..,..,..,..,..,..,36448,..,6625,..,..,..,..,..,..,..,6625,..,7186,3012,1626,1269,621,72,0,0,13794,..,1058,503,236,409,575,431,281,132,3634,..,543,435,262,292,214,119,58,6,1926,..,843,924,445,723,924,609,252,52,4770,..,847,1897,2169,4199,6074,5305,2933,1032,24468,740,1051,969,653,761,852,779,309,85,6189,37187,20073,17527,19652,25793,30169,25084,12452,3212,191152,..,586,7619,12117,15726,17893,14108,5620,803,74474,..,2428,4167,3042,3079,2340,917,184,31,16186,..,998,2774,3505,3225,1540,864,856,562,14323,34935,..,..,..,..,..,..,..,..,34935,..,6752,..,..,..,..,..,..,..,6752,..,4203,1394,537,555,382,80,4,0,7142,..,721,174,128,310,637,657,491,348,3473,..,470,271,119,122,110,54,23,17,1183
RA13,..,26,496,716,877,988,724,377,73,4275,..,132,350,229,241,155,59,25,0,1194,..,7,22,45,75,56,28,16,12,266,2624,..,..,..,..,..,..,..,..,2624,..,274,..,..,..,..,..,..,..,274,..,445,207,93,80,45,3,0,0,881,..,104,42,23,45,53,31,23,3,316,..,40,28,21,25,17,11,3,0,146,..,52,59,38,40,58,37,10,0,296,..,85,233,200,320,450,393,216,52,1954,63,105,95,71,66,65,69,25,5,559,2692,1266,1530,1441,1771,1893,1348,696,149,12776,..,39,650,806,920,960,604,244,33,4252,..,203,353,228,233,130,45,13,4,1213,..,88,219,234,178,93,59,72,36,993,2583,..,..,..,..,..,..,..,..,2583,..,318,..,..,..,..,..,..,..,318,..,246,85,37,39,20,8,0,0,431,..,70,20,15,29,49,42,30,8,266,..,35,19,7,10,3,3,0,0,80
RA14,..,3,44,97,137,160,113,53,11,614,..,27,71,60,65,46,15,4,0,287,..,3,7,13,16,23,5,0,0,74,500,..,..,..,..,..,..,..,..,500,..,34,..,..,..,..,..,..,..,34,..,86,44,15,15,8,3,0,0,176,..,29,13,15,19,12,9,3,0,105,..,14,12,14,6,3,0,0,0,51,..,11,19,6,12,12,7,3,0,74,..,15,35,37,70,102,92,34,11,384,16,9,18,15,24,17,20,4,0,115,517,231,266,277,360,378,267,102,22,2415,..,6,67,113,133,155,91,36,3,614,..,44,72,48,66,30,11,0,0,274,..,25,65,42,37,19,16,8,7,217,466,..,..,..,..,..,..,..,..,466,..,58,..,..,..,..,..,..,..,58,..,47,27,8,5,4,0,0,0,95,..,24,12,4,7,15,10,7,5,83,..,15,6,4,4,4,3,0,0,39
RA15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,247,489,778,539,444,365,229,51,7,3146,247,489,778,539,444,365,229,51,7,3146,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
