RA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
RA10,15377,68159,270189,273253,233526,144244,26191,1898,262,1033095,35802,51369,55057,37089,36188,38364,21880,3863,418,280034,2041,2773,6225,5539,5267,5604,1885,286,59,29682,1679,3866,7965,5960,5170,3156,977,265,88,29120,54900,126173,339434,321843,280143,191363,50928,6317,829,1371927,4095,8859,13868,10921,10190,7712,692,62,16,56425,10221,8408,5252,2512,2550,3624,1100,139,15,33824,14315,17264,19118,13434,12740,11340,1784,208,33,90246,69218,143435,358550,335284,292886,202709,52717,6521,860,1462173,94758,43305,42095,32632,41804,78530,148740,96741,36909,615519,7527,11866,29179,22526,19643,16592,13289,8926,5015,134562,171494,198610,429826,390446,354337,297829,214740,112191,42783,2212259,7556,54889,188163,146978,145871,84405,11105,548,91,639606,48725,60919,93439,115542,102432,73276,21571,2115,210,518232,2393,3589,17048,10979,5819,5829,1687,173,24,47544,1559,3044,5330,3890,3649,2351,748,265,116,20951,60233,122443,303978,277388,257770,165868,35115,3099,441,1226334,2655,5402,9771,6917,6620,3696,172,41,19,35284,10620,7822,8674,8228,6567,4520,551,72,28,47082,13277,13225,18448,15149,13178,8216,716,107,47,82365
RA11,6482,17341,43879,49171,54312,39780,7941,1052,156,220124,10233,6811,8613,8275,10434,13775,7768,1427,169,67511,657,679,1394,1451,1942,2476,841,129,30,9596,592,788,1229,1173,1265,959,444,216,60,6725,17960,25617,55116,60073,67957,56998,16995,2822,413,303958,1722,2517,2983,2512,2694,2345,164,27,7,14975,1985,924,762,593,702,1071,299,43,3,6382,3703,3438,3744,3112,3392,3421,467,64,17,21356,21666,29053,58859,63186,71351,60414,17455,2890,433,325311,19992,5972,8537,9577,13229,29722,60097,35953,11829,194901,2712,2873,5289,5394,6563,7095,6608,4316,2151,42999,44368,37896,72687,78160,91142,97238,84158,43154,14409,563218,2792,10713,23251,26436,34944,23114,3191,319,51,124809,14794,11074,21783,29071,31273,26477,7156,733,101,142457,874,979,3592,2133,2106,2580,735,85,14,13086,603,548,758,888,988,747,349,176,63,5113,19071,23308,49378,58531,69306,52912,11423,1304,233,285466,1083,1339,1678,1598,1669,1064,53,13,0,8496,2184,1186,1629,1635,1457,1321,174,9,7,9597,3266,2524,3309,3232,3125,2387,223,18,7,18091
RA12,2036,4989,12036,13644,16531,14291,4255,868,146,68791,2328,1389,2020,2143,3169,4370,2516,665,115,18723,192,155,415,443,608,888,358,98,23,3174,226,283,381,380,456,425,222,125,39,2538,4778,6809,14844,16612,20764,19974,7356,1756,319,93223,528,750,971,799,893,845,40,10,8,4846,321,202,201,179,229,442,97,11,3,1677,852,950,1173,980,1120,1283,137,20,4,6522,5632,7759,16022,17592,21889,21258,7494,1783,331,99747,6378,1551,2411,2791,4709,9942,18530,10905,3293,60504,1027,961,1813,1976,2678,3103,2850,1756,666,16833,13037,10269,20245,22355,29274,34306,28879,14443,4286,177088,810,2810,5930,6902,10348,7606,1734,289,48,36468,3286,2286,5731,7880,9017,8338,2518,404,65,39527,213,251,922,548,628,904,282,61,13,3827,203,144,244,286,335,367,193,111,29,1914,4515,5494,12836,15614,20325,17210,4734,859,149,81738,311,382,472,501,572,353,7,0,3,2604,429,285,421,412,413,387,37,8,8,2396,736,671,893,916,979,739,48,7,7,5002
RA13,135,409,1105,1026,1188,1023,357,81,12,5343,68,75,112,117,167,214,134,54,7,940,5,16,37,30,44,50,15,10,6,209,12,21,44,38,38,34,23,12,3,233,219,529,1295,1212,1441,1326,537,154,21,6723,38,46,79,58,64,62,3,0,0,349,22,23,20,14,28,23,8,0,0,125,55,71,97,72,89,82,8,0,0,475,271,598,1390,1286,1524,1410,540,152,21,7200,392,98,179,193,294,527,858,550,151,3245,100,95,236,202,251,289,217,119,35,1542,769,792,1806,1681,2079,2220,1620,819,206,11990,52,210,593,521,722,557,129,41,7,2842,149,156,430,460,463,376,148,25,6,2218,7,20,81,47,37,60,16,8,0,269,16,11,25,37,28,24,15,11,0,157,220,395,1127,1073,1252,1017,309,88,14,5484,23,23,38,33,40,15,0,0,0,184,27,18,31,31,21,26,0,0,0,161,53,50,72,71,61,40,0,0,0,346
RA14,20,47,162,162,210,201,69,14,0,886,7,11,18,26,27,37,25,9,0,161,0,3,5,7,10,4,3,0,0,27,3,0,10,7,4,6,5,3,0,43,27,67,193,201,252,246,108,29,0,1121,6,11,11,10,15,12,0,0,0,72,8,10,10,4,10,10,0,0,0,42,9,17,21,22,26,22,3,0,0,114,37,83,212,221,273,270,107,29,0,1235,90,62,90,69,103,123,160,74,20,800,16,22,71,49,73,62,46,21,7,358,140,167,371,342,446,459,314,126,28,2393,9,42,82,102,138,126,40,4,0,545,19,12,47,60,59,47,21,0,0,273,0,3,14,3,9,4,5,0,0,43,0,3,8,6,7,12,0,3,0,40,28,67,153,175,213,193,62,10,3,903,4,9,13,10,9,9,0,0,0,52,5,6,10,8,3,0,0,0,0,36,15,15,18,18,16,8,0,0,0,85
RA15,0,3,8,8,10,4,0,0,0,28,0,0,0,0,3,3,3,0,0,7,0,0,0,8,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,3,9,11,20,10,6,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,20,10,6,0,0,61,4,5,5,0,3,8,31,14,3,77,0,3,0,0,0,4,10,9,0,24,3,9,11,18,25,22,48,16,3,157,3,0,10,0,5,4,0,0,0,25,0,0,3,4,3,9,5,0,0,18,0,3,4,4,9,3,6,0,0,24,0,0,0,0,0,3,0,0,0,4,3,3,17,13,17,11,11,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
RA19,39,169,440,315,195,130,25,3,0,1322,16,85,143,90,92,73,30,3,0,531,0,10,24,9,15,15,7,0,0,85,5,25,32,27,14,8,0,0,0,103,63,284,637,441,319,228,61,3,5,2042,25,76,145,91,80,56,3,0,0,467,13,23,33,12,16,15,3,0,0,120,35,101,177,106,87,66,6,0,0,583,102,382,816,548,406,294,63,5,5,2623,115,204,305,238,301,381,503,112,20,2178,68,158,491,484,440,313,157,39,12,2153,285,746,1615,1269,1148,986,719,162,32,6958,12,116,261,93,93,64,8,0,0,653,24,106,149,80,80,63,18,0,0,520,3,4,27,6,12,13,0,0,0,65,3,7,15,13,6,4,0,0,0,47,44,243,451,183,185,151,28,0,0,1291,26,34,59,43,42,27,4,0,0,230,12,21,38,18,13,23,4,0,0,127,35,52,103,58,59,42,3,0,0,358
