RA_CODE_2016,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
RA10,921,1968,12446,6441,1885,12424,2632,15060,1115,54900,6111,16894,31279,14810,9449,16495,9173,19002,2945,126173,41146,91306,70888,22427,25449,23367,26902,30319,7620,339434,63072,85133,58422,16026,23225,16979,29364,23221,6406,321843,57974,60690,51276,13297,19956,14258,33182,23942,5575,280143,33988,41899,33471,8566,14774,10141,25911,19023,3596,191363,8727,13848,6929,2239,3973,3454,5839,4768,1152,50928,1179,2060,612,206,485,474,410,529,365,6317,177,254,68,21,60,59,35,47,116,829,213303,314057,265394,84032,99239,97653,133455,135908,28883,1371927,818,2617,2028,15234,5298,27557,471,5287,927,60233,6156,23509,5754,29668,22558,25624,1285,5800,2085,122443,32506,111546,12934,40997,59108,27274,2917,11349,5343,303978,38746,92221,10619,32035,63613,20731,3253,11656,4517,277388,31589,68963,9877,32924,67249,21589,4494,17185,3903,257770,16062,44308,5702,20387,46282,14077,3219,13593,2246,165868,3141,9348,1054,3595,11287,3102,436,2350,803,35115,298,793,90,213,890,250,36,208,316,3099,49,75,12,28,98,38,5,16,123,441,129360,353383,48082,175089,276370,140237,16116,67449,20257,1226334
RA11,381,247,4721,1502,282,4105,715,5681,329,17960,1264,1381,9705,2314,705,2507,2000,5286,448,25617,5903,7036,17816,3863,1944,3379,6202,8059,914,55116,10123,9039,15295,3933,2552,3095,7891,7074,1084,60073,12522,9762,14986,4391,3378,3381,10100,8112,1325,67957,10740,9040,11158,3170,3090,3125,8598,7034,1039,56998,4447,3013,2302,657,908,1141,2332,1751,445,16995,1207,417,211,61,122,144,194,274,202,2822,189,42,36,11,12,21,9,34,65,413,46767,39975,76227,19911,12987,20893,38044,43304,5846,303958,256,378,747,4738,1128,8939,139,2445,302,19071,1032,2915,1726,6869,3480,4833,250,1923,281,23308,3982,13727,3058,9325,9216,5482,599,3413,575,49378,6210,15779,2971,9465,13088,5483,678,4065,790,58531,7653,15844,3116,11239,16963,6710,907,6096,779,69306,5685,13361,1984,8182,12583,4948,638,4935,596,52912,2019,2366,372,1218,2929,1057,136,1004,315,11423,393,169,52,79,250,74,9,113,170,1304,66,28,10,16,19,17,4,9,56,233,27301,64566,14038,51116,59647,37558,3359,24011,3863,285466
RA12,175,52,1338,231,39,990,225,1626,110,4778,547,255,2402,388,133,466,705,1776,142,6809,2335,1304,4148,737,323,710,2115,2911,265,14844,3951,1633,3631,850,465,690,2529,2569,296,16612,5378,1889,3884,1019,710,860,3449,3146,425,20764,5980,1842,3205,843,765,839,3159,2931,404,19974,3523,613,690,170,218,290,852,816,178,7356,1172,101,98,17,36,33,73,128,102,1756,218,10,10,4,0,8,13,18,36,319,23281,7699,19411,4254,2689,4898,13118,15924,1952,93223,74,98,238,1096,289,1950,40,649,85,4515,249,728,443,1493,737,990,96,685,67,5494,1079,3299,863,2363,2281,1333,181,1299,151,12836,1986,3693,802,2615,3291,1405,214,1417,186,15614,2939,4083,970,3341,4447,1834,274,2203,248,20325,3013,3556,665,2623,3494,1461,222,1892,282,17210,1727,658,122,389,857,266,64,505,145,4734,477,46,12,18,95,35,3,81,91,859,62,10,0,8,25,8,0,6,25,149,11597,16169,4117,13946,15516,9282,1093,8735,1277,81738
RA13,18,7,64,6,5,18,19,84,3,219,62,22,137,19,9,22,72,173,12,529,340,127,257,87,13,27,209,211,22,1295,424,91,202,59,26,21,211,161,23,1212,571,73,177,56,33,30,274,201,18,1441,580,51,175,33,24,35,211,183,36,1326,289,22,41,12,11,15,66,56,14,537,114,0,6,0,6,4,8,12,12,154,15,0,4,0,0,0,0,4,3,21,2414,401,1066,280,121,172,1059,1076,145,6723,3,3,8,57,22,81,4,36,5,220,18,65,27,87,70,46,17,63,3,395,117,308,55,211,222,74,28,97,19,1127,201,236,40,188,197,61,26,108,19,1073,307,219,39,196,230,81,35,129,18,1252,295,146,35,150,174,70,21,113,13,1017,126,24,6,29,56,15,11,33,14,309,50,3,0,0,3,0,0,11,11,88,4,3,0,0,3,0,0,0,0,14,1130,1008,222,923,964,420,137,581,98,5484
RA14,3,0,9,3,0,0,0,12,3,27,8,3,12,9,0,0,3,27,3,67,37,18,39,18,7,0,12,47,7,193,74,16,28,18,5,3,27,30,8,201,99,25,26,29,0,4,16,46,9,252,110,10,24,15,8,14,27,44,9,246,63,0,10,0,0,0,7,10,8,108,22,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,416,68,149,95,24,22,105,209,39,1121,0,3,0,10,0,5,0,10,3,28,9,13,0,18,6,0,4,13,3,67,11,38,8,41,31,3,0,9,3,153,37,25,6,37,33,11,0,20,8,175,64,34,8,38,37,8,0,26,3,213,75,32,5,20,28,5,0,18,9,193,39,5,0,10,4,0,0,4,0,62,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,246,148,34,174,135,35,10,93,32,903
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,9,3,3,3,0,0,0,0,3,0,11,0,0,4,0,0,0,5,3,0,20,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,14,3,0,0,9,15,3,59,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,4,0,3,0,0,0,0,17,0,0,0,4,0,0,0,0,0,13,0,7,4,4,0,4,0,0,0,17,0,3,0,3,0,3,0,3,3,11,0,0,0,0,4,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,11,18,15,0,3,3,72
RA19,0,8,10,17,0,4,3,16,3,63,17,28,58,50,4,24,20,73,10,284,43,117,130,47,25,23,87,143,15,637,49,72,82,27,27,17,79,77,19,441,25,46,61,28,17,22,64,43,11,319,29,28,46,11,12,13,42,34,11,228,8,19,8,0,3,9,8,3,0,61,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,167,321,397,186,88,109,314,395,63,2042,0,0,0,18,0,13,0,10,0,44,10,26,16,72,26,30,3,50,5,243,30,133,32,81,41,35,11,76,9,451,19,64,13,24,24,15,6,11,9,183,23,53,15,26,39,4,3,17,11,185,10,37,7,25,34,10,5,16,7,151,3,6,0,3,6,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,329,80,247,172,111,29,183,37,1291
