RA_CODE_2016,M_NatPhyl_Scn_15_24,M_NatPhyl_Scn_25_34,M_NatPhyl_Scn_35_44,M_NatPhyl_Scn_45_54,M_NatPhyl_Scn_55_64,M_NatPhyl_Scn_65_74,M_NatPhyl_Scn_75_84,M_NatPhyl_Scn_85ov,M_NatPhyl_Scn_Tot,M_InfoTech_15_24,M_InfoTech_25_34,M_InfoTech_35_44,M_InfoTech_45_54,M_InfoTech_55_64,M_InfoTech_65_74,M_InfoTech_75_84,M_InfoTech_85ov,M_InfoTech_Tot,M_Eng_RelTec_15_24,M_Eng_RelTec_25_34,M_Eng_RelTec_35_44,M_Eng_RelTec_45_54,M_Eng_RelTec_55_64,M_Eng_RelTec_65_74,M_Eng_RelTec_75_84,M_Eng_RelTec_85ov,M_Eng_RelTec_Tot,M_ArchtBldng_15_24,M_ArchtBldng_25_34,M_ArchtBldng_35_44,M_ArchtBldng_45_54,M_ArchtBldng_55_64,M_ArchtBldng_65_74,M_ArchtBldng_75_84,M_ArchtBldng_85ov,M_ArchtBldng_Tot,M_Ag_Envir_Rltd_Sts_15_24,M_Ag_Envir_Rltd_Sts_25_34,M_Ag_Envir_Rltd_Sts_35_44,M_Ag_Envir_Rltd_Sts_45_54,M_Ag_Envir_Rltd_Sts_55_64,M_Ag_Envir_Rltd_Sts_65_74,M_Ag_Envir_Rltd_Sts_75_84,M_Ag_Envir_Rltd_Sts_85ov,M_Ag_Envir_Rltd_Sts_Tot,M_Health_15_24,M_Health_25_34,M_Health_35_44,M_Health_45_54,M_Health_55_64,M_Health_65_74,M_Health_75_84,M_Health_85ov,M_Health_Tot,M_Educ_15_24,M_Educ_25_34,M_Educ_35_44,M_Educ_45_54,M_Educ_55_64,M_Educ_65_74,M_Educ_75_84,M_Educ_85_years_and_over,M_Educ_Tot,M_Mgnt_Com_15_24,M_Mgnt_Com_25_34,M_Mgnt_Com_35_44,M_Mgnt_Com_45_54,M_Mgnt_Com_55_64,M_Mgnt_Com_65_74,M_Mgnt_Com_75_84,M_Mgnt_Com_85ov,M_Mgnt_Com_Tot,M_Society_Cult_15_24,M_Society_Cult_25_34,M_Society_Cult_35_44,M_Society_Cult_45_54,M_Society_Cult_55_64,M_Society_Cult_65_74,M_Society_Cult_75_84,M_Society_Cult_85ov,M_Society_Cult_Tot,M_Creative_Arts_15_24,M_Creative_Arts_25_34,M_Creative_Arts_35_44,M_Creative_Arts_45_54,M_Creative_Arts_55_64,M_Creative_Arts_65_74,M_Creative_Arts_75_84,M_Creative_Arts_85ov,M_Creative_Arts_Tot,M_Fd_Hosp_Psnl_Svcs_15_24,M_Fd_Hosp_Psnl_Svcs_25_34,M_Fd_Hosp_Psnl_Svcs_35_44,M_Fd_Hosp_Psnl_Svcs_45_54,M_Fd_Hosp_Psnl_Svcs_55_64,M_Fd_Hosp_Psnl_Svcs_65_74,M_Fd_Hosp_Psnl_Svcs_75_84,M_Fd_Hosp_Psnl_Svcs_85ov,M_Fd_Hosp_Psnl_Svcs_Tot,M_MixFld_Prgm_15_24,M_MixFld_Prgm_25_34,M_MixFld_Prgm_35_44,M_MixFld_Prgm_45_54,M_MixFld_Prgm_55_64,M_MixFld_Prgm_65_74,M_MixFld_Prgm_75_84,M_MixFld_Prgm_85ov,M_MixFld_Prgm_Tot,M_FldStd_InadDes_15_24,M_FldStd_InadDes_25_34,M_FldStd_InadDes_35_44,M_FldStd_InadDes_45_54,M_FldStd_InadDes_55_64,M_FldStd_InadDes_65_74,M_FldStd_InadDes_75_84,M_FldStd_InadDes_85ov,M_FldStd_InadDes_Tot,M_FldStd_NS_15_24,M_FldStd_NS_25_34,M_FldStd_NS_35_44,M_FldStd_NS_45_54,M_FldStd_NS_55_64,M_FldStd_NS_65_74,M_FldStd_NS_75_84,M_FldStd_NS_85ov,M_FldStd_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_years_and_over,M_Tot_Tot,F_NatPhyl_Scn_15_24,F_NatPhyl_Scn_25_34,F_NatPhyl_Scn_35_44,F_NatPhyl_Scn_45_54,F_NatPhyl_Scn_55_64,F_NatPhyl_Scn_65_74,F_NatPhyl_Scn_75_84,F_NatPhyl_Scn_85ov,F_NatPhyl_Scn_Tot,F_InfoTech_15_24,F_InfoTech_25_34,F_InfoTech_35_44,F_InfoTech_45_54,F_InfoTech_55_64,F_InfoTech_65_74,F_InfoTech_75_84,F_InfoTech_85ov,F_InfoTech_Tot,F_Eng_RelTec_15_24,F_Eng_RelTec_25_34,F_Eng_RelTec_35_44,F_Eng_RelTec_45_54,F_Eng_RelTec_55_64,F_Eng_RelTec_65_74,F_Eng_RelTec_75_84,F_Eng_RelTec_85ov,F_Eng_RelTec_Tot,F_ArchtBldng_15_24,F_ArchtBldng_25_34,F_ArchtBldng_35_44,F_ArchtBldng_45_54,F_ArchtBldng_55_64,F_ArchtBldng_65_74,F_ArchtBldng_75_84,F_ArchtBldng_85ov,F_ArchtBldng_Tot,F_Ag_Envir_Rltd_Sts_15_24,F_Ag_Envir_Rltd_Sts_25_34,F_Ag_Envir_Rltd_Sts_35_44,F_Ag_Envir_Rltd_Sts_45_54,F_Ag_Envir_Rltd_Sts_55_64,F_Ag_Envir_Rltd_Sts_65_74,F_Ag_Envir_Rltd_Sts_75_84,F_Ag_Envir_Rltd_Sts_85ov,F_Ag_Envir_Rltd_Sts_Tot,F_Health_15_24,F_Health_25_34,F_Health_35_44,F_Health_45_54,F_Health_55_64,F_Health_65_74,F_Health_75_84,F_Health_85ov,F_Health_Tot,F_Educ_15_24,F_Educ_25_34,F_Educ_35_44,F_Educ_45_54,F_Educ_55_64,F_Educ_65_74,F_Educ_75_84,F_Educ_85ov,F_Educ_Tot,F_Mgnt_Com_15_24,F_Mgnt_Com_25_34
RA10,3231,8767,8422,8345,6945,5097,2015,599,43418,6467,28916,29064,12799,5632,1550,198,43,84677,16862,60369,61633,67248,60846,43686,22042,7446,340142,10139,27510,26558,24207,17572,12058,6585,1971,126599,1676,4801,5390,4646,3392,1735,854,278,22765,3514,14572,12587,10839,9145,5285,2772,1093,59793,1405,7332,7378,7553,9900,6434,2692,792,43477,18967,74319,65179,49692,35083,20803,7054,2124,273224,8579,26371,24073,21037,17189,10779,3923,1159,113109,6415,15567,10976,6662,4403,2373,939,271,47612,4353,13117,10110,7299,4432,2973,1368,360,44015,934,583,415,397,418,425,327,118,3617,1204,3490,4028,3721,2713,1649,771,358,17943,27180,37123,30038,26475,22130,18614,13811,7979,183354,110925,322834,295857,250932,199796,133461,65355,24593,1403760,3961,11353,10301,8345,5711,2906,989,287,43851,1323,9620,9448,5376,2610,809,138,16,29335,1959,8753,6958,6430,4709,2888,2338,1135,35183,1489,4912,3781,2639,1431,532,204,53,15050,1012,2459,2415,1763,1120,487,188,43,9477,11708,43758,35608,32725,29063,15661,7395,2690,178608,7081,29268,28589,26340,27804,17228,6828,2167,145310,29809,103460
RA11,225,784,1068,1198,1511,1356,459,146,6746,736,1507,1430,1089,866,436,60,5,6134,5637,14432,15424,19052,19549,16596,8032,2256,100978,3144,6874,7119,7876,7958,5607,2839,693,42106,1040,2615,3199,3363,2898,2076,940,241,16375,554,2189,2537,2796,3064,1792,742,274,13952,266,1594,2186,2559,4509,3136,1150,290,15678,1748,4938,6078,6628,6603,5337,1958,486,33776,1186,3042,3724,4011,4029,3070,1108,259,20430,654,1213,1182,1067,1144,830,285,98,6465,1358,2904,2828,2332,1857,1461,593,168,13498,154,77,75,83,101,126,112,50,776,245,492,721,909,801,637,323,120,4252,9552,8793,8664,9591,9813,9370,6672,3149,65597,26504,51442,56220,62535,64711,51835,25285,8229,346761,306,993,1353,1267,1096,670,223,55,5953,102,352,495,627,543,311,49,6,2488,266,876,939,1025,862,705,535,314,5528,135,407,439,459,323,158,52,16,1977,776,1276,1502,1336,868,400,113,28,6292,3034,8664,9224,10790,12554,7132,3192,1060,55646,1464,6474,7593,7729,10078,6295,2430,644,42717,5007,12176
RA12,45,168,244,269,345,348,111,19,1554,136,271,210,194,213,95,18,4,1136,1911,4033,4202,5216,5801,4478,1843,459,27935,682,1540,1533,1934,2315,1562,722,152,10442,544,1243,1672,1947,1882,1286,525,116,9218,104,373,482,542,708,352,177,46,2796,61,397,517,601,1042,798,243,44,3699,347,963,1208,1435,1413,1059,309,80,6811,219,592,777,898,988,730,218,48,4462,76,183,176,185,298,214,63,13,1214,325,684,713,617,619,417,147,34,3548,42,29,16,24,41,53,47,17,271,49,121,192,252,264,182,85,25,1174,3485,2800,2930,3793,4175,3926,2652,1008,24770,8024,13402,14876,17895,20111,15505,7157,2060,99032,48,206,313,261,291,162,38,10,1339,23,90,91,149,156,70,30,7,605,76,179,215,288,252,183,149,70,1402,21,92,90,99,62,39,11,0,417,339,611,722,678,421,209,56,12,3040,725,2093,2107,3010,3736,2203,867,303,15056,422,1827,2228,2425,2848,1771,602,169,12282,1134,2920
RA13,3,14,15,17,10,12,3,0,63,4,13,4,3,0,4,0,0,30,144,333,274,258,286,147,62,16,1525,38,79,79,68,80,57,31,6,430,57,145,161,185,141,68,30,0,790,4,36,28,32,20,16,3,3,135,7,60,28,25,35,8,0,0,175,18,56,67,75,53,19,11,0,292,16,68,43,41,24,21,5,0,220,0,6,6,6,5,4,3,0,33,19,40,46,30,27,20,11,0,191,0,0,0,3,0,3,0,0,9,6,3,15,13,10,9,3,0,60,296,278,262,323,352,288,181,43,2033,610,1137,1023,1082,1049,690,340,68,5994,3,25,6,14,4,3,3,0,66,0,4,4,5,4,3,0,0,20,7,11,12,13,11,3,5,5,61,3,4,6,3,0,0,0,0,14,31,70,61,43,32,10,4,0,243,52,161,141,176,197,92,38,16,872,41,208,185,153,143,58,14,8,813,75,226
RA14,0,0,4,0,0,0,0,0,5,0,3,0,0,0,0,0,0,9,17,46,43,46,48,25,10,3,237,8,11,12,19,19,15,4,0,89,7,16,28,33,25,8,4,0,122,0,3,3,4,3,0,0,0,18,0,9,9,6,12,3,0,0,36,3,17,13,12,10,12,0,0,67,3,10,15,10,9,8,3,0,60,0,3,0,0,3,3,0,0,13,0,11,10,0,8,3,0,0,40,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,8,89,112,82,98,88,63,28,0,561,134,248,210,241,232,141,50,6,1275,0,3,0,0,0,3,0,0,6,0,0,3,0,3,0,0,0,4,0,0,5,3,3,0,0,0,8,0,0,0,0,0,0,0,0,3,7,11,10,8,8,0,0,0,51,11,20,24,34,34,20,4,3,149,8,37,25,28,32,12,5,0,145,6,26
RA15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,6,15,5,0,32,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,10,6,0,29,3,11,12,11,12,34,13,3,92,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,3,0,0,16,0,0,0,0,4,3,0,0,14,3,9
RA19,11,25,12,5,13,7,0,0,77,18,46,35,15,9,0,0,0,112,56,175,106,116,145,114,16,0,731,31,65,59,45,59,48,6,0,310,10,25,12,13,16,3,0,0,82,11,41,23,17,14,16,0,0,121,3,17,15,11,17,15,0,0,75,56,118,54,54,40,32,8,0,357,39,60,32,24,33,27,6,0,222,12,43,16,17,8,7,0,0,110,25,43,28,12,8,7,0,0,123,7,4,0,0,3,0,0,0,19,7,7,9,6,10,5,0,0,48,258,510,508,471,324,170,52,9,2313,542,1168,909,814,700,456,87,23,4703,7,32,9,8,5,3,0,0,60,3,12,9,0,0,0,0,0,27,14,22,7,3,6,3,4,0,67,0,11,8,0,0,7,0,0,30,7,11,12,4,8,5,0,0,42,27,85,40,45,59,40,8,0,308,12,37,16,28,44,18,0,0,158,64,144
