RA_CODE_2016,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot
RA10,182,731,3611,17371,9758,8691,3177,1502,671,45697,14,57,89,707,517,411,435,259,133,2618,8,137,399,1157,495,295,113,38,13,2659,1135,4604,8406,40973,17514,14527,11906,7014,3599,109680,8400,14096,18978,51997,21332,19604,16453,11740,8019,170616,173335,330846,356401,841291,369632,318235,231582,136904,74350,2832572,107,457,2509,6168,1572,1091,475,146,45,12560,321874,576511,509326,848353,377363,315645,221641,119923,62951,3353575,332,1090,2480,15367,2552,1376,283,47,11,23538,5,35,319,2302,1468,1399,738,544,95,6896,43,185,741,4394,2733,2339,1173,434,190,12227,148,602,987,4931,1931,1247,654,234,89,10833,36,154,349,3605,2610,2148,2487,809,174,12370,1593,5516,41730,89938,35442,29294,14321,9068,3486,230404,17,48,275,1767,2295,2838,3435,3140,679,14491,192,876,771,4397,2500,3594,3580,2072,882,18866,1415,8651,8430,43140,34094,28042,27883,15812,6695,174176,63,644,2025,12734,6999,5683,2767,1111,242,32267,100,501,994,5319,1375,774,681,299,166,10194,86,448,1076,4857,2757,2464,6170,2734,1488,22083
RA11,10,32,58,366,74,59,14,3,3,610,0,13,22,72,128,115,172,91,35,648,0,28,83,171,90,88,47,16,0,535,80,375,450,2020,1136,1157,1166,687,328,7398,2242,4876,5528,12104,8278,8996,8158,5627,3181,58997,39584,87617,79204,158130,97137,102232,86071,49217,24019,723206,0,26,89,133,42,14,8,0,0,307,75785,164087,142708,250984,148385,155554,124184,66551,27941,1156191,14,43,25,442,34,21,12,3,0,597,0,0,5,35,29,36,19,29,0,153,3,17,17,98,20,17,11,0,0,177,26,96,120,650,387,356,259,78,20,1999,0,5,11,136,129,109,120,41,9,560,25,154,481,1270,579,372,266,108,48,3304,0,4,8,58,144,202,278,257,34,985,12,54,31,151,75,102,197,73,30,725,127,958,1051,4290,7295,8683,11439,6461,2280,42593,6,34,63,407,196,197,114,45,18,1083,9,48,63,277,191,179,168,82,28,1051,20,62,111,540,608,1025,2081,987,377,5808
RA12,0,3,4,59,20,3,0,0,0,93,0,3,3,18,19,22,26,16,8,117,0,8,13,27,25,25,9,3,0,105,20,66,70,373,274,288,287,128,36,1551,924,2190,1875,4541,3255,3726,3260,2074,1143,22992,11946,27102,21248,44205,29736,33289,26819,15065,6967,216382,0,10,19,85,31,10,4,0,0,153,22445,49536,39049,70559,47264,53599,41591,21812,8242,354097,3,7,3,32,15,3,0,0,0,60,0,0,0,4,0,3,4,10,0,19,0,0,3,10,3,3,3,0,0,21,0,28,36,136,57,83,47,15,6,410,0,0,3,23,30,15,19,7,0,97,0,23,41,192,112,83,49,16,4,516,0,0,0,0,15,23,50,32,5,128,0,0,0,21,11,20,25,6,6,95,18,125,166,766,1402,2029,2705,1357,403,8972,3,35,47,146,103,85,32,20,3,477,0,10,14,56,30,43,43,18,7,221,0,14,23,154,159,292,532,229,84,1479
RA13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,3,8,29,8,17,17,7,6,99,142,203,165,500,292,245,208,127,55,1939,1067,1955,1480,3535,1946,1812,1307,775,333,14214,0,0,0,0,0,0,0,0,0,0,1860,3476,2573,5451,3172,3196,2205,1195,411,23541,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,17,8,3,3,0,0,30,0,0,0,0,0,0,8,12,0,29,0,0,0,6,0,0,3,0,0,10,0,3,5,46,51,54,62,26,3,247,0,3,0,5,8,3,3,0,0,29,0,0,0,5,3,0,0,0,0,10,0,0,3,6,6,16,28,13,0,77
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,0,3,0,15,18,55,34,106,75,57,35,23,3,397,184,381,309,671,403,351,228,99,43,2669,0,0,0,0,0,0,0,0,0,0,361,642,536,1093,653,628,413,154,58,4540,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,9,6,15,11,11,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,13
RA15,0,0,0,0,0,3,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,4,5,3,6,3,0,26,4,14,12,39,31,53,60,24,7,239,0,0,0,0,0,0,0,0,0,0,9,22,20,42,34,34,43,24,6,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,3,3,3,0,20,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,11,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,11,16,3,3,3,0,0,31,0,0,3,3,3,0,3,0,0,11,0,0,0,0,0,7,0,0,0,7,7,9,28,70,28,15,3,3,0,168,19,25,162,324,113,111,82,20,4,864,149,200,848,1720,646,732,477,120,48,4939,0,0,4,3,0,0,0,0,0,4,252,278,956,2451,1096,1080,718,148,42,7028,0,0,7,8,0,0,0,0,0,21,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,4,0,0,0,10,0,0,17,13,3,0,3,0,0,34,0,0,0,19,4,5,3,0,0,25,0,8,98,83,13,11,3,0,3,225,0,0,0,3,5,3,0,0,0,10,0,0,0,12,3,3,0,0,0,23,4,4,106,115,69,73,93,21,3,501,0,0,7,10,6,0,0,0,0,22,0,6,22,36,3,0,0,0,0,69,0,0,20,21,14,9,9,9,0,78
