RA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA10,1366532,1429175,2795700,154733,159848,314585,597106,619201,1216309,13057,13059,26111,21625,22521,44145,4358,4431,8787,6045,5863,11908,1505,1599,3101,1822,1708,3532,6115,6253,12369,92,53,146,651716,674688,1326407,206305,215389,421695,14522,13235,27756,1027276,1063163,2090440,168236,166901,335136,2562044,2659236,5221279
RA11,354432,365039,719474,70046,76860,146901,126575,137453,264031,7591,8398,15986,11918,12338,24253,1314,1316,2630,2175,2264,4439,862,920,1786,1127,1153,2280,4574,4811,9383,46,32,74,156178,168695,324875,10887,12177,23070,3900,3906,7800,241012,261630,502646,60491,56950,117446,655943,683619,1339562
RA12,121298,118357,239660,22690,24512,47201,26111,27333,53441,2535,2620,5147,3764,3894,7649,592,627,1220,644,634,1279,190,183,376,363,360,721,843,917,1757,3,0,3,35039,36557,71596,2387,2631,5021,1081,1013,2095,61197,64712,125910,22561,21365,43925,205055,204436,409487
RA13,8308,7447,15757,1524,1620,3146,1464,1495,2963,135,127,270,244,264,511,40,48,89,51,42,90,27,32,58,27,16,38,12,14,24,3,0,3,2000,2039,4040,160,208,364,63,49,113,3750,3913,7666,1962,1779,3743,14021,13142,27165
RA14,1622,1500,3123,186,193,380,327,291,610,30,35,65,26,30,54,38,34,76,14,9,21,0,0,4,9,3,12,0,0,0,0,0,0,443,398,839,19,26,39,29,29,58,676,641,1318,465,337,806,2761,2486,5249
RA15,105,139,245,0,0,0,25,45,72,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,34,48,80,12,12,18,3,0,3,43,61,104,19,34,51,168,237,401
RA19,1027,548,1571,204,112,317,2027,1557,3584,158,168,325,297,255,549,47,42,84,81,57,142,28,19,44,16,19,38,47,36,82,0,0,0,2699,2145,4844,723,702,1430,104,66,170,3734,3027,6765,2403,1214,3613,7164,4788,11952
